Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.15,5.15,4.63,4.85,4400,4.85
2012-05-14,5.45,5.48,4.71,5.30,9200,5.30
2012-05-07,5.53,5.53,4.85,5.49,17900,5.49
2012-04-30,5.64,5.74,5.21,5.50,7900,5.50
2012-04-23,4.75,5.95,4.55,5.60,13700,5.60
2012-04-16,4.50,4.75,4.32,4.32,33400,4.32
2012-04-09,4.00,4.74,4.00,4.50,64200,4.50
2012-04-02,4.48,4.50,3.86,4.39,17800,4.39
2012-03-26,4.50,4.60,4.09,4.50,12100,4.50
2012-03-19,1.00,4.65,0.87,4.60,10400,4.60
2012-03-12,0.87,1.05,0.80,1.00,15000,5.00
2012-03-05,0.76,0.90,0.76,0.90,2800,4.50
2012-02-27,0.80,0.94,0.75,0.85,6500,4.25
2012-02-21,0.85,0.95,0.75,0.85,1800,4.25
2012-02-13,0.73,0.89,0.73,0.85,2700,4.25
2012-02-06,0.76,0.89,0.72,0.89,4300,4.45
2012-01-30,0.89,0.96,0.80,0.90,2100,4.50
2012-01-23,0.80,0.98,0.71,0.88,2100,4.40
2012-01-17,1.00,1.00,0.75,0.75,2300,3.75
2012-01-09,1.03,1.16,0.75,1.01,5600,5.05
2012-01-03,0.69,1.03,0.69,1.02,14800,5.10
2011-12-27,0.55,0.70,0.45,0.70,6800,3.50
2011-12-19,0.56,0.62,0.45,0.60,11500,3.00
2011-12-12,0.58,0.64,0.55,0.63,6900,3.15
2011-12-05,0.58,0.70,0.58,0.65,1400,3.25
2011-11-28,0.55,0.75,0.55,0.75,2100,3.75
2011-11-21,0.75,0.75,0.55,0.75,200,3.72
2011-11-14,0.61,0.75,0.55,0.75,1200,3.75
2011-11-07,0.64,0.75,0.55,0.75,700,3.75
2011-10-31,0.63,0.68,0.55,0.64,1100,3.20
2011-10-24,0.55,0.63,0.55,0.63,7700,3.15
2011-10-17,0.64,0.64,0.53,0.55,1100,2.75
2011-10-10,0.62,0.64,0.52,0.64,900,3.20
2011-10-03,0.65,0.65,0.50,0.65,5400,3.25
2011-09-26,0.62,0.75,0.50,0.75,1000,3.75
2011-09-19,0.65,0.76,0.60,0.63,2800,3.13
2011-09-12,0.82,0.96,0.40,0.65,6600,3.25
2011-09-06,1.04,1.05,0.87,0.90,4600,4.50
2011-08-29,1.24,1.24,0.93,1.10,1100,5.50
2011-08-22,1.15,1.25,0.93,1.25,500,6.25
2011-08-15,1.15,1.35,1.15,1.20,3700,6.00
2011-08-08,1.25,1.30,1.15,1.25,2500,6.25
2011-08-01,1.33,1.35,1.20,1.29,6900,6.45
2011-07-25,1.20,1.35,1.10,1.33,8600,6.65
2011-07-18,0.90,1.24,0.90,1.20,7200,6.00
2011-07-11,0.90,1.00,0.90,1.00,4100,5.00
2011-07-05,0.94,0.99,0.87,0.94,1300,4.70
2011-06-27,0.84,0.99,0.81,0.95,2600,4.75
2011-06-20,1.00,1.00,0.84,0.92,1000,4.59
2011-06-13,0.81,0.91,0.81,0.91,1300,4.55
2011-06-06,0.85,1.00,0.75,0.81,3800,4.05
2011-05-31,0.85,0.85,0.72,0.85,2700,4.25
2011-05-23,0.61,0.85,0.61,0.85,6900,4.25
2011-05-16,0.72,0.72,0.60,0.60,900,3.01
2011-05-09,0.60,0.73,0.60,0.72,1700,3.60
2011-05-02,0.80,0.80,0.66,0.66,500,3.30
2011-04-25,0.74,0.75,0.65,0.74,2400,3.70
2011-04-18,0.70,0.74,0.70,0.74,1000,3.70
2011-04-11,0.75,0.75,0.70,0.70,7600,3.51
2011-04-04,0.51,0.70,0.51,0.70,5100,3.50
2011-03-28,0.51,0.65,0.51,0.64,6200,3.20
2011-03-21,0.57,0.60,0.51,0.58,2900,2.90
2011-03-14,0.62,0.62,0.60,0.60,2000,3.00
2011-03-07,0.62,0.68,0.61,0.62,1200,3.10
2011-02-28,0.68,0.75,0.60,0.68,3100,3.40
2011-02-22,0.72,0.90,0.66,0.70,6400,3.50
2011-02-14,0.60,0.75,0.57,0.71,5300,3.55
2011-02-07,0.55,0.74,0.55,0.70,3600,3.50
2011-01-31,0.58,0.60,0.55,0.57,2100,2.85
2011-01-24,0.65,0.65,0.55,0.58,3000,2.90
2011-01-18,0.60,0.75,0.60,0.60,37900,3.00
2011-01-10,0.36,0.60,0.33,0.50,16900,2.50
2011-01-03,0.33,0.45,0.33,0.36,5500,1.80
2010-12-27,0.35,0.40,0.33,0.39,4000,1.95
2010-12-20,0.35,0.38,0.32,0.38,6500,1.90
2010-12-13,0.35,0.38,0.32,0.35,9900,1.75
2010-12-06,0.31,0.38,0.30,0.35,14200,1.75
2010-11-29,0.35,0.35,0.31,0.31,6200,1.55
2010-11-22,0.34,0.35,0.32,0.35,4200,1.75
2010-11-15,0.32,0.35,0.30,0.35,4900,1.75
