Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.87,12.09,11.87,12.09,200,12.09
2012-05-14,11.96,12.27,11.68,11.84,2700,11.84
2012-05-07,11.98,12.19,11.50,12.10,9600,12.10
2012-04-30,12.70,12.95,11.50,11.90,21100,11.90
2012-04-23,12.00,12.70,11.74,12.70,4300,12.70
2012-04-16,12.04,12.04,11.99,11.99,1100,11.95
2012-04-09,12.30,12.50,12.04,12.04,300,12.00
2012-04-02,12.38,12.65,12.38,12.39,3600,12.35
2012-03-26,11.74,12.38,11.73,12.34,3800,12.30
2012-03-19,11.50,11.74,11.50,11.70,900,11.66
2012-03-12,11.29,11.75,11.29,11.42,4700,11.38
2012-03-05,11.55,11.74,11.00,11.27,27600,11.23
2012-02-27,11.22,11.55,11.22,11.45,4600,11.41
2012-02-21,11.49,11.49,11.21,11.22,11900,11.18
2012-02-13,11.40,11.49,11.21,11.49,2900,11.45
2012-02-06,11.60,11.60,11.40,11.40,1600,11.36
2012-01-30,11.69,11.69,11.50,11.59,1600,11.55
2012-01-23,11.20,11.69,11.20,11.69,2200,11.65
2012-01-17,11.19,11.19,11.00,11.18,1400,11.10
2012-01-09,10.91,11.20,10.91,11.19,2100,11.11
2012-01-03,11.00,11.00,10.80,11.00,8000,10.93
2011-12-27,10.85,11.00,10.80,10.92,4300,10.85
2011-12-19,10.84,10.94,10.80,10.81,16400,10.74
2011-12-12,10.85,10.90,10.81,10.82,4800,10.75
2011-12-05,10.97,10.97,10.76,10.85,2400,10.78
2011-11-28,11.00,11.00,10.78,10.82,7000,10.75
2011-11-21,10.80,10.82,10.78,10.82,5400,10.75
2011-11-14,10.82,10.82,10.80,10.82,7400,10.75
2011-11-07,10.86,10.96,10.82,10.85,1700,10.78
2011-10-31,10.98,11.00,10.85,10.90,3100,10.83
2011-10-24,10.98,11.07,10.82,11.07,6800,11.00
2011-10-17,10.90,11.00,10.84,11.00,12400,10.93
2011-10-10,10.95,10.95,10.85,10.95,13900,10.88
2011-10-03,11.00,11.00,10.82,10.89,15100,10.82
2011-09-26,11.20,11.45,11.00,11.02,29400,10.95
2011-09-19,11.10,11.50,10.98,11.05,57700,10.98
2011-09-14,11.10,11.17,11.01,11.12,65000,11.05
