Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.32,16.49,15.68,15.84,41900,15.84
2012-05-14,16.35,16.60,16.31,16.39,4700,16.39
2012-05-07,16.50,16.72,15.99,16.59,9900,16.59
2012-04-30,16.45,16.75,16.03,16.50,6100,16.50
2012-04-23,16.29,16.50,15.63,16.48,8400,16.48
2012-04-16,16.45,16.45,16.25,16.38,4900,16.38
2012-04-09,16.09,16.48,15.96,16.33,3700,16.33
2012-04-02,16.10,16.30,15.89,16.29,8900,16.29
2012-03-26,16.30,16.35,15.45,16.12,6000,16.12
2012-03-19,15.91,16.50,15.65,16.25,10100,16.25
2012-03-12,15.61,15.98,15.35,15.95,5300,15.95
2012-03-05,15.29,15.76,15.02,15.56,5700,15.56
2012-02-27,15.70,15.90,15.27,15.76,6400,15.76
2012-02-21,15.12,16.01,15.06,15.50,6500,15.50
2012-02-13,15.22,15.85,15.20,15.75,19500,15.75
2012-02-06,15.01,15.70,14.90,15.18,11400,15.18
2012-01-30,14.41,15.00,14.00,15.00,21600,15.00
2012-01-23,14.50,14.71,14.15,14.42,2600,14.42
2012-01-17,14.75,14.75,14.51,14.68,2400,14.68
2012-01-09,14.55,14.75,14.18,14.75,2500,14.75
2012-01-03,14.36,14.75,14.05,14.48,16600,14.48
2011-12-27,14.07,14.40,14.01,14.25,10300,14.25
2011-12-19,13.60,14.26,13.40,14.09,12700,14.09
2011-12-12,13.54,13.74,13.40,13.59,2800,13.59
2011-12-05,13.41,13.46,13.27,13.46,9000,13.46
2011-11-28,13.34,13.46,13.18,13.45,6800,13.45
2011-11-21,13.32,13.47,13.28,13.45,9500,13.45
2011-11-14,13.25,13.63,13.12,13.42,9600,13.42
2011-11-07,13.05,13.40,13.00,13.40,8400,13.40
2011-10-31,13.25,13.37,13.01,13.20,8600,13.20
2011-10-24,13.15,13.40,13.00,13.24,12300,13.24
2011-10-17,12.84,13.19,12.74,13.14,11300,13.14
2011-10-10,13.08,13.24,12.50,12.85,5200,12.85
2011-10-03,12.83,13.10,12.50,12.85,15100,12.85
2011-09-26,13.10,13.42,12.70,12.83,5600,12.83
2011-09-19,13.60,14.00,13.09,13.15,7500,13.15
2011-09-12,13.55,13.98,13.55,13.77,2200,13.77
2011-09-06,13.79,14.00,13.52,13.55,3600,13.55
2011-08-29,13.84,14.10,13.55,14.00,18200,14.00
2011-08-22,13.93,13.93,13.50,13.90,17300,13.90
2011-08-15,13.80,14.00,13.76,13.84,6600,13.84
2011-08-08,13.84,14.05,13.60,13.93,20800,13.93
2011-08-01,14.29,14.40,13.75,14.00,43300,14.00
2011-07-25,14.18,14.35,14.05,14.25,23700,14.25
2011-07-18,14.10,14.39,14.09,14.31,4400,14.31
2011-07-11,14.10,14.18,14.00,14.14,11200,14.14
2011-07-05,14.16,14.23,13.75,14.07,4900,14.07
2011-06-27,14.04,14.20,14.04,14.20,3100,14.20
2011-06-20,14.05,14.14,13.80,13.95,7500,13.95
2011-06-13,14.00,14.10,13.89,14.03,5400,14.03
2011-06-06,13.92,14.00,13.85,13.96,3000,13.96
2011-05-31,13.93,13.99,13.90,13.90,3400,13.90
2011-05-23,13.90,14.00,13.80,13.85,5000,13.85
2011-05-16,14.04,14.20,13.80,13.90,7800,13.90
2011-05-09,14.00,14.25,13.83,14.24,9400,14.24
2011-05-02,13.81,13.99,13.68,13.99,2200,13.99
2011-04-25,14.06,14.06,13.56,13.81,16800,13.81
2011-04-18,14.01,14.08,13.98,14.00,3700,14.00
2011-04-11,14.07,14.10,13.99,14.02,5800,14.02
2011-04-04,14.19,14.32,14.02,14.12,3100,14.12
2011-03-28,13.72,14.21,13.70,14.13,13900,14.13
2011-03-21,13.66,13.79,13.56,13.69,13000,13.69
2011-03-14,14.04,14.04,13.60,13.70,27700,13.70
2011-03-07,13.86,14.14,13.81,14.05,9600,14.05
2011-02-28,13.89,14.04,13.70,13.86,18800,13.86
2011-02-22,13.81,14.27,13.80,13.92,14000,13.92
2011-02-14,14.20,14.31,13.80,13.92,20000,13.92
2011-02-07,14.17,14.34,13.80,13.97,24400,13.97
2011-01-31,14.39,14.46,13.90,14.00,19200,14.00
2011-01-24,14.17,14.37,14.03,14.37,19900,14.37
2011-01-18,14.00,14.91,13.90,14.00,48600,14.00
2011-01-10,13.32,13.95,12.81,13.80,25600,13.80
2011-01-03,13.03,13.33,12.90,12.90,14600,12.90
2010-12-27,13.15,13.48,12.78,13.01,9700,13.01
2010-12-20,12.85,13.12,12.85,13.05,7300,13.05
2010-12-13,12.77,12.90,12.59,12.90,6100,12.90
2010-12-06,12.29,12.84,12.00,12.84,22800,12.84
2010-11-29,11.94,12.48,11.90,12.27,16400,12.27
2010-11-22,11.50,11.99,11.40,11.94,41600,11.94
2010-11-15,11.49,11.80,11.40,11.59,46900,11.59
2010-11-08,11.00,11.39,10.92,11.25,9200,11.25
2010-11-01,10.86,11.19,10.76,11.05,32100,11.05
2010-10-25,10.85,10.96,10.63,10.93,16200,10.93
2010-10-18,10.65,10.86,10.65,10.85,17500,10.85
2010-10-11,10.80,10.83,10.66,10.68,10200,10.68
2010-10-04,10.60,10.76,10.60,10.75,23200,10.75
2010-09-27,10.71,10.80,10.55,10.55,32600,10.55
2010-09-20,10.60,10.72,10.60,10.65,13600,10.65
2010-09-13,10.58,10.62,10.53,10.62,23900,10.62
2010-09-07,10.50,10.57,10.48,10.55,14800,10.55
2010-08-30,10.24,10.55,10.24,10.50,42700,10.50
2010-08-23,10.34,10.34,10.12,10.31,41700,10.31
2010-08-16,10.40,10.41,10.31,10.37,26700,10.37
2010-08-09,10.42,10.45,10.33,10.40,45400,10.40
2010-08-02,10.45,10.49,10.33,10.42,57100,10.42
2010-07-26,10.48,10.50,10.41,10.45,37600,10.45
2010-07-19,10.58,10.63,10.46,10.50,47800,10.50
2010-07-12,10.69,10.85,10.56,10.56,122400,10.56
2010-07-06,10.00,10.70,10.00,10.68,389400,10.68
