Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.37,20.94,19.37,20.09,324600,20.09
2012-05-14,21.71,21.71,19.05,19.39,561500,19.39
2012-05-07,23.26,23.30,21.79,21.96,200200,21.96
2012-04-30,23.47,23.85,22.71,23.27,359900,22.68
2012-04-23,22.54,23.72,22.54,23.30,195800,22.71
2012-04-16,22.38,23.25,22.29,23.03,175000,22.44
2012-04-09,22.25,22.47,21.10,22.26,379400,21.69
2012-04-02,23.44,23.57,22.28,22.50,271300,21.93
2012-03-26,22.93,23.50,22.53,23.31,326400,22.71
2012-03-19,23.69,23.71,21.76,22.70,559900,22.12
2012-03-12,24.86,25.00,23.54,23.72,614500,23.11
2012-03-05,24.83,25.10,24.01,24.68,407200,24.05
2012-02-27,23.87,24.90,23.66,24.74,359300,24.11
2012-02-21,24.07,24.95,23.35,23.77,562000,23.16
2012-02-13,23.56,24.00,22.51,23.65,424400,23.05
2012-02-06,23.09,24.20,23.00,23.27,568800,22.68
2012-01-30,22.82,23.60,22.58,22.98,311600,21.87
2012-01-23,22.10,23.19,21.96,22.73,316200,21.63
2012-01-17,22.25,23.00,21.70,21.88,386100,20.82
2012-01-09,22.21,23.22,21.25,22.05,422500,20.98
2012-01-03,22.75,22.75,21.84,22.21,324700,21.13
2011-12-27,21.75,22.85,21.32,22.75,219900,21.65
2011-12-19,19.67,21.87,19.41,21.76,291800,20.70
2011-12-12,19.46,20.41,19.20,19.55,225800,18.60
2011-12-05,19.38,19.60,18.86,19.54,251000,18.59
2011-11-28,19.15,19.56,18.82,19.18,277500,18.25
2011-11-21,19.17,19.35,18.70,18.88,157900,17.96
2011-11-14,18.20,19.50,17.95,19.21,390500,18.28
2011-11-07,19.70,19.72,17.70,18.11,503600,17.23
2011-10-31,19.49,20.09,19.12,19.60,447900,17.93
2011-10-24,18.62,19.80,18.50,19.59,482400,17.92
2011-10-17,17.99,18.75,17.80,18.58,304400,17.00
2011-10-10,17.61,18.16,17.14,17.97,303600,16.44
2011-10-03,16.69,17.62,14.88,16.99,571600,15.54
2011-09-26,18.13,18.30,16.43,16.85,563300,15.42
2011-09-19,18.72,19.36,17.87,18.04,544900,16.50
2011-09-12,18.25,19.12,18.19,18.99,378900,17.37
2011-09-06,18.26,18.70,18.16,18.52,268700,16.94
2011-08-29,18.45,19.10,18.11,18.57,424900,16.99
2011-08-22,18.49,18.68,17.65,18.35,416100,16.79
2011-08-15,18.21,19.07,18.08,18.16,1201800,16.61
2011-08-11,18.00,18.41,17.56,18.02,7100000,16.49
