Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,81.12,83.99,81.12,83.61,1632900,83.61
2012-05-14,85.50,86.07,80.01,80.61,1861700,80.61
2012-05-07,84.71,87.99,82.81,86.85,2143400,86.85
2012-04-30,89.00,89.00,84.27,85.14,1490500,84.73
2012-04-23,81.17,89.45,80.44,88.99,2620200,88.56
2012-04-16,82.50,83.97,80.95,82.79,931600,82.39
2012-04-09,81.90,84.08,80.99,82.03,1217600,81.63
2012-04-02,84.52,86.34,82.96,83.10,1122900,82.70
2012-03-26,86.30,87.31,83.72,84.55,1143400,84.14
2012-03-19,90.00,90.18,83.70,85.63,1110500,85.22
2012-03-12,88.20,91.00,87.97,90.15,1096200,89.71
2012-03-05,88.47,89.20,85.30,88.22,1128700,87.79
2012-02-27,88.67,91.47,88.36,88.54,1204400,88.11
2012-02-21,88.64,91.00,88.64,89.63,1421100,89.20
2012-02-13,88.52,90.37,87.22,88.57,1599400,88.14
2012-02-06,85.15,88.53,85.15,87.51,1664800,87.09
2012-01-30,80.71,85.80,79.88,85.72,1450600,84.93
2012-01-23,81.25,82.71,80.31,81.50,1476600,80.75
2012-01-17,83.48,86.60,80.49,81.52,2716500,80.76
2012-01-09,77.93,83.20,77.18,82.44,1178400,81.68
2012-01-03,78.31,79.76,76.92,77.64,2184100,76.92
2011-12-27,77.01,78.55,75.90,76.25,793700,75.54
2011-12-19,75.53,77.47,73.62,77.42,944200,76.70
2011-12-12,80.24,81.00,74.79,75.02,1494800,74.33
2011-12-05,83.88,84.62,79.25,81.02,2041100,80.27
2011-11-28,77.41,84.61,77.41,82.11,2052200,81.35
2011-11-21,79.77,79.90,74.96,74.98,1296400,74.29
2011-11-14,83.57,85.84,80.35,81.09,1559100,80.34
2011-11-07,84.22,84.93,79.54,84.22,2059800,83.44
2011-10-31,82.06,84.84,75.68,84.55,2516800,83.39
2011-10-24,77.85,85.20,76.83,83.89,2531800,82.74
2011-10-17,74.99,79.50,71.67,77.85,3373200,76.78
2011-10-10,67.53,73.95,67.51,73.61,1814500,72.60
2011-10-03,62.67,67.48,59.26,66.01,2100700,65.11
2011-09-26,62.75,67.69,60.36,63.13,2412200,62.27
2011-09-19,68.60,69.97,60.81,62.32,1751000,61.47
2011-09-12,65.48,71.77,64.29,70.07,2377900,69.11
2011-09-06,67.79,70.74,65.63,66.38,2886800,65.47
2011-08-29,69.38,74.87,69.00,69.41,2355400,68.46
2011-08-22,65.73,68.56,63.19,67.70,2201400,66.77
2011-08-15,70.31,71.21,63.92,64.03,3107300,62.81
2011-08-08,65.88,69.82,62.03,69.58,4683100,68.25
2011-08-01,80.50,80.64,65.40,67.60,4550100,66.31
2011-07-25,86.39,88.72,77.24,79.02,2362300,77.51
2011-07-18,87.19,89.23,85.40,87.45,1096200,85.78
2011-07-11,87.83,88.09,84.85,87.46,1489000,85.79
2011-07-05,91.68,91.80,88.37,89.27,1304700,87.57
2011-06-27,84.34,92.01,83.65,91.58,1663200,89.83
2011-06-20,85.09,87.77,84.42,85.04,2366300,83.42
2011-06-13,86.53,89.10,85.00,85.32,1784700,83.69
2011-06-06,85.79,88.32,85.61,85.83,1860800,84.19
2011-05-31,90.14,90.60,85.20,86.29,2256800,84.65
2011-05-23,85.14,89.93,83.83,89.38,1879300,87.68
2011-05-16,86.84,88.32,84.95,86.44,1925300,84.79
2011-05-09,88.65,90.34,86.34,87.50,1856100,85.83
2011-05-02,94.79,95.25,88.26,88.90,2315100,87.21
2011-04-25,97.00,99.40,92.15,94.32,2295600,92.14
2011-04-18,92.06,96.73,91.10,96.56,1007700,94.33
2011-04-11,95.37,96.15,92.18,93.59,1166400,91.42
2011-04-04,96.44,97.81,94.86,95.31,1264600,93.11
2011-03-28,93.04,95.94,92.61,95.91,1257600,93.69
2011-03-21,90.09,93.66,89.41,92.96,1572800,90.81
2011-03-14,85.00,89.95,83.11,88.71,2114600,86.66
2011-03-07,87.56,87.60,82.80,85.39,2218200,83.41
2011-02-28,89.17,89.75,85.56,87.33,1788700,85.31
2011-02-22,91.30,91.31,85.93,88.55,1525900,86.50
2011-02-14,93.17,93.38,90.58,91.88,918700,89.75
2011-02-07,91.10,93.60,90.46,93.56,846600,91.40
2011-01-31,87.60,91.01,87.25,91.01,1203700,88.59
2011-01-24,86.03,90.12,85.40,87.19,1323400,84.88
2011-01-18,89.59,93.15,85.23,86.00,2903400,83.72
2011-01-10,87.45,90.00,85.91,89.65,1409100,87.27
2011-01-03,86.76,88.29,85.71,86.05,1398800,83.77
2010-12-27,85.07,86.80,84.85,86.30,585600,84.01
2010-12-20,85.03,86.30,84.48,85.30,800700,83.04
2010-12-13,86.66,87.36,84.81,84.82,1140000,82.57
2010-12-06,83.78,86.35,83.69,86.14,847400,83.85
2010-11-29,81.00,84.52,79.02,84.22,1257400,81.98
2010-11-22,80.50,82.30,79.00,81.46,782000,79.30
2010-11-15,80.08,81.28,76.27,81.18,1214200,79.03
2010-11-08,81.04,81.31,78.80,79.39,1037600,77.28
2010-11-01,77.31,81.81,76.63,81.68,1535300,79.23
2010-10-25,76.87,77.95,74.79,76.55,1452300,74.25
2010-10-18,71.21,78.71,71.11,76.31,2783200,74.02
2010-10-11,70.65,72.41,69.36,71.03,1158600,68.90
2010-10-04,69.98,71.65,67.52,71.18,1563900,69.04
2010-09-27,69.68,72.12,68.57,70.41,1446400,68.30
2010-09-20,68.77,70.30,67.55,69.88,1400000,67.78
2010-09-13,66.10,68.83,65.96,68.53,1405000,66.47
2010-09-07,64.29,66.03,64.01,65.05,979600,63.10
