Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.40,12.52,12.37,12.46,70700,12.46
2012-05-14,13.15,13.17,12.39,12.40,97400,12.40
2012-05-07,12.95,13.34,12.86,13.23,89300,13.15
2012-04-30,13.17,13.28,12.97,13.03,89300,12.95
2012-04-23,12.91,13.28,12.90,13.22,96100,13.14
2012-04-16,13.06,13.07,12.84,12.91,74000,12.84
2012-04-09,12.85,13.10,12.80,12.93,76700,12.85
2012-04-02,12.97,13.05,12.91,13.02,86300,12.87
2012-03-26,12.75,12.96,12.71,12.96,68600,12.81
2012-03-19,12.58,12.69,12.54,12.69,75200,12.54
2012-03-12,12.61,12.69,12.51,12.55,78600,12.41
2012-03-05,12.81,12.82,12.37,12.67,210500,12.45
2012-02-27,13.18,13.34,12.84,12.89,222900,12.67
2012-02-21,12.98,13.26,12.94,13.21,193800,12.98
2012-02-13,13.10,13.11,12.82,12.98,111200,12.75
2012-02-06,12.84,13.10,12.83,13.08,153500,12.77
2012-01-30,13.23,13.23,12.82,12.88,161900,12.57
2012-01-23,12.71,13.11,12.60,13.10,229800,12.79
2012-01-17,12.32,12.73,12.24,12.68,95000,12.38
2012-01-09,12.48,12.55,12.05,12.32,127700,12.03
2012-01-03,12.83,12.83,12.29,12.54,70000,12.24
2011-12-27,12.58,12.70,12.39,12.47,65300,12.17
2011-12-19,12.47,12.92,12.32,12.68,86500,12.30
2011-12-12,12.63,12.77,12.16,12.36,80700,11.98
2011-12-05,12.72,13.02,12.46,12.62,103000,12.24
2011-11-28,12.08,12.80,12.00,12.68,94300,12.21
2011-11-21,12.19,12.20,11.94,11.96,76900,11.52
2011-11-14,12.48,12.49,12.08,12.26,93400,11.81
2011-11-07,12.51,12.62,12.18,12.43,85800,11.97
2011-10-31,12.92,12.97,12.22,12.53,98200,11.98
2011-10-24,12.28,13.00,12.25,12.96,92900,12.40
2011-10-17,12.40,12.46,11.99,12.30,77600,11.76
2011-10-10,11.82,12.50,11.72,12.41,83300,11.87
2011-10-03,11.67,11.98,11.22,11.64,116000,11.05
2011-09-26,11.51,11.90,11.45,11.88,78800,11.28
2011-09-19,11.87,12.09,11.44,11.51,121100,10.93
2011-09-12,11.96,12.05,11.66,11.90,108900,11.30
2011-09-06,12.04,12.28,11.90,12.02,59100,11.33
2011-08-29,11.95,12.34,11.88,12.19,84400,11.49
2011-08-22,11.69,11.91,11.28,11.89,108300,11.21
2011-08-15,11.85,12.30,11.50,11.61,148500,10.95
2011-08-08,12.06,12.32,11.43,11.82,254700,11.15
2011-08-01,13.39,13.61,12.05,12.77,179300,11.95
2011-07-25,13.33,13.37,12.34,13.02,274300,12.19
2011-07-18,13.56,13.63,13.23,13.39,71700,12.53
2011-07-11,14.00,14.02,13.43,13.49,53400,12.63
2011-07-05,13.88,14.09,13.76,14.03,53000,13.06
2011-06-27,13.74,14.04,13.42,13.95,51700,12.98
2011-06-20,13.75,13.84,13.39,13.70,65900,12.75
2011-06-13,13.90,14.13,13.66,13.70,65000,12.75
2011-06-06,14.12,14.14,13.90,13.91,60200,12.87
2011-05-31,14.20,14.42,14.11,14.12,52300,13.06
2011-05-23,14.14,14.35,14.13,14.17,62400,13.11
2011-05-16,14.12,14.54,14.02,14.20,77400,13.14
2011-05-09,13.93,14.21,13.88,14.14,91400,13.08
2011-05-02,13.87,13.95,13.78,13.95,78000,12.84
2011-04-25,14.14,14.14,13.79,13.81,90300,12.71
2011-04-18,13.73,14.20,13.59,14.13,83200,13.00
2011-04-11,13.62,13.88,13.49,13.78,58200,12.68
2011-04-04,13.44,13.64,13.34,13.62,55200,12.47
2011-03-28,13.50,13.51,13.30,13.43,60800,12.29
2011-03-21,13.23,13.49,13.12,13.47,71300,12.33
2011-03-14,13.35,13.39,12.99,13.19,57900,12.07
2011-03-07,13.45,13.46,13.24,13.33,66600,12.20
2011-02-28,13.48,13.54,13.34,13.43,84000,12.22
2011-02-22,13.38,13.45,13.25,13.45,72600,12.24
2011-02-14,13.51,13.56,13.36,13.44,85800,12.23
2011-02-07,13.39,13.69,13.23,13.51,86700,12.30
2011-01-31,13.60,13.84,13.34,13.44,105600,12.17
2011-01-24,13.52,13.78,13.40,13.52,131500,12.24
2011-01-18,13.09,13.45,12.84,13.44,78000,12.17
2011-01-10,12.97,13.41,12.90,13.05,93500,11.81
2011-01-03,13.00,13.10,12.87,13.08,56800,11.84
2010-12-27,13.25,13.38,12.75,12.89,89800,11.67
2010-12-20,13.44,13.44,12.84,13.18,106700,11.87
2010-12-13,13.07,13.50,12.53,13.50,107600,12.15
2010-12-06,13.07,13.29,12.91,13.03,100300,11.73
2010-11-29,13.20,13.45,12.92,13.05,107300,11.68
2010-11-22,13.13,13.30,13.02,13.17,108500,11.79
2010-11-15,13.07,13.12,12.50,13.12,89100,11.75
2010-11-08,13.12,13.29,12.73,12.86,298600,11.51
2010-11-01,12.57,13.22,12.50,13.16,167700,11.72
2010-10-25,12.56,12.72,12.45,12.49,125200,11.12
2010-10-18,12.67,12.76,12.43,12.55,215000,11.17
2010-10-11,12.31,12.98,12.29,12.79,199900,11.39
