Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,23.30,24.26,22.75,22.75,600,22.75
2012-05-14,23.46,23.82,22.66,23.30,1900,23.30
2012-05-07,22.21,23.82,21.99,23.78,2400,23.78
2012-04-30,24.58,24.75,22.78,23.01,500,23.01
2012-04-23,23.58,24.60,22.90,24.58,1200,24.58
2012-04-16,22.50,24.00,21.80,23.58,400,23.58
2012-04-09,21.87,23.05,21.51,22.50,1300,22.50
2012-04-02,22.13,23.20,21.71,22.67,4200,22.67
2012-03-26,21.75,23.22,21.75,22.36,1900,22.36
2012-03-19,22.15,23.10,21.09,21.66,2100,21.66
2012-03-12,21.42,23.33,21.42,22.11,500,22.11
2012-03-05,21.84,21.98,20.85,21.42,200,21.42
2012-02-27,22.91,23.09,21.35,21.97,3100,21.97
2012-02-21,24.47,24.91,22.80,22.80,600,22.80
2012-02-13,23.71,23.71,21.72,23.50,500,23.50
2012-02-06,24.19,24.62,23.67,23.71,1600,23.71
2012-01-30,23.49,24.50,23.49,24.25,4500,24.25
2012-01-23,23.56,23.56,23.43,23.50,900,23.50
2012-01-17,22.98,23.59,22.98,23.52,1800,23.52
2012-01-09,22.29,24.30,21.69,22.89,2900,22.89
2012-01-03,23.88,23.89,22.14,22.14,1600,22.14
2011-12-27,22.76,23.32,22.76,23.32,1500,23.32
2011-12-19,21.78,22.97,21.65,22.76,1000,22.76
2011-12-12,22.00,22.00,19.09,21.85,800,21.85
2011-12-05,22.50,22.75,21.50,22.00,400,22.00
2011-11-28,20.50,22.40,20.50,22.40,1700,22.40
2011-11-21,20.57,20.74,20.20,20.20,300,20.20
2011-11-14,19.37,20.78,19.10,20.57,500,20.57
2011-11-07,20.19,20.23,18.96,19.50,500,19.50
2011-10-31,23.00,23.00,20.00,20.42,600,20.42
2011-10-24,21.40,23.25,21.40,23.00,2100,23.00
2011-10-17,22.53,22.53,20.65,21.14,500,21.14
2011-10-10,19.47,22.99,19.47,22.99,500,22.99
2011-10-03,17.97,19.51,16.95,19.51,1200,19.51
2011-09-26,20.45,20.48,18.56,19.44,700,19.44
2011-09-19,22.50,22.50,20.10,20.10,400,20.10
2011-09-12,20.64,22.50,20.64,22.50,300,22.50
2011-09-06,20.65,22.25,19.90,20.64,700,20.64
2011-08-29,22.25,26.36,21.94,21.94,800,21.94
2011-08-22,20.59,22.50,19.79,21.64,800,21.64
2011-08-15,20.29,20.83,19.65,20.00,900,20.00
2011-08-08,19.00,19.80,17.31,19.52,1700,19.52
2011-08-01,20.24,21.20,19.15,20.09,800,20.09
2011-07-25,22.20,22.80,22.02,22.02,600,22.02
2011-07-18,22.22,22.80,21.99,22.65,1800,22.65
2011-07-11,22.52,23.15,21.89,22.22,300,22.22
2011-07-05,22.25,23.04,21.95,23.04,1100,23.04
2011-06-27,20.52,22.25,19.60,22.25,700,22.25
2011-06-20,21.38,21.85,20.05,20.05,2200,20.05
2011-06-13,19.74,21.59,19.74,21.59,1300,21.59
2011-06-06,20.29,20.60,19.46,20.32,700,20.32
2011-05-31,21.09,21.10,19.48,20.60,500,20.60
2011-05-23,18.86,20.55,18.86,20.55,800,20.55
2011-05-16,19.38,20.18,19.01,20.18,200,20.18
2011-05-09,20.26,21.10,19.76,20.58,500,20.58
2011-05-02,21.75,21.75,19.51,20.23,400,20.23
2011-04-25,22.53,22.89,21.56,21.85,500,21.85
2011-04-18,22.47,23.10,22.47,22.66,300,22.66
2011-04-11,23.08,23.40,22.00,22.47,500,22.47
2011-04-04,23.03,23.50,22.96,23.45,2400,23.45
2011-03-28,23.35,23.35,22.33,23.00,2500,23.00
2011-03-21,23.00,23.43,22.82,23.35,1900,23.35
2011-03-14,21.91,23.25,20.48,23.00,2700,23.00
2011-03-07,22.09,22.50,21.00,21.81,200,21.81
2011-02-28,23.00,23.10,21.10,21.10,1500,21.10
2011-02-22,23.00,23.00,20.83,23.00,3200,23.00
2011-02-14,21.81,23.00,21.81,23.00,800,23.00
2011-02-07,21.97,22.93,21.71,21.80,1200,21.80
2011-01-31,23.00,23.00,21.26,21.97,2100,21.97
2011-01-24,21.28,23.55,21.28,22.60,1600,22.60
2011-01-18,20.95,21.80,19.86,21.28,900,21.28
2011-01-10,21.50,23.45,20.88,21.87,1800,21.87
2011-01-03,21.10,21.98,20.06,21.50,3300,21.50
2010-12-27,21.35,21.48,20.35,21.13,1800,21.13
2010-12-20,21.27,22.32,20.87,21.50,7300,21.50
2010-12-13,18.50,21.30,18.50,21.30,4500,21.30
2010-12-06,16.59,19.34,16.50,19.10,83000,19.10
2010-11-29,16.54,17.71,16.50,16.69,2800,16.69
2010-11-22,17.04,17.04,16.20,16.54,000,16.54
2010-11-15,17.25,18.21,16.27,17.04,7300,17.04
2010-11-08,18.19,18.34,17.25,17.25,300,17.25
2010-11-01,16.96,18.94,16.93,18.19,1400,18.19
2010-10-25,16.98,17.22,16.82,16.82,700,16.82
2010-10-18,16.06,18.38,15.46,16.50,6100,16.50
2010-10-11,15.39,16.21,15.17,15.75,1100,15.75
2010-10-04,15.81,16.24,14.54,15.35,4800,15.35
2010-09-27,15.70,16.24,15.52,15.60,1500,15.60
2010-09-20,15.68,16.00,15.68,15.70,300,15.70
2010-09-13,14.51,16.00,14.51,16.00,1300,16.00
2010-09-07,15.67,15.67,14.01,14.50,1100,14.50
2010-08-30,15.46,15.98,15.25,15.74,3200,15.74
2010-08-23,14.42,16.00,14.32,15.42,2100,15.42
2010-08-16,14.95,15.68,14.35,14.35,900,14.35
2010-08-09,16.47,16.81,14.31,15.23,3000,15.23
2010-08-02,16.50,17.55,15.92,16.38,3500,16.38
2010-07-26,15.94,16.99,15.94,16.89,800,16.89
2010-07-19,14.82,16.06,14.32,15.90,1100,15.90
2010-07-12,13.60,15.65,13.60,14.86,1100,14.86
2010-07-06,14.01,14.10,13.15,13.25,2800,13.25
2010-06-28,15.90,16.31,14.00,14.00,600,14.00
2010-06-21,15.77,16.31,15.45,16.07,900,16.07
2010-06-14,15.98,16.74,15.30,15.91,600,15.91
2010-06-07,15.78,15.78,14.70,15.60,700,15.60
2010-06-01,18.03,18.03,15.95,15.95,2400,15.95
2010-05-24,17.84,18.31,17.30,18.03,1500,18.03
2010-05-17,20.12,21.34,17.99,17.99,1100,17.99
2010-05-10,19.37,20.40,19.00,19.50,3600,19.50
2010-05-03,21.49,21.49,18.73,19.10,3300,19.10
2010-04-26,21.30,22.92,20.80,21.07,1100,21.07
2010-04-19,21.45,21.92,20.46,21.28,10700,21.28
2010-04-12,22.33,22.33,20.92,21.45,100,21.45
2010-04-05,22.49,22.78,22.11,22.11,400,22.11
2010-03-29,20.14,22.18,20.10,21.58,500,21.58
2010-03-22,20.82,20.82,20.00,20.10,200,20.10
2010-03-15,21.94,21.94,20.38,20.51,300,20.51
2010-03-08,22.75,24.10,21.15,21.94,1600,21.94
2010-03-01,20.64,22.75,20.21,22.75,2100,22.75
2010-02-22,20.00,21.39,19.20,21.39,500,21.39
2010-02-16,19.35,20.30,19.04,20.30,500,20.30
2010-02-08,19.80,19.80,17.33,19.10,1700,19.10
2010-02-01,19.78,19.92,18.47,19.92,100,19.92
2010-01-25,18.58,20.38,18.58,19.78,700,19.78
2010-01-19,19.15,19.35,18.80,19.09,500,19.09
2010-01-11,20.40,20.40,19.15,19.15,200,19.15
2010-01-04,21.79,21.79,20.34,20.40,400,20.40
2009-12-28,18.61,21.34,18.61,21.14,1100,21.14
2009-12-21,18.67,19.24,17.17,19.24,1500,19.24
2009-12-14,19.00,19.40,17.79,18.08,1900,18.08
2009-12-07,19.72,20.56,18.37,19.29,700,19.29
2009-11-30,18.25,20.07,17.38,19.90,1700,19.90
2009-11-23,19.85,19.92,18.32,18.32,400,18.32
2009-11-16,19.10,21.10,18.23,18.61,5200,18.61
2009-11-09,19.62,20.36,18.10,19.43,3200,19.43
2009-11-02,18.51,19.64,17.40,18.94,15300,18.94
2009-10-26,19.95,20.25,18.10,18.10,5400,18.10
2009-10-19,21.20,21.23,18.85,19.39,5200,19.39
2009-10-12,20.15,21.50,19.41,20.50,8200,20.50
2009-10-05,20.99,21.57,20.09,20.61,3400,20.61
2009-09-28,21.43,22.48,20.30,21.07,1600,21.07
2009-09-21,20.27,22.00,20.25,21.38,2600,21.38
2009-09-14,20.44,21.12,20.27,20.27,500,20.27
2009-09-08,20.76,20.98,18.74,20.44,5800,20.44
2009-08-31,21.52,22.20,20.69,20.76,200,20.76
2009-08-24,20.27,21.71,19.55,21.38,9100,21.38
2009-08-17,21.16,21.16,19.00,20.27,2100,20.27
2009-08-10,19.02,21.76,19.01,19.59,5800,19.59
2009-08-03,19.80,21.10,18.09,19.30,2400,19.30
2009-07-27,21.42,21.80,19.08,20.40,15700,20.40
2009-07-20,18.70,19.90,18.15,19.90,2000,19.90
2009-07-13,18.20,19.20,17.08,18.36,2200,18.36
2009-07-06,18.09,18.52,16.80,17.58,2100,17.58
2009-06-29,17.62,19.90,17.00,17.87,1900,17.87
2009-06-22,19.38,19.50,16.68,17.62,1200,17.62
2009-06-15,18.16,19.62,17.00,19.54,4100,19.54
2009-06-08,19.42,20.21,15.21,18.12,4100,18.12
2009-06-01,15.92,21.43,15.90,19.81,2400,19.81
2009-05-26,13.81,15.77,13.81,15.77,1200,15.77
2009-05-18,12.64,14.91,12.63,13.85,4600,13.85
2009-05-11,13.81,14.75,12.01,12.92,4400,12.92
2009-05-04,13.42,13.90,13.19,13.90,1800,13.90
2009-04-27,13.02,13.65,12.27,13.45,3600,13.45
2009-04-20,12.85,13.70,11.88,12.88,7200,12.88
2009-04-13,12.75,13.89,12.10,12.73,2500,12.73
2009-04-06,12.99,13.79,11.71,12.88,2900,12.88
2009-03-30,13.90,13.90,10.99,12.11,3400,12.11
2009-03-23,14.05,14.15,12.29,13.90,1100,13.90
2009-03-16,12.99,14.05,12.93,14.05,500,14.05
2009-03-09,13.03,13.03,10.90,13.00,200,13.00
2009-03-02,11.50,13.03,11.47,13.03,400,13.03
2009-02-23,14.85,14.85,11.10,11.46,1000,11.46
2009-02-17,15.80,16.24,13.68,13.69,2600,13.69
2009-02-09,16.00,17.10,14.51,15.80,3500,15.80
2009-02-02,15.75,16.00,15.00,16.00,600,16.00
2009-01-26,17.00,17.60,14.51,15.75,3900,15.75
2009-01-20,16.55,18.88,14.57,17.00,600,17.00
2009-01-12,15.75,15.80,13.11,14.34,800,14.34
2009-01-05,16.00,16.30,14.00,16.30,100,16.30
2008-12-29,13.50,16.50,13.00,16.00,400,16.00
2008-12-22,15.00,15.00,13.00,13.30,200,13.30
2008-12-15,14.50,15.00,13.50,13.50,300,13.50
2008-12-08,15.29,15.80,14.90,14.90,100,14.90
2008-12-01,13.32,15.00,12.51,15.00,400,15.00
2008-11-24,13.10,15.80,12.20,15.00,200,15.00
2008-11-17,16.01,16.40,13.47,13.79,1400,13.79
2008-11-10,19.63,20.88,16.98,20.87,700,20.87
2008-11-03,23.30,26.92,19.63,19.63,400,19.63
2008-10-27,24.95,24.95,16.12,23.30,600,23.30
2008-10-20,27.00,32.95,17.44,24.95,600,24.95
2008-10-13,26.00,32.76,24.00,27.00,1600,27.00
2008-10-06,33.00,35.77,22.10,22.10,700,22.10
2008-09-29,41.00,41.00,34.00,35.70,900,35.70
2008-09-22,40.00,40.00,39.50,39.50,100,39.50
2008-09-15,41.90,41.90,36.00,41.00,200,41.00
2008-09-08,40.27,41.90,39.00,41.90,200,41.90
2008-09-02,40.00,41.00,39.99,40.00,200,40.00
2008-08-25,39.62,41.00,39.62,40.00,100,40.00
2008-08-18,40.00,42.78,40.00,40.40,100,40.40
2008-08-11,40.00,41.60,37.90,40.00,600,40.00
2008-08-04,40.50,40.50,40.00,40.00,200,40.00
