Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.08,15.21,14.64,14.97,208700,14.97
2012-05-14,17.98,18.06,14.70,15.04,686100,15.04
2012-05-07,16.74,19.18,16.61,18.18,221900,18.18
2012-04-30,15.11,16.65,15.00,16.47,149100,16.47
2012-04-23,14.57,15.10,13.56,14.78,187800,14.78
2012-04-16,12.98,15.11,12.96,14.40,92300,14.40
2012-04-09,12.82,13.14,12.66,12.98,17100,12.98
2012-04-02,12.80,13.34,12.76,13.00,116900,13.00
2012-03-26,12.29,13.00,12.28,12.95,54700,12.95
2012-03-19,12.65,12.72,11.74,12.29,45600,12.29
2012-03-12,13.40,13.50,12.26,12.73,41900,12.73
2012-03-05,10.94,13.30,10.85,13.07,48900,13.07
2012-02-27,12.81,13.10,10.52,10.83,43300,10.83
2012-02-21,12.91,13.10,12.81,12.89,33500,12.89
2012-02-13,13.35,14.00,12.81,13.12,14300,13.12
2012-02-06,13.03,14.00,12.83,13.19,11200,13.19
2012-01-30,13.63,13.87,13.12,13.35,4000,13.35
2012-01-23,13.87,13.91,12.44,13.62,39400,13.62
2012-01-17,13.95,14.88,13.50,13.84,14000,13.84
2012-01-09,14.44,14.45,13.52,14.00,10400,14.00
2012-01-03,13.31,14.55,13.31,14.48,10200,14.48
2011-12-27,15.02,15.02,12.90,12.90,19900,12.90
2011-12-19,16.19,16.59,15.00,15.01,5400,15.01
2011-12-12,15.49,16.81,15.30,16.33,5800,16.33
2011-12-05,15.51,15.75,13.98,15.49,1300,15.49
2011-11-28,15.00,15.74,13.80,15.49,8500,15.49
2011-11-21,12.62,15.00,12.62,14.83,8400,14.83
2011-11-14,13.10,13.10,11.82,12.79,2200,12.79
2011-11-07,13.35,14.51,9.38,13.05,5600,13.05
2011-10-31,13.77,13.77,13.12,13.50,4900,13.50
2011-10-24,13.50,14.51,13.45,13.64,10600,13.64
2011-10-17,13.50,14.30,13.18,13.18,4800,13.18
2011-10-10,12.38,13.95,12.30,13.31,3100,13.31
2011-10-03,11.79,12.38,10.84,12.38,3600,12.38
2011-09-26,13.32,13.50,12.31,12.48,4800,12.48
2011-09-19,13.83,14.05,12.12,13.50,1700,13.50
2011-09-12,13.73,14.09,13.70,14.02,1300,14.02
2011-09-06,13.93,14.09,13.85,13.95,4100,13.95
2011-08-29,13.10,14.29,13.10,14.09,4200,14.09
2011-08-22,13.55,13.75,13.00,13.10,1600,13.10
2011-08-15,11.23,14.00,11.23,13.28,5200,13.28
2011-08-08,12.86,12.87,10.05,11.45,4400,11.45
2011-08-01,13.53,13.81,12.00,12.97,6100,12.97
2011-07-25,13.62,14.00,13.35,13.45,4500,13.45
2011-07-18,13.83,14.22,13.26,13.68,4700,13.68
2011-07-11,13.87,14.30,11.32,13.55,18100,13.55
2011-07-05,12.11,14.38,12.10,13.80,23500,13.80
2011-06-27,11.18,12.00,11.12,12.00,9500,12.00
2011-06-20,10.00,11.11,9.76,10.40,11900,10.40
2011-06-13,9.64,10.11,9.50,10.00,7100,10.00
2011-06-06,10.00,10.03,9.42,9.88,4900,9.88
2011-05-31,9.26,9.94,9.26,9.60,5200,9.60
2011-05-23,9.36,9.54,9.10,9.37,1500,9.37
2011-05-16,9.63,9.80,9.25,9.51,5000,9.51
2011-05-09,9.51,10.79,9.13,9.51,5700,9.51
2011-05-02,8.50,13.34,8.49,9.60,15700,9.60
2011-04-25,8.52,8.52,7.50,8.50,9700,8.50
2011-04-18,6.85,7.48,6.80,7.45,5800,7.45
2011-04-11,6.86,7.00,6.61,6.90,2000,6.90
2011-04-04,6.42,7.27,6.32,7.10,4900,7.10
2011-03-28,5.80,7.99,5.72,6.98,31200,6.98
2011-03-21,5.85,5.85,5.65,5.70,4100,5.70
2011-03-14,5.53,5.95,5.53,5.80,2300,5.80
2011-03-07,5.52,5.90,5.04,5.51,3400,5.51
2011-02-28,5.53,5.92,5.42,5.54,7600,5.54
2011-02-22,5.58,5.58,5.50,5.50,1000,5.50
2011-02-14,5.46,5.79,5.39,5.39,400,5.39
2011-02-07,5.65,6.00,5.37,5.55,7000,5.55
2011-01-31,5.30,6.00,5.30,5.93,2300,5.93
2011-01-24,5.65,5.75,5.35,5.42,700,5.42
2011-01-18,5.84,5.88,5.35,5.65,1800,5.65
2011-01-10,5.99,6.00,5.27,5.84,2500,5.84
2011-01-03,5.80,5.97,5.66,5.67,3100,5.67
2010-12-27,5.75,5.99,5.23,5.94,9300,5.94
2010-12-20,6.00,6.00,5.70,5.75,9300,5.75
2010-12-13,5.75,6.00,4.98,6.00,6400,6.00
2010-12-06,5.21,5.80,5.00,5.76,4900,5.76
2010-11-29,5.30,5.71,5.12,5.20,6200,5.20
2010-11-22,5.31,5.60,4.94,5.60,4900,5.60
2010-11-15,5.83,6.08,5.28,5.65,5300,5.65
2010-11-08,5.42,6.15,5.41,5.75,8000,5.75
2010-11-01,5.48,5.77,5.20,5.65,4800,5.65
2010-10-25,5.46,5.55,5.25,5.27,1900,5.27
2010-10-18,5.07,5.77,4.89,5.45,2100,5.45
2010-10-11,5.25,5.25,4.84,5.14,1500,5.14
2010-10-04,5.75,5.75,5.01,5.25,4200,5.25
2010-09-27,5.53,5.75,5.30,5.75,6600,5.75
2010-09-20,5.95,5.95,5.39,5.39,700,5.39
2010-09-13,5.62,6.06,5.35,5.95,6100,5.95
2010-09-07,5.63,5.82,5.41,5.69,3200,5.69
2010-08-30,5.83,5.84,5.26,5.51,2100,5.51
2010-08-23,5.64,5.90,5.29,5.77,1200,5.77
2010-08-16,5.93,6.14,5.56,5.56,900,5.56
2010-08-09,6.20,6.20,5.62,5.62,3100,5.62
2010-08-02,5.63,6.20,5.45,5.90,3000,5.90
2010-07-26,4.97,5.76,4.84,5.75,4800,5.75
2010-07-19,5.75,5.75,4.76,5.01,10400,5.01
2010-07-12,6.00,6.00,5.63,5.76,3800,5.76
2010-07-06,5.62,5.95,5.62,5.80,3900,5.80
2010-06-28,5.39,5.86,5.11,5.75,7200,5.75
2010-06-21,5.25,5.67,5.25,5.50,6200,5.50
2010-06-14,5.56,6.31,5.51,5.62,223000,5.62
2010-06-07,5.86,5.86,5.45,5.55,4400,5.55
2010-06-01,5.88,6.10,5.85,5.90,1200,5.90
2010-05-24,6.23,6.30,5.50,5.90,27900,5.90
2010-05-17,6.24,6.39,5.70,6.29,6800,6.29
2010-05-10,6.15,6.45,6.00,6.12,6400,6.12
2010-05-03,7.98,8.00,5.86,5.99,67000,5.99
2010-04-26,8.25,8.98,7.51,8.09,6100,8.09
2010-04-19,9.20,9.46,8.35,8.36,8200,8.36
2010-04-12,9.86,10.17,9.00,9.05,6800,9.05
2010-04-05,10.51,10.64,9.64,10.05,3900,10.05
2010-03-29,10.42,11.43,9.74,10.28,18300,10.28
2010-03-22,10.31,11.50,10.10,11.01,9400,11.01
2010-03-15,12.59,12.59,10.15,10.15,7600,10.15
2010-03-08,7.65,11.00,7.47,10.93,5900,10.93
2010-03-01,8.45,8.69,7.00,7.80,3100,7.80
2010-02-22,7.81,8.73,7.02,8.73,2200,8.73
2010-02-16,7.89,7.97,7.00,7.97,6100,7.97
2010-02-08,11.94,11.94,7.99,7.99,3100,7.99
2010-02-01,1.84,12.00,1.66,11.95,4500,11.95
2010-01-25,2.07,2.11,1.75,1.87,7900,11.22
2010-01-19,1.80,2.30,1.80,1.99,11400,11.94
2010-01-11,1.75,2.14,1.61,1.89,17200,11.34
2010-01-04,0.96,1.78,0.95,1.64,15700,9.84
2009-12-28,0.89,0.97,0.80,0.95,8700,5.70
2009-12-21,0.86,0.93,0.72,0.90,2500,5.40
2009-12-14,0.91,0.92,0.80,0.87,6800,5.22
2009-12-07,0.79,0.84,0.72,0.83,1800,4.98
2009-11-30,0.78,0.85,0.70,0.80,5800,4.80
2009-11-23,0.80,0.81,0.70,0.70,2700,4.20
2009-11-16,0.79,0.82,0.72,0.75,1300,4.50
2009-11-09,0.75,0.84,0.75,0.78,6700,4.68
2009-11-02,0.80,0.92,0.72,0.78,4900,4.68
2009-10-26,0.73,0.79,0.68,0.75,4400,4.50
2009-10-19,0.69,0.78,0.63,0.68,5800,4.08
2009-10-12,0.67,0.74,0.65,0.70,2400,4.20
2009-10-05,0.68,0.74,0.66,0.73,3700,4.38
2009-09-28,0.74,0.75,0.67,0.70,7100,4.20
2009-09-21,0.75,0.84,0.68,0.74,9000,4.44
2009-09-14,0.75,1.05,0.70,0.75,42500,4.50
2009-09-08,0.75,0.75,0.68,0.75,5000,4.50
2009-08-31,0.70,0.75,0.66,0.75,5300,4.50
2009-08-24,0.87,0.89,0.71,0.74,9500,4.44
2009-08-17,0.89,0.97,0.83,0.86,1600,5.16
2009-08-10,0.98,0.98,0.82,0.89,3300,5.34
2009-08-03,0.90,1.00,0.86,0.98,2000,5.88
2009-07-27,0.94,0.98,0.86,0.90,1100,5.40
2009-07-20,0.94,1.00,0.91,0.97,1000,5.82
2009-07-13,1.00,1.02,0.90,1.00,500,6.00
2009-07-06,1.00,1.02,0.96,1.00,1400,6.00
2009-06-29,1.00,1.09,0.95,0.95,1100,5.70
2009-06-22,1.16,1.16,0.93,1.00,1500,6.00
2009-06-15,1.07,1.09,1.02,1.09,600,6.54
2009-06-08,1.04,1.20,1.03,1.05,3200,6.30
2009-06-01,1.02,1.04,0.96,1.03,3800,6.18
2009-05-26,1.01,1.05,0.95,1.04,2600,6.24
2009-05-18,1.01,1.19,0.93,1.03,7000,6.18
2009-05-11,1.44,1.53,0.92,0.99,5800,5.94
2009-05-04,1.51,1.62,1.36,1.42,1500,8.52
2009-04-27,1.65,1.70,1.60,1.63,100,9.78
2009-04-20,1.76,1.80,1.64,1.64,400,9.84
2009-04-13,1.87,1.90,1.55,1.75,900,10.50
2009-04-06,1.88,1.88,1.72,1.86,800,11.16
2009-03-30,2.04,2.21,1.85,1.87,1700,11.22
2009-03-23,2.20,2.20,1.80,2.09,900,12.54
2009-03-16,1.84,2.20,1.54,2.17,600,13.02
2009-03-09,1.77,2.00,1.36,1.74,1800,10.44
2009-03-02,1.62,2.10,1.53,1.96,1500,11.76
2009-02-23,1.86,2.12,1.52,2.10,2500,12.60
2009-02-17,1.95,2.10,1.76,2.07,600,12.42
2009-02-09,2.05,2.23,1.76,2.11,800,12.66
2009-02-02,2.41,2.99,1.84,2.25,1400,13.50
2009-01-26,0.31,3.80,0.31,3.00,3100,18.00
2009-01-20,0.39,0.39,0.28,0.30,400,12.60
2009-01-12,0.37,0.40,0.30,0.39,700,16.38
2009-01-05,0.24,0.42,0.24,0.35,700,14.70
2008-12-29,0.21,0.33,0.18,0.26,4600,10.92
2008-12-22,0.18,0.22,0.18,0.22,9800,9.24
2008-12-15,0.23,0.25,0.18,0.19,2800,7.98
2008-12-08,0.25,0.26,0.18,0.23,1800,9.66
2008-12-01,0.22,0.25,0.15,0.23,1400,9.66
2008-11-24,0.24,0.24,0.13,0.22,2200,9.24
2008-11-17,0.28,0.28,0.15,0.20,2100,8.40
2008-11-10,0.37,0.40,0.21,0.28,400,11.76
2008-11-03,0.28,0.40,0.28,0.38,200,15.96
2008-10-27,0.25,0.32,0.24,0.26,300,10.92
2008-10-20,0.26,0.29,0.21,0.21,100,8.82
2008-10-13,0.36,0.36,0.20,0.26,1000,10.92
2008-10-06,0.35,0.36,0.20,0.33,1500,13.86
2008-09-29,0.39,0.44,0.30,0.39,900,16.38
2008-09-22,0.41,0.45,0.31,0.42,1800,17.64
2008-09-15,0.40,0.47,0.36,0.41,1200,17.22
2008-09-08,0.51,0.52,0.39,0.44,2400,18.48
2008-09-02,0.55,0.55,0.50,0.51,600,21.42
2008-08-25,0.56,0.59,0.51,0.51,1000,21.42
2008-08-18,0.63,0.63,0.56,0.57,700,23.94
2008-08-11,0.57,0.63,0.54,0.61,1000,25.62
2008-08-04,0.65,0.78,0.55,0.57,3000,23.94
2008-07-28,0.63,0.80,0.57,0.79,2100,33.18
2008-07-21,0.62,0.65,0.52,0.61,7200,25.62
2008-07-14,0.62,0.70,0.51,0.63,2600,26.46
2008-07-07,0.70,0.72,0.60,0.65,400,27.30
2008-06-30,0.67,0.74,0.66,0.70,1000,29.40
2008-06-23,0.67,0.72,0.61,0.64,1800,26.88
2008-06-16,0.73,0.75,0.68,0.70,800,29.40
2008-06-09,0.71,0.76,0.68,0.75,2100,31.50
2008-06-02,0.65,0.77,0.65,0.73,1600,30.66
2008-05-27,0.67,0.67,0.55,0.65,13200,27.30
2008-05-19,0.65,0.70,0.59,0.66,2800,27.72
2008-05-12,0.77,0.85,0.65,0.67,6800,28.14
2008-05-05,0.93,0.96,0.71,0.71,14400,29.82
2008-04-28,0.94,0.95,0.82,0.93,2500,39.06
2008-04-21,0.82,0.90,0.80,0.85,300,35.70
2008-04-14,0.83,0.88,0.80,0.86,500,36.12
2008-04-07,0.85,0.93,0.80,0.83,900,34.86
2008-03-31,0.94,0.94,0.80,0.90,1800,37.80
2008-03-24,0.92,0.98,0.89,0.90,500,37.80
2008-03-17,0.94,1.00,0.91,0.95,700,39.90
2008-03-10,1.04,1.11,0.93,0.99,700,41.58
2008-03-03,1.12,1.14,1.00,1.05,2500,44.10
2008-02-25,1.02,1.15,1.02,1.12,4000,47.04
2008-02-19,0.94,1.04,0.94,1.01,2100,42.42
2008-02-11,0.90,1.06,0.90,1.00,2400,42.00
2008-02-04,0.89,0.98,0.88,0.90,500,37.80
2008-01-28,0.81,1.04,0.81,0.89,5400,37.38
2008-01-22,0.88,0.91,0.80,0.85,3700,35.70
2008-01-14,0.89,0.98,0.85,0.88,2500,36.96
2008-01-07,0.97,0.98,0.89,0.90,2100,37.80
2007-12-31,0.93,1.01,0.85,0.98,3900,41.16
2007-12-24,1.00,1.02,0.92,0.94,4400,39.48
2007-12-17,1.05,1.10,0.96,1.00,2800,42.00
2007-12-10,1.05,1.15,0.98,1.08,4500,45.36
2007-12-03,0.82,1.08,0.79,1.07,4400,44.94
2007-11-26,0.76,0.82,0.75,0.80,5700,33.60
2007-11-19,0.85,0.85,0.69,0.80,2200,33.60
2007-11-12,0.89,0.91,0.78,0.85,7000,35.70
2007-11-05,0.85,1.02,0.85,0.85,5100,35.70
2007-10-29,0.89,0.98,0.80,0.90,3500,37.80
2007-10-22,0.91,0.96,0.85,0.88,1400,36.96
2007-10-15,0.95,0.99,0.90,0.93,4700,39.06
2007-10-08,1.04,1.04,0.86,0.97,3000,40.74
2007-10-01,1.05,1.10,1.02,1.04,2600,43.68
2007-09-24,1.04,1.08,0.95,1.05,5100,44.10
2007-09-17,1.04,1.10,0.96,1.05,2000,44.10
2007-09-10,0.94,1.05,0.94,1.05,1900,44.10
2007-09-04,0.90,1.03,0.90,0.94,2300,39.48
2007-08-27,0.92,0.97,0.89,0.90,1900,37.80
2007-08-20,0.93,1.00,0.83,0.94,2900,39.48
2007-08-13,1.05,1.10,0.86,0.90,2400,37.80
2007-08-06,1.09,1.10,0.90,1.06,18000,44.52
