Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.81,3.98,3.36,3.85,1400,3.85
2012-05-14,3.63,3.85,3.31,3.80,1700,3.80
2012-05-07,3.55,3.63,3.28,3.63,1300,3.63
2012-04-30,3.96,3.96,3.25,3.50,1300,3.50
2012-04-23,3.35,4.18,3.30,3.36,1700,3.36
2012-04-16,3.30,3.46,3.26,3.46,600,3.46
2012-04-09,3.24,4.00,3.24,3.30,900,3.30
2012-04-02,3.35,3.40,3.13,3.24,2100,3.24
2012-03-26,3.43,3.43,2.99,3.35,2000,3.35
2012-03-19,3.88,3.99,3.50,3.50,400,3.50
2012-03-12,3.77,4.20,3.25,3.88,3400,3.88
2012-03-05,4.20,4.20,3.09,3.61,4500,3.61
2012-02-27,3.65,4.20,3.10,4.20,5900,4.20
2012-02-21,2.37,4.22,2.05,3.90,18000,3.90
2012-02-13,2.58,3.00,2.30,2.30,6600,2.30
2012-02-06,2.35,2.56,2.10,2.56,4200,2.56
2012-01-30,2.34,2.35,2.04,2.07,2400,2.07
2012-01-23,2.23,2.23,2.02,2.09,300,2.09
2012-01-17,2.08,2.27,1.84,2.23,600,2.23
2012-01-09,2.40,2.40,2.00,2.08,2500,2.08
2012-01-03,2.40,2.40,1.86,2.02,3300,2.02
2011-12-27,2.47,2.47,2.16,2.38,1800,2.38
2011-12-19,2.19,2.44,2.19,2.44,2300,2.44
2011-12-12,2.51,2.60,2.15,2.15,1700,2.15
2011-12-05,2.55,2.92,1.63,2.92,7200,2.92
2011-11-28,2.31,2.76,2.31,2.75,3400,2.75
2011-11-21,2.35,2.50,2.16,2.31,6000,2.31
2011-11-14,2.05,2.33,1.90,2.32,2200,2.32
2011-11-07,2.05,2.34,2.05,2.10,1100,2.10
2011-10-31,2.33,2.34,2.01,2.05,1100,2.05
2011-10-24,2.28,2.35,1.95,2.25,300,2.25
2011-10-17,2.35,2.35,2.25,2.28,500,2.28
2011-10-10,2.23,2.35,1.95,2.30,2600,2.30
2011-10-03,2.42,2.42,1.83,2.22,1500,2.22
2011-09-26,2.12,2.45,2.02,2.42,1700,2.42
2011-09-19,2.56,2.56,2.13,2.43,1000,2.43
2011-09-12,2.61,2.68,2.10,2.62,1900,2.62
2011-09-06,2.60,2.60,2.12,2.55,400,2.55
2011-08-29,1.96,2.72,1.96,2.72,3000,2.72
2011-08-22,1.91,1.91,1.91,1.91,000,1.91
2011-08-15,1.90,2.17,1.90,1.95,800,1.95
2011-08-08,2.19,2.19,1.47,1.90,1800,1.90
2011-08-01,2.13,2.13,1.46,1.74,3400,1.74
2011-07-25,2.15,2.19,2.02,2.15,1600,2.15
2011-07-18,2.22,2.22,2.15,2.15,600,2.15
2011-07-11,2.08,2.38,2.07,2.26,300,2.26
2011-07-05,2.52,2.55,2.05,2.05,2000,2.05
2011-06-27,2.38,2.45,2.18,2.45,1500,2.45
2011-06-20,2.22,2.61,2.17,2.34,3200,2.34
2011-06-13,2.50,2.63,2.25,2.25,2600,2.25
2011-06-06,2.67,2.83,2.30,2.49,600,2.49
2011-05-31,2.70,2.70,2.32,2.32,1200,2.32
2011-05-23,2.71,2.83,2.40,2.55,2900,2.55
2011-05-16,2.60,2.82,2.40,2.71,1900,2.71
2011-05-09,2.36,2.77,2.35,2.60,2900,2.60
2011-05-02,2.39,2.40,2.23,2.36,1000,2.36
2011-04-25,2.50,2.65,2.16,2.19,3400,2.19
2011-04-18,2.30,2.85,2.27,2.46,700,2.46
2011-04-11,2.51,2.51,2.09,2.30,2200,2.30
2011-04-04,2.05,2.77,2.00,2.70,4300,2.70
2011-03-28,2.34,2.76,1.85,2.12,19400,2.12
2011-03-21,3.06,3.06,2.10,2.15,4000,2.15
2011-03-14,3.17,3.19,2.62,3.01,500,3.01
