Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,56.06,57.49,55.39,56.65,5500,56.65
2012-05-14,55.06,58.18,53.11,55.65,3200,55.65
2012-05-07,50.33,59.00,50.33,56.66,4900,56.66
2012-04-30,58.62,59.29,52.95,52.95,5800,52.95
2012-04-23,59.46,59.56,57.85,59.00,5100,59.00
2012-04-16,61.90,64.30,59.75,59.99,4900,59.99
2012-04-09,61.65,64.70,57.77,61.50,7600,61.50
2012-04-02,65.13,65.81,60.72,62.41,13300,62.41
2012-03-26,67.51,69.99,64.85,65.50,4000,65.50
2012-03-19,68.12,69.73,64.45,66.30,4700,66.11
2012-03-12,59.12,69.25,58.74,68.16,8900,67.96
2012-03-05,62.00,63.00,56.75,59.11,5700,58.94
2012-02-27,66.60,68.84,61.37,62.01,4200,61.83
2012-02-21,69.88,69.88,65.06,66.90,3000,66.71
2012-02-13,68.66,69.79,65.02,69.79,4200,69.59
2012-02-06,69.73,69.75,65.43,67.94,3400,67.74
2012-01-30,62.31,70.82,60.75,70.34,4300,70.14
2012-01-23,61.09,63.23,60.24,62.75,3800,62.57
2012-01-17,62.12,62.30,60.26,61.01,5400,60.83
2012-01-09,62.14,63.00,61.39,61.63,3800,61.45
2012-01-03,60.50,63.03,59.72,61.54,6000,61.36
2011-12-27,59.40,60.00,58.10,59.66,3200,59.49
2011-12-19,59.24,59.88,57.25,59.59,7200,59.21
2011-12-12,53.03,58.62,51.15,58.61,11200,58.24
2011-12-05,52.16,54.98,52.16,53.95,5200,53.61
2011-11-28,48.72,53.53,48.00,53.53,6600,53.19
2011-11-21,50.91,51.65,46.60,47.08,6200,46.78
2011-11-14,56.46,56.47,50.22,52.12,6700,51.79
2011-11-07,60.26,60.45,54.89,57.09,6000,56.73
2011-10-31,63.91,66.40,58.01,61.45,9100,61.06
2011-10-24,57.24,65.82,56.63,65.82,6300,65.40
2011-10-17,54.09,58.74,52.72,56.80,5100,56.44
2011-10-10,50.54,54.80,49.25,54.50,8400,54.15
2011-10-03,45.94,49.50,40.92,49.14,8600,48.83
2011-09-26,47.18,50.24,45.11,45.80,5500,45.51
2011-09-19,54.12,54.12,45.78,47.19,8000,46.69
2011-09-12,48.58,54.84,48.58,53.61,8300,53.04
2011-09-06,49.44,54.61,48.02,49.08,16000,48.56
2011-08-29,56.05,56.57,50.90,50.90,40600,50.36
2011-08-22,49.49,57.26,45.91,56.57,14900,55.97
2011-08-15,56.38,59.54,47.80,48.11,12000,47.60
2011-08-08,60.62,62.07,55.43,55.47,11200,54.89
2011-08-01,63.65,66.47,60.76,62.06,13100,61.41
2011-07-25,69.29,69.65,61.12,62.36,12800,61.70
2011-07-18,71.83,71.83,69.35,69.54,6000,68.81
2011-07-11,73.00,73.64,69.34,71.89,13500,71.13
2011-07-05,71.58,74.92,70.72,74.02,10300,73.24
2011-06-27,69.82,72.67,69.58,70.65,25600,69.91
2011-06-20,67.54,71.80,66.34,70.12,27000,69.19
2011-06-13,67.87,69.31,64.34,67.82,20100,66.92
2011-06-06,71.41,72.82,67.86,67.99,13000,67.08
2011-05-31,66.63,77.46,66.63,71.52,98500,70.57
2011-05-23,67.60,68.25,62.25,65.32,14200,64.45
2011-05-16,68.64,69.58,66.98,69.06,9200,68.14
2011-05-09,69.77,71.13,68.04,68.93,13200,68.01
2011-05-02,72.17,72.48,65.93,70.31,17900,69.37
2011-04-25,66.50,72.47,66.50,71.85,11500,70.89
2011-04-18,67.70,70.60,65.32,66.23,13800,65.35
2011-04-11,73.47,73.69,68.15,69.24,11900,68.32
2011-04-04,72.01,79.50,71.62,71.80,25200,70.84
2011-03-28,65.91,71.86,65.28,71.86,12000,70.90
2011-03-21,61.36,66.44,61.25,65.50,17300,64.43
2011-03-14,60.11,60.85,57.73,60.66,12900,59.67
2011-03-07,67.26,67.95,59.07,60.83,31600,59.84
2011-02-28,70.10,72.27,66.32,67.20,24600,66.10
2011-02-22,71.63,72.35,66.17,69.39,11400,68.26
2011-02-14,71.18,72.80,69.45,72.07,4500,70.89
2011-02-07,69.25,71.42,67.79,70.64,6600,69.49
2011-01-31,61.53,72.80,60.78,70.54,18200,69.39
2011-01-24,59.07,65.33,58.17,61.51,12200,60.51
2011-01-18,63.73,63.75,59.00,59.30,17900,58.33
2011-01-10,61.11,64.90,60.61,63.75,7200,62.71
2011-01-03,59.94,62.99,59.35,62.00,9500,60.99
2010-12-27,59.33,63.75,57.92,58.53,12100,57.57
2010-12-20,55.94,63.34,55.94,59.86,24800,58.69
2010-12-13,52.76,55.25,51.36,55.25,53600,54.17
2010-12-06,46.80,53.52,46.66,52.42,25900,51.40
2010-11-29,46.26,47.00,45.74,46.89,8800,45.98
2010-11-22,46.35,46.75,45.38,46.38,9100,45.48
2010-11-15,46.14,46.98,45.50,45.99,9100,45.09
2010-11-08,47.35,47.80,45.26,45.26,10000,44.38
2010-11-01,43.31,47.47,41.61,47.34,18600,46.42
2010-10-25,39.54,43.34,39.31,42.73,7900,41.90
2010-10-18,34.57,39.74,34.57,39.66,7200,38.89
2010-10-11,34.00,34.88,33.90,34.68,19900,34.00
2010-10-04,33.70,35.34,33.49,33.99,7600,33.33
2010-09-27,33.99,34.98,32.98,33.60,10100,32.95
2010-09-20,33.40,34.78,32.87,34.64,10400,33.77
2010-09-13,32.69,34.45,32.56,33.36,4300,32.52
2010-09-07,32.90,33.22,32.40,32.92,3100,32.09
2010-08-30,33.84,34.78,32.16,33.78,9000,32.93
2010-08-23,33.98,34.14,31.80,33.84,3200,32.99
2010-08-16,33.16,34.25,33.16,33.28,2900,32.44
2010-08-09,35.48,35.75,32.51,33.37,7700,32.53
2010-08-02,33.48,35.27,30.32,34.77,3600,33.89
2010-07-26,30.88,32.80,30.18,32.46,8100,31.64
2010-07-19,29.96,30.96,28.00,30.88,4700,30.10
2010-07-12,28.00,29.15,27.82,28.20,6500,27.49
2010-07-06,28.27,28.28,26.70,27.91,9100,27.21
2010-06-28,30.83,30.83,27.85,27.90,9400,27.20
2010-06-21,31.17,31.41,29.11,30.21,23000,29.25
2010-06-14,29.80,32.17,29.38,30.99,4000,30.00
2010-06-07,30.22,30.38,28.30,29.52,4500,28.58
2010-06-01,31.30,31.36,28.94,28.94,7800,28.02
2010-05-24,32.75,33.52,31.32,31.32,10200,30.32
2010-05-17,33.46,34.70,32.66,32.99,7900,31.94
2010-05-10,33.68,34.75,33.05,33.35,7100,32.29
2010-05-03,30.99,34.86,30.99,33.01,13100,31.96
2010-04-26,37.00,37.99,28.12,30.00,13700,29.04
2010-04-19,37.96,38.40,36.65,36.95,9300,35.77
2010-04-12,38.11,39.14,37.75,38.14,6200,36.93
2010-04-05,38.42,39.29,37.72,38.24,7300,37.02
2010-03-29,37.42,39.18,36.00,38.20,9200,36.98
2010-03-22,38.77,38.96,37.20,37.70,7600,36.30
2010-03-15,37.51,39.12,36.92,39.11,10400,37.66
2010-03-08,35.60,38.04,35.60,37.55,13000,36.16
2010-03-01,36.24,37.09,35.00,36.13,10900,34.79
2010-02-22,35.20,37.04,34.57,35.85,9100,34.52
2010-02-16,35.62,36.41,34.66,35.75,8400,34.42
2010-02-08,35.26,36.16,34.49,35.13,12800,33.83
2010-02-01,36.30,38.00,34.27,34.90,15500,33.60
2010-01-25,40.08,40.47,35.40,36.05,21800,34.71
2010-01-19,39.11,40.70,38.62,39.80,15600,38.32
2010-01-11,42.78,42.78,39.07,39.11,9600,37.66
2010-01-04,44.08,44.14,42.50,42.72,1500,41.13
