Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,37.45,38.80,37.15,38.27,7400,38.27
2012-05-14,38.91,39.76,37.28,37.34,23800,37.34
2012-05-07,39.63,40.08,38.67,39.14,20000,39.14
2012-04-30,41.31,41.58,39.91,40.00,36400,40.00
2012-04-23,39.88,41.70,39.13,41.47,16900,41.47
2012-04-16,40.77,41.29,39.66,40.41,10900,40.41
2012-04-09,40.14,41.01,39.68,40.58,17700,40.58
2012-04-02,41.24,41.49,40.30,40.75,35600,40.75
2012-03-26,41.56,42.57,41.18,41.63,10400,41.63
2012-03-19,40.52,41.27,40.23,41.21,10400,41.21
2012-03-12,39.75,40.55,39.38,40.47,16600,40.47
2012-03-05,39.77,39.85,38.33,39.64,10100,39.64
2012-02-27,38.87,40.13,38.65,39.82,20700,39.82
2012-02-21,39.30,39.36,38.49,39.08,12100,39.08
2012-02-13,38.89,39.65,38.75,39.27,12300,39.27
2012-02-06,38.52,38.86,38.03,38.55,35100,38.55
2012-01-30,37.13,38.83,36.71,38.75,22700,38.75
2012-01-23,36.40,37.40,35.82,37.38,33600,37.38
2012-01-17,35.78,36.79,35.62,36.18,28600,36.18
2012-01-09,35.14,35.84,34.90,35.51,13800,35.51
2012-01-03,35.07,35.46,34.73,35.12,15700,35.12
2011-12-27,34.81,35.13,34.17,34.54,16500,34.54
2011-12-19,34.23,34.93,33.51,34.93,12800,34.93
2011-12-12,35.15,35.27,33.24,34.07,6900,34.07
2011-12-05,35.73,35.85,34.74,35.42,8600,35.42
2011-11-28,33.44,35.54,33.38,35.14,33500,35.14
2011-11-21,34.16,34.16,32.50,32.50,18100,32.50
2011-11-14,36.50,36.67,34.65,34.68,8600,34.68
2011-11-07,36.67,37.42,35.45,36.52,31100,36.52
2011-10-31,36.72,36.81,34.68,36.74,32400,36.74
2011-10-24,35.59,37.15,34.44,37.11,38500,37.11
2011-10-17,36.10,36.13,34.22,35.39,17900,35.39
2011-10-10,33.74,36.49,33.74,36.33,28300,36.33
2011-10-03,31.47,33.66,29.82,33.44,30400,33.44
2011-09-26,34.06,35.22,31.63,31.81,16600,31.81
2011-09-19,36.54,36.79,32.98,33.89,18200,33.89
2011-09-12,34.68,36.87,34.64,36.83,10100,36.83
2011-09-06,34.14,37.01,34.14,35.21,13700,35.21
2011-08-29,35.24,37.34,35.13,35.36,21100,35.36
2011-08-22,32.94,34.69,32.07,34.64,12100,34.64
2011-08-15,36.23,36.46,32.11,32.18,23500,32.18
2011-08-08,34.00,36.20,33.15,36.10,38100,36.10
2011-08-01,40.00,40.00,34.51,35.80,27500,35.80
2011-07-25,39.99,40.77,39.00,39.34,18200,39.34
2011-07-18,39.95,40.86,39.27,40.34,22700,40.34
2011-07-11,40.50,40.75,39.20,40.23,11100,40.23
2011-07-05,39.86,41.11,39.70,40.87,52300,40.87
2011-06-27,36.72,39.55,36.72,39.55,7700,39.55
2011-06-20,35.51,37.20,35.51,36.75,8700,36.75
2011-06-13,36.67,37.07,35.18,35.70,41000,35.70
2011-06-06,38.62,38.77,36.51,36.74,19900,36.74
2011-05-31,39.43,39.71,38.58,38.68,4500,38.68
2011-05-23,38.91,39.17,38.02,39.03,18400,39.03
2011-05-16,39.11,39.71,37.82,39.49,37200,39.49
2011-05-09,40.14,40.78,39.26,39.34,18500,39.34
2011-05-02,41.47,41.78,39.39,40.08,16300,40.08
2011-04-25,40.89,41.52,40.61,41.41,13600,41.41
2011-04-18,39.38,40.72,38.95,40.72,7900,40.72
2011-04-11,40.03,40.03,39.09,39.75,5700,39.75
2011-04-04,39.69,40.31,39.19,39.87,8700,39.87
2011-03-28,38.20,39.77,38.04,39.50,15300,39.50
2011-03-21,36.22,38.37,36.22,38.00,5000,38.00
2011-03-14,36.53,36.65,34.50,35.81,9600,35.81
2011-03-07,36.96,36.98,35.69,36.81,13900,36.81
2011-02-28,37.18,37.18,35.90,36.83,13700,36.83
2011-02-22,37.87,37.87,35.89,37.06,32000,37.06
2011-02-14,38.83,38.94,38.30,38.43,14500,38.43
2011-02-07,37.53,38.60,37.53,38.55,14600,38.55
2011-01-31,35.91,37.50,34.50,37.44,25900,37.44
2011-01-24,35.10,36.40,35.08,35.72,19400,35.72
2011-01-18,36.87,36.98,35.42,35.42,11800,35.42
2011-01-10,35.60,36.77,35.46,36.77,15400,36.77
2011-01-03,34.95,35.96,34.94,35.73,24700,35.73
2010-12-27,35.00,35.09,34.62,34.69,12700,34.69
2010-12-20,35.24,35.50,34.72,35.09,8000,35.09
2010-12-13,36.22,36.22,34.79,35.12,26700,35.12
2010-12-06,35.65,36.23,35.56,36.11,13300,36.11
2010-11-29,35.21,35.46,34.56,35.46,12500,35.46
2010-11-22,34.48,35.25,34.15,35.25,10500,35.25
2010-11-15,34.85,34.85,33.47,34.48,19400,34.48
2010-11-08,34.90,35.62,34.61,34.77,15500,34.77
2010-11-01,34.67,35.20,33.91,34.92,32700,34.92
2010-10-25,33.75,34.82,33.75,34.59,13900,34.59
2010-10-18,32.68,33.54,31.84,33.49,17100,33.49
2010-10-11,31.57,32.73,31.00,32.67,12500,32.67
2010-10-04,31.88,32.50,31.00,31.57,25300,31.57
2010-09-27,32.34,32.82,31.83,31.96,9000,31.96
2010-09-20,30.57,32.28,30.57,32.28,10600,32.28
2010-09-13,30.00,30.49,30.00,30.48,9400,30.48
2010-09-07,29.35,29.71,29.12,29.70,4500,29.70
2010-08-30,28.11,29.48,27.52,29.42,9000,29.42
2010-08-23,27.87,28.14,27.15,28.13,22200,28.13
2010-08-16,27.52,28.41,27.50,28.17,6500,28.17
2010-08-09,28.37,28.59,27.25,27.81,5500,27.81
2010-08-02,27.22,28.21,27.09,28.15,11000,28.15
2010-07-26,27.41,27.62,26.44,26.92,14800,26.92
2010-07-19,26.39,27.28,26.04,27.27,10900,27.27
2010-07-12,26.25,27.29,26.22,26.33,3700,26.33
2010-07-06,25.17,26.32,24.85,26.25,1200,26.25
2010-06-28,26.91,26.91,24.47,24.89,5900,24.89
2010-06-21,27.85,27.85,26.27,26.87,11400,26.87
2010-06-14,27.35,27.84,27.25,27.63,4500,27.63
2010-06-07,26.83,27.00,25.54,27.00,2500,27.00
2010-06-01,26.88,27.39,26.35,26.55,4100,26.55
2010-05-24,26.39,27.07,25.18,26.88,3700,26.88
2010-05-17,27.49,27.51,25.26,26.18,5600,26.18
2010-05-10,26.84,28.62,26.84,27.28,17500,27.28
2010-05-03,28.15,29.57,10.50,25.80,24400,25.80
2010-04-26,28.84,29.05,27.71,28.08,5100,28.08
2010-04-19,28.33,28.85,27.86,28.66,14400,28.66
2010-04-12,28.50,29.34,28.40,28.43,7100,28.43
2010-04-05,27.65,28.39,27.65,28.39,2900,28.39
2010-03-29,27.74,27.80,27.48,27.53,5300,27.53
2010-03-22,27.44,27.98,27.34,27.50,8900,27.50
2010-03-15,27.44,28.02,27.25,27.42,6300,27.42
2010-03-08,26.58,27.52,26.58,27.43,18800,27.43
2010-03-01,25.32,26.60,25.32,26.57,4100,26.57
2010-02-22,25.30,25.40,24.79,25.23,3800,25.23
2010-02-16,24.67,25.31,24.60,25.29,20500,25.29
2010-02-08,23.95,24.52,23.79,24.52,4700,24.52
2010-02-01,23.89,24.50,23.49,23.86,6400,23.86
2010-01-25,24.49,24.65,23.83,23.87,11100,23.87
2010-01-19,25.41,25.60,24.34,24.34,36900,24.34
2010-01-11,25.92,25.95,25.23,25.46,10700,25.46
2010-01-04,26.14,26.33,25.64,25.91,13800,25.91
2009-12-28,26.27,26.40,25.85,25.85,6900,25.85
2009-12-21,25.34,26.39,25.34,26.20,9400,26.20
2009-12-14,25.27,25.43,25.06,25.13,4900,25.13
2009-12-07,25.34,25.36,24.72,25.14,2000,25.14
2009-11-30,24.85,25.72,24.70,25.34,21200,25.34
2009-11-23,24.79,25.06,24.33,24.67,28100,24.67
2009-11-16,25.10,25.27,24.43,24.52,4100,24.52
2009-11-09,24.43,25.12,24.43,24.69,5200,24.69
2009-11-02,23.07,24.21,22.84,24.21,6800,24.21
2009-10-26,24.73,24.92,23.08,23.11,20000,23.11
2009-10-19,24.02,24.76,23.81,24.70,7300,24.70
2009-10-12,23.94,24.15,23.60,23.90,5600,23.90
2009-10-05,22.88,24.20,22.85,23.92,5900,23.92
2009-09-28,23.23,23.70,22.70,22.70,22800,22.70
2009-09-21,23.26,23.89,23.06,23.06,3900,23.06
2009-09-14,22.05,23.61,22.05,23.54,3000,23.54
2009-09-08,21.15,22.16,21.15,22.16,3400,22.16
2009-08-31,21.15,21.29,20.42,20.69,1300,20.69
2009-08-24,21.64,21.71,21.06,21.41,2300,21.41
2009-08-17,20.69,21.52,20.43,21.52,2400,21.52
2009-08-10,21.38,21.67,21.02,21.13,2900,21.13
2009-08-03,21.15,21.37,20.82,21.37,4300,21.37
2009-07-27,21.28,21.28,20.63,20.96,2400,20.96
2009-07-20,20.28,21.46,20.15,21.29,11100,21.29
2009-07-13,17.95,20.02,17.95,19.88,4600,19.88
2009-07-06,18.40,18.40,17.74,18.14,800,18.14
2009-06-29,19.29,20.80,18.48,18.52,3200,18.52
2009-06-22,18.94,19.30,18.00,19.27,1400,19.27
2009-06-15,19.26,19.26,18.68,19.16,4000,19.16
2009-06-08,20.35,20.35,19.28,19.28,4200,19.28
2009-06-01,19.23,20.05,19.23,19.95,3800,19.95
2009-05-26,17.61,19.15,17.61,19.15,18800,19.15
2009-05-18,17.69,18.59,17.54,17.96,800,17.96
2009-05-11,17.46,19.41,17.23,17.49,6500,17.49
2009-05-04,18.25,19.40,16.83,18.27,10900,18.27
2009-04-27,17.28,18.24,17.18,17.95,5800,17.95
2009-04-20,17.25,17.55,15.50,17.51,1600,17.51
2009-04-13,16.75,17.73,16.56,17.25,3000,17.25
2009-04-06,15.97,16.63,15.63,16.63,1200,16.63
2009-03-30,14.75,16.11,14.75,16.11,5600,16.11
2009-03-23,14.64,15.44,14.64,15.22,10700,15.22
2009-03-16,13.69,14.61,13.69,14.61,300,14.61
2009-03-09,13.60,13.69,13.60,13.69,000,13.69
2009-03-02,13.94,13.94,13.36,13.60,000,13.60
2009-02-23,13.43,14.05,13.43,13.94,100,13.94
2009-02-17,13.73,13.73,12.20,13.43,2400,13.43
2009-02-09,14.70,14.87,14.18,14.18,1300,14.18
2009-02-02,13.60,14.48,13.60,14.48,700,14.48
2009-01-26,12.61,12.61,12.61,12.61,000,12.61
2009-01-20,12.75,12.75,12.35,12.52,1400,12.52
2009-01-12,13.54,13.54,12.60,12.98,900,12.98
2009-01-05,13.75,14.80,13.75,13.90,2000,13.90
2008-12-29,13.30,13.75,13.11,13.75,1400,13.75
2008-12-22,13.82,13.82,13.25,13.30,1700,13.30
2008-12-15,13.39,13.95,13.39,13.93,500,13.93
2008-12-08,13.34,14.07,13.34,13.39,1800,13.27
2008-12-01,11.92,12.61,11.71,12.61,4700,12.49
2008-11-24,10.36,12.72,10.36,12.68,1100,12.56
2008-11-17,12.53,12.53,10.36,10.36,300,10.26
2008-11-10,14.36,14.36,12.10,12.44,600,12.32
2008-11-03,15.09,15.26,14.31,14.36,300,14.23
2008-10-27,13.47,13.47,13.47,13.47,000,13.35
