Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.59,18.75,18.50,18.70,1387600,18.70
2012-05-14,18.87,18.94,18.47,18.55,2195900,18.55
2012-05-07,18.86,19.10,18.74,19.02,2097700,19.02
2012-04-30,18.80,19.04,18.61,18.89,2461100,18.89
2012-04-23,18.50,18.98,18.43,18.81,1671600,18.81
2012-04-16,18.40,18.71,18.36,18.63,1944000,18.63
2012-04-09,18.45,18.66,18.14,18.36,1941400,18.36
2012-04-02,18.92,18.95,18.53,18.63,2801800,18.63
2012-03-26,19.01,19.20,18.63,18.89,2324000,18.89
2012-03-19,19.10,19.22,18.71,18.88,1929900,18.88
2012-03-12,19.48,19.74,18.94,19.13,2961500,19.13
2012-03-05,19.09,19.68,19.04,19.44,5623300,19.44
2012-02-27,19.79,19.82,19.35,19.50,2503600,19.23
2012-02-21,20.22,20.24,19.75,19.84,3209300,19.57
2012-02-13,19.91,20.24,19.63,20.14,1341000,19.86
2012-02-06,19.79,19.95,19.62,19.82,1536100,19.55
2012-01-30,19.73,19.98,19.50,19.84,1557600,19.57
2012-01-23,20.00,20.21,19.60,19.81,1653800,19.54
2012-01-17,20.05,20.22,19.66,20.00,1585000,19.72
2012-01-09,20.15,20.20,19.80,19.90,1715000,19.63
2012-01-03,20.44,20.48,19.91,20.04,2283300,19.76
2011-12-27,20.32,20.64,20.27,20.30,1041200,20.02
2011-12-19,19.51,20.40,19.26,20.30,1548700,20.02
2011-12-12,19.42,19.75,19.19,19.37,2230700,19.10
2011-12-05,19.85,19.97,19.02,19.50,2393800,19.23
2011-11-28,19.17,19.90,18.89,19.58,1665200,19.05
2011-11-21,19.25,19.31,18.56,18.71,1457100,18.20
2011-11-14,19.69,19.71,19.00,19.43,2010300,18.90
2011-11-07,19.52,19.83,19.24,19.74,1908700,19.20
2011-10-31,19.97,20.06,19.14,19.58,2118000,19.05
2011-10-24,19.75,20.33,19.30,20.13,2059100,19.58
2011-10-17,19.30,19.80,19.01,19.80,1739200,19.26
2011-10-10,18.87,19.33,18.74,19.30,1056000,18.77
2011-10-03,18.79,19.08,17.77,18.65,2237000,18.14
2011-09-26,18.79,19.21,18.60,18.92,2584600,18.40
2011-09-19,18.95,19.40,18.09,18.61,2467300,18.10
2011-09-12,18.23,19.27,18.18,19.19,1870300,18.67
2011-09-06,18.73,19.25,18.27,18.43,2784700,17.93
