Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,29.72,30.60,28.95,29.16,230100,29.16
2012-05-14,30.53,31.03,28.94,29.54,226200,29.54
2012-05-07,29.85,31.43,29.72,30.74,175300,30.74
2012-04-30,29.94,30.80,28.81,29.96,247900,29.96
2012-04-23,31.50,32.69,29.87,30.00,361800,30.00
2012-04-16,32.21,32.55,31.30,31.89,125100,31.89
2012-04-09,32.30,32.51,31.14,32.17,130800,32.17
2012-04-02,32.87,34.35,32.46,32.70,278200,32.70
2012-03-26,31.19,33.74,31.16,32.93,261100,32.93
2012-03-19,30.69,31.06,29.66,31.00,328900,31.00
2012-03-12,30.63,31.15,29.83,30.63,273800,30.63
2012-03-05,32.00,32.00,29.60,30.67,404600,30.67
2012-02-27,30.94,31.90,30.34,31.46,368500,31.46
2012-02-21,30.60,31.63,29.95,31.35,331700,31.35
2012-02-13,26.38,31.93,26.02,30.80,1212700,30.80
2012-02-06,27.13,27.74,25.34,26.64,1742400,26.64
2012-01-30,27.13,27.74,26.70,26.95,000,26.95
2012-01-27,27.13,27.74,26.70,26.95,000,26.95
