Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.06,8.10,7.92,8.00,16700,8.00
2012-05-14,8.18,8.19,7.95,8.09,11400,8.09
2012-05-07,7.91,8.31,7.89,8.19,90200,8.19
2012-04-30,7.67,8.00,7.61,7.80,10300,7.80
2012-04-23,7.85,8.00,7.60,7.68,14700,7.68
2012-04-16,8.15,8.15,7.77,7.83,12100,7.83
2012-04-09,8.00,8.19,7.53,8.10,9700,8.10
2012-04-02,7.86,8.10,7.71,8.00,6600,8.00
2012-03-26,8.00,8.25,7.80,8.00,11200,8.00
2012-03-19,8.18,8.32,7.85,8.10,4500,8.10
2012-03-12,7.75,8.35,7.72,8.19,12500,8.19
2012-03-05,7.58,7.90,7.35,7.75,27500,7.75
2012-02-27,7.53,7.59,7.40,7.50,8000,7.50
2012-02-21,7.57,7.60,7.15,7.53,14500,7.53
2012-02-13,7.37,7.71,7.24,7.51,16200,7.51
2012-02-06,7.53,7.61,7.17,7.24,1900,7.24
2012-01-30,7.67,7.72,7.25,7.60,13700,7.60
2012-01-23,6.72,7.80,6.55,7.69,18700,7.69
2012-01-17,6.59,6.79,6.58,6.75,15500,6.75
2012-01-09,6.38,6.65,6.30,6.55,4900,6.55
2012-01-03,6.35,6.50,6.32,6.40,15800,6.40
2011-12-27,6.17,6.58,6.17,6.34,4400,6.34
2011-12-19,6.12,6.30,6.10,6.22,11900,6.22
2011-12-12,6.40,6.40,6.11,6.19,5000,6.19
2011-12-05,6.53,6.53,6.25,6.40,3300,6.40
2011-11-28,6.58,6.69,6.40,6.48,4800,6.48
2011-11-21,6.46,6.74,6.44,6.45,2800,6.45
2011-11-14,7.09,7.09,6.45,6.64,8900,6.64
2011-11-07,6.47,7.12,6.47,7.10,12600,7.10
2011-10-31,6.30,6.64,6.20,6.49,46000,6.49
2011-10-24,6.47,6.50,6.25,6.27,8800,6.27
2011-10-17,5.85,6.44,5.50,6.44,12500,6.44
2011-10-10,5.85,5.90,5.75,5.78,3900,5.78
2011-10-03,5.75,5.93,5.61,5.80,3500,5.80
2011-09-26,6.04,6.15,5.90,5.90,3000,5.90
2011-09-19,6.02,6.20,5.80,5.86,7600,5.86
2011-09-12,6.11,6.29,6.06,6.15,3900,6.15
2011-09-06,6.25,6.47,6.11,6.11,7600,6.11
2011-08-29,6.19,6.45,6.11,6.30,1900,6.30
2011-08-22,6.37,6.45,6.06,6.09,8800,6.09
2011-08-15,6.42,6.51,6.31,6.44,6800,6.44
2011-08-08,6.55,6.64,6.25,6.36,38700,6.36
2011-08-01,6.58,6.81,6.50,6.55,6900,6.55
2011-07-25,6.41,6.61,6.39,6.59,11700,6.59
2011-07-18,6.50,6.51,6.38,6.44,5600,6.44
2011-07-11,6.53,6.77,6.42,6.42,12900,6.42
2011-07-05,6.47,6.65,6.37,6.52,7400,6.52
2011-06-27,6.49,6.50,6.36,6.45,4100,6.45
2011-06-20,6.39,6.60,6.30,6.40,4200,6.40
2011-06-13,6.60,6.64,6.12,6.40,12200,6.40
2011-06-06,6.76,6.88,6.56,6.65,10000,6.65
2011-05-31,6.81,6.94,6.75,6.76,7300,6.76
2011-05-23,7.00,7.09,6.80,6.80,7900,6.80
2011-05-16,7.00,7.05,6.80,7.00,14000,7.00
2011-05-09,6.99,7.01,6.92,6.95,5100,6.95
2011-05-02,7.00,7.17,6.90,6.92,12300,6.92
2011-04-25,6.90,7.20,6.75,7.00,10300,7.00
2011-04-18,6.70,6.90,6.66,6.87,7500,6.87
2011-04-11,6.61,6.83,6.61,6.70,4600,6.70
2011-04-04,6.66,6.75,6.51,6.55,6100,6.55
2011-03-28,6.91,6.91,6.65,6.74,7600,6.74
2011-03-21,6.90,6.94,6.80,6.91,2300,6.91
2011-03-14,6.85,6.90,6.77,6.82,4900,6.82
2011-03-07,6.89,6.95,6.80,6.86,14500,6.86
2011-02-28,6.90,6.95,6.79,6.87,16900,6.87
2011-02-22,6.95,7.05,6.76,6.90,15800,6.90
2011-02-14,6.96,7.30,6.90,6.96,24400,6.96
2011-02-07,6.85,6.90,6.60,6.90,17200,6.90
2011-01-31,6.69,6.95,6.50,6.70,7900,6.70
2011-01-24,6.44,6.60,6.40,6.58,12500,6.58
2011-01-18,6.30,6.70,6.26,6.57,9500,6.57
2011-01-10,6.21,6.40,6.10,6.40,4100,6.40
2011-01-03,6.35,6.50,6.15,6.23,5200,6.23
2010-12-27,5.95,6.48,5.95,6.48,9600,6.48
2010-12-20,5.72,6.09,5.70,5.96,2200,5.96
2010-12-13,6.10,6.15,5.80,5.80,3500,5.80
2010-12-06,5.68,6.19,5.68,6.06,4600,6.06
2010-11-29,5.79,6.00,5.50,5.70,9600,5.70
2010-11-22,5.37,5.90,5.25,5.82,5400,5.82
2010-11-15,5.38,5.50,5.10,5.40,32000,5.40
2010-11-08,5.24,5.70,5.20,5.25,5500,5.25
2010-11-01,5.22,5.25,4.88,5.20,9100,5.20
2010-10-25,5.10,5.25,4.90,5.13,23000,5.13
2010-10-18,4.17,5.14,4.17,5.05,10100,5.05
2010-10-11,4.24,4.38,4.05,4.19,8700,4.19
2010-10-04,4.14,4.33,4.14,4.25,7000,4.25
2010-09-27,4.37,4.54,4.07,4.25,7900,4.25
2010-09-20,4.48,4.52,4.26,4.37,3900,4.37
2010-09-13,4.09,4.49,3.95,4.48,7200,4.48
2010-09-07,4.20,4.20,3.95,3.95,3400,3.95
2010-08-30,4.18,4.25,4.00,4.23,8600,4.23
2010-08-23,4.31,4.34,4.10,4.19,5700,4.19
2010-08-16,4.39,4.50,4.32,4.32,2200,4.32
2010-08-09,4.27,4.50,4.14,4.25,1500,4.25
2010-08-02,4.50,4.50,4.11,4.26,2600,4.26
2010-07-26,4.37,4.50,4.17,4.35,4000,4.35
2010-07-19,3.79,4.46,3.60,4.41,21400,4.41
2010-07-12,3.94,4.14,3.77,3.78,9500,3.78
2010-07-06,4.10,4.15,3.91,4.00,5600,4.00
2010-06-28,4.45,4.45,4.07,4.10,3200,4.10
2010-06-21,4.26,4.46,4.26,4.30,5500,4.30
2010-06-14,4.44,4.44,4.25,4.25,1300,4.25
2010-06-07,4.30,4.49,4.28,4.44,7600,4.44
2010-06-01,4.63,4.63,4.15,4.30,55400,4.30
2010-05-24,4.84,4.95,4.38,4.60,12100,4.60
2010-05-17,5.15,5.20,4.70,4.80,5300,4.80
2010-05-10,5.14,5.20,4.90,5.10,6500,5.10
2010-05-03,5.13,5.19,4.80,5.19,2200,5.19
