Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.25,27.36,27.05,27.32,3716900,27.32
2012-05-14,27.32,27.62,27.08,27.19,3942200,27.19
2012-05-07,27.35,27.78,27.23,27.52,3420100,27.52
2012-04-30,27.14,27.64,27.07,27.35,4150600,27.35
2012-04-23,27.01,27.49,26.91,27.31,3237500,27.31
2012-04-16,26.83,27.24,26.77,27.15,3709800,27.15
2012-04-09,27.42,27.78,26.68,26.77,7499700,26.77
2012-04-02,28.28,28.44,27.50,27.63,4263300,27.63
2012-03-26,27.87,28.27,27.56,28.26,4429200,28.26
2012-03-19,28.32,28.43,27.48,27.67,3883300,27.67
2012-03-12,28.29,28.56,27.97,28.31,3098600,28.31
2012-03-05,28.47,28.59,27.70,28.26,3003500,28.26
2012-02-27,28.83,29.00,28.25,28.46,5600700,28.10
2012-02-21,28.48,28.95,28.20,28.85,8903300,28.48
2012-02-13,28.45,28.59,27.64,28.47,4843200,28.11
2012-02-06,27.48,28.54,27.29,28.45,4518800,28.09
2012-01-30,27.71,27.94,27.31,27.54,4636900,27.19
2012-01-23,27.56,28.38,27.41,27.80,4821400,27.45
2012-01-17,28.15,28.34,27.49,27.50,5493400,27.15
2012-01-09,28.62,28.99,27.75,28.09,4789400,27.73
2012-01-03,29.85,29.85,28.38,28.52,5337400,28.16
2011-12-27,29.68,29.88,29.42,29.42,2467000,29.05
2011-12-19,28.74,29.85,28.28,29.65,3349500,29.27
2011-12-12,28.95,29.20,28.61,28.74,4467700,28.37
2011-12-05,29.97,30.06,28.83,29.07,4780500,28.70
2011-11-28,29.00,30.11,28.80,29.68,4805900,28.96
2011-11-21,29.40,29.48,28.28,28.57,5179500,27.87
2011-11-14,30.13,30.20,29.04,29.53,5924500,28.81
2011-11-07,29.60,30.25,29.48,30.24,3146700,29.50
2011-10-31,29.56,30.27,28.85,29.67,3758500,28.95
2011-10-24,29.36,29.78,28.76,29.70,4000200,28.98
2011-10-17,28.43,29.42,28.17,29.42,3419700,28.70
2011-10-10,28.45,28.75,28.19,28.52,3424200,27.83
2011-10-03,28.50,28.66,27.00,28.10,4940500,27.42
2011-09-26,28.67,29.31,28.49,28.54,5093000,27.85
2011-09-19,28.46,29.61,28.05,28.49,4425900,27.80
2011-09-12,27.65,29.00,27.55,28.80,4065500,28.10
2011-09-06,28.07,28.67,27.69,27.95,4965800,27.27
2011-08-29,28.00,29.06,28.00,28.54,4457100,27.51
2011-08-22,27.58,28.22,26.97,27.80,7722600,26.79
2011-08-15,26.18,27.55,26.13,27.30,7360100,26.31
2011-08-08,26.15,26.48,25.00,26.00,9856600,25.06
2011-08-01,28.15,28.15,26.40,26.56,6009800,25.60
2011-07-25,28.04,28.73,27.87,27.90,4382700,26.89
2011-07-18,27.76,28.16,27.33,28.01,3079600,26.99
2011-07-11,27.77,28.10,27.56,27.78,3444600,26.77
2011-07-05,27.97,28.19,27.77,28.02,3403000,27.00
2011-06-27,27.16,28.03,26.97,28.02,4530000,27.00
2011-06-20,27.00,27.73,26.82,27.08,5679300,26.10
2011-06-13,27.13,27.43,26.84,27.08,4513600,26.10
2011-06-06,27.71,28.00,26.95,26.95,5726700,25.97
2011-05-31,28.05,28.23,27.50,27.77,4433800,26.42
2011-05-23,28.09,28.22,27.51,27.86,3816300,26.51
2011-05-16,27.92,28.38,27.59,28.28,4449100,26.91
2011-05-09,27.54,28.10,27.21,27.93,5610500,26.58
2011-05-02,27.59,27.95,27.04,27.53,7367100,26.20
2011-04-25,26.93,27.56,26.81,27.43,6720600,26.10
2011-04-18,26.79,27.09,26.48,26.90,6629200,25.60
2011-04-11,25.36,27.07,25.23,27.00,29586700,25.69
2011-04-04,25.89,25.99,25.48,25.87,4246700,24.62
2011-03-28,24.56,25.76,24.46,25.70,5086900,24.45
2011-03-21,24.76,24.84,24.32,24.57,3977600,23.38
2011-03-14,25.06,25.27,24.10,24.59,7168800,23.40
2011-03-07,25.81,26.03,25.00,25.26,5507000,24.04
2011-02-28,25.27,26.18,24.50,25.56,8474100,23.99
2011-02-22,24.90,25.25,24.61,24.81,3618200,23.29
2011-02-14,24.76,25.10,24.50,25.03,4969600,23.50
2011-02-07,25.04,25.14,24.56,24.75,6179300,23.23
2011-01-31,25.48,26.00,24.83,25.08,5136700,23.54
2011-01-24,25.85,26.22,25.39,25.41,5843700,23.85
2011-01-18,25.65,26.09,25.50,25.83,3768400,24.25
2011-01-10,26.35,26.65,25.33,25.65,5500600,24.08
2011-01-03,26.51,26.98,26.18,26.39,3119500,24.77
2010-12-27,26.40,26.50,26.16,26.32,1575500,24.71
2010-12-20,26.11,26.54,26.00,26.40,2568700,24.78
2010-12-13,25.26,26.05,25.17,26.03,3973000,24.43
2010-12-06,25.91,26.21,25.13,25.25,4021800,23.70
2010-11-29,25.20,26.01,25.13,25.91,8084600,23.99
2010-11-22,25.65,25.82,25.18,25.30,2923000,23.43
2010-11-15,26.14,26.29,25.50,25.71,3086200,23.81
2010-11-08,26.94,27.09,26.04,26.12,3047200,24.19
2010-11-01,26.97,27.08,26.18,27.00,3976700,25.00
2010-10-25,27.00,27.06,25.89,26.86,5394600,24.87
2010-10-18,27.57,28.14,26.82,26.91,4003100,24.92
2010-10-11,27.74,27.88,27.00,27.53,4531000,25.49
2010-10-04,27.47,28.14,27.36,27.71,3427700,25.66
2010-09-27,27.45,27.84,27.08,27.44,3641500,25.41
2010-09-20,26.57,27.55,26.50,27.41,5147300,25.38
2010-09-13,27.43,27.60,26.53,26.75,4574000,24.77
2010-09-07,27.73,27.85,26.90,27.24,3833200,25.22
2010-08-30,27.37,27.95,26.79,27.70,4486500,25.32
2010-08-23,26.62,27.53,26.28,27.40,4924700,25.05
2010-08-16,26.77,27.38,26.34,26.56,3464500,24.28
2010-08-09,26.87,27.10,25.51,26.88,5893100,24.57
2010-08-02,27.45,27.89,26.16,26.78,6080700,24.48
2010-07-26,26.61,28.00,26.60,27.29,6123200,24.95
2010-07-19,25.75,26.87,25.75,26.66,4266800,24.37
2010-07-12,26.20,26.48,25.61,25.72,5596400,23.51
2010-07-06,25.64,26.62,25.45,26.22,6594100,23.97
2010-06-28,25.13,25.58,24.65,25.46,7654900,23.27
2010-06-21,25.59,25.80,24.23,24.93,29005900,22.79
2010-06-14,25.76,26.11,25.49,26.06,2954200,23.82
2010-06-07,25.17,25.83,24.84,25.54,3465800,23.35
2010-06-01,25.65,25.98,25.00,25.09,3081800,22.62
2010-05-24,24.91,26.04,24.00,25.81,3843500,23.27
2010-05-17,26.07,26.43,24.43,24.98,4404000,22.52
2010-05-10,25.35,26.07,25.04,25.56,4119300,23.05
2010-05-03,25.02,25.21,23.75,24.74,5893900,22.31
2010-04-26,28.65,28.80,24.66,24.76,8675100,22.33
2010-04-19,27.38,28.65,27.16,28.64,3118400,25.82
2010-04-12,28.16,28.38,27.40,27.47,2113000,24.77
2010-04-05,28.40,28.57,27.73,27.98,2035400,25.23
2010-03-29,27.70,28.34,27.56,28.28,1895300,25.50
2010-03-22,28.41,28.63,27.47,27.58,2415300,24.87
2010-03-15,28.23,29.30,28.06,28.51,2713900,25.71
2010-03-08,28.66,29.08,28.20,28.20,2192000,25.43
2010-03-01,28.64,29.17,28.51,28.98,2671600,25.81
2010-02-22,30.05,30.05,28.43,28.48,2332300,25.37
2010-02-16,29.33,29.96,29.33,29.86,1653200,26.60
2010-02-08,28.95,29.40,28.59,29.21,2444000,26.02
2010-02-01,29.61,29.71,28.35,29.00,2260500,25.83
2010-01-25,30.68,30.84,29.43,29.49,2407600,26.27
2010-01-19,31.81,32.22,30.44,30.44,1525700,27.12
2010-01-11,31.94,32.76,31.52,31.89,1349200,28.41
2010-01-04,32.60,32.77,31.34,31.71,1794000,28.25
