Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,70.22,71.58,69.82,71.02,628600,71.02
2012-05-14,73.37,74.17,70.20,70.22,588200,70.22
2012-05-07,72.72,74.75,71.56,74.26,656800,73.63
2012-04-30,69.51,73.54,69.11,72.81,531000,72.19
2012-04-23,67.17,69.93,66.51,69.74,459400,69.14
2012-04-16,66.77,67.95,66.18,67.56,461800,66.98
2012-04-09,66.93,67.91,65.73,66.39,351100,65.82
2012-04-02,68.06,68.89,67.14,67.61,319900,67.03
2012-03-26,66.00,68.55,65.86,67.89,486700,67.31
2012-03-19,65.47,66.05,64.70,65.75,303300,65.19
2012-03-12,64.36,66.89,64.22,65.56,295300,65.00
2012-03-05,63.95,64.59,62.59,64.20,352600,63.65
2012-02-27,64.46,66.02,63.36,64.18,433400,63.63
2012-02-21,65.87,66.21,63.86,64.62,412900,64.07
2012-02-13,67.28,68.20,65.19,65.90,440900,65.34
2012-02-06,67.34,68.90,65.72,67.07,505300,65.88
2012-01-30,64.24,67.65,63.29,67.64,525400,66.44
2012-01-23,64.17,65.35,62.34,64.40,467600,63.25
2012-01-17,65.79,65.94,61.30,64.20,465200,63.06
2012-01-09,64.25,66.01,64.04,65.55,318200,64.38
2012-01-03,66.77,66.77,62.31,64.33,320100,63.19
2011-12-27,64.02,64.86,63.01,64.21,225900,63.07
2011-12-19,61.79,64.40,61.38,64.29,350000,63.15
2011-12-12,63.35,64.11,60.87,62.00,463700,60.90
2011-12-05,65.14,66.76,63.50,63.92,661100,62.78
2011-11-28,65.57,67.93,63.79,64.67,544300,63.52
2011-11-21,64.27,65.98,61.63,64.57,470700,63.42
2011-11-14,67.19,68.04,63.53,64.55,431700,63.40
2011-11-07,66.97,68.23,65.67,67.52,456900,65.72
2011-10-31,61.70,67.72,61.13,67.11,805500,65.32
2011-10-24,60.07,64.00,59.29,62.50,706300,60.83
2011-10-17,52.19,60.88,51.13,59.98,813300,58.38
2011-10-10,53.61,53.90,51.88,52.72,473400,51.31
2011-10-03,52.43,55.31,50.16,52.86,525000,51.45
2011-09-26,52.00,54.57,51.93,52.27,846600,50.88
2011-09-19,55.89,57.18,51.74,51.98,583100,50.59
2011-09-12,55.61,57.98,55.49,56.81,759600,55.29
2011-09-06,54.62,57.45,54.61,55.91,658100,54.42
2011-08-29,55.47,57.73,55.35,56.36,707900,54.86
2011-08-22,56.72,56.78,53.82,54.37,464300,52.92
2011-08-15,59.65,61.99,55.80,55.88,494700,54.39
2011-08-08,61.27,62.08,57.18,58.97,580600,56.83
2011-08-01,67.68,68.85,61.60,62.52,685700,60.25
2011-07-25,67.61,68.72,66.44,66.82,317700,64.40
2011-07-18,68.42,69.50,67.53,68.78,314400,66.29
2011-07-11,68.60,69.55,67.92,68.39,322000,65.91
2011-07-05,69.14,69.59,68.31,69.00,391100,66.50
2011-06-27,67.41,69.61,67.31,69.03,373400,66.53
2011-06-20,67.82,68.79,67.14,67.28,365800,64.84
2011-06-13,69.88,70.67,67.62,68.00,395000,65.53
2011-06-06,73.14,73.46,69.78,69.83,321900,67.30
2011-05-31,74.91,75.15,70.99,73.52,516100,70.85
2011-05-23,75.93,76.34,73.62,74.53,586800,71.83
2011-05-16,76.56,77.71,75.67,76.94,422300,74.15
2011-05-09,79.12,80.10,76.41,76.59,445000,73.23
2011-05-02,80.67,80.84,76.98,79.44,648400,75.96
2011-04-25,78.61,81.03,78.11,80.36,405400,76.84
2011-04-18,79.14,79.97,78.28,78.45,316500,75.01
2011-04-11,81.31,82.04,79.09,79.88,483500,76.38
2011-04-04,82.63,83.26,81.06,81.32,453100,77.76
2011-03-28,75.75,81.09,75.18,81.02,551800,77.47
2011-03-21,74.91,75.97,74.64,75.55,350700,72.24
2011-03-14,74.45,76.01,72.51,74.21,868400,70.96
2011-03-07,77.79,78.17,73.61,75.63,516600,72.31
2011-02-28,79.12,79.57,76.57,77.28,477200,73.89
2011-02-22,80.45,80.46,77.05,78.91,526800,75.45
2011-02-14,81.72,82.25,80.47,82.10,398700,78.50
