Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.20,1.48,1.17,1.44,363400,1.44
2012-05-14,1.27,1.36,1.14,1.24,413000,1.24
2012-05-07,1.32,1.41,1.24,1.26,235100,1.26
2012-04-30,1.38,1.42,1.25,1.30,233300,1.30
2012-04-23,1.57,1.60,1.36,1.40,519200,1.40
2012-04-16,1.16,1.62,1.10,1.60,515500,1.60
2012-04-09,1.06,1.33,1.03,1.15,524900,1.15
2012-04-02,1.05,1.16,0.91,1.03,254100,1.03
2012-03-26,1.04,1.15,1.00,1.07,156300,1.07
2012-03-19,1.19,1.23,1.01,1.04,222000,1.04
2012-03-12,1.01,1.22,0.99,1.19,259300,1.19
2012-03-05,0.84,1.05,0.81,1.00,201500,1.00
2012-02-27,0.83,0.86,0.80,0.83,164500,0.83
2012-02-21,0.79,0.83,0.79,0.83,106100,0.83
2012-02-13,0.85,0.86,0.79,0.80,115800,0.80
2012-02-06,0.80,0.90,0.78,0.83,151000,0.83
2012-01-30,0.83,0.85,0.78,0.81,107200,0.81
2012-01-23,0.91,0.91,0.79,0.84,107700,0.84
2012-01-17,0.82,0.89,0.74,0.80,329300,0.80
2012-01-09,0.84,0.90,0.81,0.84,125000,0.84
2012-01-03,0.85,0.93,0.81,0.87,87100,0.87
2011-12-27,0.82,0.89,0.81,0.86,91400,0.86
2011-12-19,0.90,0.92,0.81,0.83,106100,0.83
2011-12-12,0.95,0.98,0.87,0.87,172600,0.87
2011-12-05,0.98,1.00,0.94,0.98,109000,0.98
2011-11-28,1.00,1.04,0.89,0.99,121500,0.99
2011-11-21,0.97,1.00,0.89,0.92,63600,0.92
2011-11-14,1.05,1.06,0.88,1.00,128400,1.00
2011-11-07,0.93,1.08,0.91,1.04,239500,1.04
2011-10-31,0.83,0.93,0.81,0.93,57900,0.93
2011-10-24,0.90,0.90,0.80,0.85,129000,0.85
2011-10-17,0.92,0.92,0.84,0.87,53200,0.87
2011-10-10,0.88,0.99,0.83,0.90,91000,0.90
2011-10-03,0.90,0.93,0.80,0.84,87400,0.84
2011-09-26,1.01,1.02,0.89,0.90,134200,0.90
2011-09-19,1.22,1.22,0.92,0.97,164500,0.97
2011-09-12,0.94,1.29,0.90,1.20,226700,1.20
2011-09-06,0.83,0.97,0.83,0.94,150800,0.94
2011-08-29,0.87,0.94,0.85,0.87,140200,0.87
2011-08-22,0.89,0.91,0.84,0.87,118100,0.87
2011-08-15,1.00,1.00,0.79,0.84,254100,0.84
2011-08-08,1.06,1.14,0.97,1.00,324200,1.00
2011-08-01,1.26,1.29,1.05,1.09,666800,1.09
