Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.07,18.39,18.00,18.13,347300,18.13
2012-05-14,18.58,18.77,17.96,18.12,256400,18.12
2012-05-07,18.70,19.22,18.54,18.70,236200,18.70
2012-04-30,18.90,19.02,18.65,18.71,769600,18.71
2012-04-23,17.99,19.05,17.85,18.99,191400,18.99
2012-04-16,17.88,18.24,17.74,18.16,140200,18.16
2012-04-09,17.98,18.25,17.63,17.77,243900,17.77
2012-04-02,19.22,19.70,17.99,18.10,187900,18.10
2012-03-26,19.58,19.64,18.62,18.74,167100,18.29
2012-03-19,19.48,19.53,18.94,19.37,157900,18.90
2012-03-12,19.02,19.48,18.87,19.40,180600,18.93
2012-03-05,19.21,19.27,18.65,18.93,159000,18.48
2012-02-27,18.96,19.39,18.70,19.09,232600,18.63
2012-02-21,19.27,19.92,18.92,19.81,236200,19.33
2012-02-13,18.84,19.57,18.84,19.47,153400,19.00
2012-02-06,19.05,19.21,18.70,18.83,236700,18.38
2012-01-30,18.19,19.26,18.13,19.21,1835700,18.75
2012-01-23,19.11,19.28,18.25,18.50,269300,18.06
2012-01-17,19.14,19.29,18.26,19.13,352600,18.67
2012-01-09,19.02,19.21,18.47,18.66,146500,18.21
2012-01-03,19.12,19.37,18.72,18.96,195500,18.50
2011-12-27,18.93,19.01,18.66,18.87,106700,18.42
2011-12-19,17.79,18.97,17.64,18.94,149800,18.49
2011-12-12,17.83,17.98,17.36,17.72,282800,17.29
2011-12-05,17.96,18.09,17.59,17.94,112600,17.51
2011-11-28,17.09,18.24,17.00,17.68,195100,17.26
2011-11-21,17.27,17.32,16.64,16.64,140300,16.24
2011-11-14,17.73,18.00,17.14,17.43,152400,17.01
2011-11-07,18.53,18.73,17.74,18.31,152400,17.87
2011-10-31,18.77,18.84,17.54,18.61,166400,18.16
2011-10-24,18.62,19.34,18.33,18.89,208500,18.44
2011-10-17,18.49,18.74,17.86,18.59,151000,18.14
2011-10-10,18.11,18.71,18.09,18.69,126600,18.24
2011-10-03,17.33,18.18,17.16,17.95,177000,17.52
2011-09-26,17.67,18.52,17.39,17.51,157400,17.09
2011-09-19,17.99,18.38,17.02,17.54,166000,17.12
2011-09-12,16.58,18.14,16.57,18.02,203000,17.59
2011-09-06,17.00,17.71,16.83,17.02,155800,16.61
2011-08-29,17.79,18.28,17.53,17.62,143000,17.20
2011-08-22,17.84,18.06,16.92,17.52,218200,17.10
2011-08-15,17.95,18.23,16.84,17.19,232100,16.78
2011-08-08,17.57,18.07,16.52,17.99,463200,17.33
2011-08-01,19.45,19.49,17.77,18.08,335400,17.42
2011-07-25,18.70,19.27,18.36,19.05,176500,18.36
2011-07-18,18.27,19.13,18.12,19.06,311200,18.37
2011-07-11,18.64,19.03,18.46,18.66,82200,17.98
2011-07-05,19.44,19.53,18.95,19.09,110400,18.39
2011-06-27,18.01,19.12,18.00,19.05,140200,18.36
2011-06-20,18.49,18.67,17.97,18.15,206300,17.49
2011-06-13,19.12,19.30,18.25,18.50,115700,17.83
2011-06-06,18.58,19.16,18.48,18.89,145500,18.20
2011-05-31,18.81,18.85,18.20,18.57,138100,17.89
2011-05-23,18.30,18.56,18.05,18.54,85100,17.86
2011-05-16,18.50,18.89,18.39,18.71,276400,18.03
2011-05-09,18.53,19.16,18.44,18.89,226400,18.20
2011-05-02,19.10,19.20,18.29,18.57,392800,17.89
2011-04-25,18.67,19.40,18.56,19.05,276800,18.36
2011-04-18,17.91,18.87,17.68,18.59,173700,17.91
2011-04-11,18.13,18.19,17.72,17.92,138800,17.27
2011-04-04,18.73,18.75,17.91,18.02,183900,17.36
2011-03-28,17.44,18.40,17.33,18.29,93800,17.23
2011-03-21,17.47,17.81,17.27,17.35,104300,16.34
2011-03-14,17.63,17.68,16.53,17.11,244200,16.12
2011-03-07,18.19,18.22,17.55,17.58,144900,16.56
2011-02-28,17.25,17.83,16.75,17.80,197800,16.77
2011-02-22,16.72,16.94,16.34,16.90,170200,15.92
2011-02-14,16.93,17.27,16.90,17.19,163800,16.19
2011-02-07,17.03,17.32,16.93,17.22,86200,16.22
2011-01-31,16.50,17.12,16.41,16.93,151300,15.95
2011-01-24,16.91,17.11,16.47,16.63,210500,15.66
2011-01-18,16.11,17.14,16.06,16.83,290100,15.85
2011-01-10,15.37,16.12,15.24,16.01,162200,15.08
2011-01-03,15.83,16.09,15.51,15.61,164600,14.70
2010-12-27,15.89,16.03,15.66,15.89,113800,14.97
2010-12-20,15.87,15.98,15.70,15.93,109700,15.01
2010-12-13,15.99,16.14,15.59,15.85,110200,14.93
2010-12-06,15.42,16.10,15.36,16.04,125900,15.11
2010-11-29,14.65,15.76,14.37,15.74,126200,14.83
2010-11-22,14.97,15.13,14.64,14.95,108300,14.08
2010-11-15,15.31,15.34,14.73,14.97,431300,14.10
2010-11-08,15.71,15.79,15.23,15.31,116000,14.42
2010-11-01,15.41,15.90,15.28,15.81,89000,14.89
2010-10-25,15.15,15.40,14.89,15.40,173900,14.51
2010-10-18,15.71,15.81,15.29,15.41,135600,14.52
2010-10-11,15.85,16.08,15.77,15.97,71300,15.04
2010-10-04,15.45,16.01,15.30,15.91,133000,14.99
2010-09-27,15.62,15.74,15.42,15.61,296600,14.70
2010-09-20,15.82,16.00,15.41,15.71,141000,14.80
2010-09-13,15.45,15.93,15.18,15.77,197600,14.85
2010-09-07,15.15,15.59,15.00,15.32,112800,14.43
2010-08-30,14.94,15.69,14.71,15.66,121800,14.75
2010-08-23,14.57,15.03,14.36,14.98,146200,14.11
2010-08-16,15.21,15.57,14.67,14.81,523300,13.95
2010-08-09,16.19,16.24,15.25,15.39,823000,14.31
2010-08-02,15.92,16.35,15.89,16.18,72600,15.04
2010-07-26,15.78,16.16,15.45,15.67,209000,14.57
2010-07-19,14.19,15.10,13.97,15.08,130400,14.02
2010-07-12,13.81,14.69,13.81,14.18,84400,13.18
2010-07-06,13.64,13.93,13.31,13.83,71900,12.85
2010-06-28,13.92,14.00,13.12,13.21,161600,12.28
2010-06-21,14.36,14.42,13.80,13.89,124600,12.91
2010-06-14,13.99,14.30,13.78,14.25,118000,13.25
2010-06-07,13.45,13.87,12.96,13.74,140400,12.77
2010-06-01,13.72,14.15,13.52,13.57,121800,12.61
2010-05-24,13.55,14.00,13.12,13.76,246500,12.79
2010-05-17,14.43,14.60,13.34,13.71,213300,12.74
2010-05-10,14.84,15.04,14.33,14.46,559400,13.44
2010-05-03,16.02,16.37,13.78,14.02,418300,13.03
2010-04-26,16.31,16.36,15.40,15.97,176700,14.84
2010-04-19,15.38,16.15,15.29,16.15,87600,15.01
2010-04-12,15.45,15.87,15.28,15.52,86900,14.43
2010-04-05,15.87,16.08,15.16,15.43,110000,14.34
2010-03-29,15.64,15.98,15.43,15.83,109800,14.39
2010-03-22,14.88,15.53,14.88,15.43,83500,14.03
2010-03-15,15.18,15.44,14.90,14.95,178200,13.59
2010-03-08,15.24,15.29,14.94,15.24,93600,13.86
2010-03-01,14.25,15.09,14.08,15.06,140400,13.69
2010-02-22,13.92,14.06,13.72,14.05,161000,12.77
2010-02-16,13.69,14.00,13.60,13.85,131000,12.59
2010-02-08,13.45,13.79,13.40,13.75,133400,12.50
2010-02-01,14.26,14.39,13.27,13.50,137200,12.27
2010-01-25,14.41,14.43,14.05,14.19,120100,12.90
2010-01-19,14.65,14.79,14.06,14.06,119800,12.78
2010-01-11,14.15,14.79,14.08,14.61,180200,13.28
2010-01-04,14.50,14.54,13.87,13.98,86900,12.71
2009-12-28,14.11,14.47,14.00,14.36,83200,13.06
2009-12-21,14.12,14.26,14.01,14.14,69300,12.86
2009-12-14,14.24,14.45,13.89,13.99,72200,12.72
2009-12-07,14.05,14.25,13.76,14.23,81500,12.94
2009-11-30,13.74,14.28,13.59,13.98,101700,12.71
2009-11-23,14.17,14.23,13.67,13.83,79300,12.57
2009-11-16,14.29,14.50,13.93,14.02,79800,12.75
2009-11-09,14.27,14.43,13.97,14.22,91800,12.93
2009-11-02,13.76,14.14,13.56,14.11,104000,12.83
2009-10-26,13.96,14.12,13.60,13.61,181300,12.37
2009-10-19,13.30,14.31,13.30,13.88,207000,12.62
2009-10-12,12.76,13.44,12.61,13.37,182100,12.16
2009-10-05,12.22,12.75,12.18,12.63,209800,11.48
2009-09-28,12.27,12.54,11.99,12.09,159800,10.99
2009-09-21,12.38,12.91,12.20,12.34,124000,11.22
2009-09-14,12.41,12.61,12.24,12.50,57700,11.36
2009-09-08,12.60,12.61,12.19,12.38,106900,11.26
2009-08-31,12.15,12.45,11.96,12.19,128900,11.08
2009-08-24,12.20,12.42,12.10,12.32,88800,11.20
2009-08-17,11.67,12.20,11.55,12.15,154400,11.05
2009-08-10,11.86,12.11,11.66,12.01,134700,10.73
2009-08-03,11.56,12.14,11.55,12.03,178400,10.75
2009-07-27,11.12,11.68,11.06,11.59,250800,10.35
2009-07-20,10.21,10.49,9.97,10.09,153700,9.01
2009-07-13,9.63,10.23,9.59,10.11,121300,9.03
2009-07-06,9.53,9.72,9.29,9.61,232600,8.58
2009-06-29,10.08,10.16,9.62,9.64,267400,8.61
2009-06-22,9.95,10.46,9.75,10.11,460000,9.03
2009-06-15,9.98,10.18,9.79,10.07,196000,9.00
2009-06-08,10.20,10.42,10.04,10.13,448400,9.05
2009-06-01,10.93,11.04,10.18,10.27,576200,9.17
2009-05-26,10.48,10.82,10.48,10.71,271400,9.57
2009-05-18,10.69,11.17,10.39,10.39,453800,9.28
2009-05-11,10.60,10.70,10.23,10.61,619800,9.48
2009-05-04,10.35,11.10,10.35,10.92,209200,9.76
2009-04-27,10.05,10.56,9.79,10.56,572300,9.43
2009-04-20,9.97,10.27,9.60,10.22,180800,9.13
2009-04-13,10.23,10.34,9.90,10.23,177600,9.14
2009-04-06,10.79,10.88,10.01,10.15,199200,9.07
2009-03-30,9.67,10.79,9.63,10.70,157100,9.27
2009-03-23,10.05,10.53,9.86,9.92,245900,8.60
2009-03-16,9.72,10.16,9.43,9.96,200200,8.63
2009-03-09,8.61,9.64,8.51,9.58,258500,8.30
