Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.12,19.51,18.95,19.17,1147000,19.17
2012-05-14,20.45,20.46,18.64,18.91,1148300,18.91
2012-05-07,23.27,23.69,19.80,20.63,1706200,20.63
2012-04-30,23.94,24.40,23.09,23.36,447800,23.36
2012-04-23,23.48,24.17,23.28,23.94,409500,23.94
2012-04-16,23.91,24.56,23.60,23.85,444700,23.85
2012-04-09,24.53,24.67,23.82,23.85,332800,23.85
2012-04-02,25.31,25.77,24.66,24.93,343000,24.93
2012-03-26,25.48,25.99,25.34,25.34,320900,25.34
2012-03-19,24.98,25.71,24.98,25.28,441500,25.28
2012-03-12,24.82,25.39,24.47,24.97,475400,24.97
2012-03-05,23.66,25.00,23.55,24.81,642800,24.81
2012-02-27,24.33,24.80,23.73,23.76,601200,23.76
2012-02-21,24.00,24.73,23.96,24.53,398700,24.53
2012-02-13,24.42,24.53,23.51,24.14,712900,24.14
2012-02-06,25.68,25.82,23.96,24.14,885300,24.14
2012-01-30,24.51,25.92,24.23,25.86,710800,25.86
2012-01-23,24.19,24.88,23.37,24.58,890100,24.58
2012-01-17,23.04,24.24,22.94,24.20,477300,24.20
2012-01-09,24.26,24.30,22.67,22.93,541500,22.93
2012-01-03,24.62,25.23,23.80,24.21,594100,24.21
2011-12-27,24.19,25.05,23.95,24.19,220500,24.19
2011-12-19,24.32,24.71,23.81,24.31,360700,24.31
2011-12-12,23.95,24.50,23.31,24.13,469300,24.13
2011-12-05,24.41,24.48,23.40,24.18,486900,24.18
2011-11-28,22.89,24.76,22.60,24.10,645400,24.10
2011-11-21,22.50,23.00,22.02,22.30,495900,22.30
2011-11-14,23.39,23.74,22.39,22.93,620900,22.93
2011-11-07,21.85,23.57,21.50,23.43,820300,23.43
2011-10-31,22.75,22.91,21.35,21.84,591400,21.84
2011-10-24,21.20,23.18,20.96,23.11,1067500,23.11
2011-10-17,20.79,21.21,20.14,21.15,403100,21.15
2011-10-10,20.36,21.19,20.09,20.97,740100,20.97
2011-10-03,19.54,20.35,18.51,20.10,1061100,20.10
2011-09-26,19.95,21.36,19.55,19.69,695700,19.69
2011-09-19,21.62,22.03,19.14,19.80,1077100,19.80
2011-09-12,21.22,22.39,21.22,21.99,1147300,21.99
2011-09-06,21.86,23.06,21.50,21.57,456500,21.57
2011-08-29,22.63,23.99,22.42,22.44,728600,22.44
2011-08-22,22.43,23.12,21.40,22.41,593400,22.41
2011-08-15,23.45,23.94,21.50,21.99,668300,21.99
2011-08-08,22.43,23.74,21.88,23.35,1300100,23.35
2011-08-01,24.06,24.06,22.08,22.97,1382400,22.97
2011-07-25,28.10,28.39,23.43,23.93,1243400,23.93
2011-07-18,28.35,28.87,28.01,28.39,588800,28.39
2011-07-11,28.17,28.87,27.82,28.44,480600,28.44
2011-07-05,28.23,28.79,28.13,28.45,418400,28.45
2011-06-27,26.67,28.47,26.61,28.19,434700,28.19
2011-06-20,27.05,27.45,26.55,26.76,605100,26.76
2011-06-13,27.16,28.15,26.66,27.15,498500,27.15
2011-06-06,27.83,28.02,27.03,27.07,700400,27.07
2011-05-31,29.05,29.47,27.81,27.86,698700,27.86
2011-05-23,28.52,29.28,28.07,28.96,542200,28.96
2011-05-16,28.59,29.26,28.50,28.93,631500,28.93
2011-05-09,28.19,29.28,28.18,28.79,387200,28.79
2011-05-02,28.89,29.11,27.99,28.29,521500,28.29
2011-04-25,27.86,28.92,27.70,28.76,417700,28.76
2011-04-18,27.19,28.01,26.91,27.94,641000,27.94
2011-04-11,27.26,27.83,26.75,27.38,581400,27.38
2011-04-04,27.29,27.72,27.13,27.29,292900,27.29
2011-03-28,26.96,27.36,26.65,27.17,663500,27.17
2011-03-21,26.18,26.98,26.10,26.80,390800,26.80
2011-03-14,25.86,26.19,25.33,26.02,495700,26.02
2011-03-07,26.24,26.60,25.63,26.10,436000,26.10
2011-02-28,25.99,26.30,25.31,26.05,580400,26.05
2011-02-22,25.39,25.81,24.81,25.81,346000,25.81
2011-02-14,24.84,25.68,24.73,25.66,679700,25.66
2011-02-07,23.68,25.13,23.51,24.97,397800,24.97
2011-01-31,24.04,24.23,23.63,23.70,347000,23.70
2011-01-24,22.68,24.66,22.58,23.84,656300,23.84
2011-01-18,22.81,23.32,22.72,22.76,430500,22.76
2011-01-10,22.89,23.55,22.74,22.91,441800,22.91
