Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.50,13.69,13.50,13.69,3200,13.69
2012-05-14,14.59,14.59,13.00,13.33,1800,13.33
2012-05-07,15.71,15.71,14.59,14.59,300,14.59
2012-04-30,15.78,15.78,15.71,15.71,000,15.71
2012-04-23,15.56,15.91,15.56,15.86,200,15.86
2012-04-16,16.15,16.15,15.97,15.97,100,15.97
2012-04-09,15.90,16.30,15.73,16.26,4900,16.26
2012-04-02,16.50,16.67,16.29,16.29,200,16.29
2012-03-26,16.80,16.93,16.43,16.43,200,16.43
2012-03-19,17.34,17.34,16.60,16.77,800,16.77
2012-03-12,16.82,17.34,16.82,17.34,800,17.34
2012-03-05,17.38,17.38,16.40,16.83,400,16.77
2012-02-27,17.40,17.79,17.40,17.58,300,17.52
2012-02-21,17.51,17.56,17.36,17.36,500,17.30
2012-02-13,17.68,17.68,17.14,17.31,500,17.25
2012-02-06,17.55,17.94,17.41,17.41,1000,17.35
2012-01-30,17.02,17.44,16.69,17.39,1300,17.33
2012-01-23,17.00,17.33,16.81,17.30,1200,17.24
2012-01-17,16.21,16.94,16.21,16.91,400,16.85
2012-01-09,15.31,16.02,15.24,15.78,1000,15.72
2012-01-03,15.57,15.75,15.32,15.32,1500,15.26
2011-12-27,15.05,15.05,14.69,14.88,900,14.83
2011-12-19,14.17,15.13,14.17,15.07,600,15.01
2011-12-12,15.32,15.38,14.65,14.80,1500,14.75
2011-12-05,16.00,16.08,15.59,15.59,100,15.37
2011-11-28,15.15,16.00,14.81,16.00,600,15.77
2011-11-21,15.16,15.16,14.38,14.38,500,14.18
2011-11-14,16.18,16.43,15.56,15.61,300,15.39
2011-11-07,16.76,16.84,16.02,16.18,3300,15.95
2011-10-31,17.00,17.00,16.29,16.75,700,16.51
2011-10-24,15.42,17.75,15.15,17.41,1200,17.16
2011-10-17,16.05,16.05,15.12,15.81,500,15.59
2011-10-10,15.42,16.47,15.42,16.38,600,16.15
2011-10-03,15.02,15.03,13.51,14.95,800,14.74
2011-09-26,14.72,15.60,14.72,15.02,300,14.81
2011-09-19,17.13,17.16,14.74,14.90,1500,14.69
2011-09-12,16.97,17.80,16.78,17.80,300,17.55
2011-09-06,18.04,18.25,17.54,17.54,700,17.22
2011-08-29,18.05,18.90,18.04,18.04,300,17.71
2011-08-22,17.16,17.56,17.05,17.56,300,17.24
2011-08-15,18.77,18.86,17.04,17.04,1700,16.73
2011-08-08,18.20,18.52,17.00,18.48,3100,18.14
2011-08-01,22.30,22.30,18.47,19.39,2500,19.04
2011-07-25,22.60,22.60,21.76,21.96,600,21.56
2011-07-18,21.83,22.62,21.83,22.60,300,22.19
2011-07-11,22.53,22.63,21.23,22.27,1100,21.86
2011-07-05,22.85,23.05,22.70,22.83,600,22.41
2011-06-27,21.48,22.88,21.48,22.88,1500,22.46
2011-06-20,21.12,21.73,21.12,21.48,800,21.09
2011-06-13,21.68,21.90,21.00,21.25,1200,20.86
2011-06-06,22.10,22.10,21.80,22.00,600,21.45
2011-05-31,22.56,22.56,22.10,22.10,400,21.55
2011-05-23,21.46,22.15,21.46,22.15,600,21.60
2011-05-16,22.18,22.40,22.00,22.40,500,21.84
2011-05-09,23.02,23.28,22.00,22.00,21800,21.45
2011-05-02,23.93,23.93,22.63,23.00,23600,22.43
2011-04-25,23.95,23.95,23.26,23.75,4800,23.16
2011-04-18,22.65,24.03,22.51,23.77,2200,23.18
2011-04-11,23.95,23.95,23.25,23.30,600,22.72
2011-04-04,24.30,24.35,23.91,23.97,1600,23.37
2011-03-28,23.78,24.22,23.60,24.18,2300,23.58
2011-03-21,23.19,23.69,23.08,23.68,26100,23.09
2011-03-14,22.81,22.89,20.96,22.81,1700,22.24
2011-03-07,24.03,24.03,22.53,22.82,1500,22.25
2011-02-28,23.80,24.15,23.53,23.82,600,23.22
2011-02-22,23.83,23.84,23.28,23.75,2100,23.16
2011-02-14,24.35,24.56,24.21,24.41,1500,23.80
2011-02-07,24.82,25.01,23.61,24.25,3000,23.64
2011-01-31,23.30,24.46,23.30,24.30,49300,23.69
2011-01-24,23.74,24.22,23.54,23.54,2400,22.95
2011-01-18,24.18,24.23,23.46,23.71,1200,23.12
2011-01-10,23.55,24.25,23.55,24.25,000,23.64
2011-01-03,23.92,24.33,23.55,23.55,3400,22.96
2010-12-27,23.73,23.97,23.31,23.82,900,23.22
2010-12-20,23.17,23.79,23.17,23.49,1500,22.90
2010-12-13,23.26,23.78,22.42,23.23,2300,22.65
2010-12-06,22.48,23.25,22.48,22.66,13600,21.91
2010-11-29,21.54,22.16,21.15,22.16,300,21.43
2010-11-22,22.02,22.02,20.98,21.54,300,20.83
2010-11-15,22.11,22.38,21.58,21.69,1000,20.97
2010-11-08,22.82,23.09,22.28,22.28,700,21.54
2010-11-01,21.22,22.88,21.22,22.77,2300,22.02
2010-10-25,22.02,22.02,20.93,21.09,400,20.39
2010-10-18,22.21,22.21,21.43,21.62,500,20.90
2010-10-11,22.10,22.49,21.90,22.04,600,21.31
