Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.98,2.10,1.98,2.10,6000,2.10
2012-05-14,2.09,2.09,1.81,1.98,4200,1.98
2012-05-07,2.22,2.34,1.83,1.91,25800,1.91
2012-04-30,2.05,2.35,2.05,2.12,8600,2.12
2012-04-23,2.29,2.35,1.95,2.05,15700,2.05
2012-04-16,2.26,2.50,2.23,2.50,3300,2.50
2012-04-09,2.54,2.57,2.27,2.40,4900,2.40
2012-04-02,2.54,2.58,2.30,2.49,6800,2.49
2012-03-26,2.30,2.60,2.24,2.58,15300,2.58
2012-03-19,2.30,2.30,2.22,2.30,8400,2.30
2012-03-12,2.30,2.35,2.21,2.26,10400,2.26
2012-03-05,2.28,2.30,2.20,2.21,7300,2.21
2012-02-27,1.97,2.43,1.93,2.30,28700,2.30
2012-02-21,1.89,2.05,1.83,1.94,32700,1.94
2012-02-13,1.99,2.05,1.82,1.87,1900,1.87
2012-02-06,1.83,2.06,1.80,1.99,2900,1.99
2012-01-30,1.85,1.95,1.72,1.83,2500,1.83
2012-01-23,1.90,2.20,1.85,1.87,8400,1.87
2012-01-17,1.95,2.10,1.93,1.93,2600,1.93
2012-01-09,1.80,2.11,1.72,1.95,5500,1.95
2012-01-03,1.72,1.97,1.71,1.74,3300,1.74
2011-12-27,1.70,1.81,1.63,1.81,10500,1.81
2011-12-19,1.68,1.80,1.59,1.71,5500,1.71
2011-12-12,1.87,1.99,1.61,1.70,10100,1.70
2011-12-05,1.88,1.95,1.85,1.95,3100,1.95
2011-11-28,1.94,1.99,1.85,1.88,3800,1.88
2011-11-21,1.95,1.99,1.85,1.95,1500,1.95
2011-11-14,1.90,2.00,1.88,1.97,2300,1.97
2011-11-07,1.68,1.90,1.55,1.82,21500,1.82
2011-10-31,1.77,1.84,1.64,1.70,14700,1.70
2011-10-24,1.95,1.95,1.66,1.85,8000,1.85
2011-10-17,1.77,1.85,1.69,1.85,9700,1.85
2011-10-10,1.71,1.81,1.70,1.76,4400,1.76
2011-10-03,1.91,1.91,1.53,1.68,1200,1.68
2011-09-26,1.82,1.98,1.47,1.94,11300,1.94
2011-09-19,1.95,1.95,1.75,1.75,3600,1.75
2011-09-12,1.90,2.00,1.85,2.00,1300,2.00
2011-09-06,1.91,2.05,1.86,2.05,700,2.05
2011-08-29,2.08,2.08,1.87,1.91,2600,1.91
2011-08-22,1.80,2.10,1.80,2.02,1800,2.02
2011-08-15,2.07,2.07,1.75,1.80,4100,1.80
2011-08-08,1.75,2.14,1.75,2.07,5500,2.07
2011-08-01,2.07,2.10,1.71,2.07,7600,2.07
2011-07-25,2.10,2.15,2.02,2.07,6300,2.07
2011-07-18,2.02,2.15,2.02,2.13,5000,2.13
2011-07-11,2.06,2.18,2.01,2.06,7400,2.06
2011-07-05,2.02,2.18,2.02,2.15,9900,2.15
2011-06-27,1.98,2.11,1.91,2.01,4900,2.01
2011-06-20,2.03,2.07,1.91,2.07,7900,2.07
2011-06-13,2.02,2.04,1.95,2.04,6400,2.04
2011-06-06,2.01,2.10,1.99,2.10,10400,2.10
2011-05-31,2.11,2.18,1.91,1.99,3200,1.99
2011-05-23,2.09,2.20,2.00,2.18,5700,2.18
2011-05-16,2.03,2.20,2.03,2.10,2500,2.10
2011-05-09,2.31,2.35,2.01,2.05,30300,2.05
2011-05-02,2.20,2.25,2.08,2.22,13500,2.22
2011-04-25,1.95,2.23,1.95,2.12,7100,2.12
2011-04-18,2.15,2.15,1.95,1.96,4400,1.96
2011-04-11,2.09,2.24,2.06,2.16,4800,2.16
2011-04-04,2.16,2.18,2.06,2.09,13800,2.09
2011-03-28,1.97,2.18,1.93,2.13,20500,2.13
2011-03-21,1.92,2.23,1.92,2.01,5500,2.01
2011-03-14,1.96,1.99,1.88,1.88,1900,1.88
2011-03-07,2.00,2.11,1.90,1.92,9200,1.92
2011-02-28,2.02,2.12,1.96,2.02,8400,2.02
2011-02-22,1.91,2.10,1.91,2.01,10500,2.01
2011-02-14,1.81,1.98,1.75,1.88,17300,1.88
2011-02-07,1.75,1.91,1.68,1.91,10900,1.91
2011-01-31,1.70,1.97,1.65,1.75,7600,1.75
2011-01-24,1.83,1.83,1.69,1.70,8800,1.70
2011-01-18,1.81,1.85,1.70,1.78,9000,1.78
2011-01-10,1.82,1.82,1.69,1.80,14100,1.80
2011-01-03,1.69,1.72,1.67,1.70,14400,1.70
2010-12-27,1.61,1.71,1.60,1.64,19600,1.64
2010-12-20,1.64,1.73,1.60,1.62,11400,1.62
2010-12-13,1.65,1.82,1.62,1.68,8600,1.68
2010-12-06,1.70,1.74,1.65,1.69,6800,1.69
2010-11-29,1.76,1.81,1.69,1.70,11500,1.70
2010-11-22,1.63,1.81,1.63,1.80,8400,1.80
2010-11-15,1.68,1.88,1.61,1.70,13100,1.70
2010-11-08,1.82,1.84,1.61,1.65,17200,1.65
2010-11-01,2.02,2.19,1.66,1.82,37900,1.82
2010-10-25,2.06,2.10,2.01,2.02,3300,2.02
2010-10-18,2.12,2.16,2.05,2.06,3700,2.06
2010-10-11,2.11,2.22,2.09,2.22,3300,2.22
2010-10-04,2.19,2.23,2.08,2.19,7800,2.19
2010-09-27,2.12,2.25,2.12,2.20,4100,2.20
2010-09-20,2.10,2.16,2.07,2.13,1600,2.13
2010-09-13,2.06,2.24,2.04,2.24,8500,2.24
2010-09-07,2.06,2.14,2.05,2.07,4100,2.07
2010-08-30,2.13,2.17,2.01,2.10,6200,2.10
2010-08-23,2.20,2.31,2.11,2.18,1900,2.18
