Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.80,14.25,13.76,14.00,1937100,14.00
2012-05-14,14.53,14.53,13.70,13.75,2418900,13.75
2012-05-07,15.39,15.56,14.59,14.70,2638300,14.70
2012-04-30,17.31,17.39,15.57,15.72,2134200,15.72
2012-04-23,16.53,17.58,16.31,17.37,1278700,17.37
2012-04-16,17.07,17.56,16.62,16.77,1550900,16.77
2012-04-09,17.62,17.98,16.81,16.99,1848900,16.99
2012-04-02,19.45,19.82,17.94,18.11,1633700,18.11
2012-03-26,20.64,20.92,19.25,19.57,1325400,19.57
2012-03-19,20.62,20.85,20.02,20.43,1227000,20.16
2012-03-12,20.80,20.91,20.00,20.60,1521000,20.33
2012-03-05,21.70,21.82,19.86,20.91,1884300,20.64
2012-02-27,21.45,22.37,21.20,21.74,1889900,21.45
2012-02-21,21.83,21.85,20.65,21.52,1989800,21.24
2012-02-13,21.40,22.28,20.96,21.52,1832600,21.24
2012-02-06,22.02,22.32,20.97,21.10,2023300,20.82
2012-01-30,21.45,22.35,21.22,22.21,1109100,21.92
2012-01-23,21.24,22.00,21.14,21.73,1537100,21.45
2012-01-17,20.99,21.88,20.91,21.15,1711100,20.87
2012-01-09,20.53,21.28,19.97,20.29,1651400,20.02
2012-01-03,20.23,21.23,20.22,20.45,1998700,20.18
2011-12-27,20.31,20.39,19.34,19.80,1137100,19.54
2011-12-19,19.06,20.49,18.63,20.31,2271500,19.78
2011-12-12,18.64,19.04,17.50,19.00,2744500,18.50
2011-12-05,18.62,19.28,18.33,19.07,2152200,18.57
2011-11-28,16.62,18.72,16.56,18.36,3022100,17.88
2011-11-21,17.34,17.34,15.95,16.05,2419900,15.63
2011-11-14,17.87,18.48,17.40,17.64,2078800,17.18
2011-11-07,18.31,18.56,17.38,18.00,2055100,17.53
2011-10-31,18.25,18.52,16.52,18.42,2088900,17.94
2011-10-24,16.74,19.00,16.71,18.54,3387100,18.06
2011-10-17,16.31,16.59,15.11,16.52,2965400,16.09
2011-10-10,14.98,16.32,14.87,16.30,2412300,15.87
