Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.43,25.43,25.43,25.43,000,25.43
2012-05-14,25.30,25.66,25.21,25.43,1100,25.43
2012-05-07,25.22,25.66,25.21,25.44,1800,25.44
2012-04-30,25.36,25.36,25.21,25.28,200,25.28
2012-04-23,25.27,25.36,25.22,25.36,1800,25.36
2012-04-16,25.38,25.59,25.22,25.29,600,25.29
2012-04-09,25.19,25.30,25.18,25.25,800,25.25
2012-04-02,25.29,25.29,25.20,25.20,300,25.20
2012-03-26,25.14,25.28,25.14,25.28,100,25.28
2012-03-19,25.28,25.28,25.20,25.20,1300,25.20
2012-03-12,25.40,25.48,25.26,25.26,600,25.26
2012-03-05,25.55,25.55,25.25,25.45,2100,25.25
2012-02-27,25.26,25.55,25.26,25.55,2200,25.35
2012-02-21,25.48,25.50,25.25,25.26,1100,25.06
2012-02-13,25.50,25.56,25.37,25.38,800,25.18
2012-02-06,25.45,25.59,25.26,25.59,900,25.39
2012-01-30,25.59,25.59,25.45,25.45,100,25.25
2012-01-23,25.42,25.59,25.38,25.59,500,25.39
2012-01-17,25.27,25.54,25.27,25.42,700,25.22
2012-01-09,25.33,25.43,25.21,25.36,700,25.16
2012-01-03,25.24,25.35,25.20,25.35,400,25.15
2011-12-27,25.32,25.32,25.20,25.20,700,25.00
2011-12-19,25.32,25.32,25.32,25.32,000,25.12
2011-12-12,25.49,25.49,25.32,25.32,700,25.12
2011-12-05,25.35,25.49,25.35,25.49,000,25.09
2011-11-28,25.25,25.47,25.13,25.35,1000,24.95
2011-11-21,25.30,25.30,25.13,25.27,1700,24.87
2011-11-14,25.50,25.50,25.20,25.30,1000,24.90
2011-11-07,25.25,25.50,25.25,25.50,300,25.10
2011-10-31,24.92,25.41,24.77,25.25,2700,24.85
2011-10-24,25.50,25.50,24.80,25.00,1200,24.60
2011-10-17,24.95,25.49,24.95,25.35,600,24.95
2011-10-10,24.89,24.99,24.75,24.95,1300,24.55
2011-10-03,24.82,25.00,24.49,24.89,2500,24.49
2011-09-26,25.03,25.04,24.84,24.90,1000,24.50
2011-09-19,25.20,25.30,25.05,25.05,100,24.65
2011-09-12,25.10,25.19,25.05,25.05,200,24.65
2011-09-06,25.15,25.30,25.00,25.30,1200,24.70
2011-08-29,25.17,25.17,25.15,25.15,700,24.55
2011-08-22,25.27,25.27,24.81,25.15,1800,24.55
2011-08-15,24.99,25.30,24.92,24.92,700,24.33
2011-08-08,25.10,25.10,24.85,24.85,1600,24.26
