Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,23.50,23.79,23.50,23.59,2800,23.59
2012-05-14,23.65,23.75,23.49,23.54,1700,23.54
2012-05-07,23.70,23.75,23.30,23.45,1700,23.45
2012-04-30,23.77,23.84,23.37,23.60,3100,23.60
2012-04-23,23.22,23.49,23.11,23.36,1600,23.36
2012-04-16,23.33,23.44,22.75,23.44,2100,23.44
2012-04-09,23.04,23.52,22.80,23.23,2400,23.23
2012-04-02,23.26,23.40,23.15,23.24,1100,23.24
2012-03-26,22.93,23.33,22.80,23.33,1900,23.33
2012-03-19,22.56,23.45,22.50,22.74,3300,22.74
2012-03-12,22.88,23.35,22.51,22.65,2300,22.65
2012-03-05,23.11,23.45,22.72,22.98,2000,22.98
2012-02-27,22.60,23.30,22.60,23.25,1700,23.25
2012-02-21,22.65,22.80,22.46,22.61,3300,22.61
2012-02-13,22.55,22.80,22.16,22.72,1100,22.72
2012-02-06,23.04,23.40,22.55,22.55,1800,22.55
2012-01-30,22.93,23.20,22.90,23.20,1800,22.45
2012-01-23,22.16,23.31,22.16,23.19,3300,22.44
2012-01-17,22.08,22.35,22.08,22.35,2300,21.63
2012-01-09,21.67,22.41,21.67,21.90,4900,21.19
2012-01-03,21.48,21.98,21.48,21.78,1400,21.07
2011-12-27,21.45,21.75,21.30,21.35,1200,20.66
2011-12-19,21.59,21.59,21.37,21.45,600,20.76
2011-12-12,21.56,21.70,21.55,21.69,200,20.99
2011-12-05,21.30,21.82,21.30,21.56,1200,20.86
2011-11-28,21.40,21.65,21.30,21.46,1700,20.76
2011-11-21,21.72,21.72,21.40,21.40,500,20.71
2011-11-14,21.83,22.01,21.61,21.73,1300,21.03
2011-11-07,22.25,22.25,21.84,21.92,800,21.21
2011-10-31,22.03,22.22,21.85,22.22,400,21.50
2011-10-24,21.68,22.12,21.68,22.12,1100,21.40
2011-10-17,21.46,21.94,21.45,21.49,1600,20.79
2011-10-10,21.45,21.72,21.45,21.63,400,20.93
2011-10-03,22.22,22.22,21.31,21.45,1300,20.76
2011-09-26,22.11,22.32,21.98,22.22,1000,21.50
2011-09-19,22.25,22.43,21.94,22.28,500,21.56
2011-09-12,22.06,22.43,22.03,22.42,500,21.69
2011-09-06,22.17,22.17,21.86,22.00,2900,21.29
2011-08-29,21.97,22.50,21.97,22.18,5000,21.46
2011-08-22,21.87,22.10,21.40,21.97,1800,21.26
2011-08-15,21.48,22.31,21.48,21.93,3300,21.22
2011-08-08,21.00,21.96,20.72,21.34,6300,20.65
2011-08-01,23.15,23.40,22.10,22.48,3200,20.99
2011-07-25,23.27,23.52,23.06,23.06,800,21.53
2011-07-18,23.39,23.58,23.29,23.43,2600,21.88
2011-07-11,23.45,23.73,23.42,23.42,2600,21.87
2011-07-05,23.43,23.60,23.43,23.46,1700,21.90
2011-06-27,23.50,23.55,23.43,23.43,1100,21.88
2011-06-20,23.60,23.60,23.41,23.43,1400,21.88
2011-06-13,23.65,23.87,23.65,23.65,1000,22.08
2011-06-06,23.60,23.84,23.49,23.66,2400,22.09
2011-05-31,23.75,23.85,23.54,23.61,800,22.04
2011-05-23,23.45,23.91,23.45,23.65,1800,22.08
2011-05-16,23.49,23.94,23.45,23.45,3500,21.90
2011-05-09,23.25,23.49,23.06,23.44,4000,21.89
2011-05-02,23.00,23.42,23.00,23.18,1300,21.64
2011-04-25,23.29,23.29,22.70,22.87,2100,21.35
2011-04-18,22.87,22.94,22.87,22.92,1000,21.40
2011-04-11,23.02,23.10,22.86,22.88,500,21.36
2011-04-04,22.67,23.10,22.61,23.01,2400,21.48
2011-03-28,22.55,22.85,22.40,22.69,2500,21.19
2011-03-21,22.53,22.55,22.36,22.36,1800,20.88
2011-03-14,22.40,22.82,22.23,22.40,1800,20.91
2011-03-07,22.84,22.84,22.39,22.39,1100,20.91
2011-02-28,22.57,22.83,22.39,22.72,4400,21.21
2011-02-22,22.42,22.58,22.22,22.57,3400,21.07
2011-02-14,22.46,22.49,22.01,22.35,2900,20.87
2011-02-07,23.21,23.38,22.33,22.36,1200,20.88
2011-01-31,22.80,23.30,22.79,23.30,900,21.05
2011-01-24,23.02,23.02,22.79,22.85,1400,20.64
2011-01-18,23.17,23.17,22.86,23.12,2800,20.88
2011-01-10,22.74,23.43,22.67,23.23,1200,20.98
2011-01-03,22.96,23.06,22.58,22.62,1600,20.43
2010-12-27,22.19,22.99,21.90,22.79,1100,20.59
2010-12-20,22.54,22.67,22.16,22.16,700,20.02
2010-12-13,22.71,22.96,22.41,22.41,1200,20.24
2010-12-06,23.10,23.13,22.69,22.81,1000,20.60
2010-11-29,22.95,23.40,22.95,23.18,1000,20.94
2010-11-22,23.10,23.10,22.99,22.99,1300,20.77
2010-11-15,23.65,23.65,23.03,23.03,2200,20.80
2010-11-08,23.88,24.00,23.50,23.69,2000,21.40
2010-11-01,23.35,24.30,23.35,24.00,3800,21.68
2010-10-25,23.71,23.81,23.31,23.36,1900,21.10
2010-10-18,23.53,23.99,23.40,23.75,4900,21.45
2010-10-11,23.69,23.81,23.50,23.71,2400,21.42
2010-10-04,23.63,23.92,23.61,23.79,11100,21.49
2010-09-27,23.32,23.97,23.32,23.62,8000,21.34
2010-09-20,23.17,23.37,23.08,23.22,7700,20.97
2010-09-13,23.05,23.30,23.05,23.15,6100,20.91
2010-09-07,23.07,23.35,22.94,23.08,5700,20.85
2010-08-30,23.02,23.37,22.62,23.19,5000,20.95
2010-08-23,22.89,23.04,22.47,23.04,6000,20.81
2010-08-16,22.40,22.87,22.31,22.64,4900,20.45
