Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.63,1.70,1.45,1.65,39700,1.65
2012-05-14,2.15,2.68,1.45,1.63,130400,1.63
2012-05-07,2.24,2.31,1.94,2.11,64200,2.11
2012-04-30,2.32,2.89,2.20,2.24,242300,2.24
2012-04-23,2.13,3.01,1.81,2.32,516800,2.32
2012-04-16,2.20,2.44,2.11,2.20,53900,2.20
2012-04-09,2.20,2.64,2.09,2.21,114100,2.21
2012-04-02,2.25,3.50,2.04,2.30,611500,2.30
2012-03-26,3.18,3.18,1.96,2.18,288900,2.18
2012-03-19,0.83,4.58,0.83,2.96,2004500,2.96
2012-03-12,0.71,0.87,0.57,0.84,11200,0.84
2012-03-05,0.76,0.80,0.69,0.75,2400,0.75
2012-02-27,0.83,0.87,0.70,0.76,6100,0.76
2012-02-21,0.75,0.92,0.75,0.86,14200,0.86
2012-02-13,0.87,0.96,0.54,0.74,27000,0.74
2012-02-06,0.47,0.96,0.35,0.82,54400,0.82
2012-01-30,0.42,0.48,0.40,0.40,3800,0.40
2012-01-23,0.50,0.50,0.31,0.42,6700,0.42
2012-01-17,0.47,0.49,0.33,0.42,8500,0.42
2012-01-09,0.45,0.49,0.39,0.47,5200,0.47
2012-01-03,0.35,0.52,0.30,0.45,11200,0.45
2011-12-27,0.38,0.42,0.28,0.30,16200,0.30
2011-12-19,0.41,0.44,0.30,0.34,8600,0.34
2011-12-12,0.54,0.79,0.41,0.42,14700,0.42
2011-12-05,0.38,0.65,0.36,0.50,41400,0.50
2011-11-28,0.51,0.57,0.27,0.36,14600,0.36
2011-11-21,0.69,0.76,0.30,0.50,5900,0.50
2011-11-14,0.72,0.80,0.65,0.72,7500,0.72
2011-11-07,0.75,0.80,0.72,0.72,3900,0.72
2011-10-31,0.76,0.87,0.71,0.82,5900,0.82
2011-10-24,0.92,0.98,0.75,0.80,4800,0.80
2011-10-17,0.80,1.08,0.80,0.92,30300,0.92
2011-10-10,0.79,0.79,0.65,0.76,5600,0.76
2011-10-03,0.80,0.81,0.75,0.76,3000,0.76
2011-09-26,1.09,1.17,0.71,0.85,14200,0.85
2011-09-19,1.18,1.18,1.00,1.03,10200,1.03
