Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,20.06,20.77,19.16,19.32,52600,19.32
2012-05-14,22.35,22.48,20.02,20.06,49100,20.06
2012-05-07,24.55,24.55,22.10,22.72,53400,22.72
2012-04-30,27.86,28.05,24.54,24.71,46300,24.71
2012-04-23,28.13,28.13,26.85,27.91,39400,27.91
2012-04-16,30.00,30.34,28.04,28.38,49800,28.38
2012-04-09,30.42,30.42,28.00,29.88,72500,29.88
2012-04-02,30.66,31.99,30.13,30.75,70300,30.75
2012-03-26,32.80,32.80,29.68,30.70,64200,30.70
2012-03-19,32.87,32.87,30.95,32.42,67000,32.42
2012-03-12,32.35,33.95,32.00,32.80,103800,32.80
2012-03-05,28.50,32.93,27.90,32.15,64600,32.15
2012-02-27,30.38,31.83,28.46,28.70,64600,28.70
2012-02-21,29.82,30.68,29.00,30.37,45000,30.37
2012-02-13,28.12,29.79,27.83,29.51,84800,29.51
2012-02-06,26.55,28.18,26.09,27.86,29500,27.86
2012-01-30,25.50,27.35,24.61,26.62,38300,26.62
2012-01-23,24.50,26.16,24.50,25.50,38700,25.50
2012-01-17,23.00,24.72,22.86,24.50,41900,24.50
2012-01-09,22.50,23.00,22.28,22.97,31100,22.97
2012-01-03,22.58,22.68,21.88,22.39,26500,22.39
2011-12-27,21.96,22.71,21.79,22.11,17000,22.11
2011-12-19,21.50,22.30,20.87,21.92,27800,21.92
2011-12-12,20.99,21.42,20.30,21.39,50800,21.39
2011-12-05,19.69,21.30,19.54,21.24,48000,21.24
2011-11-28,16.56,19.48,16.50,19.37,46800,19.37
2011-11-21,17.67,17.89,15.85,16.11,37700,16.11
2011-11-14,18.39,18.39,17.82,17.92,26800,17.92
2011-11-07,18.12,18.53,17.71,18.42,38900,18.42
2011-10-31,18.34,18.46,17.62,18.12,56800,18.12
2011-10-24,17.48,18.90,17.48,18.51,112700,18.51
2011-10-17,17.29,17.80,16.98,17.46,96700,17.46
2011-10-10,16.67,17.46,16.53,17.45,70600,17.45
2011-10-03,16.79,17.07,15.68,16.43,45800,16.43
2011-09-26,16.03,17.27,15.88,16.88,136700,16.88
2011-09-19,15.91,16.31,15.52,15.92,37100,15.92
2011-09-12,15.47,16.41,15.47,16.26,32700,16.26
2011-09-06,15.46,16.32,15.36,15.63,40800,15.63
2011-08-29,15.13,18.00,15.05,15.90,54300,15.90
2011-08-22,14.56,15.59,14.15,14.99,45600,14.99
2011-08-15,15.56,15.91,14.35,14.36,32400,14.36
2011-08-08,16.56,16.99,14.28,15.20,45100,15.20
2011-08-01,17.75,17.88,16.79,16.98,44300,16.98
2011-07-25,17.28,17.65,17.01,17.23,27800,17.23
2011-07-18,16.81,17.66,16.53,17.49,36800,17.49
2011-07-11,16.78,17.40,16.46,16.90,44300,16.90
2011-07-05,16.73,17.35,16.68,16.97,37900,16.97
2011-06-27,16.07,16.82,16.02,16.70,33000,16.70
2011-06-20,15.55,16.30,15.32,16.12,63000,16.12
2011-06-13,15.87,16.39,15.27,15.66,33300,15.66
2011-06-06,15.75,16.50,15.59,15.98,17700,15.98
2011-05-31,16.44,17.48,15.57,15.76,38700,15.76
2011-05-23,16.45,16.49,14.69,16.31,33700,16.31
2011-05-16,16.86,16.90,16.24,16.70,22300,16.70
2011-05-09,16.34,17.25,16.34,16.96,18300,16.96
2011-05-02,17.18,17.23,16.24,16.41,25700,16.41
2011-04-25,16.46,17.45,16.24,17.28,27800,17.28
2011-04-18,16.18,16.54,15.21,16.46,14600,16.46
2011-04-11,16.00,16.46,15.70,16.43,19400,16.43
2011-04-04,16.16,16.75,15.88,15.99,30500,15.99
2011-03-28,14.66,16.10,14.36,16.06,39900,16.06
2011-03-21,14.02,14.88,13.88,14.65,13400,14.65
2011-03-14,13.75,13.94,13.51,13.85,26500,13.85
2011-03-07,15.02,15.05,13.36,13.80,24900,13.80
2011-02-28,14.80,15.10,14.29,14.91,20600,14.91
2011-02-22,15.22,15.36,14.65,14.79,35200,14.79
2011-02-14,15.33,15.39,14.87,15.28,24500,15.28
2011-02-07,15.38,15.65,15.07,15.17,14500,15.17
2011-01-31,15.06,15.74,15.04,15.37,15000,15.37
2011-01-24,15.26,15.57,15.01,15.12,24900,15.12
2011-01-18,15.41,15.50,15.02,15.15,28300,15.15
2011-01-10,15.70,15.79,15.18,15.37,13400,15.37
2011-01-03,15.39,15.97,15.05,15.75,24700,15.75
2010-12-27,15.82,16.22,14.84,15.36,20600,15.36
2010-12-20,16.09,16.14,15.66,15.90,24100,15.90
2010-12-13,15.85,16.08,15.42,15.96,77200,15.96
2010-12-06,15.88,16.45,15.08,15.72,37200,15.72
2010-11-29,16.57,16.57,15.76,15.98,18200,15.98
2010-11-22,16.43,16.74,15.88,16.64,12800,16.64
2010-11-15,16.50,17.04,16.30,16.57,18300,16.57
2010-11-08,17.19,17.19,16.34,16.38,29000,16.38
2010-11-01,16.59,17.23,16.08,17.18,21100,17.18
2010-10-25,16.80,16.82,16.01,16.59,20300,16.59
2010-10-18,16.39,16.83,15.91,16.67,20000,16.67
2010-10-11,15.42,16.38,14.92,16.28,18200,16.28
2010-10-04,14.71,15.49,14.46,15.39,16500,15.39
2010-09-27,14.54,14.90,14.03,14.71,21900,14.71
2010-09-20,14.00,15.13,14.00,14.50,26900,14.50
2010-09-13,13.60,14.00,12.96,14.00,30800,14.00
2010-09-07,14.09,14.18,13.15,13.52,25700,13.52
2010-08-30,13.98,14.32,13.06,14.12,21200,14.12
2010-08-23,14.04,14.20,13.02,14.04,14800,14.04
2010-08-16,13.72,14.52,13.49,13.90,29900,13.90
2010-08-09,15.48,15.54,13.66,13.75,24700,13.75
2010-08-02,15.97,16.28,14.96,15.36,39200,15.36
2010-07-26,16.50,16.97,15.84,16.05,20400,16.05
2010-07-19,15.80,16.56,15.38,16.49,19900,16.49
2010-07-12,16.03,16.49,15.63,15.66,26200,15.66
2010-07-06,15.94,16.19,15.19,16.03,34200,16.03
2010-06-28,18.78,18.87,15.51,15.62,27500,15.62
2010-06-21,19.22,19.30,17.77,18.94,42100,18.94
2010-06-14,18.14,19.24,17.88,18.99,18900,18.99
2010-06-07,16.57,18.32,15.70,17.89,57000,17.89
2010-06-01,17.94,18.24,16.34,16.37,38100,16.37
2010-05-24,15.81,18.71,15.37,18.00,43200,18.00
2010-05-17,16.90,17.12,15.25,15.94,34500,15.94
2010-05-10,17.60,17.61,16.60,16.71,21200,16.71
2010-05-03,17.24,17.79,16.17,16.43,28700,16.43
2010-04-26,17.49,18.30,17.11,17.16,32600,17.16
2010-04-19,17.11,17.90,16.41,17.52,14400,17.52
2010-04-12,17.07,17.94,16.42,17.22,27700,17.22
2010-04-05,16.87,17.45,16.51,17.02,19200,17.02
2010-03-29,17.07,17.07,16.15,16.88,15300,16.88
2010-03-22,17.28,17.86,16.32,17.07,18200,17.07
2010-03-15,18.02,18.07,17.31,17.40,23700,17.40
2010-03-08,18.26,18.33,17.38,18.00,26400,18.00
2010-03-01,18.22,18.40,17.66,18.31,56200,18.31
2010-02-22,17.86,18.27,17.57,18.12,27600,18.12
2010-02-16,17.80,18.00,17.09,17.84,30700,17.84
2010-02-08,16.11,17.73,16.10,17.72,47400,17.72
2010-02-01,15.11,16.20,14.87,16.17,43200,16.17
2010-01-25,14.89,15.15,14.69,15.10,17000,15.10
2010-01-19,14.55,15.41,14.35,14.78,55400,14.78
2010-01-11,14.49,14.61,13.70,14.59,21800,14.59
2010-01-04,14.29,14.68,13.49,14.34,32300,14.34
2009-12-28,13.55,14.50,13.32,14.06,27900,14.06
2009-12-21,13.10,13.52,12.51,13.52,15400,13.52
2009-12-14,14.55,14.66,13.02,13.06,38600,13.06
2009-12-07,14.29,15.00,14.09,14.58,38500,14.58
2009-11-30,13.16,14.74,12.64,14.37,47600,14.37
2009-11-23,13.41,14.96,13.14,13.22,56100,13.22
2009-11-16,13.34,13.51,12.35,13.05,33000,13.05
2009-11-09,13.01,13.33,12.49,13.26,40000,13.26
2009-11-02,12.40,13.36,11.89,12.94,31100,12.94
2009-10-26,12.68,13.02,12.11,12.35,43700,12.35
2009-10-19,12.18,13.00,12.10,12.67,33000,12.67
2009-10-12,11.39,12.43,11.32,12.20,53800,12.20
2009-10-05,11.05,11.60,10.89,11.40,35200,11.40
2009-09-28,10.75,11.30,10.53,10.99,46500,10.99
2009-09-21,10.77,10.85,10.30,10.74,20000,10.74
2009-09-14,10.10,11.06,10.00,10.94,82900,10.94
2009-09-08,9.95,10.68,9.88,10.11,48500,10.11
2009-08-31,10.71,10.82,9.75,9.91,27300,9.91
2009-08-24,11.61,11.70,10.73,10.90,33800,10.90
2009-08-17,10.79,11.58,10.20,11.58,33000,11.58
2009-08-10,11.57,11.74,10.81,10.89,40900,10.89
2009-08-03,11.23,11.87,10.73,11.57,26300,11.57
