Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.70,15.70,15.70,15.70,100,15.70
2012-05-14,16.20,16.20,15.70,15.70,000,15.70
2012-05-07,15.87,16.25,15.87,16.20,100,16.20
2012-04-30,15.66,15.80,15.66,15.80,000,15.80
2012-04-23,16.00,16.00,15.66,15.66,100,15.66
2012-04-16,16.25,16.25,15.66,16.00,500,16.00
2012-04-09,15.65,15.65,15.65,15.65,100,15.65
2012-04-02,15.61,15.66,15.61,15.66,100,15.66
2012-03-26,15.51,15.61,15.50,15.61,100,15.61
2012-03-19,15.50,15.95,15.50,15.51,100,15.30
2012-03-12,15.50,15.50,15.49,15.50,600,15.29
2012-03-05,15.48,15.50,15.36,15.50,700,15.29
2012-02-27,15.48,15.48,15.48,15.48,100,15.27
2012-02-21,15.43,15.49,15.10,15.10,1200,14.90
2012-02-13,15.10,15.50,14.98,15.50,600,15.29
2012-02-06,15.20,15.21,15.00,15.10,300,14.90
2012-01-30,15.50,15.50,15.20,15.20,100,14.99
2012-01-23,15.00,15.12,15.00,15.00,200,14.80
2012-01-17,15.24,15.50,14.60,15.00,1600,14.80
2012-01-09,15.48,15.75,15.30,15.30,400,15.09
2012-01-03,15.50,15.50,15.21,15.50,100,15.29
2011-12-27,15.20,15.50,15.15,15.50,1200,15.29
2011-12-19,15.43,15.62,14.51,14.78,1800,14.38
2011-12-12,16.00,16.00,15.91,15.91,000,15.48
2011-12-05,15.27,15.50,14.99,15.45,100,15.03
2011-11-28,15.03,15.50,15.03,15.27,300,14.86
2011-11-21,15.50,16.00,15.50,16.00,300,15.57
2011-11-14,15.55,16.00,15.50,15.50,1100,15.08
2011-11-07,16.58,16.60,15.54,15.55,700,15.13
2011-10-31,15.99,16.00,14.00,15.50,900,15.08
2011-10-24,16.01,16.60,13.34,15.99,700,15.56
2011-10-17,16.99,16.99,15.01,16.01,500,15.58
2011-10-10,16.45,16.99,15.98,16.99,600,16.53
2011-10-03,16.02,16.45,16.02,16.45,000,16.00
2011-09-26,17.00,17.00,15.98,16.02,200,15.59
2011-09-19,15.80,16.10,15.75,16.10,600,15.46
2011-09-12,14.37,15.91,14.37,15.90,700,15.27
2011-09-06,16.10,16.10,14.20,14.37,000,13.80
2011-08-29,16.20,16.20,16.10,16.10,000,15.46
2011-08-22,16.25,16.25,16.20,16.20,900,15.55
2011-08-15,16.74,16.74,15.99,16.25,800,15.60
2011-08-08,16.50,16.50,16.19,16.19,300,15.54
2011-08-01,16.35,16.75,16.35,16.75,000,16.08
2011-07-25,16.35,16.80,16.35,16.35,200,15.70
2011-07-18,17.10,17.13,16.35,16.35,300,15.70
2011-07-11,16.33,16.33,16.33,16.33,000,15.68
2011-07-05,17.09,17.09,16.26,16.33,000,15.68
2011-06-27,16.25,17.12,16.25,17.09,000,16.41
2011-06-20,16.25,16.33,16.25,16.25,200,15.40
2011-06-13,16.33,17.13,16.25,16.25,600,15.40
2011-06-06,16.47,16.47,16.13,16.13,200,15.29
2011-05-31,16.01,16.96,16.01,16.47,200,15.61
2011-05-23,16.01,16.01,16.01,16.01,000,15.17
2011-05-16,17.00,17.00,16.01,16.01,000,15.17
2011-05-09,15.65,17.00,15.65,17.00,100,16.11
2011-05-02,15.66,15.66,15.65,15.65,000,14.83
2011-04-25,16.60,16.60,15.66,15.66,000,14.84
2011-04-18,15.75,16.60,15.75,16.27,500,15.42
2011-04-11,15.04,16.60,14.87,16.50,3300,15.64
2011-04-04,14.30,14.85,14.30,14.85,000,14.07
2011-03-28,15.56,16.98,14.30,14.30,2300,13.55
2011-03-21,14.53,14.87,14.53,14.87,100,13.91
2011-03-14,14.27,14.99,14.27,14.99,800,14.02
2011-03-07,15.26,15.30,15.26,15.30,200,14.31
2011-02-28,15.01,15.24,15.01,15.24,000,14.26
2011-02-22,15.01,15.01,15.01,15.01,100,14.04
2011-02-14,15.33,15.33,15.00,15.16,400,14.18
2011-02-07,15.30,15.30,15.03,15.15,000,14.17
2011-01-31,15.55,15.55,15.55,15.55,000,14.55
2011-01-24,15.20,15.55,15.10,15.55,000,14.55
2011-01-18,14.66,16.50,14.66,15.20,400,14.22
2011-01-10,14.66,14.66,14.66,14.66,000,13.72
2011-01-03,15.51,15.55,15.50,15.50,300,14.50
2010-12-27,14.25,16.00,14.25,16.00,200,14.97
2010-12-20,14.76,14.76,14.20,14.50,300,13.37
2010-12-13,13.92,14.77,13.92,14.50,1100,13.37
2010-12-06,13.92,13.92,13.92,13.92,000,12.83
2010-11-29,14.00,14.77,13.91,13.92,500,12.83
2010-11-22,14.25,14.25,13.90,13.90,600,12.81
2010-11-15,14.68,14.68,13.95,14.25,400,13.14
2010-11-08,13.90,14.68,13.90,14.68,200,13.53
2010-11-01,14.00,14.03,13.75,13.90,300,12.81
2010-10-25,14.77,14.77,13.49,13.95,900,12.86
2010-10-18,14.64,14.96,14.08,14.77,900,13.61
2010-10-11,14.50,14.79,13.99,14.79,1000,13.63
2010-10-04,13.99,14.51,13.99,14.50,1600,13.37
2010-09-27,14.99,15.00,14.17,14.90,300,13.73
2010-09-20,15.00,15.00,14.90,15.00,300,13.63
2010-09-13,15.00,15.00,15.00,15.00,200,13.63
2010-09-07,15.00,15.00,15.00,15.00,000,13.63
2010-08-30,14.95,15.28,14.95,15.00,100,13.63
2010-08-23,14.97,15.00,14.64,14.95,600,13.59
2010-08-16,15.00,15.00,14.61,14.61,300,13.28
2010-08-09,15.00,15.00,15.00,15.00,100,13.63
2010-08-02,14.84,15.00,14.84,15.00,000,13.63
2010-07-26,14.50,14.85,14.50,14.84,300,13.49
2010-07-19,14.00,15.80,14.00,14.50,200,13.18
2010-07-12,13.95,15.24,13.95,14.00,500,12.72
2010-07-06,13.99,14.10,13.99,14.01,100,12.73
2010-06-28,14.83,14.85,13.34,14.20,600,12.91
2010-06-21,14.25,14.94,13.54,13.95,2200,12.50
2010-06-14,14.15,14.19,14.14,14.15,300,12.68
2010-06-07,14.00,14.15,14.00,14.14,400,12.67
2010-06-01,14.00,14.12,14.00,14.00,400,12.54
2010-05-24,13.50,15.70,13.50,14.00,600,12.54
2010-05-17,14.75,14.75,13.12,13.50,200,12.09
2010-05-10,13.90,13.98,13.80,13.98,400,12.52
2010-05-03,14.06,14.15,13.90,13.90,500,12.45
2010-04-26,13.97,14.62,13.90,14.00,500,12.54
2010-04-19,13.65,14.07,13.38,14.00,1600,12.54
2010-04-12,13.81,13.90,13.38,13.90,800,12.45
2010-04-05,13.34,14.10,13.34,14.10,1100,12.63
2010-03-29,13.99,14.50,13.03,13.34,1200,11.95
2010-03-22,13.89,14.88,13.21,14.00,900,12.54
2010-03-15,13.00,13.90,13.00,13.90,300,12.28
2010-03-08,12.80,13.00,12.60,13.00,700,11.48
2010-03-01,13.05,13.40,13.05,13.05,100,11.53
2010-02-22,12.42,13.05,12.42,13.05,100,11.53
2010-02-16,13.00,13.00,12.42,12.42,200,10.97
2010-02-08,13.35,13.35,13.00,13.00,000,11.48
2010-02-01,13.00,13.35,12.42,13.35,100,11.79
2010-01-25,13.40,13.40,12.61,13.00,300,11.48
2010-01-19,13.68,13.68,12.75,13.40,600,11.84
2010-01-11,12.50,13.68,12.50,13.68,600,12.08
2010-01-04,12.50,12.50,12.50,12.50,000,11.04
2009-12-28,11.36,13.24,11.36,12.50,600,11.04
2009-12-21,12.49,12.50,12.26,12.26,300,10.65
2009-12-14,12.50,12.50,12.05,12.05,200,10.46
