Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.00,11.38,10.71,10.99,398200,10.99
2012-05-14,11.62,11.66,10.84,10.97,269700,10.97
2012-05-07,11.19,12.20,11.09,11.69,432400,11.69
2012-04-30,11.95,12.22,11.10,11.14,376500,11.14
2012-04-23,11.82,12.27,11.60,11.96,243200,11.96
2012-04-16,12.02,12.59,11.44,11.98,334500,11.98
2012-04-09,12.44,12.54,11.71,11.91,432800,11.91
2012-04-02,13.39,13.49,12.30,12.75,405200,12.75
2012-03-26,13.17,13.55,12.54,13.50,411500,13.50
2012-03-19,12.45,13.11,11.89,13.08,326600,13.08
2012-03-12,11.71,12.65,11.21,12.43,501100,12.43
2012-03-05,11.46,11.89,11.05,11.74,378800,11.74
2012-02-27,12.02,12.30,11.41,11.51,482300,11.51
2012-02-21,12.79,13.05,11.95,12.09,392100,12.09
2012-02-13,12.03,13.18,11.83,12.40,450000,12.40
2012-02-06,12.18,12.25,11.34,11.90,439800,11.90
2012-01-30,8.96,12.25,8.41,12.23,935500,12.23
2012-01-23,8.63,9.37,8.48,9.02,389400,9.02
2012-01-17,8.37,8.87,8.21,8.63,327300,8.63
2012-01-09,8.36,8.97,8.07,8.34,411200,8.34
2012-01-03,8.13,8.63,7.89,8.35,399800,8.35
2011-12-27,8.57,8.68,7.91,7.94,319100,7.94
2011-12-19,8.57,8.75,7.85,8.59,333700,8.59
2011-12-12,9.26,9.27,8.25,8.55,682800,8.55
2011-12-05,10.39,10.42,9.09,9.27,576000,9.27
2011-11-28,9.63,10.78,9.21,10.27,361100,10.27
2011-11-21,9.85,9.85,8.96,9.22,305500,9.22
2011-11-14,9.86,10.26,9.43,10.01,530400,10.01
2011-11-07,9.86,10.31,9.35,9.89,548700,9.89
2011-10-31,11.06,11.51,8.55,9.92,1342300,9.92
2011-10-24,10.24,11.68,10.16,11.19,521400,11.19
2011-10-17,10.68,10.79,9.60,10.17,286800,10.17
2011-10-10,10.57,11.48,10.40,10.79,258300,10.79
2011-10-03,9.26,11.07,8.74,10.35,539600,10.35
2011-09-26,10.94,13.30,8.89,9.35,1131800,9.35
2011-09-19,12.30,12.50,9.47,10.86,684100,10.86
2011-09-12,12.38,13.33,12.20,12.46,627900,12.46
2011-09-06,13.46,13.89,12.14,12.49,877300,12.49
2011-08-29,14.84,15.07,13.36,13.56,447300,13.56
2011-08-22,14.04,15.67,13.75,14.71,427400,14.71
2011-08-15,12.95,13.94,12.18,13.63,538000,13.63
2011-08-08,13.18,14.02,10.74,12.77,1117300,12.77
2011-08-01,15.97,15.97,12.48,13.30,1456800,13.30
2011-07-25,17.71,18.77,14.50,15.48,2709100,15.48
2011-07-18,20.00,20.25,17.63,18.08,1227300,18.08
2011-07-11,21.74,21.75,19.48,20.09,707500,20.09
2011-07-05,22.98,23.44,20.55,21.93,899900,21.93
2011-06-27,24.42,24.89,22.29,22.92,952600,22.92
2011-06-20,24.73,25.72,23.59,24.61,1187500,24.61
2011-06-13,21.25,25.55,20.85,24.76,1406200,24.76
2011-06-06,25.33,25.56,19.51,20.90,2669900,20.90
2011-05-31,31.00,31.00,25.03,25.39,2118800,25.39
2011-05-23,33.28,33.64,28.33,30.90,1297400,30.90
2011-05-16,32.84,35.60,32.11,34.02,716700,34.02
2011-05-09,31.30,33.55,30.63,32.77,522300,32.77
2011-05-02,29.09,31.75,28.29,31.19,611100,31.19
2011-04-25,29.45,31.00,28.80,29.08,564200,29.08
2011-04-18,29.27,29.75,28.69,29.46,339800,29.46
2011-04-11,28.24,30.00,28.20,29.54,503000,29.54
2011-04-04,27.90,28.79,27.24,28.29,520000,28.29
2011-03-28,23.75,27.95,23.50,27.95,904700,27.95
2011-03-21,23.29,24.15,23.14,23.65,437700,23.65
2011-03-14,21.93,23.16,21.12,23.01,475200,23.01
2011-03-07,24.26,24.36,21.76,22.23,465600,22.23
2011-02-28,23.25,24.87,21.59,24.17,724400,24.17
2011-02-22,24.15,24.33,22.92,22.97,664100,22.97
2011-02-14,24.67,25.00,23.83,24.56,396500,24.56
2011-02-07,26.49,26.49,24.53,24.97,594700,24.97
2011-01-31,24.76,26.78,23.20,26.53,887600,26.53
2011-01-24,25.60,27.02,24.05,24.33,737500,24.33
2011-01-18,27.89,27.89,25.27,25.45,460200,25.45
2011-01-10,24.09,28.35,23.62,27.74,576400,27.74
2011-01-03,25.90,26.05,22.15,23.88,730600,23.88
2010-12-27,28.50,28.50,24.77,25.92,594900,25.92
2010-12-20,28.74,30.68,27.95,28.42,331000,28.42
2010-12-13,27.79,27.88,25.00,27.88,377300,27.88
2010-12-06,29.56,30.37,27.51,27.65,915800,27.65
2010-11-29,25.78,30.55,25.78,29.40,269600,29.40
2010-11-22,27.80,28.20,25.39,26.01,223500,26.01
2010-11-15,25.41,28.90,25.39,27.30,368400,27.30
2010-11-08,25.50,29.49,23.60,25.39,406600,25.39
2010-11-01,20.93,27.76,20.69,25.50,793100,25.50
2010-10-25,18.47,20.94,18.25,20.92,208300,20.92
2010-10-18,17.66,19.43,17.26,18.35,207900,18.35
2010-10-11,16.70,17.73,16.00,17.63,253900,17.63
2010-10-04,17.69,18.73,16.64,16.74,277400,16.74
2010-09-27,16.51,19.00,16.51,17.79,705200,17.79
2010-09-20,17.43,17.50,15.63,16.35,231600,16.35
2010-09-13,16.40,17.60,16.13,17.33,310700,17.33
2010-09-07,17.25,17.41,16.03,16.27,268100,16.27
2010-08-30,17.00,17.62,15.75,17.32,224000,17.32
2010-08-23,19.08,19.20,16.33,17.03,392600,17.03
2010-08-16,18.75,19.65,17.90,18.79,236200,18.79
2010-08-09,19.52,20.00,18.40,18.75,190700,18.75
2010-08-04,19.48,19.97,19.06,19.48,271400,19.48
