Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.81,17.06,15.46,16.10,14700,16.10
2012-05-14,15.58,16.37,15.30,15.68,70500,15.68
2012-05-07,15.85,16.11,15.52,15.77,13400,15.77
2012-04-30,17.51,17.68,15.76,15.80,16400,15.80
2012-04-23,16.31,17.70,16.19,17.63,12200,17.63
2012-04-16,16.45,17.15,16.03,16.56,12500,16.56
2012-04-09,17.24,18.50,16.32,16.42,14500,16.42
2012-04-02,17.52,18.73,17.21,17.59,25200,17.59
2012-03-26,18.17,18.42,17.33,17.53,11300,17.53
2012-03-19,17.74,18.25,17.67,18.03,14700,18.03
2012-03-12,17.15,17.93,16.93,17.66,19500,17.66
2012-03-05,16.89,17.36,16.84,17.21,12000,17.21
2012-02-27,17.30,17.50,16.68,16.91,24600,16.91
2012-02-21,17.32,17.72,17.19,17.44,12800,17.44
2012-02-13,17.16,17.46,16.99,17.34,11600,17.34
2012-02-06,17.40,17.48,16.91,16.94,12300,16.94
2012-01-30,16.04,17.60,15.89,17.45,47100,17.45
2012-01-23,15.86,16.10,15.75,15.93,32600,15.93
2012-01-17,16.02,16.45,15.45,15.91,15400,15.91
2012-01-09,16.55,16.83,15.77,15.93,16800,15.93
2012-01-03,17.06,17.46,16.41,16.46,51300,16.46
2011-12-27,16.08,16.90,15.68,16.74,53500,16.74
2011-12-19,15.96,16.88,15.45,16.07,29100,16.07
2011-12-12,15.79,16.03,15.17,15.94,23300,15.94
2011-12-05,16.80,16.85,15.52,16.00,30000,16.00
2011-11-28,15.75,17.04,15.70,16.60,47900,16.60
2011-11-21,15.54,16.28,15.23,15.65,19100,15.65
2011-11-14,16.25,16.46,15.71,15.78,13300,15.78
2011-11-07,15.72,16.97,15.15,16.44,32300,16.44
2011-10-31,15.88,16.05,14.40,15.98,15200,15.98
2011-10-24,15.98,16.46,15.22,16.00,19700,16.00
2011-10-17,15.54,16.00,14.34,15.99,31000,15.99
2011-10-10,15.84,16.00,14.22,15.79,19200,15.79
2011-10-03,16.07,16.50,14.17,15.61,18300,15.61
2011-09-26,15.16,16.92,14.37,16.03,14900,16.03
2011-09-19,16.26,17.25,13.67,15.03,26500,15.03
2011-09-12,14.78,17.52,14.78,16.50,16000,16.50
2011-09-06,14.38,16.50,13.87,14.90,10900,14.90
2011-08-29,14.28,16.29,14.28,14.81,23500,14.81
2011-08-22,14.25,15.06,13.81,14.21,18000,14.21
2011-08-15,14.99,15.11,13.20,13.80,17800,13.80
2011-08-08,14.65,16.50,12.52,14.99,42600,14.99
2011-08-01,17.30,17.30,15.00,15.00,35600,15.00
2011-07-25,16.91,17.50,16.34,17.29,9300,17.29
2011-07-18,17.18,17.58,16.52,17.07,5800,17.07
2011-07-11,16.89,17.66,16.89,17.49,15900,17.49
2011-07-05,16.73,17.28,16.33,16.99,10300,16.99
2011-06-27,17.25,17.55,15.70,16.89,28200,16.89
2011-06-20,16.09,17.89,16.09,17.40,88800,17.40
2011-06-13,15.26,17.21,15.17,16.54,20500,16.54
2011-06-06,15.69,16.63,15.21,15.52,18100,15.52
2011-05-31,17.58,17.92,15.18,15.68,102200,15.68
2011-05-23,16.91,17.62,16.44,17.41,29900,17.41
2011-05-16,17.14,18.03,15.98,17.05,33400,17.05
2011-05-09,18.18,18.81,16.22,17.25,22100,17.25
2011-05-02,19.43,19.75,17.51,18.38,21000,18.38
2011-04-25,18.89,20.69,18.89,19.40,16000,19.40
2011-04-18,19.81,19.99,18.31,18.97,16800,18.97
2011-04-11,19.19,19.98,17.22,19.98,32100,19.98
2011-04-04,18.63,20.48,18.27,18.95,80400,18.95
2011-03-28,18.54,19.54,17.06,18.75,152300,18.75
2011-03-21,18.14,19.91,17.98,18.60,28400,18.60
2011-03-14,16.99,19.58,16.00,18.19,51600,18.19
2011-03-07,14.82,18.92,14.75,17.00,91800,17.00
2011-02-28,14.88,14.91,14.47,14.77,51100,14.77
2011-02-22,14.77,14.98,14.52,14.74,16200,14.74
2011-02-14,15.85,16.01,14.72,14.93,58500,14.93
2011-02-07,14.20,16.12,14.20,15.65,65700,15.65
2011-01-31,13.30,14.68,13.02,13.97,53400,13.97
2011-01-24,14.38,14.48,12.87,13.44,113100,13.44
2011-01-18,14.40,14.64,13.78,14.17,82100,14.17
2011-01-10,14.02,14.65,14.02,14.46,52100,14.46
2011-01-03,13.60,14.80,13.26,14.21,26600,14.21
2010-12-27,13.90,13.90,13.02,13.63,44500,13.63
2010-12-20,13.48,14.67,12.56,13.41,61200,13.41
2010-12-15,12.00,12.92,11.16,12.75,766800,12.75
