Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.22,10.36,10.00,10.14,22400,10.14
2012-05-14,10.25,10.50,10.03,10.23,15900,10.23
2012-05-07,10.26,10.80,10.03,10.50,31800,10.50
2012-04-30,10.11,10.49,9.96,10.34,18800,10.34
2012-04-23,9.57,10.33,9.21,10.07,31100,10.07
2012-04-16,9.69,9.74,9.42,9.68,13900,9.68
2012-04-09,9.54,9.83,9.32,9.67,9500,9.67
2012-04-02,9.85,10.00,9.58,9.75,13200,9.75
2012-03-26,9.66,10.10,9.65,9.81,18300,9.81
2012-03-19,9.65,10.14,9.56,9.83,30500,9.83
2012-03-12,9.90,9.90,9.30,9.73,25800,9.73
2012-03-05,9.52,9.98,9.43,9.90,18200,9.90
2012-02-27,9.26,9.86,9.13,9.55,13600,9.55
2012-02-21,9.18,9.57,9.00,9.34,21400,9.34
2012-02-13,8.11,9.25,7.92,9.23,33800,9.23
2012-02-06,7.93,8.10,7.59,8.08,35100,8.08
2012-01-30,7.97,8.13,7.38,7.93,22800,7.93
2012-01-23,8.86,8.95,7.86,7.98,32400,7.98
2012-01-17,8.96,9.02,8.78,8.89,7400,8.89
2012-01-09,8.28,8.95,8.17,8.87,20100,8.87
2012-01-03,8.40,8.50,8.08,8.27,26300,8.27
2011-12-27,7.99,8.36,7.89,8.30,23600,8.30
2011-12-19,7.80,8.08,7.58,7.92,24800,7.92
2011-12-12,6.86,8.00,6.83,7.88,41800,7.88
2011-12-05,6.99,7.12,6.83,6.93,35300,6.93
2011-11-28,7.05,7.10,6.75,6.98,43400,6.98
2011-11-21,7.64,7.71,6.91,6.92,21800,6.92
2011-11-14,7.50,7.85,7.50,7.67,15100,7.67
2011-11-07,7.74,8.45,7.28,7.50,16900,7.50
2011-10-31,7.51,8.17,7.05,7.86,22600,7.86
2011-10-24,7.22,7.83,7.18,7.55,12000,7.55
2011-10-17,6.85,7.42,6.60,7.30,23200,7.30
2011-10-10,6.99,7.05,6.88,6.90,13400,6.90
2011-10-03,7.49,7.49,6.89,6.91,12800,6.91
2011-09-26,7.66,8.27,7.31,7.59,17400,7.59
2011-09-19,7.62,7.98,7.46,7.56,11500,7.56
2011-09-12,7.86,8.14,7.70,7.70,22400,7.70
2011-09-06,7.80,8.33,7.75,7.81,29600,7.81
2011-08-29,8.41,8.52,7.89,7.89,26400,7.89
2011-08-22,8.78,8.94,8.36,8.42,26700,8.42
2011-08-15,9.11,9.53,8.42,8.56,16200,8.56
2011-08-08,8.65,9.14,8.18,8.88,31400,8.88
2011-08-01,9.03,9.24,8.90,8.95,17100,8.95
2011-07-25,9.32,9.65,8.71,8.98,44600,8.98
2011-07-18,9.12,9.48,9.10,9.39,27400,9.39
2011-07-11,9.00,9.34,8.53,9.10,36500,9.10
2011-07-05,9.00,9.39,8.62,9.12,56800,9.12
2011-06-27,9.02,9.45,8.67,8.99,87400,8.99
2011-06-20,9.08,9.46,8.46,9.02,307500,9.02
2011-06-13,8.28,9.41,8.27,9.08,65400,9.08
2011-06-06,9.18,9.38,8.40,8.51,46200,8.51
2011-05-31,10.18,10.18,9.19,9.21,36900,9.21
2011-05-23,9.49,10.49,9.36,10.08,27800,10.08
2011-05-16,9.70,9.87,9.43,9.65,45700,9.65
2011-05-09,10.40,10.55,9.68,9.78,24900,9.78
2011-05-02,11.56,11.84,10.35,10.39,45100,10.39
2011-04-25,10.79,11.60,10.64,11.55,22900,11.55
2011-04-18,10.69,10.88,10.56,10.83,17300,10.83
2011-04-11,10.68,10.89,10.39,10.80,22000,10.80
2011-04-04,11.02,11.09,10.65,10.72,12700,10.72
2011-03-28,10.80,11.50,10.53,10.94,35400,10.94
2011-03-21,10.69,10.83,10.37,10.80,14800,10.80
2011-03-14,10.72,10.98,10.00,10.55,26600,10.55
2011-03-07,10.76,11.09,10.34,10.85,30600,10.85
2011-02-28,10.44,11.06,10.30,10.77,28500,10.77
2011-02-22,10.50,10.90,10.04,10.40,33900,10.40
2011-02-14,10.80,11.10,10.51,10.62,42200,10.62
2011-02-07,10.73,10.99,10.55,10.83,16100,10.83
2011-01-31,10.41,10.94,10.31,10.76,26200,10.76
2011-01-24,10.16,10.84,10.00,10.30,40100,10.30
2011-01-18,10.50,10.61,9.94,10.17,34100,10.17
2011-01-10,10.77,10.87,10.50,10.52,27300,10.52
2011-01-03,10.92,11.40,10.51,10.86,38400,10.86
2010-12-27,11.18,11.33,10.79,10.92,21000,10.92
2010-12-20,11.41,11.60,11.06,11.39,28700,11.39
2010-12-13,11.40,11.60,11.05,11.43,34000,11.43
2010-12-06,11.28,11.45,10.91,11.42,31200,11.42
2010-11-29,10.76,11.38,10.28,11.35,38400,11.35
2010-11-22,10.60,11.02,10.50,10.85,13900,10.85
