Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,18.39,18.97,18.16,18.66,305100,18.66
2012-05-14,18.42,18.76,18.03,18.40,236700,18.40
2012-05-07,17.54,19.07,17.35,18.64,308500,18.64
2012-04-30,17.98,18.80,16.03,17.70,649100,17.70
2012-04-23,17.36,18.20,17.11,17.99,260000,17.99
2012-04-16,18.65,18.80,17.29,17.54,304800,17.54
2012-04-09,18.08,18.92,17.51,18.60,572500,18.60
2012-04-02,19.10,19.31,17.85,18.42,529300,18.42
2012-03-26,18.81,19.45,18.72,19.17,254000,19.17
2012-03-19,20.35,20.48,18.31,18.64,557300,18.64
2012-03-12,21.54,21.91,19.64,20.38,635400,20.38
2012-03-05,19.80,21.77,19.21,21.56,509900,21.56
2012-02-27,20.22,20.65,19.80,19.90,388600,19.90
2012-02-21,20.72,20.99,19.78,20.30,924300,20.30
2012-02-13,27.26,27.93,18.43,20.71,1208200,20.71
2012-02-06,28.61,28.91,26.66,27.10,97100,27.10
2012-01-30,27.37,28.97,25.51,28.66,185300,28.66
2012-01-23,27.16,28.14,26.71,27.51,175800,27.51
2012-01-17,25.82,27.58,25.81,27.02,200700,27.02
2012-01-09,25.45,25.84,24.92,25.63,102000,25.63
2012-01-03,25.91,26.27,24.53,25.35,182500,25.35
2011-12-27,25.64,26.00,25.18,25.27,118000,25.27
2011-12-19,25.59,27.47,24.54,25.59,143200,25.59
2011-12-12,25.53,26.26,24.36,25.49,182700,25.49
2011-12-05,25.32,26.24,25.14,25.98,179000,25.98
2011-11-28,22.97,25.25,22.97,24.97,233400,24.97
2011-11-21,24.08,24.24,21.81,22.18,145200,22.18
2011-11-14,24.64,25.68,24.25,24.44,162900,24.44
2011-11-07,25.15,25.90,24.06,24.64,199600,24.64
2011-10-31,27.32,27.90,23.00,25.24,335900,25.24
2011-10-24,24.44,28.08,24.40,27.91,221700,27.91
2011-10-17,24.15,24.41,22.56,24.32,187900,24.32
2011-10-10,21.68,24.17,21.59,24.02,241200,24.02
2011-10-03,20.31,22.35,19.33,21.16,289700,21.16
2011-09-26,19.89,21.83,19.33,20.45,255400,20.45
2011-09-19,20.56,20.61,18.33,19.70,262900,19.70
2011-09-12,18.34,21.41,18.17,21.03,266200,21.03
2011-09-06,18.87,21.41,18.30,18.57,398100,18.57
2011-08-29,19.22,21.19,18.80,19.51,347300,19.51
2011-08-22,22.16,23.33,18.19,19.80,865300,19.80
2011-08-15,24.57,25.35,21.57,21.64,239700,21.64
2011-08-08,20.29,24.97,19.84,24.44,480300,24.44
2011-08-01,24.42,24.58,19.31,21.00,398600,21.00
2011-07-25,25.11,25.39,23.72,24.05,184300,24.05
2011-07-18,25.46,26.14,24.16,25.31,312600,25.31
2011-07-11,26.12,26.32,24.80,25.51,223600,25.51
2011-07-05,26.50,26.71,25.25,26.40,174100,26.40
2011-06-27,25.04,27.59,24.33,26.50,265400,26.50
2011-06-20,24.52,26.99,24.18,24.92,801600,24.92
2011-06-13,25.03,25.62,24.10,24.50,260400,24.50
2011-06-06,26.43,27.03,24.32,24.82,173800,24.82
2011-05-31,28.81,29.68,26.32,26.60,614200,26.60
2011-05-23,28.47,29.26,27.40,28.57,217400,28.57
2011-05-16,29.02,29.89,28.57,29.03,245400,29.03
2011-05-09,30.84,30.84,27.91,29.42,274000,29.42
2011-05-02,32.05,32.19,28.93,30.92,171200,30.92
2011-04-25,31.65,32.83,30.31,31.90,218800,31.90
2011-04-18,28.01,31.85,27.66,31.73,180700,31.73
2011-04-11,26.99,28.74,26.43,28.38,162400,28.38
2011-04-04,28.65,28.65,26.74,27.00,103200,27.00
2011-03-28,26.40,28.90,25.80,28.52,197600,28.52
2011-03-21,24.12,26.65,23.78,26.19,178600,26.19
2011-03-14,24.37,25.18,22.00,23.97,199100,23.97
2011-03-07,24.49,25.27,23.09,24.76,267600,24.76
2011-02-28,24.64,24.89,22.88,24.39,481000,24.39
2011-02-22,27.54,28.00,24.03,24.64,310700,24.64
2011-02-14,28.99,29.42,26.02,27.85,192500,27.85
2011-02-07,27.45,28.66,26.03,28.53,172500,28.53
2011-01-31,27.43,28.53,26.39,27.48,105400,27.48
2011-01-24,26.40,29.22,25.58,27.20,129500,27.20
2011-01-18,27.50,28.35,25.82,26.40,157200,26.40
2011-01-10,29.22,29.99,27.10,27.67,87000,27.67
2011-01-03,31.00,31.00,28.39,29.45,218500,29.45
2010-12-27,32.25,32.89,28.51,30.93,85300,30.93
2010-12-20,30.71,34.19,30.65,32.51,130000,32.51
2010-12-13,28.90,30.87,26.82,30.67,226500,30.67
2010-12-06,27.92,31.95,25.75,28.83,911700,28.83
2010-11-29,27.08,30.51,26.63,28.04,81200,28.04
2010-11-22,28.43,28.43,26.31,27.17,38000,27.17
2010-11-15,30.22,32.96,24.78,28.51,98000,28.51
2010-11-08,27.65,31.30,25.97,30.17,127700,30.17
2010-11-01,23.06,28.99,22.84,26.74,142400,26.74
2010-10-25,22.07,24.74,21.63,23.08,85900,23.08
2010-10-18,21.17,22.94,19.76,21.95,46100,21.95
2010-10-11,20.83,22.72,20.19,21.22,192200,21.22
2010-10-04,19.31,21.75,18.78,20.88,79800,20.88
2010-09-27,18.86,19.64,17.42,19.46,364200,19.46
2010-09-20,19.20,19.99,18.01,18.73,130200,18.73
2010-09-13,16.49,19.63,15.76,19.04,109400,19.04
2010-09-07,17.21,18.15,16.26,16.45,58000,16.45
