Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,24.47,25.93,24.47,25.59,565600,25.59
2012-05-14,26.36,26.61,24.91,24.96,534900,24.96
2012-05-07,26.02,26.91,25.91,26.67,510300,26.67
2012-04-30,26.97,26.99,25.97,26.14,574700,26.14
2012-04-23,25.96,26.99,25.64,26.93,444800,26.93
2012-04-16,25.96,26.43,25.78,26.25,463900,26.25
2012-04-09,25.81,26.27,25.28,25.80,697100,25.80
2012-04-02,26.21,27.70,25.66,26.10,1408800,25.88
2012-03-26,25.40,26.45,25.38,26.19,720800,25.97
2012-03-19,25.17,25.47,24.82,25.22,441500,25.01
2012-03-12,24.76,25.61,24.72,25.20,615900,24.99
2012-03-05,24.21,24.82,23.70,24.77,1108300,24.56
2012-02-27,24.89,25.19,23.53,24.26,1449700,24.05
2012-02-21,25.40,25.70,24.90,24.93,614700,24.72
2012-02-13,25.86,25.90,25.32,25.38,551400,25.16
2012-02-06,25.48,25.90,25.35,25.58,381500,25.36
2012-01-30,24.69,25.90,24.51,25.54,561700,25.32
2012-01-23,24.78,25.15,24.19,24.97,491700,24.76
2012-01-17,24.29,25.00,23.96,24.74,604200,24.53
2012-01-09,23.56,24.16,23.33,24.06,753800,23.86
2012-01-03,25.00,25.18,22.96,23.42,1170700,23.01
2011-12-27,24.55,24.83,24.15,24.55,485200,24.12
2011-12-19,23.49,24.61,22.76,24.57,560000,24.14
2011-12-12,23.45,23.87,22.79,23.33,864200,22.92
2011-12-05,23.89,24.08,23.05,23.78,1250700,23.36
2011-11-28,22.20,23.87,21.99,23.50,796100,23.09
2011-11-21,22.15,22.83,21.28,21.45,1135100,21.08
2011-11-14,23.40,23.69,22.40,22.49,804000,22.10
2011-11-07,23.28,23.77,22.48,23.50,597600,23.09
2011-10-31,22.92,23.56,21.72,23.40,769000,22.99
2011-10-24,21.88,23.42,21.54,23.14,709000,22.74
2011-10-17,21.13,21.75,20.40,21.74,687200,21.36
2011-10-10,20.72,21.38,20.45,21.25,813700,20.88
2011-10-03,18.54,20.84,17.67,20.22,1630100,19.66
2011-09-26,17.87,19.39,17.41,18.70,1378900,18.19
2011-09-19,18.83,19.30,17.34,17.68,1043100,17.19
2011-09-12,17.82,19.43,17.67,19.20,948700,18.67
2011-09-06,18.28,19.29,17.69,18.00,1526000,17.51
2011-08-29,19.90,21.17,18.52,18.64,1180400,18.13
2011-08-22,18.93,19.71,18.31,19.67,547200,19.13
2011-08-15,19.96,20.29,18.44,18.47,651300,17.96
2011-08-08,18.73,19.96,17.20,19.68,1818000,19.14
2011-08-01,21.36,21.41,18.72,19.17,987000,18.64
2011-07-25,21.91,23.15,20.97,21.08,888900,20.50
2011-07-18,22.30,22.75,21.99,22.40,496700,21.78
2011-07-11,23.25,23.42,22.16,22.38,470300,21.77
2011-07-05,23.42,23.80,23.11,23.55,464600,22.69
2011-06-27,22.32,23.47,22.05,23.44,551400,22.59
2011-06-20,21.74,22.84,21.64,22.32,789600,21.51
2011-06-13,21.70,22.19,21.33,21.68,474900,20.89
2011-06-06,22.33,22.43,21.66,21.77,593200,20.98
2011-05-31,23.45,23.67,22.40,22.45,886400,21.63
2011-05-23,22.95,23.40,22.86,23.35,583900,22.50
2011-05-16,23.08,23.54,22.90,23.26,804000,22.41
2011-05-09,22.94,23.35,22.66,23.22,680600,22.38
2011-05-02,23.65,23.75,22.81,22.99,597200,22.15
2011-04-25,23.05,23.71,22.94,23.50,653300,22.65
2011-04-18,22.77,23.38,22.64,23.04,799700,22.20
2011-04-11,24.03,24.19,22.65,23.08,806500,22.24
2011-04-04,24.14,26.00,23.95,24.10,1177800,23.02
2011-03-28,23.01,24.19,23.01,24.06,769400,22.98
2011-03-21,22.55,23.30,22.45,23.00,438600,21.97
2011-03-14,22.49,22.87,21.88,22.35,580600,21.35
2011-03-07,23.07,23.17,22.30,22.61,850200,21.60
2011-02-28,22.77,23.35,22.43,22.87,639000,21.85
2011-02-22,23.86,23.98,22.33,22.61,717500,21.60
2011-02-14,23.64,24.19,23.37,24.07,561500,22.99
2011-02-07,23.78,23.98,23.27,23.57,434400,22.52
2011-01-31,23.40,24.02,23.08,23.78,728900,22.72
2011-01-24,22.41,24.68,22.41,23.27,1052000,22.23
2011-01-18,22.82,23.00,22.08,22.36,450100,21.36
2011-01-10,22.35,22.97,22.12,22.80,577400,21.78
2011-01-03,22.33,22.88,21.50,22.38,792700,21.18
2010-12-27,21.94,22.32,21.68,22.10,335800,20.92
2010-12-20,21.63,22.40,21.58,21.97,488000,20.79
2010-12-13,21.00,21.74,20.90,21.50,705800,20.35
2010-12-06,21.07,21.09,19.86,20.90,1939600,19.78
2010-11-29,20.77,21.18,20.31,21.08,1152000,19.95
2010-11-22,20.65,21.24,20.45,20.90,511000,19.78
2010-11-15,21.64,21.73,20.28,20.70,698800,19.59
2010-11-08,21.34,21.93,21.14,21.49,944700,20.34
2010-11-01,20.83,21.66,20.50,21.45,570400,20.30
2010-10-25,20.94,21.12,19.94,20.71,665200,19.60
2010-10-18,20.71,20.83,20.01,20.76,681400,19.65
2010-10-11,20.76,21.20,20.35,20.65,579200,19.54
2010-10-04,19.95,20.97,19.62,20.75,1100600,19.44
2010-09-27,19.88,20.14,19.52,20.04,800100,18.78
2010-09-20,18.91,19.86,18.85,19.84,770500,18.59
2010-09-13,18.55,18.95,18.31,18.80,663300,17.62
2010-09-07,18.03,18.65,18.01,18.35,887800,17.19
2010-08-30,17.22,18.27,16.81,18.12,598500,16.98
2010-08-23,16.97,17.28,16.07,17.25,905700,16.16
2010-08-16,17.32,17.69,16.72,16.91,789600,15.85
2010-08-09,18.62,18.75,17.45,17.46,696300,16.36
2010-08-02,19.03,19.24,18.28,18.51,769500,17.34
2010-07-26,19.08,19.40,18.10,18.77,1041900,17.59
2010-07-19,17.67,19.13,17.50,18.99,561500,17.79
2010-07-12,18.57,18.78,17.54,17.57,542300,16.46
2010-07-06,18.09,18.74,17.49,18.65,907200,17.28
2010-06-28,18.47,18.76,17.43,17.74,835200,16.44
2010-06-21,19.20,19.33,18.17,18.44,721400,17.09
2010-06-14,18.85,19.21,18.56,19.04,673500,17.65
2010-06-07,18.47,18.70,17.70,18.67,949000,17.30
2010-06-01,19.63,19.90,18.43,18.47,1066500,17.12
2010-05-24,19.38,20.04,18.41,19.81,631800,18.36
2010-05-17,20.56,21.06,18.88,19.56,718700,18.13
2010-05-10,20.63,21.40,20.21,20.41,776600,18.92
2010-05-03,22.13,22.37,18.92,19.74,964300,18.29
2010-04-26,22.80,22.90,21.85,22.08,668100,20.46
2010-04-19,21.06,22.74,20.75,22.69,871600,21.03
2010-04-12,21.43,21.63,20.93,21.18,785200,19.63
2010-04-05,21.75,22.21,20.43,21.45,821900,19.69
2010-03-29,21.25,21.76,21.17,21.73,528900,19.94
2010-03-22,20.66,21.30,20.60,21.11,593500,19.38
2010-03-15,20.62,21.21,20.52,20.84,525600,19.13
2010-03-08,20.85,20.96,20.04,20.70,525400,19.00
2010-03-01,19.23,20.88,19.13,20.87,667300,19.16
2010-02-22,19.35,19.40,18.90,19.25,515400,17.67
2010-02-16,19.50,19.53,19.15,19.33,846300,17.74
2010-02-08,18.67,19.32,18.25,19.32,685300,17.73
2010-02-01,18.78,19.41,18.05,18.52,1026300,17.00
2010-01-25,19.82,20.24,18.64,18.70,1029100,17.16
2010-01-19,20.57,20.86,19.66,19.69,765900,18.07
2010-01-11,21.14,21.19,20.54,20.59,804700,18.90
2010-01-04,20.37,21.49,19.89,20.83,1784900,18.93
2009-12-28,20.49,20.97,20.33,20.33,611400,18.48
2009-12-21,19.96,20.85,19.93,20.47,516400,18.61
2009-12-14,20.30,20.78,19.76,19.88,875100,18.07
2009-12-07,20.59,20.83,19.87,20.15,802100,18.31
2009-11-30,19.82,20.73,19.41,20.49,992200,18.62
2009-11-23,20.12,20.35,19.48,19.74,594900,17.94
2009-11-16,19.72,20.34,19.67,19.81,661500,18.01
2009-11-09,18.48,19.78,18.46,19.63,959100,17.84
2009-11-02,17.74,18.40,17.31,18.37,947300,16.70
2009-10-26,18.83,19.16,17.51,17.62,845000,16.02
2009-10-19,19.38,19.72,18.52,18.87,849700,17.15
2009-10-12,19.04,19.74,18.94,19.37,1308300,17.61
2009-10-05,19.48,19.48,17.55,18.88,2082000,16.98
2009-09-28,18.10,18.82,17.64,18.08,1012600,16.26
2009-09-21,18.12,18.57,17.74,17.99,723500,16.18
2009-09-14,16.71,18.62,16.71,18.24,835200,16.41
2009-09-08,16.58,17.18,16.45,16.84,572800,15.15
2009-08-31,16.03,16.74,15.85,16.41,662700,14.76
2009-08-24,16.18,16.37,15.66,16.16,523300,14.53
2009-08-17,15.69,16.38,15.55,16.14,520000,14.52
2009-08-10,16.83,16.83,15.88,16.04,806900,14.43
2009-08-03,16.02,17.03,15.94,16.88,541100,15.18
2009-07-27,15.39,16.15,14.66,15.96,1008700,14.35
2009-07-20,14.54,15.40,14.50,15.32,684800,13.78
2009-07-13,13.63,14.65,13.44,14.46,832500,13.01
2009-07-06,13.55,13.72,13.08,13.60,575800,12.06
2009-06-29,14.04,14.36,13.63,13.64,758200,12.09
2009-06-22,14.60,14.60,13.67,14.13,975600,12.53
2009-06-15,15.37,15.49,14.38,14.64,720500,12.98
2009-06-08,15.21,15.89,14.93,15.54,770000,13.78
2009-06-01,15.47,16.03,14.94,15.16,873500,13.44
