Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.92,14.34,13.33,13.54,183000,13.54
2012-05-14,14.59,14.76,13.34,13.92,255200,13.92
2012-05-07,16.67,17.14,14.39,14.74,249300,14.74
2012-04-30,17.35,17.75,16.43,16.84,197000,16.84
2012-04-23,16.84,17.48,16.56,17.34,200600,17.34
2012-04-16,16.59,17.14,16.25,17.02,160900,17.02
2012-04-09,15.91,16.79,15.61,16.58,204600,16.58
2012-04-02,16.63,16.84,15.59,16.11,306100,16.11
2012-03-26,17.68,17.70,16.70,16.96,160700,16.96
2012-03-19,18.01,18.17,17.06,17.52,170100,17.52
2012-03-12,18.20,18.50,17.85,18.01,190400,18.01
2012-03-05,17.10,18.24,16.76,18.15,222400,18.15
2012-02-27,17.83,18.46,16.51,17.33,267200,17.33
2012-02-21,18.48,18.57,16.78,18.02,226600,18.02
2012-02-13,19.24,20.38,17.47,18.42,598200,18.42
2012-02-06,17.31,19.97,17.07,19.13,212700,19.13
2012-01-30,17.08,17.54,16.18,17.41,185400,17.41
2012-01-23,16.41,17.25,15.38,17.19,137500,17.19
2012-01-17,16.05,17.32,15.39,16.42,263100,16.42
2012-01-09,13.51,16.07,13.39,15.98,269300,15.98
2012-01-03,13.00,14.17,12.86,13.50,319700,13.50
2011-12-27,12.37,12.69,12.00,12.65,147500,12.65
2011-12-19,12.97,13.32,11.02,12.40,157600,12.40
2011-12-12,12.90,13.34,12.31,12.88,152000,12.88
2011-12-05,13.63,13.83,12.99,13.05,258600,13.05
2011-11-28,14.75,15.14,12.90,13.37,377000,13.37
2011-11-21,15.68,15.74,14.25,14.56,157400,14.56
2011-11-14,14.64,15.34,14.29,15.10,263200,15.10
2011-11-07,15.59,15.69,13.59,14.71,193900,14.71
2011-10-31,15.83,16.24,14.46,15.57,432800,15.57
2011-10-24,17.32,18.00,15.19,16.00,320800,16.00
2011-10-17,19.99,19.99,16.95,17.32,98500,17.32
2011-10-10,20.14,20.53,18.79,20.13,99700,20.13
2011-10-03,20.52,20.66,18.39,19.81,179900,19.81
2011-09-26,21.88,22.93,20.30,20.71,131500,20.71
2011-09-19,21.95,23.85,21.36,21.79,250000,21.79
2011-09-12,21.83,23.14,19.62,22.43,793100,22.43
2011-09-06,25.28,25.28,22.00,22.12,104600,22.12
2011-08-29,25.38,27.16,25.00,26.08,64800,26.08
2011-08-22,24.27,26.21,23.22,25.17,65400,25.17
2011-08-15,23.93,25.52,22.01,23.46,98200,23.46
2011-08-08,23.32,24.00,20.49,23.63,219500,23.63
2011-08-01,27.19,27.22,23.04,24.24,127400,24.24
2011-07-25,29.21,29.94,25.74,26.75,94300,26.75
2011-07-18,27.00,30.00,26.00,29.53,154900,29.53
2011-07-11,27.95,28.58,26.44,27.15,178000,27.15
2011-07-05,28.88,29.08,26.75,28.07,128400,28.07
2011-06-27,27.64,29.88,26.00,28.78,105900,28.78
2011-06-20,23.98,28.52,23.92,27.30,481000,27.30
2011-06-13,31.39,31.39,23.84,24.48,183500,24.48
2011-06-06,28.69,31.41,26.66,31.00,100900,31.00
2011-05-31,28.99,29.95,27.49,28.90,90000,28.90
2011-05-23,28.25,28.99,27.03,28.55,72800,28.55
2011-05-16,26.99,29.54,25.76,28.43,114300,28.43
2011-05-09,27.60,28.39,26.01,26.86,109300,26.86
2011-05-04,24.00,27.40,23.00,26.75,2603800,26.75
