Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.21,10.50,10.12,10.30,2014400,10.30
2012-05-14,11.00,11.02,9.95,10.19,2493000,10.19
2012-05-07,11.21,11.72,10.87,11.08,2081900,11.08
2012-04-30,12.82,12.96,11.11,11.25,3473100,11.25
2012-04-23,11.95,12.87,11.74,12.85,1845600,12.85
2012-04-16,12.05,12.60,11.92,12.07,2349400,12.07
2012-04-09,11.55,12.46,11.26,11.92,2745500,11.67
2012-04-02,12.34,12.67,11.59,11.70,2842700,11.46
2012-03-26,12.83,13.13,12.31,12.39,2364600,12.13
2012-03-19,13.14,13.68,12.57,12.70,3227200,12.44
2012-03-12,12.91,13.24,12.77,13.14,2419000,12.87
2012-03-05,13.12,13.19,12.65,12.94,2994900,12.67
2012-02-27,14.05,14.33,13.20,13.23,5846500,12.96
2012-02-21,13.80,14.25,12.96,14.10,6852500,13.81
2012-02-13,12.64,13.59,12.56,13.23,3957600,12.96
2012-02-06,11.92,13.03,11.90,12.44,4979500,12.18
2012-01-30,11.50,11.98,11.25,11.91,4843800,11.66
2012-01-23,12.29,12.45,11.43,11.52,4736900,11.28
2012-01-17,14.66,14.67,11.66,12.20,12046600,11.69
2012-01-09,14.85,14.93,14.35,14.41,3077200,13.81
2012-01-03,14.92,15.22,14.74,14.77,2463700,14.16
2011-12-27,14.82,14.85,14.25,14.43,1366500,13.83
2011-12-19,14.42,14.98,13.70,14.82,2017300,14.20
2011-12-12,14.43,14.47,13.81,14.35,2436000,13.75
2011-12-05,15.13,15.16,14.09,14.58,2612500,13.97
2011-11-28,13.95,15.17,13.81,14.83,3315800,14.21
2011-11-21,14.69,14.76,13.48,13.49,1724400,12.93
2011-11-14,16.03,16.13,14.85,14.91,2900100,14.29
2011-11-07,16.42,16.74,15.41,16.04,3182000,15.37
2011-10-31,16.37,16.75,15.28,16.64,4270400,15.70
2011-10-24,15.77,16.70,15.50,16.53,3351200,15.59
2011-10-17,15.74,15.91,14.82,15.79,3569000,14.90
2011-10-10,14.63,15.92,14.53,15.86,2401100,14.96
2011-10-03,14.00,14.79,12.90,14.35,3940200,13.54
2011-09-26,14.04,14.84,13.71,14.12,3426200,13.32
2011-09-19,14.72,15.06,13.24,13.89,3172500,13.10
2011-09-12,13.65,15.13,13.53,14.95,2683400,14.10
2011-09-06,13.80,14.57,13.74,13.85,2772800,13.07
2011-08-29,14.45,15.39,14.26,14.33,4146300,13.52
2011-08-22,14.05,14.46,13.16,14.23,3774600,13.43
2011-08-15,14.85,15.05,13.66,13.76,3786000,12.98
2011-08-08,15.28,15.50,13.63,14.79,5481100,13.95
2011-08-01,19.09,19.17,15.00,15.63,7053800,14.75
2011-07-25,19.51,19.56,18.81,18.81,3268900,17.49
2011-07-18,19.30,19.70,18.59,19.63,1794900,18.25
2011-07-11,19.94,20.07,19.01,19.43,3129200,18.07
2011-07-05,19.72,20.60,19.72,20.19,1620700,18.78
2011-06-27,18.88,20.10,18.88,19.99,1673500,18.59
2011-06-20,19.12,19.81,18.77,18.92,2546400,17.59
2011-06-13,19.43,19.86,18.95,19.08,2739100,17.74
2011-06-06,20.61,20.71,19.38,19.47,3026300,18.11
2011-05-31,21.09,21.34,20.31,20.63,2912500,19.18
2011-05-23,20.57,20.95,20.27,20.90,2055700,19.44
2011-05-16,20.29,21.20,20.10,20.79,1999400,19.33
2011-05-09,19.21,20.80,19.21,20.32,2487100,18.90
2011-05-02,18.98,19.84,18.82,19.25,3184400,17.90
2011-04-25,18.96,19.00,18.55,18.86,1455900,17.54
2011-04-18,19.18,19.24,18.68,18.85,1930500,17.53
2011-04-11,19.46,19.55,19.05,19.46,1282500,17.85
2011-04-04,19.08,19.69,18.90,19.47,1791000,17.86
2011-03-28,18.28,19.19,18.21,19.01,1432500,17.44
2011-03-21,18.00,18.37,17.77,18.21,1679900,16.70
2011-03-14,18.56,18.67,17.32,17.73,2657300,16.26
2011-03-07,18.59,19.05,18.12,18.74,2328800,17.19
2011-02-28,18.48,18.88,17.92,18.52,3057000,16.99
2011-02-22,19.30,19.32,17.98,18.43,2156600,16.91
2011-02-14,18.74,19.45,18.50,19.39,1590700,17.79
2011-02-07,18.50,18.94,18.43,18.77,1289700,17.22
2011-01-31,17.80,18.64,17.66,18.44,1640100,16.91
2011-01-24,17.92,18.31,17.51,17.72,2036000,16.25
2011-01-18,17.80,18.07,17.64,17.85,2437400,16.14
2011-01-10,17.60,18.23,17.46,17.63,3515300,15.94
2011-01-03,17.69,17.79,17.45,17.63,2659900,15.94
2010-12-27,17.37,17.54,17.00,17.47,1130800,15.80
2010-12-20,17.55,17.62,16.48,17.40,1346400,15.73
2010-12-13,17.84,17.85,17.19,17.53,2050100,15.85
2010-12-06,16.79,17.74,16.75,17.73,1536700,16.03
2010-11-29,16.06,16.82,15.74,16.73,2291000,15.13
2010-11-22,16.23,16.30,15.71,16.19,1376600,14.64
2010-11-15,16.74,16.85,15.86,16.28,2479200,14.72
2010-11-08,17.96,18.09,16.65,16.73,2166900,15.13
2010-11-01,18.58,19.06,18.00,18.18,1760500,16.20
