Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.51,13.53,12.23,13.13,985200,13.13
2012-05-14,14.00,14.27,12.20,12.54,504400,12.54
2012-05-07,15.49,15.77,13.95,14.28,349900,14.28
2012-04-30,16.78,17.04,15.30,15.54,278700,15.54
2012-04-23,18.40,18.42,16.41,16.97,520800,16.97
2012-04-16,19.21,19.46,18.39,18.78,173800,18.78
2012-04-09,18.88,19.55,18.46,19.27,185800,19.27
2012-04-02,20.16,20.32,18.77,18.90,212600,18.90
2012-03-26,20.55,20.96,19.55,20.09,166500,20.09
2012-03-19,19.96,20.64,19.26,20.20,221900,20.20
2012-03-12,21.89,22.00,19.69,20.05,496700,20.05
2012-03-05,22.99,23.22,20.76,21.90,418800,21.90
2012-02-27,25.48,25.48,23.00,23.04,303600,23.04
2012-02-21,24.67,25.65,23.50,24.98,328100,24.98
2012-02-13,21.66,25.14,21.20,23.99,591200,23.99
2012-02-06,22.89,23.30,21.06,21.56,327000,21.56
2012-01-30,20.43,23.00,19.93,22.90,453300,22.90
2012-01-23,18.86,20.83,18.15,20.59,384300,20.59
2012-01-17,18.59,19.24,18.36,18.94,222100,18.94
2012-01-09,17.05,18.93,16.91,18.76,232300,18.76
2012-01-03,16.71,17.24,16.48,17.00,254300,17.00
2011-12-27,17.11,17.20,15.10,16.11,402100,16.11
2011-12-19,18.33,18.36,16.87,17.32,273800,17.32
2011-12-12,21.50,21.87,18.06,18.42,450100,18.42
2011-12-05,21.75,22.68,21.11,22.38,307100,22.38
2011-11-28,21.30,23.23,21.20,21.42,302400,21.42
2011-11-21,20.55,21.80,20.15,20.52,246600,20.52
2011-11-14,22.52,22.54,20.09,20.71,307900,20.71
2011-11-07,24.57,24.90,22.79,22.84,236600,22.84
2011-10-31,24.47,25.98,23.00,24.51,280000,24.51
2011-10-24,23.27,25.15,23.25,24.54,255700,24.54
2011-10-17,23.47,24.67,21.64,23.64,300700,23.64
2011-10-10,21.55,24.66,21.43,23.30,284800,23.30
2011-10-03,22.90,22.94,19.84,21.43,262900,21.43
2011-09-26,23.06,25.02,21.46,22.48,247900,22.48
2011-09-19,26.68,27.20,22.51,23.40,323700,23.40
2011-09-12,28.87,29.47,25.34,26.73,397300,26.73
2011-09-06,28.71,30.72,28.60,29.47,241500,29.47
2011-08-29,29.00,30.47,28.22,29.92,164500,29.92
2011-08-22,30.26,31.34,26.44,28.89,317300,28.89
2011-08-15,28.80,30.61,27.91,30.17,290700,30.17
2011-08-08,26.61,29.84,25.27,28.41,447000,28.41
2011-08-01,27.64,29.77,25.35,26.22,270900,26.22
2011-07-25,29.48,29.99,27.61,27.65,167700,27.65
2011-07-18,30.75,30.75,28.65,29.42,170000,29.42
2011-07-11,29.08,30.98,28.50,29.43,289300,29.43
2011-07-05,27.94,28.88,27.75,28.84,203400,28.84
2011-06-27,26.87,28.80,26.63,27.41,196900,27.41
2011-06-20,26.07,28.23,25.75,26.87,349200,26.87
2011-06-13,26.08,28.06,24.15,26.32,779400,26.32
2011-06-06,28.40,29.06,25.86,26.25,410100,26.25
2011-05-31,30.35,30.45,28.12,28.22,220300,28.22
2011-05-23,29.07,30.22,28.76,30.22,219700,30.22
2011-05-16,29.09,29.79,27.70,29.54,268600,29.54
2011-05-09,30.96,31.38,28.56,29.21,282200,29.21
2011-05-02,33.82,34.43,29.77,30.31,346400,30.31
2011-04-25,34.04,34.73,31.53,34.07,233700,34.07
2011-04-18,33.35,34.99,32.23,33.62,232200,33.62
2011-04-11,34.35,34.35,31.76,33.62,234500,33.62
2011-04-04,33.04,34.47,31.69,34.23,306100,34.23
2011-03-28,31.71,32.94,30.92,32.63,217000,32.63
2011-03-21,32.21,32.99,31.42,32.01,260000,32.01
2011-03-14,32.37,33.92,30.00,31.27,456400,31.27
2011-03-07,36.22,36.22,31.25,33.45,277400,33.45
2011-02-28,34.47,35.69,33.25,35.14,291400,35.14
2011-02-22,32.51,35.66,32.00,33.71,573900,33.71
2011-02-14,30.70,32.45,30.61,31.72,202700,31.72
2011-02-07,29.65,32.55,29.11,30.50,389900,30.50
2011-01-31,28.61,30.31,28.00,29.46,240600,29.46
2011-01-24,28.11,29.01,27.17,28.51,381700,28.51
2011-01-18,29.05,30.24,27.81,27.81,336100,27.81
2011-01-10,28.67,31.64,28.61,29.07,412700,29.07
2011-01-03,31.55,31.55,28.26,28.65,410200,28.65
2010-12-27,29.74,31.39,29.25,30.68,213200,30.68
2010-12-20,29.17,30.30,29.00,29.46,507100,29.46
2010-12-13,28.28,28.50,25.76,27.24,403400,27.24
2010-12-06,29.09,29.48,27.11,28.23,289000,28.23
2010-11-29,27.76,29.76,27.26,29.05,294000,29.05
2010-11-22,28.37,28.97,27.08,27.83,192800,27.83
2010-11-15,28.41,29.93,28.00,28.35,331900,28.35
2010-11-08,30.10,31.41,28.11,28.42,367300,28.42
2010-11-01,27.24,30.65,26.50,30.02,312600,30.02
2010-10-25,27.48,27.69,25.41,27.33,288800,27.33
2010-10-18,29.60,29.71,25.27,26.60,399400,26.60
2010-10-11,30.00,30.77,28.75,29.80,188400,29.80
2010-10-04,28.82,30.17,27.93,30.06,319000,30.06
2010-09-27,29.51,29.86,27.55,28.92,242000,28.92
2010-09-20,30.67,30.99,29.06,29.45,280000,29.45
2010-09-13,28.57,30.82,28.11,30.10,409000,30.10
2010-09-07,29.84,30.69,28.18,28.50,227400,28.50
2010-08-30,30.29,31.15,28.87,29.36,234300,29.36
2010-08-23,28.32,30.46,27.33,30.35,308800,30.35
2010-08-16,25.58,29.65,25.49,28.36,438900,28.36
2010-08-09,25.75,25.99,24.87,25.30,352800,25.30
2010-08-02,25.49,26.37,24.56,25.72,326200,25.72
2010-07-26,26.97,26.99,24.33,25.62,311500,25.62
2010-07-19,27.07,27.19,24.20,26.66,503900,26.66
2010-07-12,29.54,29.55,27.17,27.20,306500,27.20
2010-07-06,28.82,29.39,27.24,29.24,449300,29.24
2010-06-28,35.00,35.00,28.01,28.84,387500,28.84
2010-06-21,35.31,36.49,33.51,34.80,336500,34.80
2010-06-14,33.20,35.03,32.00,35.00,326900,35.00
2010-06-07,31.63,33.39,31.15,32.85,321100,32.85
2010-06-01,35.03,35.30,31.29,31.63,383400,31.63
2010-05-24,30.38,37.48,30.27,34.61,830100,34.61
2010-05-17,36.06,36.11,28.10,30.18,627700,30.18
2010-05-10,32.38,37.95,30.90,35.54,755900,35.54
2010-05-03,33.36,33.94,29.69,30.75,533900,30.75
2010-04-26,28.95,33.94,28.62,33.94,687800,33.94
2010-04-19,27.70,29.10,27.51,28.98,268100,28.98
2010-04-12,28.56,29.44,27.21,28.00,425800,28.00
2010-04-05,25.76,29.11,25.00,29.04,643800,29.04
2010-03-29,24.76,26.50,24.16,25.25,785600,25.25
2010-03-22,21.42,24.28,20.85,24.28,730600,24.28
2010-03-15,22.14,22.69,21.28,21.97,420900,21.97
2010-03-08,23.01,23.06,20.84,21.75,606700,21.75
2010-03-01,24.23,25.20,22.27,22.92,868400,22.92
2010-02-22,23.45,24.62,21.76,24.35,524000,24.35
2010-02-16,25.57,25.70,23.10,23.54,499200,23.54
2010-02-08,24.34,25.99,24.01,24.82,202700,24.82
2010-02-01,24.39,26.72,22.60,24.51,275000,24.51
2010-01-25,29.45,29.57,24.00,24.07,376400,24.07
2010-01-19,25.75,29.54,25.05,29.43,548300,29.43
2010-01-11,26.61,26.98,25.29,26.00,247700,26.00
2010-01-04,25.07,25.93,24.40,25.93,176300,25.93
2009-12-28,24.40,24.40,23.10,24.27,132100,24.27
2009-12-21,22.96,24.30,22.00,24.28,183200,24.28
2009-12-14,24.36,25.38,22.05,22.96,409200,22.96
2009-12-07,26.17,26.95,24.06,24.31,326000,24.31
2009-11-30,25.02,29.00,25.02,26.73,411300,26.73
2009-11-23,25.50,27.36,24.67,25.50,359800,25.50
2009-11-16,24.95,25.67,23.70,25.11,314500,25.11
2009-11-09,26.47,26.49,23.01,24.48,444700,24.48
2009-11-02,20.18,25.93,19.85,25.60,719400,25.60
2009-10-26,24.95,25.17,19.36,20.08,781900,20.08
2009-10-19,26.45,26.56,24.65,24.95,411400,24.95
2009-10-12,27.39,27.91,25.10,26.35,325800,26.35
2009-10-05,26.28,29.57,25.78,27.53,385900,27.53
2009-09-28,26.75,28.84,25.75,26.42,383100,26.42
2009-09-21,28.25,29.71,25.63,26.50,497400,26.50
2009-09-14,30.80,33.25,28.24,30.17,457300,30.17
2009-09-08,32.06,32.67,29.10,31.40,322400,31.40
2009-08-31,28.40,31.35,26.91,30.10,287600,30.10
2009-08-24,28.26,29.21,27.00,28.95,125600,28.95
2009-08-17,28.01,28.87,27.00,28.45,177400,28.45
2009-08-10,29.89,30.28,28.22,28.48,145100,28.48
2009-08-03,29.98,31.99,29.52,30.02,266200,30.02
2009-07-27,30.16,30.29,27.47,29.75,211500,29.75
2009-07-20,29.46,30.04,28.70,29.95,194300,29.95
2009-07-13,26.97,29.12,26.10,28.55,209300,28.55
2009-07-06,27.60,27.60,24.84,26.90,303500,26.90
2009-06-29,25.99,28.22,24.96,27.92,241500,27.92
2009-06-22,23.68,26.49,22.18,25.61,309200,25.61
2009-06-15,26.99,26.99,23.70,24.16,526700,24.16
2009-06-08,27.73,29.57,26.76,26.87,234100,26.87
2009-06-01,30.10,30.14,27.60,28.01,277800,28.01
2009-05-26,28.59,30.87,27.40,29.12,280800,29.12
2009-05-18,24.90,30.12,24.27,28.72,521900,28.72
2009-05-11,22.94,26.00,22.94,24.52,322300,24.52
2009-05-04,20.04,24.40,20.04,23.74,311100,23.74
2009-04-27,19.85,21.19,18.93,20.05,160200,20.05
2009-04-20,19.01,20.44,18.82,20.03,268100,20.03
2009-04-13,22.00,22.22,18.85,19.06,204900,19.06
2009-04-06,20.27,21.66,19.51,21.19,259100,21.19
2009-03-30,21.94,23.90,21.15,21.33,326000,21.33
2009-03-23,23.18,24.40,21.41,22.35,352700,22.35
2009-03-16,19.37,23.32,18.07,22.98,455400,22.98
2009-03-09,17.47,19.80,16.62,19.54,414500,19.54
2009-03-02,16.78,19.00,15.38,17.75,371900,17.75
2009-02-23,18.49,19.63,16.05,16.93,491000,16.93
2009-02-17,16.61,19.15,16.61,18.67,623300,18.67
2009-02-09,14.30,16.85,13.63,16.35,333500,16.35
2009-02-02,13.42,14.33,12.88,14.33,148800,14.33
2009-01-26,14.89,15.63,12.85,13.67,294400,13.67
2009-01-20,12.88,14.90,12.21,14.53,383000,14.53
2009-01-12,13.72,13.72,11.36,12.84,465700,12.84
2009-01-05,12.90,14.38,12.05,13.94,310600,13.94
2008-12-29,13.59,13.85,12.13,13.01,258600,13.01
2008-12-22,14.88,15.72,12.75,13.08,389900,13.08
