Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,103.08,108.69,102.48,105.91,129500,105.91
2012-05-14,107.26,109.90,101.79,102.99,102800,102.99
2012-05-07,109.66,110.72,105.71,108.11,116300,108.11
2012-04-30,100.22,110.98,99.76,109.42,311900,109.42
2012-04-23,98.67,101.34,97.47,99.96,89000,99.96
2012-04-16,103.37,104.10,98.09,99.06,82100,99.06
2012-04-09,101.45,106.00,101.02,102.60,55700,102.60
2012-04-02,106.34,107.18,101.88,103.38,100500,103.38
2012-03-26,104.05,107.15,103.51,106.79,112400,106.79
2012-03-19,100.09,103.87,98.47,103.23,88200,103.23
2012-03-12,102.10,102.53,99.38,99.87,79000,99.87
2012-03-05,95.39,102.37,95.39,102.14,185800,102.14
2012-02-27,98.79,99.01,94.36,96.50,187200,96.50
2012-02-21,100.89,105.85,94.24,99.01,251600,99.01
2012-02-13,100.69,102.00,100.03,101.14,127300,101.14
2012-02-06,105.39,105.62,100.12,100.38,77900,100.38
2012-01-30,100.13,108.16,99.59,105.66,91700,105.66
2012-01-23,100.23,101.02,98.62,100.77,65400,100.77
2012-01-17,102.79,103.23,99.25,99.97,83400,99.97
2012-01-09,102.66,103.79,99.77,102.43,89600,102.43
2012-01-03,109.75,109.79,98.10,102.66,182900,102.66
2011-12-27,108.72,115.49,107.91,108.56,140100,108.56
2011-12-19,103.84,110.57,103.69,108.73,94200,108.73
2011-12-12,102.48,104.06,100.11,103.05,70100,103.05
2011-12-05,104.10,104.79,98.88,103.97,84700,103.97
2011-11-28,98.00,105.08,96.90,102.51,112400,102.51
2011-11-21,94.06,97.24,91.99,95.01,77300,95.01
2011-11-14,99.00,99.50,95.05,95.81,58600,95.81
2011-11-07,98.25,100.00,96.86,99.36,62100,99.36
2011-10-31,88.30,100.00,84.38,98.82,174400,98.82
2011-10-24,86.55,89.91,85.20,89.27,69100,89.27
2011-10-17,85.75,86.36,83.37,86.36,112400,86.36
2011-10-10,83.34,85.79,81.78,85.75,73200,85.75
2011-10-03,72.33,83.92,71.00,82.19,190000,82.19
2011-09-26,74.26,75.69,72.47,72.70,144100,72.70
2011-09-19,76.71,77.51,72.29,74.01,162800,74.01
2011-09-12,78.16,79.98,77.00,77.95,166200,77.95
2011-09-06,77.25,81.36,76.50,78.94,131700,78.94
2011-08-29,78.45,82.57,77.82,78.81,155400,78.81
2011-08-22,81.01,84.62,77.02,77.58,251600,77.58
2011-08-15,86.55,86.89,81.39,81.87,144200,81.87
2011-08-08,83.61,88.34,83.02,85.90,118200,85.90
2011-08-01,91.03,91.42,80.94,85.55,214100,85.55
2011-07-25,91.30,92.48,88.34,90.15,45300,90.15
2011-07-18,90.00,92.69,88.64,92.31,35900,92.31
2011-07-11,89.44,91.25,88.16,90.11,57500,90.11
2011-07-05,90.21,91.25,89.34,90.39,52300,90.39
2011-06-27,88.75,90.68,88.75,90.21,64700,90.21
2011-06-20,84.44,89.06,83.93,88.79,87900,88.79
2011-06-13,82.48,85.15,82.40,84.84,64800,84.84
2011-06-06,82.00,84.77,82.00,82.94,69200,82.94
2011-05-31,83.12,85.11,81.00,82.00,139500,82.00
2011-05-23,79.78,83.88,79.22,83.36,59900,83.36
2011-05-16,83.84,84.54,81.00,81.16,69000,81.16
2011-05-09,81.80,86.46,81.00,84.15,95200,84.15
2011-05-02,94.80,94.80,79.57,81.76,170100,81.76
2011-04-25,91.77,94.99,90.63,94.26,52000,94.26
2011-04-18,89.76,94.00,89.14,91.97,62500,91.97
2011-04-11,91.36,91.38,89.01,90.86,44100,90.86
2011-04-04,92.55,93.87,91.05,91.50,33800,91.50
2011-03-28,89.88,92.95,89.18,92.11,60300,92.11
2011-03-21,86.80,91.48,86.03,89.82,75200,89.82
2011-03-14,86.21,87.68,83.70,85.76,83000,85.76
2011-03-07,94.30,94.51,85.53,87.23,188200,87.23
2011-02-28,91.63,95.47,91.41,94.40,49300,94.40
2011-02-22,95.45,95.65,88.07,91.47,85700,91.47
2011-02-14,93.18,97.75,92.00,95.74,54300,95.74
2011-02-07,93.81,95.91,89.69,93.26,58000,93.26
2011-01-31,89.97,94.11,89.41,93.83,57200,93.83
2011-01-24,91.06,91.96,89.56,89.76,47600,89.76
2011-01-18,93.18,93.55,89.55,91.21,66300,91.21
2011-01-10,90.44,93.96,89.40,92.87,57600,92.87
2011-01-03,96.01,97.23,88.01,90.65,114200,90.65
2010-12-27,97.84,98.38,95.00,95.09,41800,95.09
2010-12-20,96.50,100.93,96.20,97.91,80800,97.91
2010-12-13,84.99,96.67,83.94,96.06,177200,96.06
2010-12-06,84.00,86.53,83.41,84.49,55900,84.49
2010-11-29,82.00,84.44,81.00,84.35,46200,84.35
2010-11-22,81.65,84.20,80.83,82.43,57200,82.43
2010-11-15,81.83,82.80,80.00,82.26,61800,82.26
2010-11-08,81.84,83.46,80.84,81.49,93000,81.49
2010-11-01,72.06,82.24,71.58,81.96,144900,81.96
2010-10-25,70.87,72.56,70.46,71.59,52500,71.59
2010-10-18,68.82,70.90,68.29,70.65,79200,70.65
2010-10-11,66.74,69.05,66.17,68.46,66800,68.46
2010-10-04,66.39,67.51,66.00,66.59,60600,66.59
2010-09-27,68.30,68.81,65.75,66.74,60800,66.74
2010-09-20,67.50,69.93,66.20,68.41,82200,68.41
2010-09-13,67.63,69.04,67.14,67.69,92500,67.69
2010-09-07,68.50,68.50,66.88,67.31,54100,67.31
2010-08-30,65.17,69.00,64.50,68.59,159200,68.59
2010-08-23,65.08,66.98,64.38,65.56,76100,65.56
2010-08-16,64.47,67.53,63.02,65.16,100400,65.16
2010-08-09,66.75,67.92,64.52,64.94,132800,64.94
2010-08-02,70.04,71.12,60.95,66.59,332500,66.59
2010-07-26,71.78,73.00,68.50,69.36,105100,69.36
2010-07-19,67.55,71.71,66.68,71.39,116200,71.39
2010-07-12,70.43,70.52,67.45,67.51,126500,67.51
2010-07-06,64.15,71.12,64.14,70.02,205100,70.02
2010-06-28,70.24,71.62,62.63,64.41,244600,64.41
2010-06-21,73.59,74.52,69.08,70.10,183600,70.10
2010-06-14,70.49,73.45,70.05,72.72,212100,72.72
2010-06-07,67.00,69.49,65.82,69.38,155700,69.38
2010-06-01,65.75,69.15,65.27,66.74,191500,66.74
2010-05-24,58.94,66.41,58.01,66.05,198500,66.05
2010-05-17,61.14,62.31,54.86,58.62,113900,58.62
2010-05-10,57.75,62.81,56.80,60.61,130700,60.61
2010-05-03,57.23,63.17,30.00,55.05,179100,55.05
2010-04-26,57.43,59.94,55.27,57.01,79900,57.01
2010-04-19,56.13,57.45,55.40,57.40,58000,57.40
2010-04-12,53.53,56.94,53.24,56.45,88000,56.45
2010-04-05,52.82,53.82,52.59,53.37,61900,53.37
2010-03-29,52.64,53.65,52.25,52.52,55400,52.52
2010-03-22,48.72,53.13,48.55,52.30,88600,52.30
2010-03-15,49.74,50.10,48.50,48.88,83600,48.88
2010-03-08,50.67,51.88,47.44,49.64,178800,49.64
2010-03-01,47.61,50.91,47.35,50.54,86100,50.54
2010-02-22,47.80,47.93,46.79,47.32,60600,47.32
2010-02-16,46.06,47.92,45.55,47.60,53000,47.60
2010-02-08,44.24,46.40,43.86,45.70,50600,45.70
2010-02-01,45.97,47.23,43.24,44.50,70200,44.50
2010-01-25,47.35,48.01,45.85,45.85,55900,45.85
2010-01-19,48.17,48.83,46.20,47.00,66900,47.00
2010-01-11,47.52,48.94,46.78,48.20,68100,48.20
2010-01-04,47.12,49.38,46.61,47.11,97800,47.11
2009-12-28,46.81,48.63,46.13,46.60,49600,46.60
2009-12-21,45.85,47.00,45.06,46.81,85800,46.81
2009-12-14,42.48,45.50,41.72,45.48,117900,45.48
2009-12-07,42.96,43.58,41.18,42.18,71700,42.18
2009-11-30,41.99,44.46,40.70,42.74,73600,42.74
2009-11-23,41.24,42.34,40.67,41.81,60200,41.81
2009-11-16,41.25,41.93,40.69,41.00,73800,41.00
2009-11-09,40.71,41.50,40.04,41.11,113800,41.11
2009-11-02,38.28,42.25,36.32,40.19,131500,40.19
2009-10-26,39.37,40.00,37.85,38.00,67500,38.00
2009-10-19,37.75,40.02,37.57,39.46,104100,39.46
2009-10-12,37.98,39.07,37.53,37.71,34600,37.71
2009-10-05,37.48,38.25,36.20,38.05,38200,38.05
2009-09-28,37.64,38.09,36.55,37.25,47000,37.25
2009-09-21,38.16,38.54,36.76,37.39,73700,37.39
2009-09-14,38.49,39.51,38.32,38.51,73100,38.51
2009-09-08,39.15,39.49,38.17,38.74,70700,38.74
2009-08-31,39.45,40.68,37.87,38.75,84600,38.75
2009-08-24,41.90,41.95,39.08,39.87,67500,39.87
2009-08-17,39.20,42.21,37.98,41.95,89000,41.95
2009-08-10,36.88,39.89,36.69,39.80,161900,39.80
2009-08-03,31.12,37.09,30.59,36.67,163200,36.67
2009-07-27,29.75,31.61,29.34,31.19,45900,31.19
2009-07-20,29.70,30.35,28.79,29.87,51000,29.87
2009-07-13,29.09,31.00,27.88,29.44,133100,29.44
2009-07-06,29.59,30.24,28.70,29.14,79800,29.14
2009-06-29,30.02,30.74,28.96,29.77,61700,29.77
2009-06-22,28.97,30.13,28.20,29.97,87200,29.97
2009-06-15,28.56,29.98,27.90,29.27,64100,29.27
2009-06-08,30.62,30.83,28.04,28.77,55600,28.77
2009-06-01,29.07,30.69,28.76,30.52,73200,30.52
2009-05-26,28.06,29.28,27.43,28.52,61200,28.52
2009-05-18,28.85,29.17,27.94,28.12,46200,28.12
2009-05-11,28.68,29.85,27.30,28.66,73700,28.66
2009-05-04,27.52,31.36,26.97,29.21,138400,29.21
2009-04-27,24.39,28.35,23.95,27.36,110100,27.36
2009-04-20,24.30,25.11,22.89,24.80,110000,24.80
2009-04-13,23.40,24.67,22.92,24.40,83500,24.40
2009-04-06,22.48,24.05,22.11,24.00,100500,24.00
2009-03-30,21.83,22.71,20.31,22.53,113900,22.53
2009-03-23,19.25,22.41,18.51,22.25,164200,22.25
2009-03-16,19.42,19.94,18.51,19.02,95400,19.02
2009-03-09,21.75,22.59,17.50,19.02,238400,19.02
2009-03-02,23.50,23.70,21.30,21.77,91100,21.77
2009-02-23,25.11,25.54,23.01,23.97,80100,23.97
2009-02-17,26.40,27.00,24.56,25.08,79200,25.08
2009-02-09,28.59,29.06,26.78,27.01,72300,27.01
2009-02-02,25.10,29.26,24.85,28.82,113800,28.82
2009-01-26,25.84,26.26,22.20,25.24,135400,25.24
2009-01-20,28.21,28.31,25.62,25.68,62900,25.68
2009-01-12,27.39,28.34,26.70,28.30,74600,28.30
2009-01-05,28.61,28.95,27.13,27.34,81200,27.34
2008-12-29,26.63,28.90,25.59,28.55,65400,28.55
2008-12-22,28.07,28.14,25.55,26.76,63800,26.76
2008-12-15,28.61,30.01,27.50,28.01,80200,28.01
2008-12-08,30.63,31.23,26.44,28.62,158600,28.62
2008-12-01,31.59,31.80,28.71,30.33,105100,30.33
2008-11-24,32.57,33.10,29.14,32.08,110300,32.08
2008-11-17,31.87,33.13,29.50,32.33,130100,32.33
2008-11-10,33.93,34.31,31.78,32.00,122900,32.00
2008-11-03,37.60,38.33,31.63,33.46,193900,33.46
2008-10-27,35.65,38.50,34.00,37.79,111400,37.79
2008-10-20,41.60,42.17,35.79,36.55,113200,36.55
2008-10-13,44.22,48.03,39.74,41.02,158200,41.02
2008-10-06,45.05,45.42,40.28,43.38,169200,43.38
2008-09-29,48.00,48.00,45.00,45.65,104100,45.65
2008-09-22,49.10,49.30,45.75,48.39,74600,48.39
2008-09-15,44.25,54.15,43.75,48.90,185600,48.90
2008-09-08,44.11,46.19,43.28,44.87,97200,44.87
2008-09-02,45.40,45.59,42.01,43.50,86300,43.50
2008-08-25,43.63,45.57,43.11,44.97,91700,44.97
2008-08-18,47.00,47.99,43.46,43.86,93200,43.86
2008-08-11,42.61,47.10,42.38,47.08,140900,47.08
2008-08-04,45.99,45.99,40.51,42.79,204000,42.79
2008-07-28,45.00,46.00,43.61,45.82,127700,45.82
2008-07-21,41.57,46.28,40.60,45.32,143700,45.32
2008-07-14,42.70,42.97,40.23,41.58,107900,41.58
2008-07-07,40.76,42.92,39.50,42.25,171500,42.25
2008-06-30,40.17,41.48,39.99,40.59,106500,40.59
2008-06-23,40.69,41.47,39.43,40.00,148100,40.00
2008-06-16,40.36,40.43,39.34,40.36,87700,40.36
2008-06-09,38.44,41.40,38.12,40.34,120100,40.34
2008-06-02,39.79,39.92,37.99,38.28,137900,38.28
2008-05-27,39.75,41.20,39.50,39.78,146500,39.78
2008-05-19,42.19,42.19,39.06,39.42,147400,39.42
2008-05-12,41.69,42.41,41.00,42.09,237500,42.09
2008-05-05,45.99,46.19,40.58,41.79,266600,41.79
2008-04-28,43.99,46.75,43.61,45.95,146700,45.95
2008-04-21,45.05,45.25,43.25,44.22,138100,44.22
2008-04-14,43.73,45.75,43.10,45.25,115300,45.25
2008-04-07,46.73,47.04,43.07,43.52,158500,43.52
2008-03-31,48.26,48.59,46.11,46.50,156600,46.50
2008-03-24,47.70,49.98,47.62,47.91,171200,47.91
2008-03-17,45.50,48.95,44.58,47.69,239300,47.69
2008-03-10,34.23,48.68,33.77,46.72,460300,46.72
2008-03-03,35.66,36.38,34.15,34.15,95400,34.15
2008-02-25,36.21,38.53,35.27,35.66,97800,35.66
2008-02-19,37.33,37.44,34.91,36.12,110700,36.12
2008-02-11,38.32,39.58,36.40,36.91,110700,36.91
2008-02-04,38.43,38.99,36.19,38.23,102400,38.23
2008-01-28,34.99,39.07,34.51,38.60,132900,38.60
2008-01-22,33.64,36.73,33.64,34.99,132900,34.99
2008-01-14,36.27,37.56,34.05,35.12,129900,35.12
2008-01-07,35.12,37.36,34.53,36.03,155000,36.03
2007-12-31,37.45,38.00,35.00,35.02,146100,35.02
2007-12-24,38.89,39.23,37.30,37.70,82400,37.70
2007-12-17,33.80,38.65,32.68,38.50,211600,38.50
2007-12-10,34.50,35.19,33.06,34.07,168000,34.07
2007-12-03,32.56,34.95,32.02,34.57,196600,34.57
2007-11-26,31.25,33.72,31.25,33.19,198000,33.19
2007-11-19,33.50,33.58,31.00,31.43,198800,31.43
2007-11-12,35.65,37.19,33.31,33.49,258200,33.49
2007-11-05,51.98,53.42,35.60,35.91,683000,35.91
2007-10-29,54.25,54.46,48.60,52.00,104100,52.00
2007-10-22,50.60,54.20,50.52,53.90,89300,53.90
2007-10-15,53.20,55.30,51.27,51.44,93700,51.44
2007-10-08,51.49,53.44,49.72,53.15,119300,53.15
2007-10-01,48.53,52.12,47.92,51.75,123100,51.75
2007-09-24,46.30,49.52,45.13,48.66,272800,48.66
2007-09-17,45.20,48.65,44.67,46.51,97500,46.51
2007-09-10,46.70,46.79,44.54,45.22,106200,45.22
2007-09-04,48.77,49.60,46.12,46.42,94600,46.42
2007-08-27,46.20,49.73,46.06,48.76,134500,48.76
2007-08-20,47.30,47.64,43.83,46.23,218800,46.23
2007-08-13,44.40,48.39,42.56,46.90,156500,46.90
2007-08-06,42.93,47.91,41.30,43.55,438700,43.55
2007-07-30,40.21,43.37,39.43,42.89,167400,42.89
2007-07-23,40.25,41.60,40.04,40.21,126700,40.21
