Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.03,4.17,3.96,3.97,68700,3.97
2012-05-14,6.85,7.13,3.60,4.04,297000,4.04
2012-05-07,6.16,7.50,5.60,6.85,128500,6.85
2012-04-30,6.46,6.46,6.00,6.19,40800,6.19
2012-04-23,6.75,7.07,6.16,6.45,73200,6.45
2012-04-16,6.14,6.94,6.00,6.74,106200,6.74
2012-04-09,5.89,6.72,5.50,6.20,125000,6.20
2012-04-02,6.57,7.25,5.67,5.94,379800,5.94
2012-03-26,4.13,7.09,3.93,6.75,849700,6.75
2012-03-19,4.12,4.34,3.80,4.08,52700,4.08
2012-03-12,4.44,4.55,3.90,4.14,55500,4.14
2012-03-05,4.59,4.60,3.92,4.42,79600,4.42
2012-02-27,5.41,5.41,4.30,4.61,150300,4.61
2012-02-21,5.19,6.08,4.97,5.40,649300,5.40
2012-02-13,5.00,5.41,4.61,5.09,95200,5.09
2012-02-06,5.41,5.74,4.51,4.98,153000,4.98
2012-01-30,6.14,7.30,5.39,5.46,248400,5.46
2012-01-23,4.53,7.47,4.51,6.15,663000,6.15
2012-01-17,2.86,4.40,2.84,4.38,107100,4.38
2012-01-09,2.99,3.06,2.78,2.84,31800,2.84
2012-01-03,3.10,3.15,2.89,2.95,21300,2.95
2011-12-27,2.35,3.40,2.35,3.00,107100,3.00
2011-12-19,1.98,2.43,1.70,2.38,29700,2.38
2011-12-12,2.26,2.32,1.90,1.99,15200,1.99
2011-12-05,2.48,2.48,2.20,2.25,15600,2.25
2011-11-28,2.59,2.83,2.30,2.41,42000,2.41
2011-11-21,2.60,2.68,2.25,2.51,41400,2.51
2011-11-14,2.95,3.15,2.70,2.70,84800,2.70
2011-11-07,1.06,4.05,1.05,3.10,479000,3.10
2011-10-31,1.02,1.06,0.97,1.06,18600,1.06
2011-10-24,1.18,1.18,0.95,1.02,63400,1.02
2011-10-17,1.18,1.34,1.18,1.20,8700,1.20
2011-10-10,1.23,1.41,1.16,1.18,13000,1.18
2011-10-03,1.67,1.67,1.15,1.19,15300,1.19
2011-09-26,1.69,2.19,1.55,1.66,27100,1.66
2011-09-19,2.81,2.96,1.65,1.70,61300,1.70
2011-09-12,3.01,3.01,2.70,2.94,3500,2.94
2011-09-06,3.05,3.25,2.94,2.98,2700,2.98
2011-08-29,3.19,3.47,2.86,3.10,3800,3.10
2011-08-22,3.40,3.40,2.84,3.10,23600,3.10
2011-08-15,3.00,3.66,2.95,3.23,16600,3.23
2011-08-08,3.45,3.50,2.53,2.70,10300,2.70
2011-08-01,4.50,4.87,3.07,3.68,21400,3.68
2011-07-25,6.58,6.95,4.24,4.61,19700,4.61
2011-07-18,6.50,7.30,6.00,6.84,9500,6.84
2011-07-11,0.66,7.55,0.62,6.80,3900,6.80
2011-07-05,0.65,0.70,0.60,0.67,6200,6.70
2011-06-27,0.69,0.75,0.65,0.65,6200,6.50
2011-06-20,0.71,0.75,0.62,0.69,7300,6.90
2011-06-13,0.59,0.65,0.58,0.65,10000,6.50
2011-06-06,0.69,0.71,0.62,0.63,4800,6.30
2011-05-31,0.75,0.75,0.66,0.68,5800,6.80
2011-05-23,0.75,0.79,0.72,0.75,3800,7.50
2011-05-16,0.87,0.91,0.76,0.77,5100,7.70
2011-05-09,0.83,0.93,0.80,0.88,3500,8.80
2011-05-02,0.76,0.85,0.75,0.83,5700,8.30
2011-04-25,0.78,0.81,0.74,0.77,5100,7.70
2011-04-18,0.88,0.89,0.77,0.79,9900,7.90
2011-04-11,0.84,0.98,0.78,0.90,5100,9.00
2011-04-04,0.89,0.90,0.83,0.85,12200,8.50
2011-03-28,0.90,0.96,0.86,0.90,5700,9.00
2011-03-21,1.01,1.01,0.87,0.91,7100,9.10
2011-03-14,1.00,1.03,0.91,0.98,8200,9.80
2011-03-07,0.95,1.21,0.93,1.00,40600,10.00
2011-02-28,0.96,0.98,0.91,0.94,6500,9.40
2011-02-22,0.97,0.99,0.88,0.94,6700,9.40
2011-02-14,0.92,1.05,0.87,0.97,13500,9.70
2011-02-07,0.90,0.98,0.84,0.93,5100,9.30
2011-01-31,0.95,1.01,0.82,0.90,18900,9.00
2011-01-24,0.94,0.98,0.89,0.96,2400,9.60
2011-01-18,1.07,1.07,0.89,0.94,7200,9.40
2011-01-10,0.82,1.14,0.73,1.06,25600,10.60
2011-01-03,0.72,0.87,0.70,0.83,9500,8.30
2010-12-27,0.74,0.77,0.70,0.72,6600,7.20
2010-12-20,0.77,0.78,0.74,0.74,7900,7.40
2010-12-13,0.77,0.80,0.74,0.76,5500,7.60
2010-12-06,0.75,0.76,0.71,0.75,3700,7.50
2010-11-29,0.73,0.77,0.70,0.75,3600,7.50
2010-11-22,0.76,0.78,0.70,0.73,6700,7.30
2010-11-15,0.83,0.84,0.72,0.77,5700,7.70
2010-11-08,0.75,0.83,0.70,0.81,8100,8.10
2010-11-01,0.73,0.82,0.68,0.78,7000,7.80
2010-10-25,0.74,0.78,0.71,0.73,4500,7.30
2010-10-18,0.82,0.84,0.72,0.75,10800,7.50
2010-10-11,0.83,0.87,0.80,0.85,8300,8.50
2010-10-04,0.83,0.86,0.80,0.85,7100,8.50
2010-09-27,0.90,0.90,0.79,0.85,11100,8.50
2010-09-20,0.85,0.86,0.79,0.86,9000,8.60
2010-09-13,0.80,0.86,0.70,0.83,17000,8.30
2010-09-07,0.81,0.87,0.78,0.81,22800,8.10
