Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.60,14.81,14.43,14.50,99300,14.50
2012-05-14,14.82,14.97,14.60,14.60,72000,14.60
2012-05-07,15.04,15.50,14.90,14.94,67500,14.94
2012-04-30,15.67,15.70,15.04,15.04,77200,15.04
2012-04-23,16.02,16.10,15.60,15.71,81500,15.71
2012-04-16,16.60,17.05,16.08,16.23,103800,16.23
2012-04-09,16.72,17.24,16.45,16.53,100000,16.53
2012-04-02,17.70,17.89,16.81,17.04,68800,17.04
2012-03-26,18.12,18.67,17.42,17.74,64800,17.74
2012-03-19,18.39,18.74,17.62,17.96,45500,17.96
2012-03-12,18.80,19.01,17.95,18.43,67100,18.43
2012-03-05,18.04,18.83,17.74,18.83,57700,18.83
2012-02-27,18.75,19.08,18.09,18.10,77600,18.10
2012-02-21,19.02,19.04,18.51,18.90,61500,18.90
2012-02-13,20.00,20.04,18.44,19.01,125100,19.01
2012-02-06,19.78,20.09,19.45,19.84,116700,19.84
2012-01-30,19.23,20.16,19.11,19.85,74700,19.85
2012-01-23,19.31,20.00,19.06,19.42,138000,19.42
2012-01-17,18.79,19.40,18.52,19.37,68700,19.37
2012-01-09,18.98,19.14,18.39,18.62,93100,18.62
2012-01-03,18.22,19.20,18.22,18.91,118200,18.91
2011-12-27,17.88,18.33,17.73,17.90,76800,17.90
2011-12-19,18.00,18.37,17.49,17.92,98000,17.92
2011-12-12,18.72,19.28,17.61,17.94,102700,17.94
2011-12-05,18.56,19.04,18.11,18.92,101700,18.92
2011-11-28,18.45,19.95,18.14,18.30,95300,18.30
2011-11-21,19.00,19.23,17.70,17.96,49200,17.96
2011-11-14,19.77,19.97,19.23,19.39,59700,19.39
2011-11-07,19.45,19.97,18.77,19.86,74900,19.86
2011-10-31,19.06,19.94,18.33,19.52,58100,19.52
2011-10-24,18.55,19.55,18.18,19.38,86600,19.38
2011-10-17,18.36,18.88,17.64,18.62,68100,18.62
2011-10-10,18.02,18.74,17.67,18.52,64300,18.52
2011-10-03,17.84,18.63,16.88,17.67,138600,17.67
2011-09-26,18.36,19.17,18.00,18.05,82700,18.05
2011-09-19,17.03,18.44,15.60,18.27,148600,18.27
2011-09-12,16.37,18.34,16.33,17.38,94500,17.38
2011-09-06,16.26,17.92,16.23,16.60,159900,16.60
2011-08-29,17.16,17.63,16.53,16.71,158900,16.71
2011-08-22,16.91,17.61,16.25,17.29,70100,17.29
2011-08-15,17.50,17.57,16.25,16.50,91500,16.50
2011-08-08,17.51,18.17,16.24,17.00,135200,17.00
2011-08-01,19.94,20.05,17.59,18.17,112900,18.17
2011-07-25,20.92,20.93,19.22,19.70,108200,19.70
2011-07-18,20.95,21.65,20.50,21.12,103100,21.12
2011-07-11,22.25,22.32,20.96,21.06,139100,21.06
2011-07-05,21.76,22.89,21.28,22.54,44000,22.54
2011-06-27,21.87,22.69,21.10,21.83,69900,21.83
2011-06-20,20.97,21.97,20.97,21.82,84500,21.82
2011-06-13,21.71,22.13,20.05,21.01,145300,21.01
