Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,61.28,61.55,61.28,61.35,200,61.35
2012-05-14,65.11,65.11,61.28,61.28,000,61.28
2012-05-07,65.00,65.11,65.00,65.11,000,65.11
2012-04-30,68.24,68.24,65.00,65.00,000,65.00
2012-04-23,68.24,68.24,68.24,68.24,000,68.24
2012-04-16,68.24,68.24,68.24,68.24,000,68.24
2012-04-09,68.24,68.24,68.24,68.24,000,68.24
2012-04-02,68.24,68.24,68.24,68.24,000,68.24
2012-03-26,68.24,68.24,68.24,68.24,000,68.24
2012-03-19,68.24,68.24,68.24,68.24,000,68.04
2012-03-12,68.56,68.56,68.24,68.24,000,68.04
2012-03-05,68.56,68.56,68.56,68.56,000,68.36
2012-02-27,68.48,68.56,68.48,68.56,000,68.36
2012-02-21,68.48,68.48,68.48,68.48,000,68.28
2012-02-13,67.74,68.48,67.61,68.48,800,68.28
2012-02-06,68.01,68.47,67.53,67.62,300,67.42
2012-01-30,64.70,65.44,64.70,65.44,000,65.25
2012-01-23,63.78,63.78,63.78,63.78,000,63.59
2012-01-17,63.78,63.78,63.78,63.78,000,63.59
2012-01-09,59.69,63.78,59.69,63.78,000,63.59
2012-01-03,59.69,59.69,59.69,59.69,000,59.51
2011-12-27,59.69,59.69,59.69,59.69,000,59.51
2011-12-19,59.69,59.69,59.69,59.69,000,59.51
2011-12-12,59.69,59.69,59.69,59.69,000,59.51
2011-12-05,59.69,59.69,59.69,59.69,000,59.51
2011-11-28,59.69,59.69,59.69,59.69,000,59.51
2011-11-21,59.69,59.69,59.69,59.69,000,59.51
2011-11-14,59.69,59.69,59.69,59.69,000,59.51
2011-11-07,59.69,59.69,59.69,59.69,000,59.51
2011-10-31,60.13,60.13,58.78,58.78,000,58.61
2011-10-24,59.39,60.91,59.39,60.91,100,60.73
2011-10-17,55.84,57.81,55.84,57.81,200,57.64
2011-10-10,55.15,57.47,55.15,57.47,100,57.30
2011-10-05,53.36,54.77,53.36,53.51,1100,53.35
