Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,31.28,32.63,31.04,32.16,576900,32.16
2012-05-14,33.83,34.00,31.10,31.21,413900,31.21
2012-05-07,35.79,36.42,33.45,34.33,628300,34.33
2012-04-30,36.51,37.08,35.74,36.00,364900,36.00
2012-04-23,34.66,36.69,34.25,36.64,310400,36.64
2012-04-16,35.80,36.09,35.06,35.33,354400,35.33
2012-04-09,36.87,37.04,35.52,35.52,280800,35.52
2012-04-02,37.68,38.65,36.96,37.52,297300,37.52
2012-03-26,39.29,39.81,37.37,37.84,323600,37.84
2012-03-19,37.60,39.00,36.94,38.80,349200,38.80
2012-03-12,36.36,38.09,35.61,37.61,276500,37.61
2012-03-05,36.24,36.53,34.99,36.34,248100,36.34
2012-02-27,37.64,38.65,36.41,36.42,292300,36.42
2012-02-21,38.88,39.01,37.86,38.08,345400,38.08
2012-02-13,37.09,39.84,35.82,38.91,559200,38.91
2012-02-06,37.84,38.36,36.45,36.48,338700,36.48
2012-01-30,36.05,38.26,35.69,38.19,500200,38.19
2012-01-23,37.19,37.41,35.62,36.51,402600,36.51
2012-01-17,33.71,37.35,32.53,37.21,638800,37.21
2012-01-09,33.51,34.03,32.35,32.49,348000,32.49
2012-01-03,32.82,33.74,32.02,33.24,409800,33.24
2011-12-27,32.24,32.65,31.53,32.05,204000,32.05
2011-12-19,30.04,32.35,29.00,32.33,309600,32.33
2011-12-12,30.96,31.21,28.71,29.82,380200,29.82
2011-12-05,31.58,32.04,30.40,31.50,476600,31.50
2011-11-28,30.32,32.28,30.11,31.01,594500,31.01
2011-11-21,30.74,31.08,29.00,29.15,317400,29.15
2011-11-14,30.82,32.70,29.98,31.57,672800,31.57
2011-11-07,31.56,32.15,29.82,31.09,535200,31.09
2011-10-31,32.63,32.99,29.81,31.63,513100,31.63
2011-10-24,30.62,34.50,29.95,33.23,587900,33.23
2011-10-17,29.54,30.57,28.42,30.55,401400,30.55
2011-10-10,27.94,30.72,27.90,29.92,319800,29.92
2011-10-03,26.41,28.68,23.72,27.22,517900,27.22
2011-09-26,26.52,28.29,25.20,26.56,486000,26.56
2011-09-19,28.26,28.33,24.83,26.19,465300,26.19
2011-09-12,26.60,29.62,26.35,28.91,422000,28.91
2011-09-06,26.83,29.49,26.37,27.13,530500,27.13
2011-08-29,29.37,30.72,27.52,27.59,402900,27.59
2011-08-22,27.90,29.80,26.74,29.03,525300,29.03
2011-08-15,28.96,30.36,26.79,26.93,752100,26.93
2011-08-08,32.49,32.49,23.09,28.58,2185000,28.58
2011-08-01,38.60,38.72,32.59,32.73,904900,32.73
2011-07-25,39.75,40.12,37.11,37.96,428300,37.96
2011-07-18,37.10,40.44,36.24,40.37,664100,40.37
2011-07-11,36.95,37.80,36.45,37.19,739800,37.19
2011-07-05,36.32,37.48,35.62,37.46,655100,37.46
2011-06-27,35.64,36.46,34.97,36.46,425000,36.46
2011-06-20,35.29,38.73,35.15,35.70,791000,35.70
2011-06-13,36.20,37.09,35.24,35.38,745800,35.38
2011-06-06,38.20,38.35,35.86,35.99,893300,35.99
2011-05-31,39.77,40.31,36.75,36.80,606900,36.80
2011-05-23,39.48,39.96,38.29,39.38,361700,39.38
2011-05-16,40.31,40.57,39.18,39.76,461100,39.76
2011-05-09,43.20,44.11,40.38,40.59,715100,40.59
2011-05-02,45.68,45.74,42.96,43.22,289800,43.22
2011-04-25,44.41,46.93,44.41,45.68,217600,45.68
2011-04-18,45.55,46.02,44.44,45.68,194800,45.68
2011-04-11,47.15,47.36,45.39,46.23,210400,46.23
2011-04-04,71.91,72.73,47.00,47.16,187300,47.16
2011-03-28,71.89,72.89,70.21,71.92,350000,47.95
2011-03-21,71.34,72.73,70.41,71.82,363000,47.88
2011-03-14,71.06,71.52,68.67,70.40,484300,46.93
2011-03-07,73.53,74.91,70.80,71.80,383400,47.87
2011-02-28,72.02,74.73,70.04,73.06,386600,48.71
2011-02-22,73.07,73.41,69.01,72.11,593200,48.07
2011-02-14,65.99,74.69,65.73,74.04,1020700,49.36
2011-02-07,65.36,66.85,64.97,66.12,360900,44.08
2011-01-31,64.11,66.62,63.59,65.35,326700,43.57
2011-01-24,63.54,66.10,63.21,63.81,478400,42.54
2011-01-18,62.62,63.82,61.32,63.65,433400,42.43
2011-01-10,62.23,64.63,61.61,63.12,457300,42.08
2011-01-03,62.50,63.41,61.02,62.59,389100,41.73
2010-12-27,61.98,63.13,61.90,62.04,207500,41.36
2010-12-20,61.27,62.83,60.77,62.20,297300,41.47
2010-12-13,59.38,61.23,58.87,61.23,375100,40.82
2010-12-06,57.12,59.34,57.12,59.32,401500,39.55
2010-11-29,52.69,57.36,51.48,57.20,627000,38.13
2010-11-22,53.00,53.66,52.26,53.13,249900,35.42
2010-11-15,53.65,53.97,52.00,53.26,292500,35.51
2010-11-08,50.32,54.79,49.52,53.62,651500,35.75
2010-11-01,47.56,51.06,46.38,50.42,289500,33.61
2010-10-25,47.09,47.81,46.26,47.39,189600,31.59
2010-10-18,46.65,47.67,46.06,46.99,266000,31.33
2010-10-11,45.24,46.96,43.88,46.65,470600,31.10
2010-10-04,46.52,47.50,44.57,45.14,503200,30.09
2010-09-27,48.48,48.48,45.77,46.59,444200,31.06
2010-09-20,48.80,50.00,46.96,48.33,448700,32.22
2010-09-13,47.96,49.34,47.70,48.83,332400,32.55
2010-09-07,47.32,47.83,46.44,47.42,239400,31.61
2010-08-30,45.69,47.70,43.08,47.61,329400,31.74
2010-08-23,46.02,46.15,44.75,45.93,230200,30.62
2010-08-16,44.97,46.95,44.87,45.70,301700,30.47
2010-08-09,46.21,47.00,43.54,45.20,679900,30.13
2010-08-02,46.81,48.13,45.79,46.18,404900,30.79
2010-07-26,46.65,48.53,45.61,46.34,323000,30.89
2010-07-19,44.50,47.02,44.02,46.39,421200,30.93
2010-07-12,45.99,47.23,44.38,44.44,549400,29.63
2010-07-06,43.55,46.11,42.88,46.02,711600,30.68
2010-06-28,46.57,46.62,42.68,43.19,770600,28.79
2010-06-21,45.52,47.42,44.53,46.36,874400,30.91
2010-06-14,45.88,46.08,43.65,44.56,575600,29.71
2010-06-07,48.24,48.33,45.10,45.54,898400,30.36
2010-06-01,50.42,50.64,47.75,47.88,628400,31.92
2010-05-24,52.39,52.73,49.04,50.67,716700,33.78
2010-05-17,55.29,55.71,50.66,52.69,621700,35.13
2010-05-10,57.15,57.15,54.47,54.96,453800,36.64
2010-05-03,57.69,59.51,52.95,53.18,919200,35.45
2010-04-26,54.30,57.68,53.00,57.33,1025200,38.22
2010-04-19,54.17,56.07,54.17,55.74,332300,37.16
2010-04-12,52.95,55.10,52.46,54.55,388000,36.37
2010-04-05,53.34,53.46,51.59,52.77,626300,35.18
2010-03-29,53.88,54.04,52.13,53.99,460300,35.99
2010-03-22,55.23,55.65,53.66,53.83,225900,35.89
2010-03-15,55.20,55.94,54.77,55.66,349800,37.11
2010-03-08,55.48,56.20,55.20,55.38,220500,36.92
2010-03-01,55.10,55.72,54.73,55.71,339300,37.14
2010-02-22,55.73,55.97,54.18,54.70,340400,36.47
2010-02-16,55.16,56.00,54.01,55.72,345600,37.15
2010-02-08,50.52,55.19,49.92,54.47,748500,36.31
2010-02-01,52.27,53.80,49.60,50.56,320100,33.71
2010-01-25,52.30,53.55,51.76,52.30,390200,34.87
2010-01-19,53.76,54.14,51.78,52.01,375900,34.67
2010-01-11,55.57,55.57,52.84,53.93,350300,35.95
2010-01-04,59.17,59.63,55.17,55.54,550700,37.03
2009-12-28,58.54,59.54,58.35,59.24,226400,39.49
2009-12-21,57.46,58.93,57.24,58.51,209800,39.01
2009-12-14,54.02,57.74,53.49,56.97,509400,37.98
2009-12-07,55.65,55.65,53.35,53.86,286500,35.91
2009-11-30,54.00,56.67,53.40,55.49,354100,36.99
2009-11-23,55.58,56.18,53.17,53.93,224400,35.95
2009-11-16,55.52,57.06,54.90,55.08,280100,36.72
2009-11-09,51.89,55.68,51.51,55.44,465700,36.96
2009-11-02,52.13,52.87,50.76,51.55,401700,34.37
2009-10-26,54.60,55.56,51.94,51.96,376300,34.64
2009-10-19,56.20,56.99,54.03,54.83,279100,36.55
2009-10-12,54.44,56.74,54.37,56.10,313600,37.40
2009-10-05,53.38,54.71,53.38,54.39,282800,36.26
2009-09-28,53.37,55.79,52.75,53.60,411500,35.73
2009-09-21,55.32,56.28,51.90,52.92,392300,35.28
2009-09-14,55.51,56.06,54.78,55.82,450200,37.21
2009-09-08,56.52,57.13,55.65,55.67,1018900,37.11
2009-08-31,56.00,57.23,55.18,56.20,398900,37.47
2009-08-24,53.47,57.13,53.07,56.07,355600,37.38
2009-08-17,53.04,54.27,51.36,53.18,260800,35.45
2009-08-10,50.84,56.76,50.60,53.53,588000,35.69
2009-08-03,50.59,51.98,49.11,51.24,409700,34.16
2009-07-27,50.50,51.05,49.26,49.93,339400,33.29
2009-07-20,49.71,51.15,49.71,50.57,378700,33.71
2009-07-13,46.14,50.77,46.00,49.71,458800,33.14
2009-07-06,46.43,46.56,43.43,45.84,295000,30.56
2009-06-29,46.56,49.00,46.50,46.50,322600,31.00
2009-06-22,45.74,46.58,43.02,46.49,485200,30.99
2009-06-15,45.28,46.20,43.05,46.20,412000,30.80
2009-06-08,45.76,46.24,43.33,45.88,691200,30.59
2009-06-01,44.28,47.71,44.28,45.97,456800,30.65
2009-05-26,42.20,44.56,41.70,43.54,587700,29.03
2009-05-18,42.33,44.50,41.00,42.06,687200,28.04
2009-05-11,50.88,51.69,41.22,41.88,1047700,27.92
2009-05-04,49.86,52.33,48.60,51.78,556200,34.52
2009-04-27,48.50,50.76,46.60,49.55,427800,33.03
2009-04-20,47.94,50.66,46.01,49.47,631600,32.98
2009-04-13,46.78,49.68,46.05,49.31,782900,32.87
2009-04-06,45.53,47.40,42.66,47.40,865600,31.60
2009-03-30,39.25,45.86,38.68,45.86,866700,30.57
2009-03-23,38.74,43.38,38.47,40.67,890900,27.11
2009-03-16,35.80,38.67,33.85,37.35,827600,24.90
2009-03-09,29.89,36.57,29.35,35.32,607800,23.55
2009-03-02,32.44,33.47,29.13,30.00,641600,20.00
2009-02-23,34.00,35.59,32.04,32.94,612600,21.96
2009-02-17,35.71,35.97,31.94,33.91,526500,22.61
2009-02-09,39.25,39.94,35.68,36.41,622300,24.27
