Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.55,27.99,26.16,26.42,1568100,26.42
2012-05-14,29.09,29.51,27.40,27.46,721300,27.46
2012-05-07,28.45,29.85,27.60,29.41,675100,29.41
2012-04-30,29.86,30.49,28.25,28.59,860100,28.59
2012-04-23,29.63,30.10,28.78,29.98,874100,29.98
2012-04-16,31.24,31.58,29.62,29.98,979300,29.98
2012-04-09,29.98,31.99,29.28,31.23,987100,31.23
2012-04-02,31.58,31.83,29.84,30.44,898900,30.44
2012-03-26,31.21,32.49,30.00,31.71,1045700,31.71
2012-03-19,30.56,31.34,30.10,30.98,686900,30.98
2012-03-12,29.71,32.46,29.35,31.26,1006700,31.26
2012-03-05,29.71,30.22,28.39,29.55,588500,29.55
2012-02-27,29.88,30.47,28.57,29.71,789200,29.71
2012-02-21,29.49,30.27,28.67,30.19,511500,30.19
2012-02-13,30.46,30.77,28.77,29.52,824800,29.52
2012-02-06,29.25,31.16,28.77,30.31,900200,30.31
2012-01-30,27.76,29.73,26.73,29.34,822400,29.34
2012-01-23,28.29,28.73,27.29,28.08,780500,28.08
2012-01-17,27.84,28.84,27.29,28.23,627700,28.23
2012-01-09,27.48,28.26,27.11,27.67,739900,27.67
2012-01-03,27.53,28.27,26.91,27.28,934900,27.28
2011-12-27,26.34,27.73,26.11,26.90,1125800,26.90
2011-12-19,22.34,26.80,21.65,26.54,2414600,26.54
2011-12-12,23.45,23.82,22.19,22.28,1243300,22.28
2011-12-05,24.23,24.52,23.66,23.75,2441800,23.75
2011-11-28,23.55,25.14,23.37,23.86,1527700,23.86
2011-11-21,23.21,23.81,22.84,22.87,687200,22.87
2011-11-14,24.56,24.82,23.40,23.52,952600,23.52
2011-11-07,25.06,25.29,23.51,24.58,1124200,24.58
2011-10-31,22.59,25.36,22.00,25.07,2503600,25.07
2011-10-24,20.25,22.40,20.24,22.18,1483100,22.18
2011-10-17,21.10,21.10,18.98,20.07,1327100,20.07
2011-10-10,21.66,22.00,20.63,21.20,1440700,21.20
2011-10-03,21.53,22.22,19.61,21.35,1036700,21.35
2011-09-26,21.09,22.40,20.28,21.74,1016000,21.74
2011-09-19,23.43,23.74,20.20,20.84,707700,20.84
2011-09-12,22.80,24.58,22.65,23.85,735600,23.85
2011-09-06,21.93,24.36,21.69,23.19,1381400,23.19
2011-08-29,22.82,23.71,21.65,21.83,980700,21.83
2011-08-22,21.19,22.70,20.24,22.48,821300,22.48
2011-08-15,22.73,23.63,20.56,20.60,941000,20.60
2011-08-08,22.80,23.16,20.95,22.46,2681500,22.46
2011-08-01,26.10,26.10,22.51,23.39,2076700,23.39
2011-07-25,26.01,26.54,25.38,25.88,1212600,25.88
2011-07-18,25.82,26.60,25.25,26.37,1147000,26.37
2011-07-11,27.49,27.65,25.71,26.00,1544400,26.00
2011-07-05,29.39,29.60,27.78,28.34,1778000,28.34
2011-06-27,31.79,32.75,28.39,29.38,3644000,29.38
2011-06-20,31.82,33.25,31.72,31.78,1318400,31.78
2011-06-13,32.44,33.41,31.40,31.88,937600,31.88
2011-06-06,34.52,34.52,32.55,32.64,856100,32.64
2011-05-31,36.89,37.29,34.21,34.54,2074800,34.54
2011-05-23,36.65,36.94,35.70,36.69,956700,36.69
2011-05-16,39.16,39.67,35.92,37.32,1315200,37.32
2011-05-09,38.26,39.91,37.93,39.41,934700,39.41
2011-05-02,39.01,39.25,36.79,38.22,1117700,38.22
2011-04-25,37.92,39.43,37.58,38.90,1094800,38.90
2011-04-18,37.07,38.50,36.21,37.94,1652700,37.94
2011-04-11,34.05,37.98,33.82,37.75,2536800,37.75
2011-04-04,35.47,35.74,34.73,35.45,1195500,35.45
2011-03-28,35.15,35.99,34.61,35.50,1094500,35.50
2011-03-21,32.87,36.18,32.62,35.67,2565000,35.67
2011-03-14,31.82,35.15,27.61,32.52,7665300,32.52
2011-03-07,40.88,41.17,37.97,38.41,816200,38.41
2011-02-28,40.33,41.62,39.10,41.05,875600,41.05
2011-02-22,40.14,40.24,38.65,40.14,1164400,40.14
2011-02-14,40.02,41.22,39.42,40.60,917200,40.60
2011-02-07,38.65,41.58,38.61,39.93,1172400,39.93
2011-01-31,37.03,38.75,36.87,38.64,817100,38.64
2011-01-24,38.50,39.47,36.55,36.72,1120700,36.72
2011-01-18,37.26,39.28,37.12,38.46,1421400,38.46
2011-01-10,33.50,37.83,33.37,37.37,2088900,37.37
2011-01-03,34.48,35.37,32.76,33.23,1232900,33.23
2010-12-27,34.81,34.86,34.03,34.23,301800,34.23
2010-12-20,34.87,35.31,34.07,34.97,446400,34.97
2010-12-13,34.85,35.35,33.84,34.87,649900,34.87
2010-12-06,33.60,34.91,33.15,34.60,870700,34.60
2010-11-29,29.96,34.01,29.56,33.65,1222700,33.65
2010-11-22,30.68,31.67,29.97,30.02,600500,30.02
2010-11-15,31.35,31.70,30.40,30.90,757400,30.90
2010-11-08,32.24,32.50,31.00,31.27,1170400,31.27
2010-11-01,30.69,32.47,30.42,32.44,1029900,32.44
2010-10-25,32.15,32.43,30.35,30.56,1267100,30.56
2010-10-18,33.33,33.39,30.66,31.98,1403300,31.98
2010-10-11,35.15,35.15,32.84,33.33,887400,33.33
