Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,68.29,71.71,68.15,71.09,732100,71.09
2012-05-14,69.80,70.82,67.85,68.17,620600,68.17
2012-05-07,68.18,71.60,67.93,70.63,693200,70.63
2012-04-30,71.30,72.20,68.34,68.53,466800,68.53
2012-04-23,71.33,72.00,69.40,71.38,785600,71.38
2012-04-16,71.49,72.80,70.56,71.88,579800,71.88
2012-04-09,71.60,72.91,70.00,70.96,476200,70.96
2012-04-02,73.23,74.59,72.29,72.48,515700,72.48
2012-03-26,73.34,74.31,72.08,73.06,694000,73.06
2012-03-19,72.96,74.09,71.14,72.54,332500,72.54
2012-03-12,71.44,73.78,70.81,73.41,505800,73.41
2012-03-05,71.56,71.91,69.84,71.61,455400,71.61
2012-02-27,72.01,72.97,71.34,71.91,524300,71.91
2012-02-21,71.99,72.80,71.14,72.60,505100,72.40
2012-02-13,70.28,72.09,69.52,71.96,542700,71.76
2012-02-06,70.40,71.89,69.00,69.52,844800,69.33
2012-01-30,67.43,70.95,67.10,70.77,530600,70.58
2012-01-23,66.73,71.09,65.99,68.26,896700,68.07
2012-01-17,65.18,66.99,64.55,66.93,651700,66.75
2012-01-09,62.51,65.75,61.68,64.17,608100,63.99
2012-01-03,63.96,64.67,61.78,62.34,647000,62.17
2011-12-27,62.84,63.48,61.60,62.46,375500,62.29
2011-12-19,63.30,65.58,62.48,62.86,800800,62.69
2011-12-12,65.09,65.16,61.36,63.15,707400,62.98
2011-12-05,65.68,66.46,64.60,65.95,566700,65.77
2011-11-28,60.63,65.69,60.48,64.42,846600,64.24
2011-11-21,59.34,60.83,58.60,58.89,681900,58.55
2011-11-14,63.17,64.12,59.69,60.00,788600,59.66
2011-11-07,63.92,64.81,61.46,63.56,789000,63.20
2011-10-31,66.93,67.61,62.92,63.58,988700,63.22
2011-10-24,68.30,69.92,64.06,67.78,932200,67.39
2011-10-17,65.21,68.30,63.79,68.29,629700,67.90
2011-10-10,62.51,65.53,62.51,65.42,675200,65.05
2011-10-03,61.29,64.55,59.34,62.51,970200,62.15
2011-09-26,60.76,66.67,59.91,61.79,839800,61.44
2011-09-19,63.60,65.14,59.02,60.41,798800,60.07
2011-09-12,58.59,65.65,57.60,64.74,1150500,64.37
2011-09-06,60.13,62.72,58.77,59.18,991700,58.84
2011-08-29,62.44,65.78,61.81,61.99,707000,61.64
2011-08-22,60.18,61.99,58.68,61.73,982500,61.21
2011-08-15,63.41,64.92,58.65,58.97,1028900,58.47
2011-08-08,59.40,63.70,56.18,63.17,1448400,62.63
2011-08-01,67.68,68.01,58.86,60.95,905700,60.43
2011-07-25,72.99,74.56,66.53,67.10,889100,66.53
2011-07-18,72.87,74.59,71.38,73.53,578900,72.91
2011-07-11,74.70,74.94,72.58,73.22,704200,72.60
2011-07-05,74.11,76.16,73.74,75.69,746600,75.05
2011-06-27,68.81,74.27,68.09,74.24,727800,73.61
2011-06-20,66.54,69.64,66.54,68.76,568500,68.18
2011-06-13,67.05,68.51,65.58,66.57,565100,66.00
2011-06-06,67.41,68.85,66.65,67.13,577500,66.56
2011-05-31,70.50,70.81,67.35,67.41,623100,66.84
2011-05-23,68.87,70.16,67.55,69.76,494100,69.17
2011-05-16,68.85,70.42,67.72,69.70,476500,68.93
2011-05-09,68.89,70.58,68.33,68.88,597200,68.12
2011-05-02,70.83,71.33,68.01,68.72,585600,67.96
2011-04-25,66.92,72.37,66.90,70.58,851700,69.80
2011-04-18,64.55,67.19,64.27,66.96,473000,66.22
2011-04-11,64.86,65.47,62.77,65.24,502700,64.52
2011-04-04,64.07,66.25,63.93,64.82,511600,64.10
2011-03-28,63.73,64.49,62.60,63.94,522100,63.23
2011-03-21,62.86,64.28,62.14,63.42,677300,62.72
2011-03-14,62.01,62.62,58.87,62.00,879200,61.31
2011-03-07,64.70,64.98,61.48,62.37,575600,61.68
2011-02-28,63.03,64.81,62.08,64.34,629400,63.63
2011-02-22,63.23,63.79,61.58,62.89,687400,62.19
2011-02-14,62.50,64.00,61.96,63.83,663000,62.94
2011-02-07,63.55,65.48,60.94,62.40,1260500,61.53
2011-01-31,62.71,65.58,62.71,63.53,675600,62.65
2011-01-24,63.55,64.56,62.18,62.40,545400,61.53
2011-01-18,64.30,65.24,63.10,63.30,702400,62.42
2011-01-10,64.51,65.06,63.23,64.41,703300,63.51
2011-01-03,67.10,67.92,64.52,64.83,554600,63.93
2010-12-27,66.91,67.47,66.38,66.56,357900,65.63
2010-12-20,67.11,67.76,66.36,66.93,382300,66.00
2010-12-13,66.30,67.14,65.91,66.75,667600,65.82
2010-12-06,65.40,66.37,64.65,66.24,382100,65.32
2010-11-29,63.82,65.62,62.24,65.52,639400,64.61
2010-11-22,63.93,65.25,62.46,64.30,498800,63.25
2010-11-15,64.38,64.76,62.01,64.52,683400,63.46
2010-11-08,64.98,65.91,63.85,64.19,530600,63.14
2010-11-01,64.00,66.01,63.27,65.34,695300,64.27
2010-10-25,62.90,63.70,60.97,63.49,720500,62.45
2010-10-18,60.42,62.95,59.39,62.29,811900,61.27
2010-10-11,60.57,61.68,59.43,60.60,653000,59.61
2010-10-04,60.12,62.34,58.93,60.65,935300,59.66
2010-09-27,60.96,61.50,59.53,60.72,510300,59.73
2010-09-20,59.03,60.87,58.72,60.67,594200,59.68
2010-09-13,57.19,59.28,57.06,58.88,595900,57.92
2010-09-07,55.71,57.60,55.53,56.97,709700,56.04
2010-08-30,52.98,55.95,52.39,55.58,586200,54.67
2010-08-23,53.91,54.48,51.44,53.49,522400,52.46
2010-08-16,53.29,55.95,53.05,53.72,550700,52.68
2010-08-09,56.74,56.85,53.06,53.84,689400,52.80
2010-08-02,56.61,57.81,55.81,56.59,570800,55.50
2010-07-26,56.25,58.00,55.37,56.10,837100,55.02
2010-07-19,53.26,56.29,52.71,56.23,872500,55.14
2010-07-12,52.93,54.60,52.60,53.16,853800,52.13
2010-07-06,49.79,53.37,49.44,53.26,905800,52.23
2010-06-28,52.07,52.10,48.80,49.30,772000,48.35
2010-06-21,53.73,54.43,51.30,51.78,801700,50.78
2010-06-14,52.91,53.72,52.52,53.21,632300,52.18
2010-06-07,50.69,52.71,49.52,52.66,705500,51.64
2010-06-01,53.05,53.57,50.60,50.69,966400,49.71
2010-05-24,52.42,53.81,50.32,53.32,944100,52.29
2010-05-17,54.30,55.65,50.33,52.87,1307300,51.69
2010-05-10,57.66,57.93,53.46,54.23,1073400,53.02
2010-05-03,59.30,60.30,53.39,54.42,1120100,53.20
2010-04-26,59.12,61.00,57.61,59.30,784500,57.98
2010-04-19,55.37,59.42,55.27,59.41,787100,58.08
2010-04-12,55.46,56.54,54.79,55.57,774900,54.33
2010-04-05,54.56,55.49,54.20,55.47,545400,54.23
2010-03-29,53.34,54.58,53.01,54.58,636700,53.36
2010-03-22,54.49,54.57,52.94,53.17,991200,51.98
2010-03-15,53.66,55.33,53.17,54.71,764100,53.49
2010-03-08,52.85,53.78,52.32,53.68,777200,52.48
2010-03-01,47.94,53.02,47.80,52.95,1476100,51.77
2010-02-22,48.45,48.59,46.50,47.69,1077700,46.62
2010-02-16,48.68,49.10,48.07,48.45,964500,47.21
2010-02-08,47.34,49.93,46.72,48.40,1186800,47.16
2010-02-01,48.17,49.61,46.56,47.46,818900,46.24
2010-01-25,50.27,50.48,47.84,47.85,916400,46.62
2010-01-19,51.88,52.63,49.84,49.91,1311200,48.63
2010-01-11,51.02,52.21,50.49,51.88,634300,50.55
2010-01-04,51.88,52.19,50.08,50.99,457300,49.68
2009-12-28,51.21,51.68,50.52,50.55,368000,49.25
2009-12-21,51.31,51.96,50.31,51.14,418500,49.83
2009-12-14,52.67,53.59,50.44,51.33,771200,50.01
2009-12-07,52.56,53.22,51.53,52.26,429100,50.92
2009-11-30,52.77,54.30,52.38,52.88,568300,51.52
2009-11-23,54.49,55.45,52.60,53.06,524400,51.70
2009-11-16,55.38,55.96,53.30,53.94,608900,52.42
2009-11-09,54.73,55.85,54.36,55.15,539900,53.59
2009-11-02,52.11,54.96,52.00,54.41,668800,52.87
2009-10-26,54.10,55.24,51.56,51.93,914100,50.46
2009-10-19,55.19,56.29,53.25,54.08,716400,52.55
2009-10-12,53.95,55.83,53.47,55.06,720600,53.51
2009-10-05,52.26,54.57,51.97,53.80,826100,52.28
2009-09-28,52.57,54.81,51.81,51.96,801200,50.49
2009-09-21,53.49,53.64,51.98,52.48,626300,51.00
2009-09-14,50.32,53.63,50.31,53.25,708100,51.75
2009-09-08,50.32,55.65,49.40,50.79,759100,49.36
2009-08-31,50.82,51.51,48.70,50.19,620900,48.77
2009-08-24,52.35,52.71,50.11,51.23,580300,49.78
2009-08-17,50.55,52.49,49.77,52.09,631700,50.48
2009-08-10,51.96,52.78,50.56,51.56,692700,49.96
2009-08-03,51.24,52.70,50.94,52.37,892700,50.75
2009-07-27,51.44,51.44,48.96,50.75,906000,49.18
2009-07-20,49.85,51.12,48.66,49.89,1312600,48.34
2009-07-13,46.56,50.00,45.80,49.49,993000,47.96
2009-07-06,48.24,48.79,45.99,46.66,910200,45.21
2009-06-29,50.01,50.85,48.16,48.28,896600,46.78
2009-06-22,47.56,50.01,47.01,49.66,1238500,48.12
2009-06-15,49.57,50.23,47.36,48.28,875400,46.78
2009-06-08,49.30,51.41,48.88,50.35,991800,48.79
2009-06-01,47.84,50.30,47.84,49.58,1249000,48.04
2009-05-26,45.78,48.49,45.24,48.46,1289300,46.96
2009-05-18,45.67,47.10,44.87,45.67,1154400,44.12
2009-05-11,44.19,45.79,43.42,45.27,1166200,43.73
2009-05-04,44.12,45.85,43.24,44.84,958400,43.32
2009-04-27,41.34,44.47,40.29,44.05,1203500,42.55
2009-04-20,40.64,42.27,38.79,42.10,1360800,40.67
