Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,72.75,75.71,72.45,75.09,1078800,75.09
2012-05-14,79.95,80.30,72.20,72.47,1122400,72.47
2012-05-07,80.13,81.87,80.02,80.74,809000,80.74
2012-04-30,82.24,84.00,80.19,80.58,932000,80.58
2012-04-23,73.23,82.60,73.23,82.17,1078200,82.17
2012-04-16,73.42,76.99,73.26,76.29,679600,76.29
2012-04-09,72.94,74.35,71.48,73.06,626900,73.06
2012-04-02,76.48,78.09,73.79,74.27,867200,74.27
2012-03-26,77.64,78.11,75.75,77.55,1038700,77.55
2012-03-19,78.54,79.25,75.42,76.64,762900,76.39
2012-03-12,77.18,79.56,76.92,78.57,709300,78.31
2012-03-05,76.00,77.42,75.71,77.10,750100,76.85
2012-02-27,75.07,76.95,74.30,76.17,810400,75.92
2012-02-21,75.80,76.41,74.01,75.53,730700,75.28
2012-02-13,75.93,76.46,74.17,75.69,725900,75.44
2012-02-06,77.34,77.53,74.56,74.83,619100,74.59
2012-01-30,73.12,77.85,72.55,77.57,1155900,77.32
2012-01-23,74.35,75.44,72.57,73.97,797900,73.73
2012-01-17,71.30,74.34,71.07,74.27,922500,74.03
2012-01-09,70.00,72.32,69.11,70.56,704200,70.33
2012-01-03,67.94,70.11,66.49,69.78,891000,69.55
2011-12-27,66.19,67.87,65.08,66.64,551300,66.42
2011-12-19,65.82,66.75,64.10,66.44,608600,65.98
2011-12-12,67.00,67.00,62.89,65.35,1047400,64.89
2011-12-05,66.13,68.47,65.79,67.80,917800,67.33
2011-11-28,62.60,66.63,60.22,65.48,1146500,65.02
2011-11-21,64.78,64.91,60.01,60.92,542500,60.49
2011-11-14,68.36,68.36,64.71,65.89,890400,65.43
2011-11-07,68.51,70.97,65.93,68.81,826400,68.33
2011-10-31,69.76,71.09,65.95,68.43,981600,67.95
2011-10-24,65.36,71.85,64.86,71.13,1061800,70.63
2011-10-17,61.83,65.17,59.89,65.14,962800,64.69
2011-10-10,58.09,62.76,57.92,62.32,1127500,61.89
2011-10-03,58.39,59.74,52.41,56.74,1507000,56.34
2011-09-26,61.33,64.86,58.04,58.15,1235300,57.74
2011-09-19,70.31,70.64,58.80,60.50,1231200,59.98
2011-09-12,65.52,72.07,64.62,71.98,1649600,71.36
2011-09-06,68.06,71.68,66.09,66.95,1228000,66.38
2011-08-29,66.86,73.00,66.68,70.49,1332600,69.89
2011-08-22,67.68,67.69,61.95,65.74,1338600,65.18
2011-08-15,73.20,74.97,65.65,65.77,1162600,65.21
2011-08-08,68.11,75.61,63.25,72.45,1977300,71.83
2011-08-01,82.96,83.23,68.56,69.93,1650300,69.33
2011-07-25,86.41,88.00,80.90,82.02,987700,81.32
2011-07-18,84.51,87.68,83.25,87.38,664900,86.63
2011-07-11,85.50,88.25,83.66,84.71,879700,83.99
2011-07-05,84.91,87.87,83.94,87.34,667200,86.59
2011-06-27,82.17,85.11,81.66,84.95,909800,84.22
2011-06-20,81.80,86.19,81.32,81.96,877700,81.16
2011-06-13,80.20,82.72,79.41,82.00,1048600,81.20
2011-06-06,86.22,87.12,79.61,80.04,1094000,79.26
2011-05-31,89.16,90.01,85.29,86.28,844200,85.44
2011-05-23,83.92,88.38,83.82,88.30,671700,87.44
2011-05-16,83.71,86.52,82.89,85.25,832700,84.42
2011-05-09,81.97,85.31,81.91,83.92,715500,83.10
2011-05-02,83.10,84.10,81.28,82.15,718900,81.35
2011-04-25,78.63,84.75,78.63,82.53,1029900,81.72
2011-04-18,75.19,79.07,74.16,78.71,614000,77.94
2011-04-11,75.81,76.53,74.23,76.15,1101700,75.41
2011-04-04,76.38,77.93,75.09,75.49,706100,74.75
2011-03-28,72.96,76.95,71.68,76.32,820900,75.58
2011-03-21,72.06,73.17,70.40,73.03,635300,72.22
2011-03-14,71.90,72.19,68.20,71.08,839100,70.29
2011-03-07,73.51,74.18,70.65,72.09,567400,71.29
2011-02-28,73.44,75.85,72.18,73.11,840600,72.30
2011-02-22,73.43,74.15,70.09,73.07,756000,72.26
2011-02-14,74.49,74.72,72.91,74.10,598300,73.28
2011-02-07,72.58,75.50,72.36,74.50,800300,73.67
2011-01-31,72.31,74.02,72.16,72.48,717300,71.67
2011-01-24,70.63,73.32,69.57,71.85,826800,71.05
2011-01-18,70.88,71.18,69.29,70.77,702500,69.98
2011-01-10,66.73,71.38,66.60,70.95,842400,70.16
2011-01-03,68.11,69.74,66.10,67.05,840600,66.30
2010-12-27,65.56,68.15,65.48,67.51,403700,66.76
2010-12-20,63.69,66.77,63.54,65.74,469000,64.91
2010-12-13,64.39,65.47,62.72,63.53,892100,62.73
2010-12-06,65.81,67.98,63.51,64.04,945500,63.23
2010-11-29,64.38,66.54,64.36,65.89,924200,65.06
2010-11-22,63.86,65.42,62.99,64.89,697600,64.07
2010-11-15,64.48,65.04,61.13,64.14,897900,63.33
2010-11-08,69.51,70.42,63.86,64.25,1509800,63.44
2010-11-01,66.47,70.89,65.82,70.27,970100,69.39
2010-10-25,69.95,70.89,65.59,65.71,1022500,64.88
2010-10-18,68.07,69.99,66.85,69.74,1128500,68.86
2010-10-11,65.48,70.19,65.41,69.34,1278300,68.47
2010-10-04,63.59,66.22,63.26,65.59,1327700,64.76
2010-09-27,63.12,64.31,61.55,63.75,932600,62.95
2010-09-20,64.81,66.88,60.70,63.23,982800,62.34
2010-09-13,62.82,65.29,62.04,64.63,755500,63.72
2010-09-07,62.92,63.88,60.44,61.68,519000,60.81
2010-08-30,58.45,64.41,57.78,63.68,958100,62.78
2010-08-23,57.46,59.55,56.04,58.85,961300,58.02
2010-08-16,56.61,59.38,55.93,57.02,785300,56.21
2010-08-09,62.10,62.84,56.99,57.02,988900,56.21
2010-08-02,61.28,63.52,60.40,61.44,854600,60.57
2010-07-26,56.94,60.68,56.44,60.24,1278900,59.39
2010-07-19,54.84,57.06,53.20,56.95,1276100,56.14
2010-07-12,56.34,58.05,54.29,54.66,1001800,53.89
2010-07-06,53.40,56.27,50.11,56.20,1706600,55.41
2010-06-28,59.43,59.85,51.98,52.21,1405400,51.47
2010-06-21,63.88,64.25,57.58,59.72,1481700,58.78
2010-06-14,62.00,64.15,61.58,62.63,1290500,61.64
2010-06-07,58.69,61.72,54.42,61.38,1517600,60.41
2010-06-01,61.87,62.88,57.72,57.95,1471100,57.04
2010-05-24,59.67,63.73,53.81,62.29,1838400,61.31
2010-05-17,64.46,65.54,55.26,59.82,1762700,58.88
2010-05-10,62.32,68.08,62.32,63.99,1717400,62.98
2010-05-03,62.90,66.44,58.35,59.25,2246600,58.31
2010-04-26,64.30,66.11,59.90,62.17,1203000,61.19
2010-04-19,58.03,65.16,57.88,64.52,816200,63.50
2010-04-12,61.75,62.96,58.32,58.36,1162300,57.44
2010-04-05,58.05,64.48,57.99,61.80,1679600,60.82
2010-03-29,54.78,59.16,54.42,57.80,1467200,56.89
2010-03-22,54.83,57.09,54.13,54.55,1426000,53.59
2010-03-15,56.34,58.25,54.80,55.18,1090300,54.21
2010-03-08,55.36,58.58,55.36,56.41,1426900,55.42
2010-03-01,51.50,55.74,51.03,55.40,903500,54.43
2010-02-22,48.35,51.50,48.17,51.06,1194700,50.16
2010-02-16,46.69,48.58,46.29,48.12,1355400,47.27
2010-02-08,45.84,46.41,43.33,45.96,1358800,45.15
2010-02-01,46.69,48.03,43.81,45.54,1886300,44.74
