Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,43.01,43.26,42.58,42.85,11300,42.85
2012-05-14,44.30,44.94,41.91,42.98,8900,42.98
2012-05-07,44.72,44.89,44.22,44.30,3000,44.30
2012-04-30,45.29,45.30,44.00,44.80,3200,44.80
2012-04-23,44.44,45.20,44.13,45.00,2300,45.00
2012-04-16,45.43,46.15,44.45,44.47,4700,44.47
2012-04-09,46.45,46.45,45.25,45.80,3300,44.93
2012-04-02,45.49,46.08,45.45,46.08,4300,45.20
2012-03-26,45.30,45.92,45.30,45.87,4400,45.00
2012-03-19,45.10,46.00,45.10,45.35,3600,44.49
2012-03-12,44.70,45.70,44.70,45.30,9600,44.44
2012-03-05,44.91,45.18,44.00,44.70,3400,43.85
2012-02-27,44.03,45.71,43.60,45.11,5800,44.25
2012-02-21,44.50,45.00,43.65,44.33,4100,43.49
2012-02-13,44.25,44.42,43.53,44.20,4100,43.36
2012-02-06,44.02,44.25,43.50,44.05,7500,43.21
2012-01-30,43.53,44.50,43.05,44.48,7700,43.63
2012-01-23,42.13,43.98,41.32,43.98,6100,43.14
2012-01-17,42.00,42.50,41.16,42.25,3800,41.45
2012-01-09,41.16,42.22,41.14,42.00,1500,40.35
2012-01-03,40.40,41.55,40.10,41.55,4200,39.91
2011-12-27,39.91,40.30,39.60,40.10,1400,38.52
2011-12-19,40.00,40.40,39.75,40.25,4100,38.66
2011-12-12,39.85,40.40,38.50,39.75,2400,38.18
2011-12-05,39.92,40.80,39.85,39.85,6000,38.28
2011-11-28,40.31,40.99,39.70,39.90,7900,38.33
2011-11-21,41.25,41.50,40.01,40.10,6300,38.52
2011-11-14,42.11,42.13,41.25,41.49,3900,39.86
2011-11-07,42.24,42.80,41.97,42.44,4000,40.77
2011-10-31,41.79,42.82,41.21,42.60,5600,40.92
2011-10-24,41.75,42.17,40.37,41.70,12700,40.06
2011-10-17,42.97,42.97,41.44,41.70,7200,40.06
2011-10-10,41.98,43.05,41.98,42.70,2100,40.18
2011-10-03,42.50,42.55,38.00,41.25,6700,38.82
2011-09-26,42.19,42.75,41.47,42.00,5200,39.52
2011-09-19,42.14,43.52,41.25,42.12,4600,39.64
2011-09-12,42.26,43.50,41.00,42.50,8500,40.00
2011-09-06,43.50,43.50,41.50,42.31,7200,39.82
2011-08-29,42.50,44.29,42.10,43.16,10300,40.62
2011-08-22,43.05,44.80,41.57,42.50,7400,40.00
2011-08-15,43.49,44.50,42.09,43.30,7900,40.75
2011-08-08,40.01,43.50,40.00,43.47,14000,40.91
2011-08-01,45.40,46.00,42.00,43.64,8200,41.07
2011-07-25,46.22,46.35,44.86,44.95,7500,42.30
2011-07-18,47.32,47.53,45.75,46.19,5200,43.47
2011-07-11,47.10,47.60,47.00,47.31,5800,43.70
2011-07-05,47.64,47.78,47.00,47.39,19200,43.77
2011-06-27,47.70,47.88,47.25,47.77,5100,44.12
2011-06-20,46.49,47.61,46.19,47.49,2500,43.86
2011-06-13,46.75,47.69,46.65,46.77,6400,43.20
2011-06-06,47.51,47.90,45.88,46.65,4700,43.09
2011-05-31,47.69,48.02,47.45,47.51,8000,43.88
2011-05-23,47.03,48.34,47.00,47.64,15300,44.00
2011-05-16,45.92,47.83,45.70,46.85,16400,43.27
2011-05-09,45.34,46.51,44.73,46.00,11900,42.49
2011-05-02,45.45,45.49,43.48,45.15,41600,41.70
2011-04-25,44.30,45.64,43.91,45.45,12500,41.98
2011-04-18,44.15,45.50,43.20,44.30,22800,40.92
2011-04-11,43.99,44.37,43.25,44.15,159700,39.97
2011-04-04,43.45,44.05,43.11,43.82,8500,39.67
2011-03-28,42.81,43.50,42.73,43.49,9200,39.38
2011-03-21,42.55,43.14,42.50,42.75,8200,38.71
2011-03-14,43.93,43.95,42.19,42.55,9000,38.52
2011-03-07,43.50,44.00,43.15,43.96,5800,39.80
2011-02-28,42.88,43.44,42.60,43.44,12000,39.33
2011-02-22,42.46,42.79,42.00,42.79,11300,38.74
2011-02-14,42.32,42.88,41.53,42.47,13900,38.45
2011-02-07,42.39,43.12,41.68,42.25,17300,38.25
2011-01-31,41.77,42.38,41.33,42.20,6500,38.21
2011-01-24,42.06,42.48,40.75,41.25,22400,37.35
2011-01-18,43.37,43.90,41.80,42.00,10900,38.03
2011-01-10,43.21,44.44,42.50,42.50,10200,37.70
2011-01-03,42.95,43.29,42.05,43.20,5500,38.32
2010-12-27,42.75,43.04,41.77,42.80,7200,37.97
2010-12-20,40.85,42.75,40.85,42.75,16200,37.92
2010-12-13,42.00,42.18,39.04,40.40,14100,35.84
2010-12-06,42.20,42.49,41.49,41.75,4400,37.03
2010-11-29,42.50,42.95,42.04,42.20,2900,37.43
2010-11-22,42.50,42.60,41.01,42.00,3600,37.26
2010-11-15,42.85,42.95,41.00,42.50,8100,37.70
2010-11-08,43.08,43.35,41.87,43.35,5300,38.45
2010-11-01,43.44,43.44,42.30,43.08,5100,38.21
2010-10-25,42.70,43.49,42.11,43.08,5500,38.21
2010-10-18,42.40,43.60,41.61,42.50,7600,37.70
