Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,24.55,26.26,24.53,25.46,5547400,25.46
2012-05-14,25.70,25.82,22.94,24.63,9409600,24.54
2012-05-07,28.31,28.54,25.57,26.46,6962500,26.36
2012-04-30,29.90,31.03,28.25,28.32,4517200,28.22
2012-04-23,28.68,30.57,27.96,30.24,5070400,30.13
2012-04-16,30.33,30.65,29.12,29.34,5573800,29.23
2012-04-09,31.25,32.20,30.15,31.16,4305400,31.05
2012-04-02,33.02,34.20,30.97,31.19,4582200,31.08
2012-03-26,34.40,34.61,31.63,33.20,4699000,32.99
2012-03-19,32.99,34.25,31.78,33.61,5267800,33.40
2012-03-12,35.35,35.74,33.06,33.18,5537900,32.97
2012-03-05,36.91,36.98,34.40,35.49,5470900,35.26
2012-02-27,38.55,40.36,37.11,37.59,6825100,37.35
2012-02-21,36.48,39.56,36.36,38.75,5712900,38.50
2012-02-13,35.83,36.54,34.71,36.00,3814200,35.77
2012-02-06,35.46,36.69,34.56,35.56,4300900,35.33
2012-01-30,35.19,37.25,34.86,35.96,5331800,35.73
2012-01-23,31.82,35.95,31.34,35.70,7359300,35.47
2012-01-17,31.85,31.89,30.23,31.50,4234000,31.30
2012-01-09,30.16,31.90,30.00,31.01,3468600,30.81
2012-01-03,29.84,30.97,29.75,30.10,3737200,29.91
2011-12-27,29.15,29.49,26.85,28.96,4403900,28.78
2011-12-19,28.95,29.88,28.15,29.58,3753400,29.39
2011-12-12,32.29,32.69,28.27,29.18,6522100,28.99
2011-12-05,33.14,33.90,32.07,33.38,4235300,33.17
2011-11-28,32.33,34.46,31.24,33.01,5258700,32.80
2011-11-21,31.28,32.49,30.55,30.91,4982500,30.71
2011-11-14,36.05,36.44,31.90,32.32,5372800,32.03
2011-11-07,36.55,37.38,33.76,36.28,6433300,35.95
2011-10-31,35.38,36.33,32.27,36.09,6423800,35.76
2011-10-24,30.02,36.44,29.96,35.97,7586700,35.64
2011-10-17,32.10,32.22,28.01,29.80,6572600,29.53
2011-10-10,31.16,33.02,30.53,32.15,5018800,31.86
2011-10-03,30.14,31.75,25.84,30.08,7696900,29.81
2011-09-26,31.01,34.61,29.30,29.45,8293400,29.18
2011-09-19,39.95,42.50,31.46,32.31,8790700,32.02
2011-09-12,38.71,39.90,37.29,39.54,6122700,39.18
2011-09-06,40.15,41.28,38.72,39.85,5904000,39.46
2011-08-29,39.22,41.36,37.87,40.71,6045900,40.31
2011-08-22,39.40,40.47,36.03,39.41,8698000,39.02
2011-08-15,37.43,39.47,36.45,38.44,6664300,38.06
2011-08-08,33.64,37.50,32.32,37.29,11117000,36.92
2011-08-01,35.98,38.81,32.35,34.15,10108400,33.81
2011-07-25,40.15,40.24,35.43,36.08,8242500,35.72
2011-07-18,39.68,40.08,37.35,39.51,9847000,39.12
2011-07-11,36.19,39.43,34.54,38.80,11898100,38.42
2011-07-05,33.78,37.14,33.30,36.25,10399900,35.89
2011-06-27,31.53,33.64,31.01,32.41,7389700,32.09
2011-06-20,30.00,33.61,30.00,31.75,8674700,31.44
2011-06-13,31.61,31.90,29.79,30.19,9860500,29.89
2011-06-06,35.25,35.65,31.81,32.11,9365200,31.76
2011-05-31,37.16,37.20,34.43,35.17,9489800,34.79
2011-05-23,34.76,37.00,34.11,36.53,10111600,36.13
2011-05-16,33.75,35.56,32.95,35.08,11365700,34.70
2011-05-09,36.99,37.72,32.43,34.10,16080700,33.73
2011-05-02,38.20,39.95,34.34,35.82,23911500,35.43
2011-04-25,43.34,43.38,38.88,40.62,19234400,40.18
2011-04-18,42.51,44.00,39.95,42.36,17544500,41.90
2011-04-11,46.98,47.14,41.72,42.61,18008800,42.15
2011-04-04,43.94,47.60,43.66,46.91,14737700,46.40
2011-03-28,42.98,44.89,42.07,42.83,12106900,42.37
2011-03-21,41.58,46.00,40.83,43.80,14364200,43.32
2011-03-14,41.82,42.30,37.85,39.91,13268700,39.48
2011-03-07,46.32,46.38,38.64,41.93,18279200,41.44
2011-02-28,41.27,45.40,41.05,44.96,17322000,44.44
2011-02-22,41.26,41.89,38.38,40.63,20156100,40.16
2011-02-14,34.85,39.50,34.80,39.19,12760400,38.73
2011-02-07,34.58,35.55,33.60,34.23,9842500,33.83
2011-01-31,31.34,35.17,30.56,33.86,11341700,33.47
2011-01-24,30.44,31.60,28.85,31.49,14767500,31.12
2011-01-18,32.38,33.86,30.42,30.57,10131100,30.21
2011-01-10,33.40,35.68,30.91,31.70,12267000,31.33
2011-01-03,39.70,40.00,32.87,33.51,14632000,33.12
2010-12-27,37.08,39.24,36.02,39.04,5760200,38.59
2010-12-20,37.21,38.00,35.42,36.74,6746000,36.31
2010-12-13,40.05,40.24,36.26,36.70,10288300,36.27
2010-12-06,39.98,42.34,37.04,38.51,13231000,38.06
2010-11-29,35.29,39.50,34.52,39.31,9955900,38.85
2010-11-22,35.16,36.24,34.62,35.15,8663000,34.74
2010-11-15,33.58,34.82,30.52,34.70,11816500,34.30
2010-11-08,33.72,37.20,31.76,33.79,20465400,33.40
2010-11-01,29.35,33.63,28.70,32.95,9756500,32.57
2010-10-25,27.02,28.89,26.07,28.75,6297900,28.42
2010-10-18,27.70,27.91,25.35,26.22,7468500,25.92
2010-10-11,26.59,28.39,25.95,27.70,6383800,27.38
2010-10-04,26.45,27.31,25.61,26.63,7071000,26.32
2010-09-27,26.80,27.18,25.49,26.67,7857200,26.36
2010-09-20,25.23,27.04,23.92,26.60,8889800,26.29
2010-09-13,23.97,25.56,23.71,25.02,6456200,24.73
2010-09-07,24.17,24.72,23.05,23.89,6262900,23.61
2010-08-30,22.84,23.98,22.32,23.89,5636600,23.61
2010-08-23,21.09,22.84,20.12,22.80,5441200,22.54
2010-08-16,20.11,21.73,20.07,21.03,3979200,20.79
2010-08-09,19.95,20.00,19.06,19.88,3627800,19.65
2010-08-02,19.20,20.18,18.90,19.83,3490600,19.60
2010-07-26,18.97,19.01,17.88,18.85,4165300,18.63
2010-07-19,18.38,19.04,17.64,18.77,4211200,18.55
2010-07-12,19.24,19.68,18.48,18.59,4499400,18.37
2010-07-06,18.86,19.55,18.05,19.32,5184200,19.10
2010-06-28,21.42,21.89,18.39,18.65,6276600,18.43
2010-06-21,21.45,21.49,19.61,21.36,5079300,21.11
2010-06-14,19.54,21.38,19.26,21.00,5402600,20.76
2010-06-07,18.07,19.50,17.78,19.40,6269800,19.17
2010-06-01,18.96,19.62,18.04,18.09,5850900,17.88
2010-05-24,18.09,19.27,17.28,18.89,6887500,18.67
2010-05-17,21.14,21.24,17.00,17.82,11654400,17.61
2010-05-10,18.94,21.58,18.72,21.14,10232000,20.89
2010-05-03,19.76,20.22,17.45,18.44,11323100,18.23
2010-04-26,18.18,19.83,17.70,19.52,6580200,19.29
2010-04-19,16.89,18.01,16.80,18.01,4511000,17.80
2010-04-12,17.56,17.83,16.77,17.22,5390800,17.02
2010-04-05,16.50,17.58,16.33,17.49,5663200,17.29
2010-03-29,15.50,16.29,15.25,16.22,4273900,16.03
2010-03-22,15.03,15.84,14.83,15.24,5274300,15.06
2010-03-15,15.43,16.52,15.11,15.37,5791000,15.19
2010-03-08,15.77,15.89,15.01,15.46,4618000,15.28
2010-03-01,15.39,15.85,14.71,15.55,7649300,15.37
2010-02-22,15.85,15.89,14.10,15.17,8025300,14.99
2010-02-16,15.79,16.08,15.37,15.67,6199600,15.49
2010-02-08,14.40,15.17,13.50,15.14,7309200,14.96
2010-02-01,13.94,15.35,13.04,14.28,8310600,14.11
2010-01-25,14.96,15.07,13.63,13.76,8318000,13.60
2010-01-19,16.95,17.17,14.35,14.80,11106500,14.63
2010-01-11,17.77,17.80,16.50,17.15,6795900,16.95
2010-01-04,15.70,17.22,15.48,17.20,6723800,17.00
2009-12-28,15.58,15.68,14.81,15.02,3164700,14.85
2009-12-21,15.21,15.62,14.65,15.45,5626600,15.27
2009-12-14,15.32,15.95,14.55,14.59,9242500,14.42
2009-12-07,15.65,16.35,14.73,15.13,11039600,14.95
2009-11-30,15.84,17.45,15.82,16.22,10063600,16.03
2009-11-23,16.30,16.81,15.30,16.00,7785100,15.81
2009-11-16,15.75,16.32,15.11,15.59,7088600,15.41
2009-11-09,14.63,15.50,14.34,15.20,8339600,15.02
2009-11-02,12.88,14.41,12.17,14.03,9493800,13.87
2009-10-26,13.96,14.23,11.86,12.48,10557400,12.33
2009-10-19,14.52,14.88,13.80,13.92,7627800,13.76
2009-10-12,14.20,14.71,13.70,14.37,7137500,14.20
2009-10-05,12.28,14.49,12.14,13.86,10001900,13.70
2009-09-28,11.72,12.79,11.67,12.07,7891300,11.93
2009-09-21,11.99,13.05,10.57,11.75,7106000,11.61
