Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,44.15,45.24,43.86,44.51,294400,44.51
2012-05-14,46.60,46.67,44.04,44.15,535400,44.15
2012-05-07,53.42,55.13,45.51,46.92,1465500,46.92
2012-04-30,52.38,55.95,51.80,53.33,557400,53.33
2012-04-23,51.97,52.64,51.21,52.47,280800,52.47
2012-04-16,52.49,52.90,51.82,52.64,395800,52.64
2012-04-09,52.49,53.15,50.96,52.47,431300,52.47
2012-04-02,54.21,54.97,52.86,52.94,508000,52.94
2012-03-26,53.24,55.58,53.24,54.16,577400,54.16
2012-03-19,53.15,53.25,52.10,53.03,522700,53.03
2012-03-12,48.45,53.58,48.18,53.15,881000,53.15
2012-03-05,47.00,48.45,46.53,48.44,453000,48.44
2012-02-27,47.59,47.96,46.55,47.13,394500,47.13
2012-02-21,49.34,49.34,47.20,47.68,275600,47.68
2012-02-13,49.79,50.26,47.43,49.01,573700,48.71
2012-02-06,48.74,53.55,48.65,49.52,888500,49.21
2012-01-30,47.42,48.93,47.11,48.82,447900,48.52
2012-01-23,47.76,48.21,46.78,47.80,336600,47.50
2012-01-17,48.84,48.99,46.17,47.66,603900,47.36
2012-01-09,47.56,48.97,47.37,48.34,384400,48.04
2012-01-03,47.61,47.77,46.77,47.62,440300,47.32
2011-12-27,45.96,47.31,45.68,46.69,256200,46.40
2011-12-19,44.00,46.82,42.91,46.08,323400,45.79
2011-12-12,44.09,44.65,43.20,43.78,536600,43.51
2011-12-05,45.00,45.68,43.59,44.73,547300,44.45
2011-11-28,42.47,45.45,41.90,44.49,538300,44.21
2011-11-21,41.77,42.75,40.57,41.43,738500,41.17
2011-11-14,43.01,43.28,41.90,42.30,701100,41.74
2011-11-07,47.39,47.39,41.76,43.28,1292500,42.71
2011-10-31,49.40,49.59,46.25,47.61,639900,46.98
2011-10-24,48.30,50.85,47.51,49.96,407400,49.30
2011-10-17,44.67,48.46,44.15,48.19,675400,47.55
2011-10-10,41.72,46.61,41.72,44.97,1085000,44.38
2011-10-03,44.18,47.84,43.21,46.95,742100,46.33
2011-09-26,44.14,46.63,43.43,44.60,568200,44.01
2011-09-19,46.44,46.91,41.82,43.72,703200,43.14
2011-09-12,46.79,48.32,46.07,47.21,677600,46.59
2011-09-06,45.09,48.50,44.94,47.24,561700,46.62
2011-08-29,48.15,49.28,46.28,46.43,515100,45.82
