Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.83,4.33,3.77,3.98,319000,3.98
2012-05-14,4.00,4.20,3.71,3.80,545800,3.80
2012-05-07,3.66,4.11,3.57,4.01,251100,4.01
2012-04-30,4.41,4.55,3.71,3.71,344700,3.71
2012-04-23,4.01,4.65,4.00,4.39,466200,4.39
2012-04-16,4.03,4.14,3.87,4.09,164500,4.09
2012-04-09,4.02,4.11,3.73,4.00,265100,4.00
2012-04-02,4.33,4.41,4.00,4.06,201400,4.06
2012-03-26,4.47,4.66,4.34,4.39,208900,4.39
2012-03-19,4.79,4.86,4.34,4.39,168700,4.39
2012-03-12,4.50,4.94,4.41,4.78,256000,4.78
2012-03-05,4.43,4.51,4.03,4.48,234100,4.48
2012-02-27,5.12,5.23,4.45,4.45,252800,4.45
2012-02-21,5.41,5.41,4.91,5.18,240800,5.18
2012-02-13,5.12,5.74,5.00,5.46,291800,5.46
2012-02-06,4.96,5.44,4.96,5.06,328600,5.06
2012-01-30,4.71,5.08,4.59,4.98,537100,4.98
2012-01-23,4.77,4.83,4.61,4.75,351300,4.75
2012-01-17,4.70,4.84,4.52,4.79,303100,4.79
2012-01-09,4.41,4.68,4.18,4.61,521100,4.61
2012-01-03,4.77,5.15,4.26,4.39,963700,4.39
2011-12-27,4.80,4.86,4.44,4.67,78900,4.67
2011-12-19,4.82,5.15,4.72,4.86,119200,4.86
2011-12-12,4.94,4.94,4.47,4.77,172900,4.77
2011-12-05,4.08,4.87,3.93,4.83,173800,4.83
2011-11-28,4.13,4.28,3.95,4.04,113200,4.04
2011-11-21,3.75,4.45,3.74,3.94,255300,3.94
2011-11-14,3.36,3.85,3.17,3.83,228200,3.83
2011-11-07,3.55,3.79,3.15,3.37,87200,3.37
2011-10-31,3.86,3.86,3.24,3.55,113200,3.55
2011-10-24,3.41,4.00,3.41,3.90,153300,3.90
2011-10-17,3.39,3.47,3.10,3.38,114400,3.38
2011-10-10,3.15,3.45,3.03,3.43,101700,3.43
2011-10-03,3.23,3.38,3.02,3.08,194100,3.08
2011-09-26,3.59,3.72,3.25,3.25,93900,3.25
2011-09-19,3.93,4.13,3.35,3.54,160600,3.54
2011-09-12,3.71,4.18,3.66,4.01,92100,4.01
2011-09-06,3.67,4.12,3.67,3.79,173700,3.79
2011-08-29,4.02,4.47,3.83,3.84,108200,3.84
2011-08-22,4.08,4.22,3.51,3.97,92700,3.97
2011-08-15,4.15,4.32,3.78,3.96,114000,3.96
2011-08-08,3.90,4.38,3.55,4.08,238700,4.08
2011-08-01,4.75,4.84,3.94,4.00,206900,4.00
2011-07-25,4.78,4.86,4.50,4.67,94500,4.67
2011-07-18,4.97,5.08,4.65,4.87,135700,4.87
2011-07-11,5.03,5.10,4.67,4.95,192000,4.95
2011-07-05,5.10,5.22,4.90,5.11,110200,5.11
2011-06-27,4.75,5.23,4.46,5.09,145800,5.09
2011-06-20,4.48,4.93,4.30,4.79,271600,4.79
2011-06-13,4.92,4.96,4.45,4.47,170300,4.47
2011-06-06,5.70,5.70,4.68,4.93,152300,4.93
2011-05-31,5.92,5.95,5.09,5.41,207100,5.41
2011-05-23,5.51,5.98,5.32,5.83,95300,5.83
2011-05-16,5.99,6.08,5.55,5.64,144300,5.64
2011-05-09,5.85,6.18,5.79,6.06,100100,6.06
2011-05-02,6.13,6.21,5.56,5.86,178900,5.86
2011-04-25,5.82,6.27,5.75,6.07,303300,6.07
2011-04-18,4.92,5.72,4.80,5.70,266700,5.70
2011-04-11,5.28,5.31,4.72,4.91,123000,4.91
2011-04-04,5.29,5.55,5.14,5.29,246800,5.29
2011-03-28,5.06,5.30,5.00,5.25,71500,5.25
2011-03-21,4.83,5.32,4.75,5.05,100000,5.05
2011-03-14,4.61,4.83,4.26,4.75,135600,4.75
2011-03-07,4.85,5.14,4.61,4.68,88100,4.68
2011-02-28,5.99,6.00,4.88,4.98,240700,4.98
2011-02-22,5.09,5.32,4.96,5.29,89100,5.29
