Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.21,7.55,7.06,7.11,11200,7.11
2012-05-14,7.68,7.98,7.00,7.23,7200,7.23
2012-05-07,8.50,8.56,7.75,7.80,3600,7.80
2012-04-30,7.81,8.74,7.25,8.50,12700,8.50
2012-04-23,7.31,8.09,7.30,7.94,7800,7.94
2012-04-16,7.25,7.98,7.25,7.41,4300,7.41
2012-04-09,8.39,8.39,7.25,7.38,5700,7.38
2012-04-02,8.23,9.09,7.90,8.53,3600,8.53
2012-03-26,8.00,8.98,7.75,8.42,5600,8.42
2012-03-19,8.30,8.35,7.90,7.99,3900,7.99
2012-03-12,7.72,8.08,7.65,8.08,4700,8.08
2012-03-05,7.21,7.88,7.15,7.55,10600,7.55
2012-02-27,8.04,8.29,7.25,7.41,6100,7.41
2012-02-21,7.93,8.49,7.25,8.12,2000,8.12
2012-02-13,7.90,8.50,7.77,7.94,5400,7.94
2012-02-06,8.15,8.90,7.32,7.90,11900,7.90
2012-01-30,7.20,8.17,7.10,8.15,11500,8.15
2012-01-23,7.09,7.69,7.05,7.30,4200,7.30
2012-01-17,7.26,7.75,7.11,7.11,7300,7.11
2012-01-09,7.31,7.68,7.05,7.33,5100,7.33
2012-01-03,7.71,7.75,7.10,7.40,5600,7.40
2011-12-27,7.53,7.75,7.10,7.55,5300,7.55
2011-12-19,7.28,7.75,7.28,7.55,5800,7.55
2011-12-12,7.84,8.19,7.30,7.30,3400,7.30
2011-12-05,8.50,9.28,7.27,8.00,3700,8.00
2011-11-28,7.20,8.60,7.13,8.60,15500,8.60
2011-11-21,9.22,9.22,7.00,7.06,15700,7.06
2011-11-14,9.07,10.00,8.67,9.02,3000,9.02
2011-11-07,8.90,10.10,8.90,9.42,2700,9.42
2011-10-31,9.37,10.46,9.00,9.00,2300,9.00
2011-10-24,9.50,10.43,9.32,9.56,3700,9.56
2011-10-17,9.30,10.00,9.25,9.50,1400,9.50
2011-10-10,9.79,9.79,8.76,9.24,3200,9.24
2011-10-03,8.34,10.00,8.28,9.63,5300,9.63
2011-09-26,9.50,10.60,7.85,8.68,6900,8.68
2011-09-19,9.07,10.26,9.07,9.55,10500,9.55
2011-09-12,10.69,10.81,9.96,10.05,5100,10.05
2011-09-06,10.86,11.23,10.60,10.76,2700,10.76
2011-08-29,11.12,11.87,10.70,11.15,7300,11.15
2011-08-22,11.83,12.07,10.95,11.19,8700,11.19
2011-08-15,12.30,12.30,11.20,11.53,4200,11.53
2011-08-08,12.17,12.41,11.60,12.23,5700,12.23
2011-08-01,13.00,13.11,11.60,12.39,12300,12.39
2011-07-25,12.70,13.25,12.50,12.75,8100,12.75
2011-07-18,12.59,13.14,12.35,12.70,7500,12.70
2011-07-11,13.68,13.75,12.50,12.52,6000,12.52
2011-07-05,12.95,13.70,12.75,12.99,5100,12.99
2011-06-27,12.76,13.47,12.35,12.84,3100,12.84
2011-06-20,12.97,13.82,12.71,12.71,3900,12.71
2011-06-13,12.95,13.39,12.41,12.98,6200,12.98
2011-06-06,14.00,14.22,12.85,13.33,5800,13.33
2011-05-31,15.44,15.50,13.95,13.95,5700,13.95
2011-05-23,14.85,15.71,14.33,15.18,7500,15.18
2011-05-16,12.75,15.40,12.28,14.90,16600,14.90
2011-05-09,12.52,13.27,12.26,12.73,8900,12.73
2011-05-02,13.50,13.68,12.00,12.50,12200,12.50
2011-04-25,13.70,14.40,12.94,13.60,9800,13.60
2011-04-18,13.56,14.74,13.50,14.10,6200,14.10
2011-04-11,14.52,14.87,13.52,13.71,6500,13.71
