Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.90,5.32,4.79,5.23,2889200,5.23
2012-05-14,5.49,5.74,4.85,4.89,4602800,4.89
2012-05-07,5.17,5.64,5.05,5.58,3393600,5.58
2012-04-30,5.21,5.60,4.94,5.26,5593100,5.26
2012-04-23,4.30,5.25,4.13,5.17,4069900,5.17
2012-04-16,4.51,4.68,4.30,4.34,2590200,4.34
2012-04-09,4.18,4.56,4.15,4.35,2923200,4.35
2012-04-02,4.42,4.51,4.19,4.31,4535400,4.31
2012-03-26,4.46,4.67,4.26,4.46,2574600,4.46
2012-03-19,4.70,4.83,4.12,4.41,2793400,4.41
2012-03-12,4.56,4.85,4.55,4.72,6946100,4.72
2012-03-05,4.17,4.81,3.98,4.57,2623400,4.57
2012-02-27,4.18,4.54,4.16,4.20,2569300,4.20
2012-02-21,4.55,4.57,4.16,4.24,2177900,4.24
2012-02-13,4.70,4.83,4.48,4.50,3729100,4.50
2012-02-06,4.18,4.85,4.02,4.55,5883700,4.55
2012-01-30,3.88,4.19,3.64,4.16,2262800,4.16
2012-01-23,4.10,4.16,3.77,3.93,2770200,3.93
2012-01-17,4.11,4.24,3.94,4.07,2536900,4.07
2012-01-09,3.46,4.18,3.42,4.14,3393400,4.14
2012-01-03,3.25,3.44,3.05,3.44,2664800,3.44
2011-12-27,3.18,3.22,3.01,3.18,682700,3.18
2011-12-19,2.94,3.25,2.84,3.19,1613200,3.19
2011-12-12,3.28,3.30,2.88,2.88,2032100,2.88
2011-12-05,3.24,3.44,3.15,3.32,2319400,3.32
2011-11-28,2.96,3.30,2.85,3.16,2032000,3.16
2011-11-21,2.94,3.04,2.78,2.81,1338400,2.81
2011-11-14,3.15,3.25,2.92,2.98,1768400,2.98
2011-11-07,2.88,3.35,2.87,3.21,2511800,3.21
2011-10-31,3.07,3.07,2.82,2.91,2400400,2.91
2011-10-24,3.19,3.73,2.95,3.14,4678500,3.14
2011-10-17,2.71,3.30,2.58,3.19,2734600,3.19
2011-10-10,2.48,2.80,2.42,2.75,1213400,2.75
2011-10-03,2.47,2.54,2.17,2.44,1364400,2.44
2011-09-26,2.33,2.70,2.30,2.47,1533900,2.47
2011-09-19,2.48,2.56,2.19,2.30,1635000,2.30
2011-09-12,2.37,2.57,2.24,2.49,1446600,2.49
2011-09-06,2.31,2.65,2.24,2.45,1882700,2.45
2011-08-29,2.59,2.82,2.38,2.39,1829900,2.39
2011-08-22,2.29,2.49,2.13,2.49,2004700,2.49
2011-08-15,2.31,2.53,2.18,2.22,2196600,2.22
2011-08-08,2.40,2.45,2.08,2.30,3450700,2.30
2011-08-01,3.15,3.17,2.45,2.52,5358200,2.52
2011-07-25,3.54,3.61,2.85,2.86,3010100,2.86
2011-07-18,3.52,3.65,3.38,3.60,1297000,3.60
2011-07-11,3.50,3.58,3.28,3.53,2274100,3.53
2011-07-05,3.48,3.59,3.42,3.56,1525200,3.56
2011-06-27,3.43,3.53,3.31,3.47,2417000,3.47
2011-06-20,3.30,3.59,3.28,3.40,1758500,3.40
2011-06-13,3.21,3.45,3.19,3.30,2175300,3.30
2011-06-06,3.73,3.74,3.17,3.31,3034200,3.31
2011-05-31,4.05,4.09,3.71,3.76,1934300,3.76
2011-05-23,3.51,3.96,3.49,3.92,1706900,3.92
2011-05-16,3.58,3.66,3.46,3.55,1646700,3.55
2011-05-09,3.67,3.73,3.54,3.61,1607200,3.61
2011-05-02,3.86,3.90,3.63,3.68,2148300,3.68
2011-04-25,3.77,3.88,3.72,3.86,2296500,3.86
2011-04-18,3.57,3.98,3.56,3.77,2389500,3.77
2011-04-11,3.72,3.78,3.58,3.61,1128500,3.61
2011-04-04,3.77,3.79,3.51,3.72,1712100,3.72
2011-03-28,3.85,3.90,3.60,3.74,1740100,3.74
2011-03-21,3.79,3.87,3.66,3.81,1807800,3.81
2011-03-14,3.72,3.88,3.50,3.70,3130000,3.70
2011-03-07,3.85,3.94,3.72,3.81,3463800,3.81
2011-02-28,4.17,4.21,3.76,3.85,3183400,3.85
2011-02-22,4.30,4.30,3.91,4.14,2745900,4.14
2011-02-14,4.32,4.46,4.23,4.36,2948900,4.36
2011-02-07,4.20,4.50,4.20,4.34,2054300,4.34
2011-01-31,4.47,4.57,4.18,4.20,2576500,4.20
2011-01-24,4.49,4.77,4.44,4.49,1550300,4.49
2011-01-18,4.96,4.98,4.40,4.49,2295200,4.49
2011-01-10,4.71,4.98,4.57,4.95,1973800,4.95
2011-01-03,4.70,4.91,4.31,4.78,2886600,4.78
2010-12-27,4.39,4.73,4.26,4.60,1781600,4.60
2010-12-20,4.09,4.75,4.07,4.35,2731900,4.35
2010-12-13,3.94,4.12,3.82,4.12,1736600,4.12
2010-12-06,3.94,4.16,3.78,3.93,2032700,3.93
2010-11-29,3.50,3.95,3.47,3.94,1982700,3.94
2010-11-22,3.92,3.95,3.37,3.54,4079000,3.54
2010-11-15,4.13,4.17,3.80,3.91,1257700,3.91
2010-11-08,4.23,4.40,4.08,4.09,1668600,4.09
2010-11-01,3.67,4.25,3.55,4.23,2104700,4.23
2010-10-25,3.75,3.83,3.55,3.63,1519400,3.63
2010-10-18,3.75,3.91,3.61,3.74,1711200,3.74
2010-10-11,4.05,4.05,3.78,3.79,1480500,3.79
2010-10-04,3.95,4.08,3.81,4.06,1507400,4.06
2010-09-27,3.92,4.02,3.78,3.98,1376500,3.98
2010-09-20,3.72,4.08,3.72,3.93,1907000,3.93
2010-09-13,3.91,4.03,3.64,3.65,1546100,3.65
2010-09-07,3.86,4.02,3.79,3.86,1620800,3.86
2010-08-30,3.58,4.02,3.42,3.90,2045700,3.90
2010-08-23,3.55,3.67,3.25,3.61,1971600,3.61
2010-08-16,3.53,3.85,3.37,3.51,1689100,3.51
2010-08-09,4.01,4.15,3.51,3.55,2069600,3.55
2010-08-02,4.15,4.30,3.89,3.98,2734000,3.98
2010-07-26,3.81,4.20,3.70,4.00,3390500,4.00
2010-07-19,3.35,3.81,3.21,3.81,2797800,3.81
2010-07-12,3.42,3.80,3.33,3.36,2704700,3.36
2010-07-06,3.24,3.47,2.95,3.45,3204000,3.45
