Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.19,22.70,21.04,21.86,1802900,21.86
2012-05-14,23.22,23.38,20.95,21.07,2695300,21.07
2012-05-07,24.23,24.89,23.36,23.66,2023600,23.66
2012-04-30,26.15,27.61,24.18,24.35,2156800,24.35
2012-04-23,24.25,28.21,23.55,26.30,2995500,26.30
2012-04-16,24.93,26.29,24.38,24.75,2585600,24.75
2012-04-09,25.92,26.33,24.60,24.65,2250700,24.65
2012-04-02,26.41,27.37,26.21,26.47,2522400,26.47
2012-03-26,27.38,27.59,25.53,26.36,2887200,26.36
2012-03-19,28.74,29.00,25.51,27.03,3496500,27.03
2012-03-12,29.80,29.96,27.88,28.63,2988500,28.63
2012-03-05,29.89,30.24,27.62,29.80,2178100,29.80
2012-02-27,29.96,30.85,29.01,30.04,3564800,30.04
2012-02-21,29.44,30.70,29.02,30.09,3130000,30.09
2012-02-13,29.17,29.46,27.27,29.04,3607700,29.04
2012-02-06,30.20,31.88,28.01,28.57,7358900,28.57
2012-01-30,26.48,30.26,26.39,30.24,3615000,30.24
2012-01-23,27.50,27.82,25.57,26.94,3817300,26.94
2012-01-17,27.50,28.73,26.00,27.40,4060700,27.40
2012-01-09,29.71,31.26,26.94,27.09,2545700,27.09
2012-01-03,29.29,30.34,28.70,29.68,2383400,29.68
2011-12-27,29.08,29.45,28.04,28.44,1199900,28.44
2011-12-19,27.70,29.53,25.95,29.33,2631000,29.33
2011-12-12,28.51,29.59,26.00,27.33,2840000,27.33
2011-12-05,31.27,31.44,28.43,29.08,2014700,29.08
2011-11-28,26.70,30.87,26.59,30.46,2217700,30.46
2011-11-21,28.19,28.19,24.90,25.34,1658500,25.34
2011-11-14,29.80,31.33,28.21,28.56,1903500,28.56
2011-11-07,29.27,30.93,28.00,30.12,2988100,30.12
2011-10-31,29.11,29.81,25.35,29.38,3058000,29.38
2011-10-24,27.00,30.27,25.48,29.82,3722900,29.82
2011-10-17,26.31,27.37,25.02,26.37,4617100,26.37
2011-10-10,24.75,26.84,22.19,26.62,10166700,26.62
2011-10-03,25.92,28.78,22.64,27.41,2257600,27.41
2011-09-26,28.55,31.16,26.21,26.24,1106600,26.24
2011-09-19,34.52,35.34,28.22,28.32,1027500,28.32
2011-09-12,33.12,36.37,32.96,35.39,745100,35.39
2011-09-06,32.23,36.22,32.11,33.82,792900,33.82
2011-08-29,33.31,36.37,33.23,33.79,686400,33.79
2011-08-22,32.36,33.61,30.85,32.70,659000,32.70
2011-08-15,34.62,36.11,30.96,31.02,845200,31.02
2011-08-08,33.34,34.76,29.64,34.45,1522200,34.45
2011-08-01,42.15,42.41,33.49,35.09,1233000,35.09
2011-07-25,41.02,42.87,39.08,41.49,1202900,41.49
2011-07-18,39.63,41.56,38.49,41.49,801100,41.49
2011-07-11,38.51,40.23,37.68,39.63,778000,39.63
2011-07-05,37.64,39.79,37.31,39.19,533200,39.19
2011-06-27,34.39,37.88,33.96,37.79,798900,37.79
2011-06-20,34.78,36.69,34.39,34.54,1158300,34.54
2011-06-13,34.78,36.29,34.28,34.84,833900,34.84
2011-06-06,36.24,36.27,33.97,35.18,975500,35.18
2011-05-31,37.14,37.78,35.63,36.24,1056700,36.24
2011-05-23,34.40,36.77,33.84,36.56,707000,36.56
2011-05-16,34.71,35.95,33.55,35.51,1310900,35.51
2011-05-09,35.47,36.72,33.39,35.22,1143100,35.22
2011-05-02,38.78,38.89,34.32,35.42,1168200,35.42
2011-04-25,40.51,40.83,37.56,38.42,959800,38.42
2011-04-18,39.13,41.01,38.58,40.50,958500,40.50
2011-04-11,39.13,40.37,37.26,39.94,819000,39.94
2011-04-04,41.05,41.28,38.80,39.01,813900,39.01
2011-03-28,39.62,41.65,38.68,41.01,795600,41.01
2011-03-21,36.52,40.32,36.52,39.74,1006900,39.74
2011-03-14,36.37,36.95,34.56,35.89,836000,35.89
2011-03-07,39.34,39.73,35.38,36.70,800100,36.70
2011-02-28,37.37,39.42,36.23,39.37,1317000,39.37
2011-02-22,39.13,39.61,34.62,37.25,1736500,37.25
2011-02-14,35.28,39.29,35.28,38.94,735300,38.94
2011-02-07,36.44,37.11,34.32,35.19,876200,35.19
2011-01-31,34.05,36.66,33.91,36.37,650000,36.37
2011-01-24,35.44,35.44,32.74,33.93,778800,33.93
2011-01-18,35.40,36.49,35.14,35.52,839100,35.52
2011-01-10,33.43,35.50,32.55,35.49,602300,35.49
2011-01-03,35.29,35.99,32.83,33.61,837600,33.61
2010-12-27,34.83,35.44,33.97,34.99,355000,34.99
2010-12-20,33.89,35.31,33.74,34.97,653200,34.97
2010-12-13,34.76,34.80,32.83,33.52,1004200,33.52
2010-12-06,34.22,35.22,33.70,34.60,1055800,34.60
2010-11-29,32.10,34.75,31.94,34.44,1450800,34.44
2010-11-22,31.02,32.04,30.31,31.39,586500,31.39
2010-11-15,29.72,31.41,28.45,31.30,827100,31.30
2010-11-08,27.64,30.15,27.64,29.54,803300,29.54
2010-11-01,27.92,28.27,27.36,27.77,876200,27.77
2010-10-25,27.69,28.34,27.04,27.62,689200,27.62
2010-10-18,27.02,27.24,25.87,27.22,543700,27.22
2010-10-11,26.84,27.13,26.11,27.06,747100,27.06
2010-10-04,26.52,26.92,25.35,26.80,897800,26.80
2010-09-27,27.02,27.43,26.10,26.65,966000,26.65
2010-09-20,26.71,27.37,26.21,27.11,897200,27.11
2010-09-13,24.47,28.00,23.86,26.64,2183800,26.64
2010-09-07,22.89,23.92,22.68,23.73,487200,23.73
2010-08-30,21.59,23.24,21.17,23.08,618000,23.08
2010-08-23,21.63,22.01,20.40,21.72,584600,21.72
2010-08-16,22.45,23.44,21.30,21.42,459300,21.42
2010-08-09,24.35,24.57,22.16,22.60,697000,22.60
2010-08-02,23.23,24.85,22.56,24.19,1224300,24.19
2010-07-26,24.45,24.68,22.12,22.79,1506700,22.79
2010-07-19,21.85,24.36,21.71,24.36,1472300,24.36
2010-07-12,20.37,22.27,20.16,21.82,1211100,21.82
2010-07-06,19.26,20.58,18.64,20.52,1051200,20.52
2010-06-28,19.48,19.48,18.02,18.71,1128300,18.71
2010-06-21,21.24,21.28,18.64,19.32,1813100,19.32
2010-06-14,20.31,21.26,19.90,20.89,1542700,20.89
2010-06-07,19.64,20.50,18.09,20.02,1989100,20.02
2010-06-01,21.17,21.39,19.39,19.51,2173600,19.51
2010-05-24,22.17,24.06,20.85,21.76,1949700,21.76
2010-05-17,25.29,25.48,21.07,22.34,1439100,22.34
2010-05-10,25.37,28.46,24.76,25.16,1139100,25.16
2010-05-03,27.35,28.93,23.73,24.05,2378400,24.05
2010-04-26,25.46,28.32,24.76,27.06,1764000,27.06
2010-04-19,23.12,25.61,22.94,25.55,767900,25.55
2010-04-12,23.16,23.98,22.67,23.19,827400,23.19
2010-04-05,22.10,23.39,22.01,23.11,1022400,23.11
2010-03-29,19.67,21.93,19.58,21.93,972800,21.93
2010-03-22,19.87,21.00,19.40,19.52,1092400,19.52
2010-03-15,21.70,21.80,19.90,20.04,839100,20.04
2010-03-08,21.40,22.15,21.32,21.81,552700,21.81
2010-03-01,20.72,21.50,20.53,21.36,1004900,21.36
2010-02-22,20.85,21.54,19.93,20.67,1317700,20.67
2010-02-16,20.47,20.96,20.19,20.79,839200,20.79
2010-02-08,20.63,20.80,19.51,20.22,1044500,20.22
2010-02-01,23.16,23.81,19.87,20.55,1255600,20.55
2010-01-25,23.85,24.54,22.88,22.97,478100,22.97
2010-01-19,25.50,26.13,23.32,23.51,504100,23.51
2010-01-11,26.61,26.95,24.52,25.52,438400,25.52
2010-01-04,24.62,26.50,24.62,26.45,635000,26.45
2009-12-28,24.87,25.17,24.29,24.29,497700,24.29
2009-12-21,24.36,25.17,24.15,24.77,417400,24.77
2009-12-14,22.07,24.29,22.02,24.15,1123900,24.15
2009-12-07,20.38,22.93,20.05,21.90,1003000,21.90
2009-11-30,21.08,21.73,20.21,20.48,771500,20.48
2009-11-23,22.21,22.45,20.45,21.17,469500,21.17
2009-11-16,23.19,23.95,21.30,21.57,504000,21.57
2009-11-09,23.18,23.58,22.16,22.99,577300,22.99
2009-11-02,21.64,23.69,21.01,22.78,1007100,22.78
2009-10-26,24.50,25.18,21.40,21.61,1109300,21.61
2009-10-19,25.09,25.91,24.05,24.39,719700,24.39
2009-10-12,23.40,25.39,22.96,25.02,771500,25.02
2009-10-05,21.12,23.96,21.06,23.13,676500,23.13
2009-09-28,21.31,22.80,20.87,21.01,991800,21.01
2009-09-21,21.54,22.73,20.39,21.12,762300,21.12
2009-09-14,21.15,23.18,20.96,21.96,1324900,21.96
2009-09-08,18.71,21.43,18.71,21.42,915600,21.42
2009-08-31,18.21,18.60,17.57,18.42,542000,18.42
2009-08-24,19.24,19.85,17.80,18.54,669700,18.54
2009-08-17,17.65,19.20,17.19,19.10,573700,19.10
2009-08-10,17.51,18.50,17.18,18.11,567700,18.11
2009-08-03,16.90,18.08,16.89,17.57,1015200,17.57
2009-07-27,18.50,18.70,16.17,16.59,1549500,16.59
2009-07-20,17.85,18.87,17.55,18.45,855100,18.45
2009-07-13,15.83,17.90,15.25,17.72,633100,17.72
2009-07-06,16.49,16.49,14.76,15.82,969200,15.82
2009-06-29,17.59,17.85,16.20,16.89,1068400,16.89
2009-06-22,18.72,18.87,17.02,17.32,1388200,17.32
2009-06-15,22.14,22.41,19.03,19.20,961000,19.20
2009-06-08,22.18,23.74,21.50,22.92,765400,22.92
2009-06-01,23.38,24.65,21.79,22.58,1076900,22.58
2009-05-26,20.37,23.12,20.04,23.06,1286900,23.06
2009-05-18,20.68,22.30,20.32,20.60,1159800,20.60
2009-05-11,22.48,22.81,20.15,20.37,1228400,20.37
2009-05-04,20.72,23.31,20.40,23.10,1498100,23.10
2009-04-27,18.34,20.64,17.25,20.19,1821600,20.19
2009-04-20,17.23,19.18,16.24,18.82,1784500,18.82
2009-04-13,14.37,17.58,13.94,17.46,1324400,17.46
2009-04-06,14.68,14.81,13.42,14.63,1273300,14.63
2009-03-30,14.17,15.08,12.36,14.95,1643000,14.95
2009-03-23,15.22,16.96,14.62,14.68,1451300,14.68
2009-03-16,13.37,15.63,12.83,14.59,1177500,14.59
