Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,22.26,23.28,22.18,23.03,861200,23.03
2012-05-14,23.46,24.03,22.04,22.14,842200,22.14
2012-05-07,25.02,25.18,23.88,23.91,897900,23.91
2012-04-30,25.42,25.90,24.66,25.23,1024600,25.23
2012-04-23,23.75,25.54,23.52,25.44,816900,25.44
2012-04-16,23.74,24.61,23.66,24.11,1483500,24.11
2012-04-09,24.08,24.82,22.96,24.41,855700,24.41
2012-04-02,24.44,25.05,24.30,24.51,725600,24.51
2012-03-26,25.18,25.62,24.10,24.46,650000,24.46
2012-03-19,25.16,25.48,24.24,24.81,629900,24.81
2012-03-12,25.60,25.88,25.13,25.39,802500,25.39
2012-03-05,23.94,26.00,23.07,25.63,1390400,25.63
2012-02-27,23.72,24.27,23.31,23.98,815600,23.98
2012-02-21,24.13,24.20,23.48,23.90,1131300,23.90
2012-02-13,24.71,24.84,23.78,23.84,1217500,23.84
2012-02-06,23.64,24.55,21.00,24.43,1694100,24.43
2012-01-30,22.46,23.87,22.26,23.69,734000,23.69
2012-01-23,23.21,23.36,22.25,22.76,903400,22.76
2012-01-17,23.01,23.51,22.26,23.33,1277900,23.33
2012-01-09,22.16,23.31,22.11,22.69,1164400,22.69
2012-01-03,21.29,22.18,20.86,22.10,1398700,22.10
2011-12-27,21.05,21.17,20.44,20.78,682100,20.78
2011-12-19,19.98,21.25,19.23,21.13,1152000,21.13
2011-12-12,19.58,20.09,18.81,18.98,1225200,18.98
2011-12-05,20.11,20.37,19.21,19.85,887600,19.85
2011-11-28,18.68,20.26,18.41,19.75,1236500,19.75
2011-11-21,18.72,18.91,17.94,18.01,743700,18.01
2011-11-14,19.64,20.15,18.83,19.14,1673800,19.14
2011-11-07,18.96,19.38,18.35,19.25,1002600,19.25
2011-10-31,17.28,19.76,15.86,19.08,1876800,19.08
2011-10-24,16.29,17.82,16.01,17.52,1538300,17.52
2011-10-17,16.46,16.51,15.32,16.25,987200,16.25
2011-10-10,16.81,17.29,16.20,16.61,801200,16.61
2011-10-03,15.78,16.87,14.44,16.37,1077400,16.37
2011-09-26,15.45,17.14,14.83,15.95,1209500,15.95
2011-09-19,16.32,16.63,14.59,15.28,808700,15.28
2011-09-12,14.99,16.89,14.86,16.69,964300,16.69
2011-09-06,15.00,16.39,14.83,15.22,1002800,15.22
2011-08-29,15.86,17.09,15.58,15.64,1521200,15.64
2011-08-22,15.02,15.77,14.53,15.55,1026800,15.55
2011-08-15,15.46,16.14,14.50,14.63,2296600,14.63
2011-08-08,16.19,16.19,14.27,15.26,5148800,15.26
2011-08-01,20.80,20.88,16.47,16.90,2987500,16.90
2011-07-25,21.89,21.92,20.00,20.49,1380700,20.49
2011-07-18,20.16,22.43,19.69,22.06,1949300,22.06
2011-07-11,21.20,21.39,20.14,20.27,998600,20.27
2011-07-05,22.30,22.30,21.41,21.53,1376000,21.53
2011-06-27,20.69,22.68,20.33,22.30,2580500,22.30
2011-06-20,21.50,22.02,20.63,20.68,1448600,20.68
2011-06-13,21.39,21.79,21.22,21.59,2627800,21.59
2011-06-06,21.33,21.46,20.84,21.17,1075400,21.17
2011-05-31,21.97,22.09,21.11,21.35,1231600,21.35
2011-05-23,22.16,22.19,21.37,21.70,1371100,21.70
2011-05-16,22.86,23.30,22.35,22.51,811600,22.51
2011-05-09,23.13,23.79,22.87,22.97,965100,22.97
2011-05-02,24.70,25.15,22.85,23.12,1963900,23.12
2011-04-25,23.95,24.60,23.77,24.60,1140000,24.60
2011-04-18,23.46,24.36,22.96,23.96,1124600,23.96
2011-04-11,24.20,24.37,23.35,23.76,1042300,23.76
2011-04-04,25.99,25.99,23.70,24.03,1788300,24.03
2011-03-28,25.48,26.12,25.29,25.90,689800,25.90
2011-03-21,25.51,25.70,24.80,25.52,777700,25.52
2011-03-14,25.09,25.46,23.78,25.06,785600,25.06
2011-03-07,26.04,26.43,25.05,25.33,801800,25.33
2011-02-28,26.25,26.41,24.87,25.97,767800,25.97
2011-02-22,25.40,26.49,24.50,26.06,1407500,26.06
2011-02-14,25.34,25.92,24.81,25.78,802700,25.78
2011-02-07,24.28,25.85,23.16,25.42,2285200,25.42
2011-01-31,23.56,24.33,23.47,24.10,1811700,24.10
2011-01-24,23.37,24.10,23.19,23.48,1344600,23.48
2011-01-18,23.29,24.55,23.22,23.40,2150100,23.40
2011-01-10,20.93,23.32,20.34,23.30,2492800,23.30
2011-01-03,21.01,21.27,20.41,20.97,1268900,20.97
2010-12-27,20.62,20.95,20.45,20.81,349700,20.81
2010-12-20,20.41,20.85,19.73,20.65,1161000,20.65
2010-12-13,20.40,20.82,20.29,20.36,1509400,20.36
2010-12-06,19.91,20.73,19.60,20.21,1183400,20.21
2010-11-29,19.36,20.43,19.13,20.35,1279400,20.35
2010-11-22,18.74,19.63,18.44,19.48,1311200,19.48
2010-11-15,18.25,18.94,18.05,18.81,1458400,18.81
2010-11-08,19.11,19.35,17.93,18.08,1611600,18.08
2010-11-01,21.73,21.92,18.37,19.27,3433100,19.27
2010-10-25,21.80,21.99,21.02,21.64,892300,21.64
2010-10-18,21.43,21.74,20.71,21.69,791600,21.69
