Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.52,15.04,13.97,14.89,326100,14.89
2012-05-14,14.27,15.16,13.54,14.44,198300,14.44
2012-05-07,14.86,15.03,14.33,14.37,55500,14.37
2012-04-30,15.31,15.31,14.34,14.95,46500,14.95
2012-04-23,14.47,15.46,14.47,15.29,68500,15.29
2012-04-16,15.03,15.38,13.77,14.72,191100,14.72
2012-04-09,14.86,15.10,14.54,14.97,53900,14.97
2012-04-02,15.17,15.42,14.61,15.10,74400,15.10
2012-03-26,15.32,15.45,14.36,15.24,97800,15.24
2012-03-19,15.05,15.42,14.80,15.20,56400,15.20
2012-03-12,14.41,15.15,14.01,14.97,84500,14.97
2012-03-05,14.30,14.60,13.77,14.46,33000,14.46
2012-02-27,15.21,15.47,14.06,14.33,102700,14.33
2012-02-21,14.79,15.50,13.74,15.41,191200,15.41
2012-02-13,15.00,15.30,14.30,14.80,141200,14.80
2012-02-06,14.46,15.01,14.05,14.96,81900,14.96
2012-01-30,14.75,14.92,14.05,14.40,84400,14.40
2012-01-23,14.20,15.00,14.10,14.89,56200,14.89
2012-01-17,14.09,14.19,13.62,14.14,45600,14.14
2012-01-09,14.30,15.09,13.63,13.75,89300,13.75
2012-01-03,14.58,14.80,13.71,14.20,56000,14.20
2011-12-27,14.49,14.77,14.08,14.27,46600,14.27
2011-12-19,14.28,14.93,13.65,14.50,65300,14.50
2011-12-12,15.75,15.75,14.49,14.59,68200,14.59
2011-12-05,15.19,15.45,13.69,15.28,116700,15.28
2011-11-28,13.50,15.13,13.31,14.99,62600,14.99
2011-11-21,14.91,15.09,13.02,13.04,58000,13.04
2011-11-14,15.36,15.73,14.63,15.14,94100,15.14
2011-11-07,15.22,15.70,14.18,15.47,104200,15.47
2011-10-31,13.65,16.00,13.34,15.38,99200,15.38
2011-10-24,13.53,16.30,13.53,15.90,244600,15.90
2011-10-17,14.10,14.71,13.11,13.52,46800,13.52
2011-10-10,14.52,14.65,13.15,14.25,80400,14.25
2011-10-03,14.90,14.90,11.35,14.29,58000,14.29
2011-09-26,13.22,15.02,12.92,14.94,45900,14.94
2011-09-19,14.82,14.95,12.05,13.24,40600,13.24
2011-09-12,14.10,15.20,14.00,15.05,51700,15.05
2011-09-06,13.77,15.16,13.26,14.29,44700,14.29
2011-08-29,15.00,15.47,13.89,14.06,118700,14.06
2011-08-22,13.47,15.50,11.80,15.07,99300,15.07
2011-08-15,14.60,15.20,13.10,13.12,71500,13.12
2011-08-08,15.21,15.77,11.66,14.45,91500,14.45
2011-08-01,17.03,17.18,14.76,15.51,60700,15.51
2011-07-25,17.00,17.25,16.52,17.03,57700,17.03
2011-07-18,17.06,17.50,16.61,17.08,36300,17.08
2011-07-11,16.28,17.47,16.28,17.15,69600,17.15
2011-07-05,17.85,17.90,16.35,16.57,125000,16.57
2011-06-27,17.08,17.84,15.65,17.82,81800,17.82
2011-06-20,16.93,17.48,16.33,17.07,437700,17.07
2011-06-13,17.98,18.04,15.55,16.82,77900,16.82
2011-06-06,15.21,17.28,14.77,16.89,105700,16.89
2011-05-31,18.22,18.45,15.13,15.28,216000,15.28
2011-05-23,16.55,18.30,16.51,17.64,105100,17.64
2011-05-16,14.84,16.90,14.34,16.77,78800,16.77
2011-05-09,14.20,15.25,14.01,14.95,47200,14.95
2011-05-02,14.25,14.59,13.80,14.31,38100,14.31
2011-04-25,14.64,15.21,14.12,14.26,37000,14.26
2011-04-18,14.33,15.23,14.03,15.05,33000,15.05
2011-04-11,14.49,14.99,13.01,14.35,44900,14.35
2011-04-04,14.75,15.19,13.93,14.15,195800,14.15
2011-03-28,15.20,16.26,14.25,14.30,306000,14.30
2011-03-21,12.54,15.38,12.45,15.29,7000,15.29
2011-03-14,13.72,13.72,12.00,13.05,10800,13.05
2011-03-07,14.50,15.75,12.88,13.63,24900,13.63
2011-02-28,14.63,14.79,13.52,14.67,45700,14.67
2011-02-22,13.50,14.96,13.18,14.64,58400,14.64
2011-02-14,13.52,13.90,13.25,13.65,9400,13.65
2011-02-07,13.81,13.96,13.13,13.52,13400,13.52
2011-01-31,13.37,14.49,13.10,13.84,7900,13.84
2011-01-24,14.33,14.70,13.00,13.38,11500,13.38
2011-01-18,14.27,15.79,13.54,14.50,15500,14.50
2011-01-10,13.04,14.26,12.65,14.22,65500,14.22
2011-01-03,13.25,13.55,12.21,13.21,33800,13.21
2010-12-27,12.41,13.33,12.30,13.01,5900,13.01
2010-12-20,12.17,12.68,12.00,12.30,26700,12.30
2010-12-13,12.85,13.22,11.67,12.00,44200,12.00
2010-12-06,12.45,13.69,12.45,13.24,28000,13.24
2010-11-29,12.99,14.11,12.26,12.66,97100,12.66
2010-11-22,12.37,13.00,12.32,13.00,19100,13.00
2010-11-15,12.25,12.50,11.77,12.25,16000,12.25
2010-11-08,11.55,13.00,11.55,12.28,39600,12.28
2010-11-01,11.30,12.48,10.50,12.00,101600,12.00
2010-10-25,12.14,12.14,10.88,11.45,28200,11.45
2010-10-18,12.45,13.10,11.50,12.15,20500,12.15
2010-10-11,12.88,13.26,11.30,12.45,27000,12.45
2010-10-04,12.04,13.11,11.72,12.90,51200,12.90
2010-09-27,12.27,12.50,11.00,12.35,141100,12.35
2010-09-24,11.50,13.75,11.10,12.27,3134500,12.27
