Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.70,9.97,9.50,9.57,171200,9.57
2012-05-14,10.42,10.45,9.66,9.70,126300,9.70
2012-05-07,10.00,10.83,10.00,10.54,128500,10.54
2012-04-30,11.21,11.21,9.94,10.04,240700,10.04
2012-04-23,10.79,11.25,10.61,11.18,121100,11.18
2012-04-16,11.22,11.33,10.60,11.00,129900,11.00
2012-04-09,10.77,11.20,10.66,11.16,138100,11.16
2012-04-02,10.74,11.26,10.66,10.95,164400,10.95
2012-03-26,10.94,11.42,10.83,10.83,225200,10.83
2012-03-19,10.08,10.85,10.08,10.83,119100,10.83
2012-03-12,10.10,10.34,10.01,10.06,135100,10.06
2012-03-05,10.89,11.04,9.78,10.14,292300,10.14
2012-02-27,10.37,11.20,10.28,11.00,236700,11.00
2012-02-21,10.37,10.51,9.60,10.41,201300,10.41
2012-02-13,10.54,11.15,10.20,10.38,130500,10.38
2012-02-06,11.29,11.37,10.40,10.46,154300,10.46
2012-01-30,11.08,11.50,10.72,11.36,142200,11.36
2012-01-23,10.96,11.33,10.49,11.28,139300,11.28
2012-01-17,10.70,11.72,10.62,10.96,267800,10.96
2012-01-09,10.35,10.68,10.14,10.64,156500,10.64
2012-01-03,10.75,10.92,10.10,10.32,208500,10.32
2011-12-27,10.75,11.00,10.44,10.49,134800,10.49
2011-12-19,11.37,11.65,10.56,10.73,241500,10.73
2011-12-12,10.90,11.79,10.80,11.35,289900,11.35
2011-12-05,9.99,11.19,9.79,11.04,389300,11.04
2011-11-28,8.75,10.00,8.70,9.82,548700,9.82
2011-11-21,8.90,8.96,8.45,8.45,211700,8.45
2011-11-14,8.66,9.24,8.45,9.15,283900,9.15
2011-11-07,9.31,9.45,8.58,8.74,263800,8.74
2011-10-31,9.18,9.48,8.65,9.32,218200,9.32
2011-10-24,9.71,10.03,8.28,9.37,466100,9.37
2011-10-17,9.13,9.72,8.61,9.68,408000,9.68
2011-10-10,8.00,9.49,7.77,9.12,418400,9.12
2011-10-03,7.67,8.08,6.64,7.81,362800,7.81
2011-09-26,8.06,8.42,7.53,7.80,265600,7.80
2011-09-19,8.28,8.59,7.22,7.98,351600,7.98
2011-09-12,7.65,9.05,7.52,8.36,420600,8.36
2011-09-06,7.54,8.24,7.54,7.77,292000,7.77
2011-08-29,8.41,8.73,7.64,7.82,563600,7.82
2011-08-22,7.20,8.32,6.83,8.25,478700,8.25
2011-08-15,6.80,7.08,6.27,6.95,315000,6.95
2011-08-08,5.20,6.94,5.18,6.74,459500,6.74
2011-08-01,4.66,5.86,4.48,5.33,327900,5.33
2011-07-25,5.25,5.37,4.51,4.55,108500,4.55
2011-07-18,5.40,5.47,5.19,5.30,47700,5.30
2011-07-11,5.29,5.45,5.21,5.43,80100,5.43
2011-07-05,5.33,5.44,5.13,5.37,53900,5.37
2011-06-27,5.06,5.40,5.04,5.32,69200,5.32
2011-06-20,5.11,5.40,4.93,5.04,89900,5.04
2011-06-13,5.23,5.44,5.00,5.12,74700,5.12
2011-06-06,5.44,5.53,5.01,5.06,62000,5.06
2011-05-31,5.80,5.95,5.44,5.45,110900,5.45
2011-05-23,5.57,5.81,5.00,5.81,183800,5.81
2011-05-16,5.69,5.69,5.13,5.63,74400,5.63
2011-05-09,5.38,5.76,5.34,5.75,158300,5.75
2011-05-02,5.55,5.67,5.29,5.41,114500,5.41
2011-04-25,4.84,5.63,4.84,5.55,190800,5.55
2011-04-18,4.97,5.01,4.41,4.83,225200,4.83
2011-04-11,5.10,5.15,4.81,5.10,112700,5.10
2011-04-04,5.50,5.62,4.98,5.12,108300,5.12
2011-03-28,5.37,5.68,5.22,5.50,78400,5.50
2011-03-21,5.49,5.55,5.31,5.38,83100,5.38
2011-03-14,5.67,5.83,5.03,5.40,110300,5.40
2011-03-07,5.81,5.87,5.63,5.76,86400,5.76
2011-02-28,5.93,6.00,5.37,5.79,104800,5.79
2011-02-22,5.75,5.93,5.53,5.92,141700,5.92
2011-02-14,5.65,5.84,5.45,5.79,58600,5.79
2011-02-07,5.07,5.71,5.07,5.67,67600,5.67
2011-01-31,5.37,5.55,5.04,5.08,98600,5.08
2011-01-24,5.45,5.74,5.35,5.36,75200,5.36
2011-01-18,6.17,6.28,5.41,5.45,145100,5.45
2011-01-10,6.21,6.45,6.14,6.24,110100,6.24
2011-01-03,6.19,6.40,6.15,6.24,127600,6.24
2010-12-27,5.80,6.28,5.80,6.10,63100,6.10
2010-12-20,5.80,5.87,5.66,5.84,60900,5.84
2010-12-13,5.65,5.90,5.55,5.80,95000,5.80
2010-12-06,5.52,5.68,5.49,5.64,71500,5.64
2010-11-29,5.26,5.73,5.25,5.70,69700,5.70
2010-11-22,5.30,5.39,5.17,5.32,42700,5.32
2010-11-15,5.26,5.36,4.89,5.34,94200,5.34
2010-11-08,5.45,5.60,5.18,5.22,71000,5.22
2010-11-01,5.49,5.50,4.92,5.48,89800,5.48
2010-10-25,5.37,5.51,4.99,5.27,59000,5.27
2010-10-18,5.58,5.78,5.23,5.33,60500,5.33
2010-10-11,5.34,5.74,5.19,5.58,79400,5.58
2010-10-04,5.44,5.62,5.21,5.35,70400,5.35
2010-09-27,5.45,5.62,5.27,5.44,52500,5.44
2010-09-20,5.04,5.56,4.94,5.44,93800,5.44
2010-09-13,4.66,5.00,4.65,4.97,101100,4.97
2010-09-07,4.61,4.65,4.20,4.59,112700,4.59
2010-08-30,4.91,4.94,4.44,4.63,76400,4.63
2010-08-23,4.77,4.97,4.34,4.95,76300,4.95
2010-08-16,4.65,4.96,4.33,4.77,132700,4.77
2010-08-09,5.30,5.32,4.66,4.70,144700,4.70
2010-08-02,6.11,6.12,5.00,5.23,128100,5.23
2010-07-26,5.74,6.12,5.74,6.04,122200,6.04
2010-07-19,5.59,5.81,5.32,5.68,102300,5.68
2010-07-12,6.49,6.74,5.58,5.60,190600,5.60
2010-07-06,5.87,6.46,5.56,6.45,223400,6.45
2010-06-28,5.89,5.95,5.50,5.76,163600,5.76
2010-06-21,5.39,5.98,4.92,5.97,1137500,5.97
2010-06-14,4.92,5.39,4.91,5.39,85600,5.39
2010-06-07,4.99,5.25,4.90,5.10,83900,5.10
2010-06-01,5.23,5.35,4.99,5.00,58700,5.00
2010-05-24,4.73,5.24,4.69,5.20,73200,5.20
2010-05-17,4.86,5.00,4.51,4.82,75500,4.82
2010-05-10,4.83,5.00,4.70,4.89,81000,4.89
2010-05-03,5.10,5.37,4.17,4.59,141900,4.59
2010-04-26,5.10,5.24,4.88,5.09,70400,5.09
2010-04-19,4.72,5.20,4.65,5.08,103600,5.08
2010-04-12,4.30,4.86,4.16,4.70,176800,4.70
2010-04-05,3.60,4.04,3.56,4.00,72000,4.00
2010-03-29,3.45,3.85,3.38,3.63,94200,3.63
2010-03-22,3.70,3.70,3.36,3.40,72200,3.40
2010-03-15,3.59,3.75,3.52,3.70,92100,3.70
2010-03-08,3.45,3.74,3.45,3.63,156600,3.63
2010-03-01,3.78,3.78,3.37,3.50,160200,3.50
2010-02-22,3.73,3.80,3.50,3.76,61900,3.76
2010-02-16,3.86,3.89,3.62,3.66,38400,3.66
2010-02-08,3.88,3.91,3.50,3.86,34700,3.86
