Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.44,13.84,13.12,13.32,33700,13.32
2012-05-14,13.56,13.74,13.13,13.36,28300,13.36
2012-05-07,13.38,14.13,13.38,13.76,24600,13.76
2012-04-30,14.66,14.75,13.39,13.46,32700,13.46
2012-04-23,13.67,14.78,13.50,14.75,21400,14.75
2012-04-16,13.15,14.25,13.15,13.93,28100,13.93
2012-04-09,13.32,13.69,12.82,13.13,30700,13.13
2012-04-02,14.51,14.69,13.58,13.60,27800,13.60
2012-03-26,14.46,14.96,14.08,14.61,24700,14.61
2012-03-19,14.22,14.44,13.64,14.27,21700,14.27
2012-03-12,13.58,14.34,13.58,14.19,37100,14.19
2012-03-05,13.13,13.94,12.93,13.67,32500,13.52
2012-02-27,14.91,14.97,13.00,13.10,31000,12.96
2012-02-21,15.00,15.18,14.15,14.98,36000,14.82
2012-02-13,12.50,16.00,12.21,15.03,50800,14.87
2012-02-06,12.75,12.94,12.33,12.38,25200,12.24
2012-01-30,12.99,13.18,12.39,12.94,38500,12.80
2012-01-23,13.49,13.49,12.73,13.14,28200,13.00
2012-01-17,12.50,13.49,12.33,13.47,28200,13.32
2012-01-09,12.79,13.24,12.39,12.41,30500,12.27
2012-01-03,13.95,14.33,12.77,12.79,40300,12.65
2011-12-27,13.31,14.06,12.49,13.59,30700,13.44
2011-12-19,12.87,13.59,12.63,13.38,30000,13.23
2011-12-12,12.65,13.35,12.32,12.76,60700,12.62
2011-12-05,11.99,12.88,11.65,12.85,55800,12.71
2011-11-28,10.37,12.03,10.37,11.77,52400,11.49
2011-11-21,11.35,11.54,10.09,10.11,30500,9.87
2011-11-14,11.20,11.68,10.88,11.51,47300,11.24
2011-11-07,12.70,13.04,11.40,11.50,66100,11.23
2011-10-31,13.42,13.64,12.51,12.90,44500,12.60
2011-10-24,12.75,14.05,12.75,13.64,64800,13.32
2011-10-17,12.88,13.06,12.13,12.66,68400,12.36
2011-10-10,12.69,13.47,12.53,13.01,43300,12.70
2011-10-03,13.03,13.15,12.10,12.45,87400,12.16
2011-09-26,12.90,13.39,11.96,13.15,96000,12.84
2011-09-19,12.73,12.94,11.89,12.77,51400,12.47
2011-09-12,11.83,13.00,11.83,12.97,67300,12.67
2011-09-06,12.27,12.99,11.90,11.97,58300,11.69
2011-08-29,14.02,14.73,12.48,12.57,46100,12.13
2011-08-22,14.96,15.04,13.74,13.94,41600,13.46
2011-08-15,15.50,15.50,14.12,14.55,45400,14.04
2011-08-08,15.36,16.69,13.75,15.42,63500,14.88
2011-08-01,16.69,16.87,15.43,15.82,29500,15.27
2011-07-25,17.46,17.93,16.41,16.58,35000,16.00
2011-07-18,17.26,18.00,16.98,17.67,19200,17.06
2011-07-11,16.96,17.40,16.88,17.29,23100,16.69
2011-07-05,17.54,17.54,16.95,17.10,23100,16.51
2011-06-27,16.32,17.73,16.26,17.57,27900,16.96
2011-06-20,16.15,16.80,15.94,16.19,38700,15.63
2011-06-13,16.16,16.30,15.57,16.20,30800,15.64
2011-06-06,16.06,16.27,15.73,16.06,32800,15.50
2011-05-31,16.70,16.71,15.49,16.09,38000,15.39
2011-05-23,16.17,16.68,15.93,16.58,32000,15.85
2011-05-16,16.18,16.50,15.95,16.39,25400,15.67
2011-05-09,15.87,16.33,15.16,16.28,33600,15.57
2011-05-02,17.07,17.15,15.69,15.91,44700,15.21
2011-04-25,16.86,17.14,16.60,16.98,20800,16.24
2011-04-18,16.99,17.04,16.69,16.92,24700,16.18
2011-04-11,17.47,18.10,16.88,17.05,24000,16.30
2011-04-04,18.19,18.19,17.45,17.57,11200,16.80
2011-03-28,17.37,18.35,17.11,18.09,23800,17.30
2011-03-21,16.92,17.72,16.68,17.40,24500,16.64
2011-03-14,16.62,17.01,16.33,16.78,35400,16.05
2011-03-07,17.01,17.12,16.58,16.74,25700,16.01
2011-02-28,17.20,17.29,16.69,16.99,19100,16.10
2011-02-22,15.61,17.20,15.61,17.18,33800,16.28
2011-02-14,15.95,17.31,15.63,17.01,36500,16.12
2011-02-07,15.57,16.13,15.53,16.00,23600,15.17
2011-01-31,15.12,15.73,15.10,15.53,22700,14.72
2011-01-24,14.98,16.21,14.90,15.08,24900,14.29
2011-01-18,16.03,16.26,14.93,14.93,33800,14.15
2011-01-10,16.47,16.67,15.91,16.12,35700,15.28
2011-01-03,17.58,17.75,16.36,16.42,18600,15.56
2010-12-27,16.69,17.63,16.44,17.42,17800,16.51
2010-12-20,17.04,17.43,16.51,16.69,24500,15.82
2010-12-13,17.36,17.89,16.92,16.95,38500,16.07
2010-12-06,16.50,17.35,16.30,17.35,22400,16.45
2010-11-29,16.10,16.67,15.61,16.60,28400,15.59
2010-11-22,15.78,16.46,15.52,16.22,18400,15.24
2010-11-15,15.64,16.19,15.29,15.88,25100,14.92
2010-11-08,16.51,16.60,15.51,15.55,16700,14.61
2010-11-01,15.53,16.68,15.06,16.62,35000,15.61
2010-10-25,16.26,16.57,15.11,15.66,25300,14.71
2010-10-18,16.23,16.71,15.87,16.15,20700,15.17
