Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.31,9.41,8.91,9.01,74300,9.01
2012-05-14,9.54,9.74,9.21,9.27,67200,9.27
2012-05-07,9.31,9.79,9.31,9.70,119200,9.70
2012-04-30,9.66,9.78,9.33,9.37,123500,9.37
2012-04-23,9.05,9.71,8.41,9.70,112200,9.70
2012-04-16,9.06,9.60,9.02,9.31,51000,9.31
2012-04-09,8.89,9.35,8.89,9.02,62100,9.02
2012-04-02,9.54,9.75,9.20,9.24,67700,9.24
2012-03-26,9.89,10.02,9.52,9.59,58000,9.59
2012-03-19,9.55,9.93,9.39,9.79,61900,9.79
2012-03-12,9.30,9.68,9.02,9.55,94000,9.55
2012-03-05,8.50,9.47,8.45,9.28,98700,9.19
2012-02-27,9.31,9.36,8.48,8.53,71100,8.45
2012-02-21,9.52,9.57,9.16,9.36,45900,9.27
2012-02-13,9.60,9.60,9.04,9.52,45800,9.43
2012-02-06,10.13,10.14,9.42,9.44,42600,9.35
2012-01-30,9.45,10.25,9.11,10.22,90000,10.12
2012-01-23,9.56,9.88,9.34,9.56,68900,9.47
2012-01-17,9.15,9.59,9.02,9.59,54700,9.50
2012-01-09,8.99,9.27,8.86,9.04,56400,8.95
2012-01-03,8.91,9.11,8.70,8.97,54000,8.88
2011-12-27,8.76,8.93,8.58,8.64,36500,8.56
2011-12-19,8.48,9.00,8.18,8.78,62300,8.69
2011-12-12,8.36,8.70,8.02,8.44,102200,8.36
2011-12-05,8.60,8.72,8.04,8.51,75000,8.34
2011-11-28,7.63,8.78,7.48,8.42,81600,8.25
2011-11-21,7.85,8.01,7.27,7.30,55000,7.15
2011-11-14,8.14,8.22,7.82,8.07,100400,7.91
2011-11-07,8.12,8.45,7.77,8.19,58100,8.02
2011-10-31,8.53,8.68,7.69,8.09,110400,7.92
2011-10-24,8.46,8.80,7.90,8.67,136500,8.49
2011-10-17,8.25,8.80,7.88,8.47,97600,8.30
2011-10-10,7.31,8.39,7.18,8.36,77100,8.19
2011-10-03,7.25,7.50,6.65,7.14,180000,6.99
2011-09-26,7.17,7.89,7.05,7.26,97100,7.11
2011-09-19,7.81,7.97,6.83,7.05,94400,6.91
2011-09-12,7.36,8.04,7.33,7.99,60700,7.83
2011-09-06,7.44,8.22,7.36,7.51,101300,7.27
2011-08-29,8.41,8.95,7.67,7.68,98900,7.43
2011-08-22,8.26,8.77,7.73,8.29,81900,8.02
2011-08-15,8.48,8.58,7.97,8.06,122900,7.80
2011-08-08,9.00,9.24,8.25,8.36,198000,8.09
2011-08-01,9.57,9.64,9.04,9.24,126600,8.94
2011-07-25,9.59,9.77,9.34,9.45,74200,9.15
2011-07-18,9.89,9.95,9.45,9.73,74100,9.42
2011-07-11,9.45,10.05,9.34,9.92,79000,9.60
2011-07-05,9.66,9.70,9.34,9.53,96800,9.22
2011-06-27,9.25,9.88,9.07,9.69,134100,9.38
2011-06-20,9.17,9.62,9.08,9.22,99000,8.92
2011-06-13,8.78,9.28,8.59,9.24,81900,8.94
2011-06-06,9.16,9.20,8.76,8.91,89500,8.54
2011-05-31,9.35,9.55,8.96,9.19,100300,8.80
2011-05-23,9.22,9.34,9.00,9.23,82900,8.84
2011-05-16,9.44,9.64,9.31,9.35,59400,8.96
2011-05-09,9.65,9.99,9.48,9.50,56500,9.10
2011-05-02,10.41,10.41,9.66,9.70,51800,9.29
2011-04-25,10.31,10.60,10.06,10.35,87000,9.92
2011-04-18,10.22,10.48,10.11,10.29,83800,9.86
2011-04-11,10.23,10.46,9.88,10.42,120800,9.98
2011-04-04,10.28,10.65,10.13,10.19,130300,9.76
2011-03-28,9.78,10.24,9.69,10.24,121200,9.81
2011-03-21,9.86,9.95,9.52,9.77,98300,9.36
2011-03-14,9.41,9.88,9.35,9.74,129300,9.33
2011-03-07,10.09,10.16,9.33,9.53,120000,9.13
2011-02-28,10.05,10.40,9.87,10.07,229800,9.56
2011-02-22,10.03,10.12,9.68,10.03,70100,9.52
2011-02-14,10.60,10.60,10.00,10.16,46300,9.64
2011-02-07,10.19,10.60,10.06,10.60,76100,10.06
2011-01-31,9.89,10.29,9.66,10.20,55600,9.68
2011-01-24,10.04,10.26,9.62,9.83,83700,9.33
2011-01-18,10.29,10.39,9.72,10.00,61300,9.49
2011-01-10,10.07,10.36,9.98,10.33,70800,9.80
2011-01-03,10.61,10.85,9.85,10.15,120900,9.63
2010-12-27,10.42,10.69,10.34,10.47,54700,9.94
2010-12-20,9.79,10.48,9.74,10.41,134500,9.88
2010-12-13,9.74,10.00,9.53,9.76,149400,9.26
2010-12-06,9.64,9.85,9.44,9.74,74600,9.16
2010-11-29,9.25,9.82,9.25,9.63,138000,9.06
2010-11-22,9.18,9.61,8.91,9.32,81900,8.76
2010-11-15,9.67,9.80,9.09,9.26,98000,8.71
2010-11-08,10.31,10.43,9.50,9.59,134100,9.02
2010-11-01,9.46,10.32,9.12,10.29,104100,9.68
2010-10-25,9.36,9.47,9.04,9.39,63100,8.83
2010-10-18,9.41,9.75,9.07,9.26,60100,8.71
2010-10-11,9.35,9.50,9.00,9.40,61600,8.84
2010-10-04,8.70,9.45,8.53,9.36,98900,8.80
2010-09-27,9.05,9.05,8.45,8.74,115400,8.22
2010-09-20,8.83,9.25,8.53,9.03,90800,8.49
2010-09-13,8.94,9.19,8.55,8.81,79300,8.28
2010-09-07,8.99,9.04,8.70,8.89,67700,8.27
2010-08-30,8.83,9.05,8.45,9.05,99900,8.42
2010-08-23,8.63,8.89,8.20,8.85,115300,8.24
2010-08-16,8.44,8.97,8.21,8.56,147900,7.97
