Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.24,4.25,3.84,3.97,217500,3.97
2012-05-14,4.01,4.56,3.95,4.18,458700,4.18
2012-05-07,4.88,4.99,3.99,4.08,334900,4.08
2012-04-30,4.06,5.12,3.78,4.95,806900,4.95
2012-04-23,3.84,4.05,3.56,4.05,246600,4.05
2012-04-16,3.99,4.25,3.89,3.93,354900,3.93
2012-04-09,4.44,4.44,3.92,4.01,452500,4.01
2012-04-02,4.84,4.96,4.46,4.56,524500,4.56
2012-03-26,4.67,5.14,4.29,4.84,968800,4.84
2012-03-19,4.91,5.17,4.57,4.60,387800,4.60
2012-03-12,6.34,6.38,4.90,4.95,707300,4.95
2012-03-05,6.44,6.44,5.94,6.30,387300,6.30
2012-02-27,7.84,7.85,6.28,6.42,382000,6.42
2012-02-21,8.26,8.54,7.87,7.91,235800,7.91
2012-02-13,8.98,9.02,7.90,8.20,213200,8.20
2012-02-06,8.91,9.23,8.64,8.86,349000,8.86
2012-01-30,10.87,11.49,8.82,9.03,505700,9.03
2012-01-23,10.08,11.06,9.78,10.99,184200,10.99
2012-01-17,9.98,10.10,9.50,10.06,245400,10.06
2012-01-09,8.66,10.33,8.49,9.83,306600,9.83
2012-01-03,8.43,9.02,8.43,8.67,252500,8.67
2011-12-27,8.36,8.50,7.74,8.23,234900,8.23
2011-12-19,7.54,8.76,7.31,8.44,225600,8.44
2011-12-12,9.12,9.25,7.37,7.47,503600,7.47
2011-12-05,9.17,9.49,8.77,9.30,389600,9.30
2011-11-28,8.66,9.25,8.40,9.02,232800,9.02
2011-11-21,8.53,8.70,7.95,8.37,233700,8.37
2011-11-14,9.27,9.28,8.59,8.70,197000,8.70
2011-11-07,9.47,9.82,8.69,9.22,305500,9.22
2011-10-31,9.07,9.62,7.65,9.54,538900,9.54
2011-10-24,8.23,9.36,7.40,9.23,476900,9.23
2011-10-17,8.99,9.09,7.16,8.25,488500,8.25
2011-10-10,8.90,9.31,8.70,9.03,320700,9.03
2011-10-03,8.02,9.00,7.45,8.68,915500,8.68
2011-09-26,8.55,8.67,7.94,8.11,451100,8.11
2011-09-19,9.81,9.93,7.94,8.50,563100,8.50
2011-09-12,9.60,10.69,9.46,9.99,322000,9.99
2011-09-06,10.16,10.92,9.45,9.75,270500,9.75
2011-08-29,11.24,11.98,10.49,10.51,228000,10.51
2011-08-22,11.24,11.60,10.69,11.00,354200,11.00
2011-08-15,11.40,12.79,10.84,10.92,475000,10.92
2011-08-08,10.26,11.29,9.80,11.24,610400,11.24
2011-08-01,13.97,14.01,9.56,10.73,1283300,10.73
2011-07-25,14.33,14.40,13.46,13.76,385000,13.76
2011-07-18,13.73,14.59,13.25,14.55,264900,14.55
2011-07-11,14.15,14.40,13.30,13.74,305800,13.74
2011-07-05,14.81,15.03,14.02,14.31,384900,14.31
2011-06-27,14.22,15.05,13.86,14.90,640000,14.90
2011-06-20,15.57,16.79,13.53,14.33,896300,14.33
2011-06-13,14.89,16.51,14.79,15.54,579700,15.54
2011-06-06,14.85,15.03,14.43,14.86,386400,14.86
2011-05-31,15.85,16.50,14.54,14.89,455600,14.89
2011-05-23,15.60,15.68,15.02,15.44,218000,15.44
2011-05-16,15.76,16.33,15.38,15.81,256100,15.81
2011-05-09,16.44,16.72,15.62,15.85,313400,15.85
2011-05-02,16.52,17.32,15.16,16.49,666200,16.49
2011-04-25,16.56,17.24,15.93,16.47,304900,16.47
2011-04-18,16.21,16.68,16.00,16.61,375100,16.61
2011-04-11,17.24,17.47,15.69,16.47,537100,16.47
2011-04-04,18.08,18.27,17.17,17.27,287400,17.27
2011-03-28,17.57,19.21,16.93,18.04,595200,18.04
2011-03-21,17.50,17.82,16.62,17.51,499600,17.51
2011-03-14,15.80,19.14,15.56,17.35,1199400,17.35
2011-03-07,16.73,17.71,15.35,15.76,1235000,15.76
2011-02-28,18.56,18.86,16.45,16.56,887600,16.56
2011-02-22,18.95,19.29,17.10,18.40,844300,18.40
2011-02-14,19.36,19.97,18.31,19.02,591100,19.02
2011-02-07,19.82,20.07,18.58,19.22,558300,19.22
2011-01-31,18.25,20.08,17.92,19.60,672300,19.60
2011-01-24,18.31,18.95,18.04,18.20,498900,18.20
2011-01-18,19.42,19.95,18.17,18.34,414600,18.34
2011-01-10,19.22,19.75,18.10,19.43,650000,19.43
2011-01-03,20.25,20.39,18.75,19.29,580700,19.29
