Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.85,0.88,0.80,0.81,1014300,0.81
2012-05-14,1.57,1.57,0.78,0.85,1543000,0.85
2012-05-07,1.60,1.88,1.26,1.56,1661100,1.56
2012-04-30,2.41,2.42,1.42,1.62,2631500,1.62
2012-04-23,2.34,2.41,2.15,2.39,913000,2.39
2012-04-16,2.00,2.37,1.92,2.34,920800,2.34
2012-04-09,1.99,2.20,1.87,1.98,766100,1.98
2012-04-02,2.18,2.28,1.97,2.03,941600,2.03
2012-03-26,2.17,2.22,2.09,2.18,599100,2.18
2012-03-19,1.98,2.16,1.95,2.13,817900,2.13
2012-03-12,2.00,2.12,1.91,2.00,991000,2.00
2012-03-05,2.00,2.02,1.82,1.99,955900,1.99
2012-02-27,2.08,2.19,1.89,2.00,1163000,2.00
2012-02-21,2.11,2.20,2.05,2.12,1274600,2.12
2012-02-13,2.19,2.20,1.92,2.03,1084900,2.03
2012-02-06,2.26,2.38,2.14,2.17,1148400,2.17
2012-01-30,2.50,2.57,2.18,2.26,2236500,2.26
2012-01-23,2.41,2.62,2.27,2.52,937000,2.52
2012-01-17,2.50,2.65,2.39,2.42,1145600,2.42
2012-01-09,2.44,2.58,2.37,2.48,1300900,2.48
2012-01-03,2.29,2.55,2.23,2.44,1378100,2.44
2011-12-27,2.28,2.35,2.11,2.23,1692100,2.23
2011-12-19,2.07,2.46,2.06,2.29,1812800,2.29
2011-12-12,2.17,2.20,2.04,2.09,2750500,2.09
2011-12-05,2.29,2.46,2.08,2.13,1267800,2.13
2011-11-28,2.39,2.53,2.21,2.22,1830300,2.22
2011-11-21,2.35,2.57,2.28,2.29,1240200,2.29
2011-11-14,2.75,2.78,2.27,2.35,1338600,2.35
2011-11-07,3.48,3.52,2.67,2.73,1821900,2.73
2011-10-31,3.87,3.87,3.27,3.50,1452600,3.50
2011-10-24,3.58,3.98,3.55,3.93,1316100,3.93
2011-10-17,3.95,4.02,3.37,3.55,1417200,3.55
2011-10-10,3.69,4.04,3.57,3.98,1290500,3.98
2011-10-03,4.20,4.20,3.43,3.62,1813300,3.62
2011-09-26,4.40,4.75,4.10,4.10,1997100,4.10
2011-09-19,4.25,4.70,3.81,4.40,2765700,4.40
2011-09-12,3.60,4.34,3.53,4.12,2308500,4.12
2011-09-06,3.67,4.03,3.55,3.66,1917500,3.66
2011-08-29,4.09,4.45,3.79,3.83,1202400,3.83
2011-08-22,4.22,4.26,3.75,4.02,1248800,4.02
2011-08-15,4.32,4.61,3.92,4.09,1632500,4.09
