Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,35.11,36.23,34.80,35.56,269800,35.56
2012-05-14,35.11,35.53,34.50,34.98,221700,34.98
2012-05-07,35.36,35.95,35.01,35.54,177400,35.54
2012-04-30,37.74,37.93,35.55,35.55,186100,35.33
2012-04-23,37.74,37.99,36.02,37.77,271600,37.54
2012-04-16,36.69,39.25,36.31,38.35,212500,38.11
2012-04-09,36.11,37.24,35.90,36.45,229400,36.22
2012-04-02,38.00,38.40,36.91,37.04,220300,36.81
2012-03-26,36.64,38.36,36.57,38.00,250100,37.76
2012-03-19,37.15,37.60,35.71,36.36,179500,36.13
2012-03-12,36.73,37.26,36.31,37.16,247500,36.93
2012-03-05,36.11,37.18,35.43,36.80,246800,36.57
2012-02-27,37.42,38.15,35.98,36.26,221500,36.04
2012-02-21,38.46,38.75,37.19,37.72,205100,37.49
2012-02-13,38.13,38.70,37.36,38.50,212000,38.26
2012-02-06,40.68,41.00,37.55,37.68,265400,37.45
2012-01-30,39.39,41.08,39.13,40.92,235300,40.46
2012-01-23,39.96,40.36,39.13,39.74,184100,39.29
2012-01-17,38.90,40.29,38.59,39.97,154900,39.52
2012-01-09,38.34,39.10,37.60,38.55,214500,38.11
2012-01-03,38.79,39.11,37.66,38.31,233300,37.88
2011-12-27,38.35,39.10,37.76,37.90,159500,37.47
2011-12-19,37.41,38.69,36.01,38.44,250100,38.00
2011-12-12,36.52,37.48,34.96,37.25,405000,36.83
2011-12-05,37.77,38.13,35.74,37.04,282700,36.62
2011-11-28,34.77,38.06,34.46,37.21,239100,36.79
2011-11-21,34.81,35.14,33.61,33.62,213800,33.24
2011-11-14,36.98,37.15,34.96,35.48,226600,35.08
2011-11-07,36.91,37.54,35.60,37.08,221700,36.66
2011-10-31,37.55,37.89,35.15,37.31,291100,36.68
2011-10-24,36.79,38.81,34.91,38.02,394200,37.38
2011-10-17,35.53,37.74,34.01,36.80,294900,36.18
2011-10-10,33.96,35.90,33.94,35.86,239700,35.25
2011-10-03,32.27,34.42,31.26,33.43,325600,32.87
2011-09-26,33.37,35.54,32.51,32.55,276300,32.00
2011-09-19,34.91,35.88,32.80,33.06,321100,32.50
2011-09-12,32.75,35.62,32.60,35.62,258200,35.02
2011-09-06,33.09,34.97,32.97,33.20,262000,32.64
2011-08-29,34.80,36.90,34.14,34.23,301200,33.65
2011-08-22,32.76,34.51,31.83,34.37,321200,33.79
2011-08-15,34.40,34.73,31.73,31.91,306900,31.37
2011-08-08,33.21,34.39,30.15,34.07,427600,33.49
2011-08-01,37.67,37.75,32.54,33.67,285800,33.10
2011-07-25,39.10,39.58,36.67,37.12,207200,36.28
2011-07-18,37.90,39.69,37.15,39.45,151200,38.56
2011-07-11,38.36,38.85,37.47,37.95,152800,37.09
2011-07-05,37.92,38.86,37.65,38.76,147100,37.88
2011-06-27,36.41,37.99,36.17,37.90,218300,37.04
2011-06-20,35.42,37.11,35.42,36.35,205900,35.53
2011-06-13,35.15,36.12,34.94,35.55,215200,34.75
2011-06-06,35.73,35.90,34.74,35.04,178600,34.25
2011-05-31,37.67,38.44,35.68,35.70,351200,34.89
2011-05-23,36.72,37.72,36.16,37.42,172100,36.57
2011-05-16,37.36,37.81,36.83,37.30,181800,36.46
2011-05-09,36.64,38.23,36.51,37.60,202100,36.75
2011-05-02,38.00,38.00,36.03,36.70,175400,35.87
2011-04-25,36.84,38.15,36.48,37.89,197300,36.82
2011-04-18,36.24,37.24,35.59,36.94,243800,35.90
2011-04-11,36.56,36.92,36.00,36.82,242500,35.78
2011-04-04,36.57,37.55,36.32,36.48,162500,35.45
2011-03-28,35.85,36.74,35.43,36.43,169600,35.40
2011-03-21,34.29,36.11,34.22,35.77,207200,34.76
2011-03-14,32.45,34.13,32.11,34.04,405100,33.08
2011-03-07,33.07,33.43,32.12,32.73,336900,31.81
2011-02-28,33.58,33.89,32.80,32.98,317000,32.05
2011-02-22,33.50,33.75,32.79,33.50,351000,32.56
2011-02-14,33.55,33.85,33.25,33.77,160500,32.82
2011-02-07,33.16,33.63,32.18,33.50,433800,32.56
2011-01-31,34.21,34.61,33.65,33.79,415400,32.63
2011-01-24,35.34,35.62,34.07,34.11,387700,32.94
2011-01-18,35.85,36.44,35.23,35.29,289000,34.08
2011-01-10,35.27,36.11,34.00,36.01,373000,34.78
2011-01-03,37.00,37.68,35.40,35.51,321700,34.29
2010-12-27,37.09,37.61,36.71,36.73,117400,35.47
2010-12-20,36.55,37.54,36.55,37.20,179600,35.93
2010-12-13,36.14,36.62,35.83,36.48,344600,35.23
2010-12-06,35.30,36.13,35.15,36.03,269900,34.80
2010-11-29,33.99,35.54,33.39,35.49,245900,34.27
2010-11-22,33.39,34.46,33.22,34.21,262400,33.04
2010-11-15,33.50,34.09,32.75,33.56,385500,32.41
2010-11-08,34.04,34.21,33.25,33.39,202100,32.25
2010-11-01,32.55,34.41,32.21,34.18,275800,33.01
2010-10-25,32.39,32.79,31.07,32.31,187600,31.02
2010-10-18,31.41,32.66,31.11,32.12,179100,30.84
2010-10-11,31.39,32.06,30.76,31.35,177600,30.10
2010-10-04,30.94,31.57,30.29,31.45,193600,30.20
2010-09-27,30.57,31.08,29.66,30.99,224500,29.75
2010-09-20,29.69,30.62,29.36,30.49,204600,29.27
2010-09-13,29.01,29.88,28.95,29.66,179700,28.48
2010-09-07,28.76,29.02,28.43,28.68,141700,27.54
2010-08-30,27.71,28.89,26.82,28.77,225200,27.62
2010-08-23,27.61,28.00,26.45,27.69,216600,26.59
2010-08-16,27.28,28.67,27.10,27.50,207500,26.40
2010-08-09,29.13,29.44,27.40,27.52,186900,26.42
2010-08-02,29.98,30.22,28.44,28.98,159700,27.82
2010-07-26,29.68,30.50,29.03,29.46,273000,28.10
2010-07-19,26.38,29.73,26.00,29.65,219100,28.28
2010-07-12,26.93,27.58,26.30,26.35,170900,25.13
2010-07-06,26.25,27.13,25.69,27.05,193200,25.80
2010-06-28,27.33,27.70,25.72,25.92,287400,24.72
2010-06-21,28.63,28.65,26.73,27.36,194400,26.09
2010-06-14,27.60,28.33,27.40,28.30,180200,26.99
2010-06-07,26.83,27.46,26.24,27.43,269800,26.16
2010-06-01,27.45,28.24,26.78,26.84,385600,25.60
2010-05-24,26.95,28.10,26.27,27.69,506400,26.41
2010-05-17,29.01,29.40,26.75,27.07,528600,25.82
2010-05-10,29.65,29.65,28.57,28.96,454000,27.62
2010-05-03,31.76,32.40,28.13,28.39,512900,27.07
2010-04-26,32.17,32.40,31.39,31.53,228000,29.88
2010-04-19,30.58,32.14,30.49,32.13,370700,30.45
2010-04-12,29.72,30.92,29.52,30.63,223400,29.03
2010-04-05,29.44,30.00,29.29,29.73,151600,28.18
2010-03-29,29.12,29.60,29.02,29.31,184100,27.78
2010-03-22,28.72,29.51,28.72,28.95,203300,27.44
2010-03-15,29.23,29.72,28.69,28.95,182200,27.44
2010-03-08,28.95,29.29,28.72,29.21,160500,27.68
2010-03-01,26.64,28.99,26.64,28.88,284300,27.37
2010-02-22,26.74,27.11,26.25,26.42,175400,25.04
2010-02-16,25.75,26.62,25.54,26.54,282500,25.15
2010-02-08,25.57,25.62,24.76,25.58,224500,24.24
2010-02-01,26.06,26.60,24.89,25.59,236900,24.25
2010-01-25,27.43,27.43,25.95,25.95,255700,24.41
2010-01-19,27.03,27.74,26.86,27.20,304400,25.59
2010-01-11,27.75,27.75,26.77,26.94,189900,25.35
2010-01-04,26.48,27.98,26.48,27.50,253700,25.87
2009-12-28,26.75,26.97,26.23,26.30,168900,24.74
2009-12-21,26.17,26.74,25.86,26.60,157000,25.03
2009-12-14,25.83,26.40,25.39,25.96,325200,24.42
2009-12-07,25.69,26.03,25.16,25.60,181600,24.09
2009-11-30,25.29,26.04,24.62,25.69,275400,24.17
2009-11-23,25.95,26.53,25.14,25.29,145800,23.79
2009-11-16,25.83,26.50,25.39,25.72,224000,24.20
2009-11-09,25.61,26.34,25.20,25.74,209600,24.22
2009-11-02,25.45,25.81,25.00,25.49,333600,23.98
2009-10-26,26.40,26.80,25.10,25.29,335400,23.61
2009-10-19,26.39,27.43,25.56,26.42,566400,24.67
2009-10-12,27.88,29.07,25.50,26.32,511000,24.58
2009-10-05,26.83,27.93,26.73,27.73,213300,25.89
2009-09-28,27.52,28.24,26.59,26.76,235900,24.99
2009-09-21,28.01,28.30,26.94,27.35,197000,25.54
2009-09-14,27.23,28.62,27.08,28.19,220800,26.32
2009-09-08,26.95,27.40,26.52,27.36,186700,25.55
2009-08-31,26.26,26.70,25.72,26.63,337500,24.86
2009-08-24,26.99,27.56,26.12,26.24,354200,24.50
2009-08-17,25.23,27.12,24.69,27.06,392400,25.27
