Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,50.48,51.96,50.35,51.72,1879000,51.72
2012-05-14,52.65,53.02,50.10,50.26,1418000,50.26
2012-05-07,53.65,54.46,52.93,53.18,1170300,53.18
2012-04-30,54.72,55.13,53.48,53.87,1516700,53.87
2012-04-23,53.28,54.76,52.40,54.56,1915700,54.56
2012-04-16,54.13,57.15,53.87,53.93,2511100,53.93
2012-04-09,54.25,55.18,53.11,53.96,1467500,53.96
2012-04-02,55.67,55.87,54.32,55.03,1881200,55.03
2012-03-26,54.76,55.75,54.46,55.48,1601400,55.48
2012-03-19,54.60,55.28,54.07,54.44,1098100,54.23
2012-03-12,52.84,55.25,52.36,54.90,1550100,54.69
2012-03-05,53.15,53.66,51.74,52.90,1456800,52.70
2012-02-27,54.25,55.07,52.80,53.21,2008800,53.01
2012-02-21,53.77,54.81,53.22,54.78,1307900,54.57
2012-02-13,53.79,54.25,53.23,53.60,1349100,53.39
2012-02-06,55.48,55.90,52.91,53.54,2333700,53.33
2012-01-30,54.40,55.81,54.07,55.61,2427600,55.40
2012-01-23,53.08,55.87,52.15,54.90,2521800,54.69
2012-01-17,52.30,53.37,51.32,53.14,2318000,52.94
2012-01-09,51.72,53.10,51.49,51.73,2531900,51.53
2012-01-03,50.65,52.06,50.38,51.50,2741400,51.30
2011-12-27,49.74,50.25,48.94,49.71,1171300,49.52
2011-12-19,46.39,50.06,45.61,50.01,2108700,49.61
2011-12-12,47.49,47.55,45.96,46.21,2292600,45.84
2011-12-05,48.68,49.31,47.01,47.85,2164100,47.46
2011-11-28,46.47,50.00,46.38,47.62,2745300,47.23
2011-11-21,47.00,47.40,45.45,45.52,1739300,45.15
2011-11-14,49.25,49.79,47.50,47.81,1764300,47.42
2011-11-07,48.40,49.91,47.39,49.48,1656100,49.08
2011-10-31,49.38,49.41,46.16,48.56,2271300,48.17
2011-10-24,49.25,50.54,47.41,49.92,2195600,49.52
2011-10-17,49.73,50.04,47.45,49.17,2429100,48.77
2011-10-10,48.51,51.15,48.41,50.02,2097500,49.62
2011-10-03,46.74,48.39,44.55,47.88,2381000,47.49
2011-09-26,46.60,50.13,45.90,47.13,2731700,46.75
2011-09-19,48.60,49.75,45.56,46.16,2349100,45.62
2011-09-12,46.31,50.16,45.73,49.34,2543400,48.76
2011-09-06,46.05,49.82,45.62,46.88,3603300,46.33
2011-08-29,47.40,49.64,46.80,47.27,2347200,46.72
2011-08-22,44.94,47.40,43.73,46.17,2639700,45.63
2011-08-15,49.02,49.56,43.73,43.80,3540500,43.29
2011-08-08,48.94,49.73,45.83,48.54,4028100,47.97
2011-08-01,54.67,54.67,48.46,50.04,3635500,49.45
2011-07-25,56.38,56.57,53.36,54.34,2319200,53.70
2011-07-18,58.18,59.36,56.50,56.88,3319900,56.21
2011-07-11,59.49,60.08,58.04,58.43,1324700,57.74
2011-07-05,60.03,60.64,59.37,60.14,1226900,59.43
2011-06-27,57.52,60.35,57.10,60.28,1421900,59.57
2011-06-20,57.67,58.68,56.57,57.38,1598000,56.53
2011-06-13,58.54,59.27,57.58,57.71,1477200,56.86
2011-06-06,60.22,60.26,58.09,58.17,2226000,57.31
2011-05-31,62.44,62.45,60.07,60.20,1990300,59.31
2011-05-23,62.86,63.21,61.62,62.16,1943800,61.24
2011-05-16,62.75,64.61,62.75,63.42,2866300,62.48
2011-05-09,59.62,63.65,59.43,63.28,2900400,62.34
2011-05-02,59.10,60.46,58.79,59.69,2388700,58.81
2011-04-25,58.39,59.35,57.86,59.00,2358000,58.13
2011-04-18,60.00,61.48,58.19,58.51,3268800,57.64
2011-04-11,59.81,61.03,59.19,60.70,1896800,59.80
2011-04-04,61.09,61.58,59.40,59.71,1837100,58.83
2011-03-28,61.35,61.47,60.22,60.90,1507100,60.00
2011-03-21,62.17,62.28,60.46,61.12,1585000,60.04
2011-03-14,63.02,63.13,60.01,61.52,2392700,60.43
2011-03-07,63.98,65.21,62.58,63.02,2305200,61.90
2011-02-28,62.80,64.57,62.20,63.67,2043500,62.54
2011-02-22,62.32,63.07,61.13,63.06,2286100,61.94
2011-02-14,60.36,63.06,59.95,63.00,1642700,61.88
2011-02-07,58.60,60.38,58.60,60.22,1753100,59.15
2011-01-31,57.42,58.64,56.82,58.51,1350800,57.47
2011-01-24,57.64,58.89,57.00,57.20,2426200,56.19
2011-01-18,57.67,58.86,57.03,57.65,2465200,56.63
2011-01-10,54.11,58.69,54.06,57.82,2784800,56.80
2011-01-03,53.93,54.88,53.50,54.32,2013300,53.36
2010-12-27,53.55,54.39,53.51,53.70,850500,52.75
2010-12-20,54.69,55.00,53.62,53.70,1322800,52.57
