Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.15,5.40,5.09,5.27,602700,5.27
2012-05-14,5.13,5.32,4.95,5.13,510800,5.13
2012-05-07,4.74,5.34,4.67,5.20,629700,5.20
2012-04-30,4.60,4.96,4.52,4.76,910400,4.76
2012-04-23,4.02,4.58,4.00,4.45,502200,4.45
2012-04-16,4.09,4.27,4.04,4.08,199400,4.08
2012-04-09,4.03,4.22,3.96,4.09,428200,4.09
2012-04-02,4.35,4.43,4.04,4.09,315400,4.09
2012-03-26,4.38,4.65,4.28,4.34,507900,4.34
2012-03-19,4.04,4.59,3.98,4.34,852700,4.34
2012-03-12,4.04,4.14,4.00,4.05,296200,4.05
2012-03-05,4.07,4.12,3.98,4.05,327000,4.05
2012-02-27,4.15,4.35,3.99,4.05,740200,4.05
2012-02-21,4.54,4.60,4.05,4.17,641200,4.17
2012-02-13,4.84,4.87,4.22,4.49,494400,4.49
2012-02-06,4.94,4.97,4.76,4.80,165300,4.80
2012-01-30,4.67,5.05,4.64,4.98,357200,4.98
2012-01-23,4.92,4.98,4.60,4.70,415700,4.70
2012-01-17,5.13,5.32,4.89,4.92,388600,4.92
2012-01-09,5.14,5.27,5.08,5.16,259600,5.16
2012-01-03,5.24,5.34,4.95,5.12,409600,5.12
2011-12-27,5.37,5.48,5.11,5.12,475400,5.12
2011-12-19,5.70,5.95,5.38,5.39,444700,5.39
2011-12-12,6.24,6.28,5.61,5.66,693800,5.66
2011-12-05,6.23,6.49,6.08,6.33,489600,6.33
2011-11-28,5.76,6.27,5.60,6.11,573900,6.11
2011-11-21,5.74,6.11,5.54,5.57,502900,5.57
2011-11-14,5.57,5.89,5.56,5.85,485500,5.85
2011-11-07,5.38,5.65,5.30,5.55,391000,5.55
2011-10-31,4.85,5.50,4.84,5.44,626100,5.44
2011-10-24,4.79,5.02,4.76,4.84,496400,4.84
2011-10-17,4.66,4.81,4.47,4.79,278600,4.79
2011-10-10,4.52,4.75,4.44,4.62,428000,4.62
2011-10-03,4.27,4.53,4.04,4.43,478200,4.43
2011-09-26,4.35,4.56,4.27,4.31,439000,4.31
2011-09-19,4.45,4.58,4.15,4.28,393700,4.28
2011-09-12,4.16,4.59,4.16,4.53,328000,4.53
2011-09-06,4.13,4.47,4.13,4.24,362100,4.24
2011-08-29,4.34,4.60,4.20,4.21,452900,4.21
2011-08-22,3.86,4.34,3.76,4.26,431200,4.26
2011-08-15,3.93,4.14,3.73,3.78,466000,3.78
2011-08-08,3.85,4.02,3.55,3.89,648100,3.89
2011-08-01,4.16,4.34,3.98,4.00,474500,4.00
2011-07-25,4.15,4.28,4.06,4.11,318100,4.11
2011-07-18,4.26,4.32,4.14,4.21,203400,4.21
2011-07-11,4.46,4.49,4.25,4.29,181800,4.29
2011-07-05,4.55,4.58,4.41,4.50,178500,4.50
2011-06-27,4.31,4.58,4.24,4.57,231900,4.57
2011-06-20,4.20,4.38,4.15,4.26,447400,4.26
2011-06-13,4.30,4.49,4.15,4.24,436500,4.24
2011-06-06,4.43,4.52,4.26,4.30,402000,4.30
2011-05-31,4.59,4.64,4.40,4.43,524600,4.43
2011-05-23,4.40,4.72,4.35,4.65,416300,4.65
2011-05-16,4.50,4.59,4.36,4.48,360900,4.48
2011-05-09,4.37,4.68,4.35,4.53,437400,4.53
2011-05-02,4.47,4.47,4.27,4.39,380700,4.39
2011-04-25,4.18,4.50,4.14,4.46,774600,4.46
2011-04-18,3.85,4.24,3.84,3.96,649000,3.96
2011-04-11,3.88,3.97,3.79,3.90,295100,3.90
2011-04-04,4.03,4.20,3.86,3.89,331400,3.89
2011-03-28,4.13,4.20,3.69,4.03,467500,4.03
2011-03-21,3.82,4.17,3.72,4.10,586000,4.10
2011-03-14,4.10,4.14,3.72,3.78,674300,3.78
2011-03-07,4.05,4.20,3.98,4.16,417000,4.16
2011-02-28,3.72,4.10,3.68,4.06,523600,4.06
2011-02-22,4.22,4.35,3.74,3.84,801300,3.84
2011-02-14,4.03,4.34,4.00,4.29,475300,4.29
2011-02-07,4.11,4.17,3.99,4.01,329300,4.01
2011-01-31,4.25,4.35,4.07,4.12,430400,4.12
2011-01-24,4.60,4.70,4.14,4.20,883400,4.20
2011-01-18,4.77,4.94,4.60,4.61,468900,4.61
2011-01-10,4.74,4.91,4.68,4.81,488700,4.81
2011-01-03,4.75,5.09,4.69,4.79,674200,4.79
2010-12-27,4.71,4.95,4.65,4.70,367700,4.70
2010-12-20,4.91,5.10,4.69,4.74,659800,4.74
