Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.02,16.14,15.15,15.34,30200,15.34
2012-05-14,15.59,16.32,15.59,15.89,42400,15.89
2012-05-07,15.61,16.17,15.47,15.82,21300,15.82
2012-04-30,16.62,17.17,15.36,15.72,37300,15.72
2012-04-23,15.87,16.95,15.81,16.80,43100,16.80
2012-04-16,16.06,16.81,15.87,16.18,29100,16.18
2012-04-09,16.38,16.55,15.72,15.99,22500,15.99
2012-04-02,17.31,17.75,16.60,16.82,23400,16.82
2012-03-26,17.42,17.74,16.76,17.42,42400,17.42
2012-03-19,17.14,17.80,16.15,17.11,23900,17.11
2012-03-12,16.18,17.24,15.91,17.11,30000,17.11
2012-03-05,15.55,16.19,15.11,16.12,19500,16.03
2012-02-27,16.50,16.71,15.50,15.64,24400,15.56
2012-02-21,16.90,16.98,16.03,16.71,28500,16.62
2012-02-13,16.58,16.97,16.32,16.92,26000,16.83
2012-02-06,16.04,16.79,15.99,16.29,22300,16.20
2012-01-30,14.88,16.20,14.63,16.18,48600,16.09
2012-01-23,14.94,15.50,14.60,14.94,19700,14.86
2012-01-17,14.89,14.98,14.31,14.96,19200,14.88
2012-01-09,14.44,14.84,14.36,14.75,46300,14.67
2012-01-03,14.58,14.85,14.22,14.34,28200,14.26
2011-12-27,14.49,14.75,14.16,14.22,17700,14.14
2011-12-19,14.59,14.80,14.00,14.51,20900,14.43
2011-12-12,14.41,14.80,13.80,14.46,32200,14.38
2011-12-05,14.92,15.24,14.27,14.73,43600,14.56
2011-11-28,13.07,15.16,12.67,14.63,41800,14.46
2011-11-21,14.32,14.53,12.59,12.59,20700,12.45
2011-11-14,14.73,15.15,14.07,14.57,22700,14.40
2011-11-07,14.68,15.27,13.99,14.61,32900,14.44
2011-10-31,14.98,15.43,13.54,14.68,47600,14.51
2011-10-24,13.75,15.66,13.40,15.15,43600,14.98
2011-10-17,14.01,14.25,13.31,13.74,31200,13.58
2011-10-10,12.94,14.28,12.63,14.23,31200,14.07
2011-10-03,12.25,13.95,11.50,12.67,44100,12.52
2011-09-26,12.00,12.99,11.79,12.27,36100,12.13
2011-09-19,12.67,12.81,11.65,11.85,32500,11.71
2011-09-12,11.90,12.90,11.75,12.90,26100,12.75
2011-09-06,12.00,13.04,11.80,12.00,49000,11.86
2011-08-29,13.02,14.25,12.14,12.21,36300,11.98
2011-08-22,12.25,13.77,12.16,12.88,32300,12.64
2011-08-15,12.85,14.07,11.77,12.02,46400,11.79
2011-08-08,13.75,14.60,11.75,11.75,49000,11.53
2011-08-01,15.00,15.32,13.91,14.19,25900,13.92
2011-07-25,15.25,15.50,14.44,14.82,22500,14.54
2011-07-18,14.80,15.50,14.34,15.50,18000,15.21
2011-07-11,15.03,15.53,14.71,14.81,22400,14.53
2011-07-05,14.66,15.48,14.27,15.22,21700,14.93
2011-06-27,14.15,14.89,14.15,14.70,21200,14.42
2011-06-20,14.32,14.92,13.89,14.34,22900,14.07
2011-06-13,13.32,14.55,13.19,14.38,33100,14.11
2011-06-06,13.35,13.49,13.01,13.31,17800,12.97
2011-05-31,14.70,14.89,13.41,13.41,26100,13.07
2011-05-23,14.40,14.70,14.15,14.55,19800,14.18
2011-05-16,14.55,14.72,14.40,14.54,17600,14.17
2011-05-09,15.00,15.33,14.42,14.68,18700,14.31
2011-05-02,16.35,16.38,14.72,15.04,22400,14.66
2011-04-25,15.34,16.38,15.14,16.31,23200,15.89
2011-04-18,15.35,15.67,15.31,15.42,23100,15.03
2011-04-11,15.70,15.82,14.85,15.44,16600,15.05
2011-04-04,16.64,16.67,15.64,15.66,15900,15.26
2011-03-28,16.25,16.72,15.90,16.58,22400,16.16
2011-03-21,14.90,16.50,14.75,16.17,18700,15.76
2011-03-14,15.20,15.44,14.62,14.73,32900,14.35
2011-03-07,15.77,15.88,15.17,15.36,24000,14.88
2011-02-28,16.20,16.27,15.35,15.73,19000,15.24
2011-02-22,16.52,16.70,15.70,16.16,20200,15.65
2011-02-14,16.50,16.77,16.40,16.76,26900,16.23
2011-02-07,15.44,16.55,15.38,16.49,19700,15.97
2011-01-31,15.17,15.66,15.03,15.37,16900,14.89
2011-01-24,14.55,15.79,14.35,15.04,34200,14.57
2011-01-18,15.60,15.89,14.52,14.53,29700,14.07
2011-01-10,15.46,15.86,15.22,15.80,30900,15.30
2011-01-03,16.31,16.88,15.50,15.55,37600,15.06
2010-12-27,15.97,16.51,15.22,16.15,21600,15.64
2010-12-20,15.20,16.24,14.88,16.04,21700,15.54
2010-12-13,15.13,15.50,14.88,15.09,37600,14.62
2010-12-06,14.71,15.23,14.50,15.13,26000,14.57
2010-11-29,14.75,14.89,14.25,14.78,23100,14.23
2010-11-22,14.66,15.00,14.25,14.79,20000,14.24
2010-11-15,14.72,15.25,14.24,14.74,19600,14.19
2010-11-08,15.13,15.75,14.77,14.86,23200,14.31
2010-11-01,15.43,15.56,13.98,15.20,54900,14.64
2010-10-25,16.11,16.21,15.30,15.59,20300,15.01
2010-10-18,16.07,16.61,15.70,15.94,23000,15.35
2010-10-11,15.75,16.35,15.72,16.08,25600,15.48
2010-10-04,15.12,16.29,15.01,16.13,26700,15.53
2010-09-27,14.72,15.54,14.46,15.21,21100,14.65
2010-09-20,13.99,14.76,13.93,14.71,23400,14.16
2010-09-13,14.09,14.69,13.72,14.00,30400,13.48
2010-09-07,14.82,14.82,13.81,13.96,19200,13.44
2010-08-30,13.89,14.88,13.36,14.85,50200,14.21
2010-08-23,14.37,14.37,13.38,14.00,32800,13.40
2010-08-16,14.57,15.19,14.00,14.24,57100,13.63
2010-08-09,17.38,17.51,14.60,14.68,37400,14.05
2010-08-02,19.13,19.13,16.75,17.22,31800,16.48
2010-07-26,18.95,19.37,18.19,18.87,31000,18.06
2010-07-19,17.05,19.00,16.99,18.90,24500,18.09
2010-07-12,17.83,18.68,16.97,17.04,28700,16.31
2010-07-06,16.60,17.90,16.28,17.84,32200,17.07
2010-06-28,18.14,18.14,16.23,16.34,62100,15.64
2010-06-21,19.51,19.55,17.71,17.89,44900,17.12
2010-06-14,18.37,19.45,18.12,19.24,24000,18.41
2010-06-07,18.01,18.20,17.55,18.18,40500,17.40
2010-06-01,18.18,19.26,17.55,17.96,38700,17.10
2010-05-24,17.78,18.40,17.32,18.29,39600,17.42
2010-05-17,19.55,20.31,17.42,17.85,63500,17.00
2010-05-10,18.99,20.41,18.20,19.45,35900,18.52
2010-05-03,19.18,19.60,17.85,18.10,71300,17.23
2010-04-26,22.81,23.05,18.39,19.04,84300,18.13
2010-04-19,21.42,22.90,21.01,22.90,19300,21.81
2010-04-12,20.67,21.66,20.44,21.48,21300,20.45
2010-04-05,20.01,20.90,20.01,20.71,23000,19.72
2010-03-29,19.97,20.60,19.30,19.98,30700,19.02
2010-03-22,19.73,20.75,19.70,20.00,29500,19.04
2010-03-15,18.81,20.00,18.53,19.92,44100,18.97
2010-03-08,19.44,19.46,18.67,18.78,26300,17.76
2010-03-01,18.42,19.53,18.38,19.53,24200,18.47
2010-02-22,18.74,18.84,17.70,18.28,29500,17.29
2010-02-16,17.30,18.74,17.30,18.68,40000,17.66
2010-02-08,17.11,17.39,16.73,17.33,39300,16.39
2010-02-01,17.34,17.43,16.77,17.09,65800,16.16
2010-01-25,17.66,17.83,17.10,17.26,43700,16.32
2010-01-19,17.34,17.70,17.26,17.51,27100,16.56
2010-01-11,17.55,18.16,17.20,17.34,28900,16.40
2010-01-04,16.86,17.48,16.54,17.48,42100,16.53
2009-12-28,16.64,16.90,16.12,16.65,39300,15.74
2009-12-21,16.80,16.98,15.84,16.52,30500,15.62
2009-12-14,17.40,17.48,16.04,16.76,63600,15.85
2009-12-07,17.33,17.55,16.81,17.12,34700,16.07
2009-11-30,16.90,17.58,16.49,17.33,51800,16.26
2009-11-23,16.46,17.43,16.46,16.99,43500,15.94
2009-11-16,15.09,16.40,15.08,16.25,36500,15.25
2009-11-09,14.95,16.25,14.75,14.90,42000,13.98
2009-11-02,14.69,15.46,14.26,14.84,40300,13.93
2009-10-26,15.82,15.90,14.49,14.62,49800,13.72
2009-10-19,15.70,16.27,15.61,15.71,31400,14.74
