Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,72.94,74.43,71.76,73.85,478000,73.85
2012-05-14,77.12,77.85,72.65,72.81,452200,72.81
2012-05-07,77.30,78.30,76.50,77.78,582300,77.78
2012-04-30,77.59,79.66,76.92,77.81,495600,77.81
2012-04-23,74.88,80.69,74.50,77.45,448700,77.45
2012-04-16,73.86,76.60,73.57,75.73,287000,75.73
2012-04-09,72.49,74.13,70.53,73.19,432600,73.19
2012-04-02,72.55,73.87,72.43,73.18,428100,73.18
2012-03-26,72.45,73.41,71.51,72.95,414500,72.95
2012-03-19,72.35,72.69,70.72,71.80,425400,71.80
2012-03-12,69.61,72.37,69.33,72.22,592100,72.22
2012-03-05,69.21,70.81,68.85,69.44,627700,68.98
2012-02-27,68.40,69.86,68.13,69.59,411700,69.13
2012-02-21,69.29,69.29,67.40,68.92,518900,68.46
2012-02-13,69.24,70.03,67.93,69.14,553800,68.68
2012-02-06,68.52,70.00,67.97,68.53,633200,68.07
2012-01-30,66.32,69.68,66.00,68.69,698000,68.23
2012-01-23,65.27,67.03,64.83,66.78,483300,66.34
2012-01-17,63.08,65.38,62.82,65.27,761800,64.84
2012-01-09,62.09,63.61,61.96,62.68,623400,62.26
2012-01-03,63.67,63.81,61.71,62.03,555000,61.62
2011-12-27,62.51,62.88,61.90,62.10,612200,61.69
2011-12-19,61.72,63.03,60.81,62.71,574200,62.29
2011-12-12,61.31,61.91,60.17,61.60,611100,61.19
2011-12-05,61.88,62.48,60.72,62.06,461000,61.19
2011-11-28,60.31,62.57,59.14,61.60,668200,60.74
2011-11-21,60.37,60.49,57.82,58.37,562100,57.55
2011-11-14,61.90,63.13,60.37,61.49,801500,60.63
2011-11-07,62.12,63.10,59.61,62.50,684900,61.63
2011-10-31,61.02,62.75,58.87,62.39,721300,61.52
2011-10-24,55.55,61.89,55.53,61.85,965000,60.99
2011-10-17,52.93,56.29,52.31,56.14,787800,55.36
2011-10-10,52.73,54.67,51.20,53.20,703100,52.46
2011-10-03,50.23,54.45,46.74,51.55,944100,50.83
2011-09-26,52.64,54.01,50.21,50.31,1018500,49.61
2011-09-19,56.88,57.75,50.81,52.19,957500,51.46
2011-09-12,55.14,58.14,55.05,58.04,828400,57.23
2011-09-06,53.90,58.03,53.90,56.07,545500,54.86
2011-08-29,56.90,58.15,55.44,55.58,580100,54.38
2011-08-22,54.82,57.13,52.62,56.06,673100,54.85
2011-08-15,55.41,58.63,53.32,53.40,821500,52.25
2011-08-08,49.21,56.84,48.56,55.07,1410800,53.88
2011-08-01,60.29,61.24,51.43,52.22,885700,51.09
2011-07-25,61.26,61.58,58.34,59.90,464400,58.60
2011-07-18,61.68,62.62,60.64,61.94,619800,60.60
2011-07-11,61.91,62.45,59.93,61.76,503100,60.42
2011-07-05,60.63,62.63,60.30,62.53,388300,61.18
2011-06-27,57.48,60.80,57.28,60.70,376100,59.39
2011-06-20,57.58,59.46,56.82,57.49,397800,56.25
2011-06-13,56.52,57.89,55.71,57.79,675000,56.54
2011-06-06,58.56,59.17,56.25,56.38,416800,54.73
2011-05-31,59.70,60.88,57.65,58.78,584100,57.06
2011-05-23,57.06,59.06,56.96,58.95,384400,57.23
2011-05-16,58.26,59.16,57.71,57.98,362300,56.29
2011-05-09,57.22,59.37,57.08,58.46,481200,56.75
2011-05-02,58.25,58.80,56.06,57.28,437700,55.61
2011-04-25,56.70,58.68,56.48,58.15,386500,56.45
2011-04-18,54.41,57.07,53.90,56.75,473400,55.09
2011-04-11,53.12,55.14,52.79,55.10,394600,53.49
2011-04-04,53.53,53.97,52.59,53.07,246300,51.52
2011-03-28,52.21,53.97,51.29,53.53,365100,51.97
2011-03-21,52.38,52.69,50.85,52.18,242900,50.65
2011-03-14,52.04,52.33,49.83,51.89,538500,50.37
2011-03-07,53.59,54.10,51.83,52.39,538500,50.86
2011-02-28,53.90,55.90,52.93,53.40,643000,51.41
2011-02-22,53.41,54.10,52.01,53.67,662200,51.67
2011-02-14,53.97,54.49,52.94,53.89,395000,51.88
2011-02-07,52.76,54.55,52.55,53.82,624900,51.81
2011-01-31,51.55,53.23,51.42,52.61,830900,50.65
2011-01-24,50.82,52.67,50.54,51.24,887800,49.33
2011-01-18,51.00,51.72,50.45,50.85,706500,48.95
2011-01-10,50.91,51.24,50.21,51.00,3193900,49.10
2011-01-03,50.73,51.88,49.79,51.12,1051400,49.21
2010-12-27,49.08,51.01,48.95,50.48,499400,48.60
2010-12-20,46.93,49.95,46.90,49.11,727800,47.28
2010-12-13,48.53,48.56,45.48,46.63,1066600,44.89
2010-12-06,49.56,50.29,47.89,48.27,688200,45.86
2010-11-29,48.29,49.82,48.17,49.71,836600,47.23
2010-11-22,46.81,48.76,46.26,48.63,600200,46.20
2010-11-15,47.61,47.76,43.90,47.08,1207800,44.73
2010-11-08,50.02,50.59,47.46,47.51,798800,45.14
2010-11-01,46.59,50.61,46.55,50.16,688100,47.66
2010-10-25,48.46,48.96,46.17,46.42,562600,44.10
2010-10-18,47.50,49.13,47.28,48.20,666400,45.80
2010-10-11,47.29,48.96,46.96,47.57,431400,45.20
2010-10-04,44.45,47.45,44.20,47.31,578900,44.95
2010-09-27,45.45,45.63,44.02,44.41,569900,42.19
2010-09-20,46.09,46.85,44.43,45.45,750000,43.18
2010-09-13,44.51,46.00,44.28,45.91,620200,43.62
2010-09-07,45.38,45.64,44.39,44.46,452600,41.85
2010-08-30,42.00,45.95,41.06,45.65,682400,42.97
2010-08-23,41.19,42.33,39.38,42.30,560300,39.81
2010-08-16,41.37,43.15,40.65,40.95,474200,38.54
2010-08-09,43.96,43.97,40.79,41.62,649100,39.17
2010-08-02,42.02,43.83,41.72,43.62,897500,41.06
2010-07-26,40.18,42.31,39.76,40.99,841900,38.58
2010-07-19,38.26,40.13,37.37,40.12,975400,37.76
2010-07-12,38.73,40.26,37.94,38.17,695700,35.93
2010-07-06,37.50,39.08,35.60,39.00,912100,36.71
2010-06-28,41.24,41.24,36.37,36.61,988400,34.46
2010-06-21,43.95,44.08,39.10,41.17,835000,38.75
2010-06-14,41.36,43.75,41.25,43.13,881400,40.60
2010-06-07,38.74,41.17,37.01,41.10,611100,38.69
2010-06-01,40.00,41.64,38.14,38.35,747000,35.73
2010-05-24,39.80,41.07,37.42,40.49,788200,37.72
2010-05-17,41.89,42.55,37.32,39.87,1032500,37.14
2010-05-10,41.90,44.32,41.18,41.66,735400,38.81
2010-05-03,43.47,45.03,37.61,39.77,868800,37.05
