Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,26.77,27.34,26.77,27.13,22000,27.13
2012-05-14,26.84,27.21,26.79,26.89,16900,26.89
2012-05-07,27.00,27.35,26.79,26.90,17200,26.90
2012-04-30,27.01,27.38,26.95,27.07,21000,27.07
2012-04-23,26.85,27.17,26.24,27.05,18200,27.05
2012-04-16,27.16,27.28,26.52,26.78,20200,26.78
2012-04-09,26.60,27.19,26.52,27.00,21900,27.00
2012-04-02,26.37,26.73,26.10,26.48,28600,26.48
2012-03-26,26.20,26.47,26.05,26.21,24000,26.21
2012-03-19,26.98,27.31,25.81,26.30,38900,26.30
2012-03-12,26.60,27.37,25.99,26.83,20300,26.83
2012-03-05,27.55,27.62,26.83,26.92,19200,26.48
2012-02-27,27.49,27.73,26.60,27.55,44600,27.10
2012-02-21,26.90,27.71,26.76,27.66,35100,27.21
2012-02-13,26.40,27.09,26.40,26.98,37500,26.54
2012-02-06,26.97,26.97,26.00,26.47,48500,26.04
2012-01-30,26.51,27.00,26.42,26.92,25500,26.48
2012-01-23,26.54,26.81,26.15,26.64,24800,26.21
2012-01-17,26.87,26.89,26.57,26.60,44100,26.17
2012-01-09,26.90,27.07,26.50,26.88,30100,26.44
2012-01-03,26.91,26.96,26.49,26.84,26500,26.40
2011-12-27,26.70,27.10,26.66,26.89,13600,26.45
2011-12-19,26.49,26.99,26.26,26.75,36800,26.31
2011-12-12,26.30,26.51,25.95,26.38,38900,25.95
2011-12-05,26.05,26.53,26.01,26.48,23300,25.62
2011-11-28,26.41,26.41,25.81,25.94,33500,25.10
2011-11-21,25.83,25.99,25.75,25.83,27700,24.99
2011-11-14,25.61,25.88,25.47,25.79,42700,24.95
2011-11-07,25.62,25.78,25.34,25.71,34900,24.87
2011-10-31,25.51,25.87,25.25,25.65,55500,24.82
2011-10-24,25.28,25.63,25.13,25.62,59300,24.79
2011-10-17,25.61,25.69,25.10,25.19,56700,24.37
2011-10-10,25.35,25.65,25.27,25.52,31100,24.69
2011-10-03,25.61,25.88,25.05,25.33,41000,24.51
2011-09-26,25.20,25.87,25.07,25.83,51200,24.99
2011-09-19,25.02,25.73,25.00,25.28,27200,24.46
2011-09-12,25.64,25.64,24.82,25.12,43200,24.30
2011-09-06,25.50,26.03,25.50,25.77,34000,24.51
2011-08-29,25.47,25.91,25.47,25.83,20600,24.56
2011-08-22,25.13,25.78,24.70,25.48,25800,24.23
2011-08-15,25.30,25.33,24.71,25.08,30100,23.85
2011-08-08,24.79,25.82,21.51,25.20,41100,23.97
2011-08-01,25.45,25.80,23.16,24.99,43500,23.77
2011-07-25,25.84,25.97,25.32,25.37,25500,24.13
2011-07-18,25.56,25.87,25.32,25.84,35600,24.57
2011-07-11,25.28,25.72,25.28,25.50,43500,24.25
2011-07-05,25.33,25.49,25.22,25.39,27700,24.15
2011-06-27,25.35,25.47,25.23,25.29,70200,24.05
2011-06-20,25.14,25.40,25.00,25.29,48700,24.05
2011-06-13,25.08,25.24,24.99,25.09,40000,23.86
2011-06-06,25.42,25.47,24.90,24.98,31900,23.76
2011-05-31,25.40,25.40,25.15,25.37,91300,23.77
2011-05-23,25.35,25.42,25.22,25.39,49300,23.78
2011-05-16,25.29,25.37,25.20,25.35,73500,23.75
2011-05-09,25.40,25.43,25.14,25.25,138100,23.65
2011-05-02,25.11,25.40,25.06,25.39,134700,23.78
2011-04-25,24.94,25.24,24.79,25.08,126500,23.49
2011-04-18,24.94,24.99,24.70,24.95,88000,23.37
2011-04-11,24.72,24.91,24.55,24.91,228700,23.34
2011-04-04,24.86,24.90,24.60,24.70,323700,23.14
2011-03-28,24.88,24.98,24.76,24.88,208500,23.31
