Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.77,4.35,3.67,3.94,5300,3.94
2012-05-14,2.79,4.59,2.66,3.67,21500,3.67
2012-05-07,3.06,3.25,2.71,2.80,5000,2.80
2012-04-30,3.26,3.37,2.99,3.05,7200,3.05
2012-04-23,3.60,3.84,3.34,3.34,8000,3.34
2012-04-16,3.93,4.50,3.72,3.72,8300,3.72
2012-04-09,3.77,5.07,3.04,4.00,26500,4.00
2012-04-02,3.62,4.10,3.14,3.70,59700,3.70
2012-03-26,0.15,0.17,0.13,0.14,14400,4.20
2012-03-19,0.15,0.16,0.13,0.13,11000,3.90
2012-03-12,0.18,0.19,0.15,0.15,20400,4.50
2012-03-05,0.19,0.24,0.17,0.18,55400,5.40
2012-02-27,0.14,0.19,0.13,0.16,27400,4.80
2012-02-21,0.17,0.17,0.13,0.15,25600,4.50
2012-02-13,0.18,0.19,0.16,0.16,19200,4.80
2012-02-06,0.19,0.19,0.16,0.18,21000,5.40
2012-01-30,0.19,0.22,0.18,0.18,20000,5.40
2012-01-23,0.18,0.25,0.17,0.19,44400,5.70
2012-01-17,0.19,0.20,0.16,0.18,23700,5.40
2012-01-09,0.17,0.25,0.17,0.17,17800,5.10
2012-01-03,0.20,0.20,0.17,0.17,5500,5.10
2011-12-27,0.17,0.20,0.16,0.20,9700,6.00
2011-12-19,0.25,0.25,0.16,0.18,25000,5.40
2011-12-12,0.26,0.31,0.24,0.25,8600,7.50
2011-12-05,0.28,0.31,0.26,0.26,1100,7.80
2011-11-28,0.28,0.34,0.28,0.29,7000,8.70
2011-11-21,0.27,0.30,0.27,0.28,5600,8.40
2011-11-14,0.25,0.29,0.23,0.28,3000,8.40
2011-11-07,0.30,0.30,0.23,0.23,4400,6.90
2011-10-31,0.28,0.30,0.25,0.30,2900,9.00
2011-10-24,0.26,0.30,0.24,0.28,2900,8.40
2011-10-17,0.34,0.37,0.26,0.26,1800,7.80
2011-10-10,0.28,0.31,0.27,0.31,700,9.30
2011-10-03,0.32,0.32,0.26,0.31,500,9.30
2011-09-26,0.35,0.36,0.30,0.31,800,9.30
2011-09-19,0.31,0.40,0.30,0.38,2000,11.40
2011-09-12,0.32,0.34,0.30,0.32,200,9.60
2011-09-06,0.26,0.32,0.26,0.30,1700,9.00
2011-08-29,0.37,0.40,0.30,0.31,1500,9.30
2011-08-22,0.37,0.40,0.33,0.38,800,11.40
2011-08-15,0.46,0.46,0.33,0.40,2700,12.00
2011-08-08,0.48,0.50,0.22,0.31,10600,9.30
2011-08-01,0.51,0.56,0.45,0.48,1100,14.40
2011-07-25,0.57,0.60,0.50,0.51,1100,15.30
2011-07-18,0.62,0.64,0.56,0.58,1500,17.40
2011-07-11,0.63,0.69,0.60,0.64,1100,19.20
2011-07-05,0.65,0.71,0.59,0.63,2200,18.90
2011-06-27,0.57,0.81,0.56,0.64,4100,19.20
2011-06-20,0.66,0.70,0.55,0.55,2500,16.50
2011-06-13,0.53,0.64,0.45,0.63,3000,18.90
2011-06-06,0.56,0.74,0.43,0.57,2400,17.10
2011-05-31,0.65,0.68,0.50,0.55,4400,16.50
2011-05-23,0.67,0.72,0.63,0.65,1200,19.50
2011-05-16,0.70,0.71,0.67,0.67,2700,20.10
2011-05-09,0.79,0.80,0.68,0.69,4500,20.70
2011-05-02,0.90,0.91,0.80,0.80,1300,24.00
2011-04-25,0.90,0.91,0.85,0.90,400,27.00
2011-04-18,0.90,0.95,0.86,0.90,800,27.00
2011-04-11,0.96,0.98,0.89,0.90,400,27.00
2011-04-04,0.89,1.01,0.89,0.99,1700,29.70
2011-03-28,0.90,0.92,0.83,0.91,1200,27.30
2011-03-21,0.99,0.99,0.81,0.92,2700,27.60
2011-03-14,0.96,1.00,0.89,0.99,1600,29.70
2011-03-07,1.02,1.03,0.94,0.95,2400,28.50
2011-02-28,1.04,1.06,1.00,1.02,2300,30.60
2011-02-22,1.09,1.09,0.96,1.06,4300,31.80
2011-02-14,1.23,1.25,0.98,1.08,7700,32.40
2011-02-07,1.00,1.23,0.99,1.21,8500,36.30
2011-01-31,1.04,1.18,0.96,1.00,4700,30.00
2011-01-24,0.90,1.10,0.89,1.04,3900,31.20
2011-01-18,0.94,1.05,0.91,0.93,7100,27.90
2011-01-10,0.77,0.97,0.77,0.94,7100,28.20
2011-01-03,0.81,0.85,0.75,0.80,4400,24.00
2010-12-27,0.78,0.88,0.75,0.76,3100,22.80
2010-12-20,0.73,0.85,0.73,0.78,5000,23.40
2010-12-13,0.69,0.75,0.68,0.73,2300,21.90
2010-12-06,0.69,0.73,0.65,0.72,6700,21.60
2010-11-29,0.71,0.75,0.69,0.69,1700,20.70
2010-11-22,0.68,0.72,0.67,0.71,1700,21.30
2010-11-15,0.72,0.75,0.64,0.70,26100,21.00
2010-11-08,0.83,0.88,0.72,0.72,3400,21.60
2010-11-01,0.80,0.95,0.77,0.81,5000,24.30
